judul,provinsi,id_teks,teks,referensi
Alue Naga,Riau,1,"dahulu, di tanah aceh, hidup seorang sultan yang bernama meurah. sultan tersebut terkenal baik dan bijak. ia juga seringkali berkeliling berkunjung ke pedesaan untuk mendengar keluh kesah rakyat yang jauh dari jangkauannya. kali ini, ketika kunjungan dilakukan, rakyat di suatu desa di aceh mengeluh tentang hewan ternaknya yang tiba-tiba saja hilang. salah satu warga berkata, sultan, sapi saya hilang tadi dini hari. kemarin juga 2 kambing tetangga saya hilang entah ke mana. selain keluhan tersebut, warga lain yang juga ada di kerumunan mengaku sering merasakan gempa. menurutnya, gempa yang dirasakan berasal dari sebuah bukit. sultan pun akhirnya memerintahkan sahabatnya, yaitu renggali, untuk mencari tahu keluhan masyarakat tersebut. renggali sendiri adalah anak sultan alam.","mbiyen, neng tanah aceh, ana sawijining sultan jenenge meurah. sultan kuwi misuwur apik lan wicaksana. dheweke kerep nglumpat ngunjungi deso-deso kanggo ngrungokke keluh kesah rakyat sing adoh saka tekane. wektu kuwi, nalika kunjungan ditindakake, rakyat saka salah siji deso ing aceh sambat soal kewan ternake sing ndadak ilang. salah siji warga ngomong, sultan, sapi aku ilang bengi mau. wingi uga 2 wedhus tanggaku ilang ora ngerti endi. saliyane keluhan kuwi, warga liyo sing ana ing kerumunan uga ngaku asring ngrasakake gempa. miturute, gempa kuwi asale saka sawijining bukit. sultan banjur dhawuh marang kancane, jenenge renggali, kanggo nyelidiki keluhan masyarakat kuwi. renggali kuwi putrane sultan alam."
Alue Naga,Riau,2,"mendengar dirinya mendapat perintah, renggali segera bergegas menuju puncak bukit. sesampainya di sana, ia melihat ada genangan air yang sangat luas. kemudian, suara menggelegar yang meminta maaf terdengar memekakkan telinga. ku mohon maafkan aku. bersamaan dengan suara itu, gempa terjadi. renggali tentu mencari sumber suara itu. ternyata, ia melihat seekor naga besar yang tertutup semak belukar. renggali tentu terkejut.","krungu awake kaparingan dhawuh, renggali langsung budhal munggah menyang pucuk bukit. tekane ing kono, dheweke ndelok ana genangan banyu sing jembar banget. banjur, krungu swara gedhe nggelegar sing njaluk ngapura, nganti gawe kuping loro krasa perih. aku nyuwun ngapura. bareng karo swara kuwi, gempa kedadeyan. renggali langsung nggoleki sumber swara kuwi. ternyata, dheweke ndelok ana naga gedhe sing ketutup wit-witan semak. renggali kaget banget."
Alue Naga,Riau,3,siapa kamu tanya renggali.,sapa kowe takone renggali.
Alue Naga,Riau,4,"aku adalah naga yang dahulu merupakan sahabat dari ayahmu, ungkap sang naga.","aku naga sing biyen dadi kancane bapakmu, kandha naga kuwi."
Alue Naga,Riau,5,"naga tersebut juga meminta kepada renggali agar sultan alam dipanggil. namun, ayah renggali tersebut sudah tiada. mendengar permintaan sang naga, seseorang di sana bernama sultan meurah mencoba mencari tahu apa yang terjadi sebenarnya. sultan meurah juga bertanya, apa yang sebenarnya membuatmu lumpuh","naga kuwi uga njaluk supaya sultan alam dipanggil. nanging, bapake renggali kuwi wis seda. krungu panjaluk sang naga, sultan meurah nyoba ngerteni apa sing sejatine kedadeyan. sultan meurah banjur takon, apa sing ndadekake kowe dadi lumpuh"
Alue Naga,Riau,6,"ya, naga tersebut lumpuh dan tidak bisa berjalan. sang naga pun mengatakan apa yang sebenarnya terjadi.","ya, naga kuwi lumpuh lan ora isa mlaku. sang naga banjur crita apa sing sejatine kedadeyan."
Alue Naga,Riau,7,"dulu, hamba diperintah oleh sultan alam untuk mengantar pedang ke sahabatnya. sahabatnya tersebut adalah tuan tapa dan raja linge. sebagai ganti atas kerja hamba, tuan tapa memberi 6 ekor kerbau. sementara raja linge ingin menemui sultan alam. raja linge yang memiliki keinginan tersebut pun pergi bersama hamba menemui sultan alam dengan 2 anak buahnya.","mbiyen, aku ditugasi sultan alam kanggo nganter pedhang menyang kancane. kancane kuwi jenenge tuan tapa lan raja linge. minangka gantine, tuan tapa maringi 6 ekor kebo. dene raja linge kepengin ketemu sultan alam. raja linge sing duwe karep kuwi banjur melu aku nemoni sultan alam bareng 2 anak buahe."
Alue Naga,Riau,8,"di perjalanan, hamba tergiur untuk memakan 2 ekor kerbau. hamba pun memfitnah satu anak buah dari raja linge. raja linge pun membunuh anak buahnya itu. lalu, hamba memakan dua ekor kerbau lagi dan memfitnah satu anak buah raja linge yang tersisa, dan raja linge lagi-lagi membunuhnya. sebenarnya, hamba merasa bersalah, cerita naga sambil terisak.","ing perjalanan, aku kepincut mangan 2 ekor kebo. aku banjur memfitnah salah siji anak buahe raja linge. raja linge banjur mateni anak buahe kuwi. sakwise kuwi, aku mangan maneh 2 ekor kebo lan memfitnah maneh anak buahe sing isih ana, lan raja linge ya mateni maneh. sejatine, aku krasa salah, critane naga karo mewek."
Alue Naga,Riau,9,"naga melanjutkan, hamba masih makan dua ekor lagi, dan raja linge tersadar bahwa hamba yang memakannya. raja linge yang tahu pun menusukkan pedangnya kepada hamba sampai membuat hamba lumpuh seperti sekarang. tapi sungguh, atas kesalahan hamba, hamba sangat menyesal.","naga nerusake, aku isih mangan 2 ekor maneh, lan raja linge sadar nek aku sing nyatane mangan. raja linge banjur nyolok aku nganggo pedhang nganti nggawe aku lumpuh kaya saiki. tapi temenan, aku banget nyesel karo kesalahanku kuwi."
Alue Naga,Riau,10,"mendengar pengakuan tersebut, sultan meurah dan renggali mencabut pedang yang selama ini membuat naga lumpuh. setelah pedang tersebut lepas, sang naga diminta untuk kembali ke tempatnya berasal, yaitu di laut. sambil menangis, naga itu pun menggeser tubuhnya mengikuti perintah dan secara perlahan bergerak menuju laut. dari sana terbentuk sebuah sungai kecil karena pergerakan naga tersebut, dan pada akhirnya sungai kecil tersebut dinamakan sebagai sungai alue naga.","krungu pangakuan kuwi, sultan meurah lan renggali banjur nyopot pedhang sing wis suwe nancep ing awake naga. sakwise pedhange dicopot, sang naga dijaluk bali menyang panggonane asal, yaiku laut. sambil nangis, naga kuwi nggeser awake manut prentah lan alon-alon mlaku menyang laut. saka kono mbentuk sawijining kali cilik merga gerak awak naga kuwi, lan pungkasane kali cilik kuwi dijenengi kali alue naga."
