judul,provinsi,id_teks,teks,referensi
Amat Mude,Aceh,1,"dahulu kala di tanah alas, ada seorang raja yang terkenal adil lagi bijaksana. rakyat sangat patuh dan setia karena di bawah pimpinan raja ini, kehidupan dalam negeri penuh kedamaian. hanya saja, dia tidak mempunyai seorang anak pun walaupun perkawinannya dengan isterinya telah berjalan lama. ia mempunyai seorang saudara kandung yang juga sudah berkeluarga dan dikurniai seorang anak. pada suatu hari, sang permaisuri berkata, paduka yang tercinta, kita telah membina mahligai rumah tangga puluhan tahun. kakanda telah memberikan kemewahan harta benda yang melimpah ruah, dengan pakaian, perhiasan, emas, perak, kerabu, lembu, dan sawah ladang, sehingga seluruh rakyat cukup menghargai kita. tetapi bagiku, semua ini tidak berarti apa-apa. hal ini berarti bukan saya tidak mencintai kakanda, tetapi selaku wanita seusia saya, tentu menginginkan anak sebagai pewaris dari ayahnya yang perkasa.","ing jaman biyen ing tanah alas, ana sawijining raja sing kondhang adil lan wicaksana. rakyat padha manut lan setya merga ing ngisor pimpinane raja iki, urip ing nagara penuh tentrem. nanging dheweke ora duwe anak sanadyan wis suwe rabi karo bojone. dheweke duwe sedulur kandung sing uga wis omah-omah lan duwe anak. ing sawijining dina, permaisuri kandha, paduka sing tak tresnani, kita wis mbangun omah tangga suwene puluhan taun. kakanda wis maringi kemewahan harta benda sing akeh banget, nganggo sandhangan, perhiasan, emas, perak, kerbau, lan sawah ladang, nganti kabeh rakyat ngurmati kita. nanging kanggo aku, kabeh iki ora ana artine. iki ora ateges aku ora tresna marang kakanda, nanging dadi wanita kaya aku, mesthi kepengin nduwe anak sing dadi waris bapake sing perkasa."
Amat Mude,Aceh,2,"mendengar ucapan itu, sang raja tertegun sejenak, lalu berkata, adinda, saya pun ingin mempunyai keturunan, tetapi apa daya, itu kehendak yang maha kuasa. kita telah berikhtiar dengan bermacam-macam usaha. dukun silih berganti, obat terus-terusan kita pergunakan, namun belum berhasil. hanya saja, yang belum saya tempuh, aku berniat untuk memperoleh anak laki-laki. asal ada, biarlah aku meninggal sebelum ia sempat kumenikmati sebagai ayah. tinggal ini sajalah yang belum saya niatkan. walau demikian, mulai hari ini, asalkan adinda tenang dan tenteram, saya niatkan dan panjatkan ke hadirat tuhan yang maha kuasa.","krungu omongan kuwi, raja kaget sedhela, banjur kandha, adinda, aku uga kepengin nduwe keturunan, nanging apa daya, kuwi kehendak sing maha kuwasa. kita wis nyoba macem-macem cara. dukun silih ganti, obat terus-terusan dipigunakake, nanging durung kasil. nanging sing durung tak lakoni, aku niat kanggo nduwe anak lanang. yen ana, sanadyan aku mati durung sempat nikmati dadi bapak. iki siji-sijine sing durung tak niatake. wiwit saiki, asal adinda tenang lan tentrem, aku niatake lan panjatake marang gusti allah sing maha kuwasa."
Amat Mude,Aceh,3,"sesudah sebulan, raja berniat, sang permaisuri pun mengandung pula. semua sekitar istana sudah tahu, demikian pula akhirnya semua rakyat pun telah merasa gembira dengan keadaan perubahan badan permaisuri. sembilan bulan sepuluh hari lamanya usia kandungan, lalu lahir anak sang raja, seorang laki-laki yang sangat sehat lagi tampan. permaisuri sangat berbahagia, demikian pula raja. tujuh hari tujuh malam diadakan pesta besar dalam rangka membawa putera raja turun mandi dan diberi nama amat mude. turut dalam pesta, semua undangan, semua binatang darat, laut, bahkan orang halus penghuni lautan pun diundangnya. upacara mandi telah usai, sang raja mulai merasa badannya terasa tidak enak, lalu ia berkata kepada isterinya, adinda, badanku tak enak, ini mungkin merupakan pertanda bagiku, sekarang sudah tiba saatnya untuk menebus niat yang saya ikrarkan dahulu sebelum kau mengandung.","sawise sewulan, raja niat, permaisuri banjur ngandhut. kabeh ing kraton wis ngerti, uga kabeh rakyat padha bungah ndelok owah-owahan awak permaisuri. sangang wulan sepuluh dina kandhutan, banjur lair anak raja, lanang sing sehat lan gagah. permaisuri bungah banget, raja uga. pesta gedhe dilakoni pitung dina pitung wengi kanggo nglaksanani upacara bathik lan maringi jeneng amat mude. ing pesta kuwi kabeh undangan teka, kabeh kewan darat, laut, malah wong alus saka segara uga diundang. upacara bathik rampung, raja rumangsa awake ora nyaman, banjur kandha marang bojone, adinda, awakku ora nyaman, iki mungkin tandha kanggo aku, saiki wayahe ngenteni janji sing wis tak ikrarke sadurunge kowe ngandhut."
Amat Mude,Aceh,4,"permaisuri pun teringat dengan janjinya suaminya agar memperoleh seorang anak walaupun maut ditebus dengan maut. anak sudah lahir, konon ayahnya untuk menebus janji yang sudah diniatkan, pikir permaisuri. ia pasrah kepada takdir. sakit raja bertambah parah, tiada dukun yang sanggup mengobatinya. akhirnya, ia pun wafat.","permaisuri kelingan janji bojone supaya nduwe anak sanadyan kudu mbayar nganggo nyawa. anak wis lair, konon bapake kanggo nebus janji kuwi. dheweke pasrah marang takdir. sakit raja saya tambah parah, ora ana dukun sing bisa ngobati. pungkasane, dheweke tilar donya."
Amat Mude,Aceh,5,"sebagai pengganti raja, maka sambil menunggu dewasa, dinobatkanlah pakciknya, amat mude, raja muda, untuk melaksanakan tugas raja. sejak saat itu, mulai firasat buruk yang menimpa sang permaisuri. mulamula ia dipindahkan ke ruang ujung karena alasan anaknya masih kecil dan sering-sering menangis di waktu tamu rakyat berkunjung. akhirnya, tipu muslihat raja muda berjalan terus dengan memerintahkan agar kakak iparnya beserta anak muda dibuang ke tengah hutan karena ia khawatir bila ia sudah besar akan merebut kekuasaan yang dipangkunya.","minangka pengganti raja, nalika ngenteni dewasa, pakcike amat mude dinobatake dadi raja enom kanggo nglakoni tugas raja. wiwit semana, wiwit ana firasat ala sing nyerang permaisuri. kaping pisan dheweke dipindhah menyang kamar pojok merga anake isih cilik lan asring nangis nalika tamu teka. pungkasane, raja enom nganggo tipuan nglaksanani perintah supaya kakak ipare lan anake diusir menyang tengah alas merga wedi yen wis gedhe bakal njupuk kekuasaan sing dipanggoni."
Amat Mude,Aceh,6,"pada suatu hari, petugas berangkat mengantarkan keluarga yang malang ini ke tengah-tengah hutan. sebenarnya, melihat air mata permaisuri, si petugas tak tega melihatnya, apalagi ia ingat terhadap almarhum suaminya, yaitu raja yang cukup adil dan bijaksana dalam memimpin kerajaan. tetapi apa boleh buat, petugas tidak ada alternatif lain kecuali melaksanakan apa yang diperintahkan kepadanya. bila tidak, tentu ia akan menerima hukuman dari raja muda. raja muda ini jauh berbeda sifat dan wataknya dengan raja yang terdahulu, yaitu ayahnya si amat mude.","ing sawijining dina, petugas menyang nganter keluarga sing celaka menyang tengah alas. sakjane, ndelok luh-luh permaisuri, petugas ra tega, apalagi kelingan almarhum bojone raja sing adil lan wicaksana. nanging apa bisa, petugas ora duwe pilihan liya kajaba nindakake perintah raja enom. yen ora, mesthi bakal oleh paukuman. raja enom iki sifat lan watake beda adoh karo raja lawas, yaiku bapake amat mude."
Amat Mude,Aceh,7,"dengan perbekalan yang dibawa, amat mude ditinggalkan bersama ibunya di tengah hutan yang dikelilinginya penuh dengan binatang-binatang buas. waktu berjalan terus, amat mude pun sudah berusia 8 tahun. pada suatu hari, ia melihat cucuk sanggul sang ibu, lalu diambilnya, dibengkok-bengkokkan sehingga terbentuklah sebuah mata pancing. kemudian ia menggunakannya untuk memancing di pinggir kali alas. tidak beberapa lama, pancingnya disambar oleh seekor ikan yang besar, lalu ditarik dan diangkatnya ke darat. akhirnya, setelah ia mendapat lima ekor, ia pun pulang dengan penuh kegembiraan. sang ibu pun sangat bersyukur kepada tuhan melihat kecekatan dan keunggulan anaknya.","kanthi bekal sing digawa, amat mude ditinggal karo ibune ing tengah alas sing dikurung kewan galak. wektu lumaku, amat mude wis umur 8 taun. ing sawijining dina, dheweke weruh cucuk sanggul ibune, banjur dijupuk lan dibengkok-bengkokake dadi mata pancing. banjur digunakake kanggo mancing ing pinggir kali alas. ora suwe, pancinge diambil dening iwak gedhe, banjur ditarik lan diangkat menyang darat. sawise entuk lima ekor, dheweke bali karo rasa seneng. ibune uga matur nuwun marang gusti ndelok kepinteran lan keunggulan anake."
Amat Mude,Aceh,8,"karena ikannya tak terhabiskan, sang ibu berniat akan mencoba membawa ikan itu ke desa kalau-kalau ada orang yang mau menukarnya dengan beras atau barang yang mereka butuhkan di sana. mujur, setiba di desa, ia bertemu dengan bekas sahabat suaminya dahulu, seorang saudagar yang baik hati lagi pemurah. lantas, sang pedagang membawa sang permaisuri pulang ke rumahnya. ia tidak membiarkan permaisuri ini berjualan ikan, semua ikan disuruh bawa ke rumah. setiba di rumah, ia menyuruh isterinya mengganti pakaian permaisuri dan memberinya makan. sambil isteri saudagar memasak, ia mengobrol dengan permaisuri sehingga diketahuilah keadaan yang sebenarnya.","merga iwake ora entek, ibune kepengin nggawa iwak menyang desa, muga-muga ana wong sing gelem ditukar beras utawa barang sing dibutuhake. apike, tekan desa, ketemu karo mantan kanca bojone, pedagang sing baik lan murah hati. pedagang banjur ngajak permaisuri mulih menyang omahe. dheweke ora gelem ibune dagang iwak, iwak dibawah menyang omah. tekan omah, pedagang nyuruh bojone ganti klambi permaisuri lan menehi panganan. nalika bojone masak, padha ngobrol karo permaisuri, dadi ngerti kahanan nyata."
Amat Mude,Aceh,9,"isterinya membersihkan ikan di dapur, tetapi tatkala membelah perut ikan, pisaunya tertumbuk dengan benda keras di dalam perut ikan itu, lalu dibuka. alangkah terkejutnya isteri saudagar itu ketika ia melihat sebuah benda yang persis telur tetapi keras serta kuning menyala. dipanggilnya suaminya untuk menyaksikannya. suaminyapun kaget, dan akhirnya ia yakin bahwa benda itu adalah emas murni. semuanya itu adalah kebesaran tuhan karena ia melihat hambanya yang ikhlas menerima dan membantu orang yang sedang membutuhkan pertolongan.","bojone ngresiki iwak, nanging nalika mbelah weteng iwak, piso nabrak benda atos lan kuning padhang kaya endhog. dheweke padha kaget lan nelpon bojone kanggo ndelok. bojone uga kaget lan yakin yen iku emas murni. kabeh kuwi maringi kebesaran gusti merga ndelok hambane sing ikhlas nulungi wong sing butuh pitulung."
Amat Mude,Aceh,10,"secara diam-diam, ia mengatakan kepada isterinya agar permaisuri perlu dibekali dengan segala keperluannya, seperti beras, garam, pakaian, bahkan perlu disiapkan sebuah perumahan. lalu ia menugaskan beberapa orang tukang untuk menanganinya. karena sang permaisuri merasa waktunya sudah tiba untuk pulang, terutama teringat kepada anaknya yang ditinggalkan seorang diri di tengah hutan, lalu ia pun pamitan.","sak durunge, dheweke kandha marang bojone supaya permaisuri dibekali kebutuhan, kaya beras, uyah, klambi, malah digawe omah. dheweke nyuruh tukang mbangun. permaisuri rumangsa wayahe bali, utamane kelingan anake sing ditinggal dhewe ing alas, banjur pamitan."
