judul,provinsi,id_teks,teks,referensi
Ambun dan Rimbun,Kalimantan Tengah,1,"konon, pada zaman dahulu kala, di sebuah kampung di daerah kalimantan tengah, hiduplah seorang janda bersama dua orang anak laki-lakinya yang sudah remaja. anak pertamanya bernama ambun, sedangkan anak keduanya bernama rimbun. banyak orang di kampung itu mengira mereka saudara kembar karena wajah dan perawakan keduanya mirip sekali. namun sebenarnya, mereka bukanlah saudara kembar karena umur keduanya selisih satu tahun. ambun dan rimbun adalah anak yang rajin dan hormat kepada orang tua. setiap hari, mereka membantu ibunya mencari kayu bakar ke hutan dan menjualnya ke pasar. pada suatu sore, rimbun melihat abangnya termenung seorang diri di beranda rumah mereka.","konon, ing jaman mbiyen, ana ing sawijining kampung ing wewengkon kalimantan tengah, urip sawijining randha karo loro anak lanange sing wis remaja. anak kapisane aran ambun, dene anak kaping loro aran rimbun. akeh wong ing kampung kono ngira yen wong loro kuwi sedulur kembar merga pasuryan lan awake padha banget. nanging sakjane, wong loro kuwi dudu sedulur kembar merga umure beda setaun. ambun lan rimbun kuwi anak sing sregep lan ngajeni marang wong tuwa. saben dina, wong loro kuwi nulungi ibune golek kayu bakar menyang alas lan didol menyang pasar. ing sawijining sore, rimbun weruh kakange melung ing dhuwure omahe."
Ambun dan Rimbun,Kalimantan Tengah,2,"bang, apa yang sedang abang pikirkan tanya rimbun.","bang, apa sing kok pikirake pitakone rimbun."
Ambun dan Rimbun,Kalimantan Tengah,3,"abang sedang memikirkan nasib keluarga kita. kalau setiap hari hanya mencari kayu bakar, kehidupan kita tidak akan pernah membaik, keluh ambun.","abang mikirke nasib kulawarga awake dhewe. yen saben dina mung golek kayu bakar, urip awake dhewe ora bakal owah, keluhe ambun."
Ambun dan Rimbun,Kalimantan Tengah,4,lalu apa rencana abang tanya rimbun.,"lha terus, apa rencanane abang pitakone rimbun."
Ambun dan Rimbun,Kalimantan Tengah,5,"abang akan pergi merantau untuk mengubah nasib keluarga kita. banyak orang di kampung ini kehidupannya menjadi lebih baik sepulangnya dari merantau, jelas ambun.","abang arep merantau kanggo ngowahi nasib kulawarga awake dhewe. akeh wong kampung kene uripe dadi luwih apik sawise bali saka rantau, jelase ambun."
Ambun dan Rimbun,Kalimantan Tengah,6,"wah, kalau begitu, adik akan ikut abang, kata rimbun.","wah, yen ngono, adik arep melu abang, ujare rimbun."
Ambun dan Rimbun,Kalimantan Tengah,7,"jangan, dik kamu di sini saja menemani ibu. kalau adik ikut, kasihan ibu ditinggal sendirian, cegah ambun.","ora usah, dik kowe nang kene wae temenan ibu. yen kowe melu, kasihan ibu ditinggal dhewe, cegahe ambun."
Ambun dan Rimbun,Kalimantan Tengah,8,"tidak, bang adik harus ikut abang, tegas rimbun, bersikukuh ingin pergi merantau bersama abangnya.","ora, bang adik kudu melu abang, tegase rimbun, kekeh pengin melu merantau bareng kakange."
Ambun dan Rimbun,Kalimantan Tengah,9,"baiklah, kalau begitu, kata ambun, mengizinkan adiknya ikut serta.","yowis, yen ngono, ujare ambun, ngidinake adhine melu."
Ambun dan Rimbun,Kalimantan Tengah,10,"malam harinya, kedua kakak beradik itu menyampaikan niat mereka kepada sang ibu. mendengar hal itu, sang ibu hanya terdiam. ia bingung bagaimana menyikapi keinginan kedua putranya. menurutnya, apa yang dikatakan kedua putranya itu memang benar, bahwa merantau dapat memperbaiki kehidupan keluarga mereka, tetapi di satu sisi, umur mereka masih sangat muda.","wengi kuwi, kakang adhi kuwi nyampekake niate marang ibune. krungu kuwi, ibune mung meneng. dheweke bingung kepengin nanggepi kekarepan anak loro kuwi. miturute, pancen bener sing diomong anak-anake kuwi, yen merantau bisa ngowahi nasib kulawarga, nanging ing sisih liya, umure isih enom banget."
Ambun dan Rimbun,Kalimantan Tengah,11,"bagaimana, bu apakah ibu mengizinkan kami pergi ambun kembali bertanya.","piye, bu ibu ngidinake awake dhewe lunga apa ora ambun takon maneh."
