judul,provinsi,id_teks,teks,referensi
Asal Muasal Nama Daerah Magelang,Jawa Tengah,1,"dahulu kala, kerajaan mataram yang dipimpin oleh panembahan senopati merupakan sebuah kerajaan yang besar dan berjaya. ketika panembahan senopati ingin memperluas daerahnya, ia meminta pendapat kepada ki gede pemanahan. lalu mereka sepakat untuk membuka hutan di kedu. hutan tersebut angker dan hampir tidak pernah dijamah manusia. menurut masyarakat, hutan tersebut dikuasai oleh kerajaan jin dengan rajanya bernama jin sepanjang.","mbiyen kala ana sawijining karajan mataram sing dipimpin dening panembahan senopati, sawijining karajan gedhe lan makmur. nalika panembahan senopati kepengin ngembangake wilayahe, dheweke takon marang ki gede pemanahan. banjur padha sarujuk mbukak alas ing kedu. alas kuwi angker lan meh ora tau dienggo manungsa. miturut wong-wong, alas kuwi dikuasai karajan jin sing rajae jenenge jin sepanjang."
Asal Muasal Nama Daerah Magelang,Jawa Tengah,2,"untuk menaklukkan jin sepanjang, ditunjuklah pangeran purbaya sebagai senopati perang. pangeran purbaya dan tentara kerajaan mataram menggunakan pusaka untuk membuka hutan tersebut. ketika hutan telah terbuka, terjadilah pertempuran hebat antara tentara kerajaan mataram di bawah pimpinan pangeran purbaya dan tentara kerajaan jin. kerajaan jin berhasil dipukul mundur, namun raja jin sepanjang berhasil melarikan diri dan berniat membalas kekalahannya pada kemudian hari.","kanggo ngalahake jin sepanjang, dipilih pangeran purbaya dadi senopati perang. pangeran purbaya lan prajurit karajan mataram nganggo pusaka kanggo mbukak alas kuwi. nalika alas wis kebukak, kedadeyan perang gedhe antara prajurit karajan mataram ing ngisor pimpinan pangeran purbaya lan prajurit karajan jin. karajan jin bisa dipukul mundur, nanging raja jin sepanjang bisa mlayu lan arep mbalekake kekalahane mengko."
Asal Muasal Nama Daerah Magelang,Jawa Tengah,3,"sementara itu, hutan kedu telah diubah menjadi sebuah desa yang berkembang dan memiliki pemandangan indah. di desa tersebut hidup sepasang suami istri, yaitu kyai keramat dan istrinya nyai bogem. mereka memiliki seorang putri yang cantik jelita bernama rara rambat, yang kemudian menikah dengan salah satu tentara kerajaan mataram bernama raden kuning.","sakliyane kuwi, alas kedu wis dadi desa sing maju lan nduweni pemandhangan sing endah. ing desa kuwi ana pasangan bojomu, kyai keramat lan bojone nyai bogem. dheweke duwe putri ayu sing jenenge rara rambat, sing sabanjure omah-omah karo salah siji prajurit karajan mataram jenenge raden kuning."
Asal Muasal Nama Daerah Magelang,Jawa Tengah,4,"suatu hari, kyai keramat kedatangan seorang laki-laki bernama santa yang ingin mengabdi kepadanya. dengan senang hati, kyai keramat menerima santa sebagai abdinya, namun ia tidak mengetahui bahwa santa adalah jelmaan raja jin sepanjang yang sedang ingin membalas dendam. santa menggunakan kesaktiannya untuk menyebarkan berbagai penyakit. akibatnya, masyarakat dilanda wabah penyakit yang aneh dan mematikan, banyak orang yang meninggal, termasuk para tentara.","ing salah sawijining dina, kyai keramat ditekani wong lanang jenenge santa sing kepengin ngabdi. kanthi seneng, kyai keramat nampa santa dadi abdine, nanging dheweke ora ngerti yen santa kuwi wujude raja jin sepanjang sing arep mbalekake dendam. santa nganggo kesaktiane nyebarake penyakit-penyakit. amarga kuwi, masyarakat kena wabah penyakit sing aneh lan pati akeh, kalebu para prajurit."
Asal Muasal Nama Daerah Magelang,Jawa Tengah,5,"hal ini menimbulkan keprihatinan pangeran purbaya yang segera melaporkannya kepada panembahan senopati. lalu panembahan senopati bertapa dan mengadakan kontak dengan ratu pantai selatan. usai bertapa, panembahan senopati menyampaikan nasihat dari ratu pantai selatan kepada pangeran purbaya.","kahanan kuwi gawe prihatin pangeran purbaya sing langsung lapor marang panembahan senopati. banjur panembahan senopati tapa lan sesambungan karo ratu pantai kidul. sawise tapa, panembahan senopati nyampeake pitutur saka ratu pantai kidul marang pangeran purbaya."
Asal Muasal Nama Daerah Magelang,Jawa Tengah,6,"kemudian, pangeran purbaya menemui kyai keramat dan memberitahunya bahwa abdinya, santa, adalah jelmaan raja jin sepanjang yang telah menyebabkan kesengsaraan rakyat. santa yang mendengar percakapan pangeran purbaya dan kyai keramat pun melarikan diri. kyai keramat mengejarnya, sehingga terjadilah pertempuran. ternyata, kesaktian santa dapat mengalahkan kyai keramat hingga kyai keramat pun gugur. pangeran purbaya sangat sedih dengan kematian kyai keramat dan memerintahkan untuk menguburkan jenazahnya di daerah tersebut. daerah itu kemudian dinamakan desa keramat.","sabanjure, pangeran purbaya ketemu kyai keramat lan ngabari yen abdine santa kuwi wujud raja jin sepanjang sing nyebabake sangsara rakyat. santa sing krungu omongan pangeran purbaya lan kyai keramat banjur mlayu. kyai keramat ngejar, banjur ana perang. ternyata, kesaktian santa ngalahake kyai keramat nganti kyai keramat mati. pangeran purbaya sedhih banget karo pati kyai keramat lan marentah ngubur jenazahe ing panggonan kuwi. panggenan kuwi banjur dijenengi desa keramat."
Asal Muasal Nama Daerah Magelang,Jawa Tengah,7,"mendengar kematian suaminya, nyai bogem sangat marah. ia mengejar santa, dan terjadilah perkelahian. nyai bogem dapat dikalahkan oleh santa dan gugur. pangeran purbaya memerintahkan untuk menguburkan jenazah nyai bogem di tempat ia gugur dan menamakan desa tersebut sebagai desa bogeman.","krungu pati bojone, nyai bogem nesu banget. dheweke ngejar santa lan padha perang. nyai bogem bisa dikalahake santa lan mati. pangeran purbaya marentah ngubur jenazah nyai bogem ing panggonan dheweke mati lan panggonan kuwi dijenengi desa bogeman."
Asal Muasal Nama Daerah Magelang,Jawa Tengah,8,"kematian kyai keramat dan nyai bogem membuat pangeran purbaya memerintahkan tumenggung martoyuda untuk menangkap raja jin sepanjang. namun, raja jin sepanjang dapat mengalahkan tumenggung martoyuda. martoyuda dimakamkan di daerah tempat pertempuran tersebut yang kemudian dinamakan desa martoyuda.",pati kyai keramat lan nyai bogem gawe pangeran purbaya marentah tumenggung martoyuda kanggo nangkep raja jin sepanjang. nanging raja jin sepanjang bisa ngalahake tumenggung martoyuda. martoyuda dimakamake ing panggonan perang kuwi lan panggonan kuwi dijenengi desa martoyuda.
Asal Muasal Nama Daerah Magelang,Jawa Tengah,9,"raden krincing, yang merupakan salah satu senopati di kerajaan mataram, merasa terpanggil untuk ikut membantu membinasakan raja jin sepanjang. namun sayang, ia pun tewas. pangeran purbaya memerintahkan untuk menguburkan jenazahnya di tempat pertempuran tersebut dan menamakan daerah itu dengan desa krincing.","raden krincing, salah siji senopati ing karajan mataram, rumangsa kudu nulungi nglawan raja jin sepanjang. nanging sayange, dheweke uga mati. pangeran purbaya marentah ngubur jenazahe ing panggonan perang kuwi lan panggonan kuwi dijenengi desa krincing."
Asal Muasal Nama Daerah Magelang,Jawa Tengah,10,"kematian demi kematian membuat pangeran purbaya semakin berniat menghancurkan santa alias raja jin sepanjang. ia memerintahkan pasukannya untuk mengejar santa. santa lari ke dalam hutan menghindari serangan tersebut. dengan kesaktiannya, pangeran purbaya dapat melihat santa dari atas sebuah pohon yang tinggi. ia segera menyerang santa, sehingga terjadilah perkelahian sengit. ternyata, kesaktian pangeran purbaya lebih hebat daripada santa. akhirnya, santa tewas di tangan pangeran purbaya. seketika itu juga langit menjadi gelap gulita seiring dengan kematian raja jin sepanjang. ketika raja jin sepanjang menghilang, perlahan-lahan hutan menjadi terang kembali.","kematian siji-siji gawe pangeran purbaya luwih semangat ngancurake santa alias raja jin sepanjang. dheweke marentah pasukane ngoyak santa. santa mlayu mlebu alas kanggo ngindari serangan. kanthi kesaktiane, pangeran purbaya bisa ndeleng santa saka ndhuwur wit sing dhuwur. dheweke langsung nyerang santa lan ana perang sengit. kesaktian pangeran purbaya luwih kuwat tinimbang santa. akhire, santa mati ing tangan pangeran purbaya. langit dadi peteng sedhih bareng karo pati raja jin sepanjang. sawise raja jin sepanjang ilang, alas dadi padhang maneh."
