judul,provinsi,id_teks,teks,referensi
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,1,"anak-anak, marilah kudongengi. dongeng ini kudapat dahulu dari nenekku. judulnya mengapa sungai berkelok-kelok dan airnya tak pernah kering.","anak-anak, ayo tak dongengi. dongeng iki tak entuk mbiyen saka mbahku. judhule ngapa kali kuwi mbelok-mbelok lan banyune ora tau entek. kowe ngerti kali brantas kali iki asale saka dhaerah malang, mili menyang kidul tekan blitar, terus mbelok menyang kediri, lan pungkasane mbelok maneh menyang surabaya. banyune ora tau entek, ta"
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,2,"kalian tahu kali brantas sungai ini berhulu di daerah malang, mengalir ke selatan hingga blitar, lalu berbelok ke kediri, dan akhirnya membelok lagi menuju surabaya. airnya tak pernah habis, bukan","nah, ngene ceritane."
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,3,"nah, begini ceritanya.","mbiyen banget, akeh banget ula sing lagi semedi ana ing gunung-gunung. saben setaun pisan, kabeh ula sing semedi kuwi bakal teka ngadhep marang rajane ing dasar segara. raja ula kuwi jenenge ula naga. para ula teka dudu tanpa alesan, wong padha kepengin ngrasakake ilmu sang rajaâilmu panguripan supaya bisa awet enom, nduweni racun, bisa malih dadi manungsa, lan macem-macem ilmu liyane. para ula kuwi mlaku ngglundung bareng-bareng, nututi dalan sing mbelok-mbelok. bekas tapak sikile banjur dadi kali. mula saka kuwi, kali-kali kuwi mbelok-mbelok, nututi dalan sing tau dilakoni para ula. nanging, ana uga ula-ula nakal. ula kuwi ora sabar lan kepengin ndhisiki kanca-kancane. mula saka kuwi, kajaba mbelok-mbelok, ana uga kali sing cabang-cabang. cabang-cabang kali kuwi ya bekas dalane ula-ula nakal sing kepengin luwih dhisik tekan dasar segara kanggo ngadhep rajane."
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,4,"dahulu kala, banyak sekali ular yang bertapa di gunung-gunung. setiap setahun sekali, semua ular yang bertapa itu akan datang menghadap raja mereka di dasar laut.","ula-ula sing tekun semedi bakal oleh ganjaran saka rajane. senajan rupane elek, awake cacat, utawa cilik wujude, tetep wae bakal oleh peparing saka sang raja. raja naga bakal nurunake kabeh ilmune marang ula sing bisa lulus semedi. biasane, ula sing lulus bisa ndatangke udan, angin gede, kilat lan gludhug, banyu bah, lan lindhu. dalan sing tau dilakoni dening para ula sing oleh ganjaran biasane bareng karo rawuhe banyu bah. wektu arep ditampa dening rajane, para ula asring maringi sesaji tandha bakti, yaiku anak turune sing wis malih dadi manungsa. mula, nek ana banjir gedhe, ora mung wit-witan tumbang lan omah-omah ambruk, nanging uga akeh manungsa sing kabawa banyu lan mati. wong-wong sing kabawa banyu kuwi sakjane anak turune ula, sing dijadiake sesaji kanggo oleh ilmu saka raja naga."
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,5,"raja ular itu bernama ular naga. para ular datang bukan tanpa alasan, mereka ingin mengecap ilmu sang rajaâilmu penghidupan agar mereka bisa awet muda, berbisa, berubah menjadi manusia, dan berbagai ilmu lainnya.","nanging, dudu tegese dadi panganane sang raja. ula sing oleh ganjaran biasane nganggo jamang, lan anak turune sing dikorbanke bakal diuripke maneh nganggo ilmu panguripan, supaya bisa urip ing banyu kaya ula. sakwise oleh piwulang saka ula naga, manungsa-manungsa keturunan ula kuwi bakal malih. bisa mabur ing langit wujude kaya ula gedhe lan dawa, nganggo makutha, nduweni sikil, lan duwe swiwi. makhluk iki dijenengake ula tapak angin. saiki, ngapa kali-kali ora tau entek banyune"
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,6,"ular-ular itu melata berbondong-bondong, mengikuti jalur yang berkelok-kelok. bekas jejak mereka kemudian menjadi sungai. karena itulah, sungai-sungai berkelok-kelok, mengikuti jalan yang dilalui para ular.",ngene critane.
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,7,"namun, di antara mereka ada juga ular-ular nakal. mereka tidak sabar dan ingin mendahului kawan-kawannya. oleh sebab itu, selain berkelok-kelok, ada juga sungai yang bercabang-cabang. cabang-cabang sungai itu adalah bekas jalan ular-ular nakal yang ingin lebih dulu sampai ke dasar laut untuk menghadap rajanya.","ula-ula tapak angin kerep mabur nang endi-endi. merga padha mabur cedhak banget karo srengenge, mula padha kringeten. nah, kringete ula tapak angin kuwi sing banjur mudhun dadi udan. wektu udan mudhun banget deres nganti njalari banjir gedhe, para ula kuwi bakal teka menyang segara kanggo ngadhep rajane. dadi, bocah-bocah, nek kowe ora kepengin dadi ula tapak angin wektu banjir utawa udan deres, aja dolanan ing kali. bisa wae kowe kebawa arus lan digawa ngadhep raja naga ing dasar segara. sapa ngerti. kowe klebu anak turune ula."
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,8,"ular-ular yang tekun bertapa akan mendapatkan pahala dari rajanya. meskipun jelek rupanya, cacat badannya, atau kecil wujudnya, mereka tetap mendapat hadiah dari sang raja.",
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,9,"raja naga akan menurunkan semua ilmunya kepada ular yang berhasil lulus bertapa. biasanya, ular yang lulus dapat mendatangkan hujan, angin kencang, kilat dan halilintar, air bah, serta gempa bumi.",
Asal Mula Mengapa Sungai Berkelok-kelok,Jambi,10,"jalur yang dilalui oleh ular-ular yang mendapat pahala biasanya bersamaan dengan datangnya air bah. ketika mereka akan diterima oleh rajanya, mereka sering mempersembahkan upeti tanda bakti, yaitu anak cucu mereka yang sudah menjelma menjadi manusia.",
