judul,provinsi,id_teks,teks,referensi
Asal Mula Nama Banyuwangi,Jawa Timur,1,"pada suatu masa, ada sebuah kerajaan besar yang diperintah oleh raja sindureja. baginda memiliki seorang patih yang sangat setia bernama sidapaksa. sejak raja sindureja dibantu oleh patih sidapaksa, negara menjadi makmur, aman, tenteram, dan damai. patih sidapaksa menikah dengan seorang wanita cantik dari rakyat biasa. perempuan itu sangat baik hati, dan patih sidapaksa sangat menyayanginya.","ing jaman mbiyen, ana sawijining krajan gedhe sing dipimpin dening raja sindureja. baginda nduweni sawijining patih sing banget setya jenenge sidapaksa. wiwit raja sindureja dibantu dening patih sidapaksa, nagara dadi makmur, aman, tentrem, lan ayem. patih sidapaksa nikah karo sawijining wanita ayu saka rakyat biasa. wadon kuwi banget apikan atine, lan patih sidapaksa banget tresna marang bojone kuwi."
Asal Mula Nama Banyuwangi,Jawa Timur,2,"namun, ibu patih sidapaksa sangat membenci menantunya karena ia berasal dari kasta rendah. ibu patih sidapaksa berusaha untuk memisahkan mereka. ia pun menemukan sebuah cara untuk mencapai tujuannya. aku harus menghadap baginda sindureja. baginda akan kubujuk agar memberikan tugas berat kepada anakku. jika anakku pergi dalam waktu lama, aku bisa menyingkirkan perempuan itu, pikirnya.","nanging, ibune patih sidapaksa banget sengit karo mantune merga asale saka kasta rendahan. ibune patih sidapaksa nyoba kanggo misahke loro kuwi. dheweke nemokake cara kanggo nggayuh maksude. aku kudu ngadhep baginda sindureja. baginda bakal tak bujuk supaya maringi tugas abot marang anakku. yen anakku lunga suwe, aku isa nyingkirke wadon kuwi, pikire."
Asal Mula Nama Banyuwangi,Jawa Timur,3,"pada suatu pagi, ibu patih sidapaksa diam-diam menghadap baginda sindureja yang sedang duduk di pendapa istana. baginda menyambut kedatangan ibu patih sidapaksa dengan ramah. mari, ibu, silakan duduk, kata baginda.","ing sawijining esuk, ibune patih sidapaksa ndhelik-ngadhep baginda sindureja sing lagi lungguh ing pendhapa kraton. baginda nyambut rawuhe ibune patih sidapaksa kanthi ramah. monggo, ibu, silakna lungguh, kandha baginda."
Asal Mula Nama Banyuwangi,Jawa Timur,4,mengapa kakang patih sidapaksa tidak mengantarkan ibu tanya baginda.,napa kakang patih sidapaksa ora ngantar ibu takon baginda.
Asal Mula Nama Banyuwangi,Jawa Timur,5,"ya, semenjak sidapaksa menikahi perempuan itu, dia kurang perhatian padaku, jawab ibu patih sidapaksa dengan nada kecewa.","ya, wiwit sidapaksa nikah karo wadon kuwi, dheweke kurang perhatian marang aku, wangsul ibune patih sidapaksa kanthi swara kuciwa."
Asal Mula Nama Banyuwangi,Jawa Timur,6,"ya, ibu. ananda juga mengerti, karena kakang patih sidapaksa pengantin baru, kata baginda, berusaha menenangkan.","ya, ibu. ananda uga mangerteni, merga kakang patih sidapaksa penganten anyar, kandha baginda, nyoba nenangke."
Asal Mula Nama Banyuwangi,Jawa Timur,7,"sebenarnya, ibu datang ke istana ini ada keperluan apa tanya baginda.","saestune, ibu teka ing kraton iki ana perlu apa takon baginda."
Asal Mula Nama Banyuwangi,Jawa Timur,8,"ibu patih sidapaksa mulai bercerita tentang bunga ajaib yang ada di gunung ijen. bunga itu memiliki khasiat luar biasa, yaitu dapat membuat wanita tetap awet muda, ujarnya. raja sindureja, yang sangat memperhatikan penampilan permaisurinya, segera percaya pada perkataan ibu patih sidapaksa.","ibune patih sidapaksa mulai nyritakake bab kembang aji sing ana ing gunung ijen. kembang kuwi nduweni khasiat luar biasa, yaiku isa njaga awake wong wadon tetep enom, ujare. raja sindureja, sing banget merhatekake penampilan permaisurine, langsung percaya karo omongane ibune patih sidapaksa."
Asal Mula Nama Banyuwangi,Jawa Timur,9,"jika istriku memakan bunga itu, pasti dia akan tetap cantik dan awet muda, pikir raja sindureja. lalu, ibu patih sidapaksa berkata, baginda, anakku sidapaksa pasti bisa mencari bunga ajaib itu. suruhlah dia untuk mencarikannya.","yen bojoku mangan kembang kuwi, mesthi dheweke bakal tetep ayu lan awet enom, pikir raja sindureja. banjur, ibune patih sidapaksa ngomong, baginda, anakku sidapaksa mesthi isa nggoleki kembang aji kuwi. printahna dheweke kanggo nggolek kembang kuwi."
Asal Mula Nama Banyuwangi,Jawa Timur,10,"baginda sindureja yang tidak mengetahui niat jahat ibu patih sidapaksa setuju untuk memberikan tugas tersebut. keesokan harinya, patih sidapaksa menghadap raja sindureja. kakang patih sidapaksa, kata orang di puncak gunung ijen ada bunga ajaib. khasiatnya dapat membuat tubuh wanita tetap awet muda. carilah bunga itu agar permaisuri tetap awet muda, perintah baginda.","baginda sindureja sing ora ngerti niyat ala ibune patih sidapaksa sarujuk kanggo maringi tugas kuwi. esuke, patih sidapaksa ngadhep raja sindureja. kakang patih sidapaksa, miturut omongan wong, ing pucuk gunung ijen ana kembang aji. khasiate isa njaga awake wong wadon tetep enom. golekna kembang kuwi supaya permaisuri tetep enom, prentah baginda."
