judul,provinsi,id_teks,teks,referensi
Asal Mula Pancoran,DKI Jakarta,1,"dahulu kala, di antara hamparan tanah subur di antara jakarta dan bogor, berdiri sebuah kerajaan yang makmur dan damai. kerajaan ini dipimpin oleh seorang raja bijaksana dan adil. sang raja memiliki tiga orang putra yang berbakat dan hebat, yaitu pangeran jaya, pangeran suta, dan pangeran gerinda. kehidupan di istana selalu dipenuhi keceriaan hingga suatu hari segalanya berubah ketika sang raja memutuskan untuk memilih pewaris takhta.","mbiyen kala, ing antarane lahan subur ing antarane jakarta lan bogor, ngadeg sawijining karajan sing makmur lan tentrem. karajan kuwi dipimpin dening raja sing wicaksana lan adil. sang raja nduweni telung anak lanang sing pinter lan gagah, yaiku pangeran jaya, pangeran suta, lan pangeran gerinda. urip ing istana tansah kebak kabungahan nganti sawijining dina kabeh owah nalika sang raja mutusake milih pewaris takhta."
Asal Mula Pancoran,DKI Jakarta,2,"sesuai tradisi keluarga, hanya mereka yang berhasil menjalani ujian yang akan mewarisi takhta kerajaan, ujar sang raja dengan serius kepada ketiga putranya.","sesuai adat keluarga, mung sing bisa nglakoni ujian sing bakal warisi takhta karajan, ujare sang raja kanthi serius marang ketiga anake."
Asal Mula Pancoran,DKI Jakarta,3,"besok pagi, kalian harus meninggalkan istana dan memulai perjalanan ujian kalian.","sesuk esuk, kowe kabeh kudu ninggalake istana lan miwiti lelampahan ujianmu."
Asal Mula Pancoran,DKI Jakarta,4,"dengan tekad kuat, ketiga pangeran memulai perjalanan mereka. perjalanan tersebut membawa mereka melewati hutan lebat dan sungai yang tenang hingga akhirnya mereka tiba di sebuah sungai yang mempesona. setelah perjalanan yang melelahkan, mereka memutuskan untuk beristirahat dan mandi di sungai yang sejuk itu.","kanthi tekad sing kuat, ketiga pangeran miwiti lelampahane. lelampahan kuwi nggawa wong telu kuwi liwat alas lebat lan kali sing meneng nganti pungkasane tekan kali sing endah. sawise lelungan sing ngelakake awak, wong telu kuwi mutusake kanggo ngaso lan adus ing kali sing seger kuwi."
Asal Mula Pancoran,DKI Jakarta,5,"namun, saat mereka hendak berganti pakaian setelah mandi, perbedaan sikap di antara mereka mulai terlihat. pangeran jaya memilih untuk tetap mengenakan pakaian lamanya, sementara pangeran suta dan pangeran gerinda mengganti pakaian mereka dengan yang baru.","nanging, wektu arep ganti klambi sawise adus, sikape wong telu kuwi mulai katon beda. pangeran jaya milih tetep nganggo klambi lawase, dene pangeran suta lan pangeran gerinda ganti nganggo klambi anyar."
Asal Mula Pancoran,DKI Jakarta,6,"pangeran jaya, mengapa kau tidak mengganti pakaianmu tanya pangeran suta heran.","pangeran jaya, kok kowe ora ganti klambi pitakone pangeran suta karo heran."
Asal Mula Pancoran,DKI Jakarta,7,"aku hanya membawa beberapa potong pakaian, adikku. aku harus menghematnya, jawab pangeran jaya dengan lembut. maaf jika aku terlihat kumal di hadapan kalian.","aku mung nggawa sawatara klambi, adikku. aku kudu irit, wangsule pangeran jaya kanthi alus. nuwun sewu nek aku katon kumel ing ngarepmu."
Asal Mula Pancoran,DKI Jakarta,8,"meskipun kedua adiknya memaksa, pangeran jaya tetap teguh pada pendiriannya.","sanajan dipaksa karo loro adine, pangeran jaya tetep kukuh karo pendiriane."
Asal Mula Pancoran,DKI Jakarta,9,"mereka melanjutkan perjalanan hingga menemukan sebuah pancuran indah di tengah hutan. tanpa berpikir panjang, pangeran suta dan pangeran gerinda segera terjun ke dalam pancuran itu dan meminum airnya. namun, seketika setelah meminum air tersebut, kedua pangeran itu jatuh terkapar dan meninggal dunia di tempat.","wong telu kuwi nerusake lelampahan nganti nemokake sawijining pancuran endah ana ing tengah alas. tanpa mikir dawa, pangeran suta lan pangeran gerinda langsung nyemplung menyang pancuran kuwi lan ngombe banyune. nanging, sakwise ngombe banyu kuwi, loro pangeran mau langsung tiba lan mati ing panggonan."
Asal Mula Pancoran,DKI Jakarta,10,"pangeran jaya sangat sedih melihat kejadian itu. ia bahkan berpikir untuk ikut mati bersama kedua adiknya. namun, saat hendak meminum air pancuran tersebut, tiba-tiba sebuah suara misterius menghentikannya.","pangeran jaya sedhih banget weruh kedadeyan kuwi. dheweke nganti kepikiran pengin melu mati bareng loro adine. nanging, nalika arep ngombe banyu saka pancuran kuwi, dumadakan ana swara misterius sing ngendhegake."
