judul,provinsi,id_teks,teks,referensi
Asal Mula Pulau Nusa,Bali,1,"alkisah, pada zaman dahulu kala, hiduplah seorang laki-laki bernama nusa. ia tinggal bersama istri dan adik ipar laki-lakinya di sebuah kampung yang terletak di pinggir sungai kahayan, kalimantan tengah. pekerjaan sehari-hari nusa dan adik iparnya adalah bercocok tanam dan menangkap ikan di sungai kahayan.","alkisah, ing jaman mbiyen, ana sawijining wong lanang jenenge nusa. dheweke urip bareng bojone lan adhi ipar lanang ing sawijining kampung ing pinggir kali kahayan, kalimantan tengah. pakaryan saben dinane nusa lan adhi ipare yaiku tetanen lan mancing iwak ing kali kahayan."
Asal Mula Pulau Nusa,Bali,2,"pada suatu waktu, kemarau panjang melanda daerah tempat tinggal mereka. kelaparan terjadi di mana-mana. semua tanaman penduduk tidak dapat tumbuh dengan baik. tanaman padi menjadi layu, buah pisang menjadi kerdil, dan air sungai kahayan surut, sehingga ikan-ikan di sana pun semakin berkurang.","ing sawijining wektu, mangsa ketiga dawa nyerang daerah panggonane. kacilakan keluwen ana ngendi-endi. kabeh tetanduran warga ora isa thukul kanthi becik. tanduran pari dadi layu, woh gedhang dadi cilik, lan banyu kali kahayan nyusut, saengga iwak-iwak ing kono uga saya suda."
Asal Mula Pulau Nusa,Bali,3,"melihat kondisi tersebut, nusa bersama istri dan adik iparnya memutuskan untuk pindah ke sebuah dusun dengan harapan akan mendapatkan sumber penghidupan yang lebih baik. kalaupun tanaman singkong di kampung itu tidak ada, setidaknya tetumbuhan hutan masih dapat membantu mereka bertahan hidup.","merga kahanan kuwi, nusa bareng bojone lan adhi ipare mutusake pindhah menyang sawijining dusun kanthi pangarep-arep bakal nemu panguripan sing luwih becik. senajan tanduran kasela ing kampung kono ora ana, paling ora tetuwuhan alas isih isa mbantu kanggo urip."
Asal Mula Pulau Nusa,Bali,4,"setelah mempersiapkan bekal seadanya, berangkatlah mereka menuju dusun tersebut dengan menggunakan perahu. setelah tiga hari menyusuri sungai rungan, anak sungai kahayan, sampailah mereka di persimpangan sungai. namun, mereka tidak dapat melanjutkan perjalanan karena ada sebatang pohon besar yang tumbang dan melintang di tengah sungai. untuk melintasi sungai itu, mereka harus memotong pohon tersebut.","sakwise nyiapake bekal sakadarnya, budhale wong telu kuwi menyang dusun kuwi numpak perahu. sawise telung dina ngelusuri kali rungan, anake kali kahayan, tekane wong telu kuwi ing persimpangan kali. nanging, lelakone ora isa diterusake merga ana wit gedhe ambruk nglangkahi tengah kali. supaya isa nyebrang kali, kudu ngedeg wit kuwi."
Asal Mula Pulau Nusa,Bali,5,"akhirnya, nusa dan adik iparnya secara bergantian memotong pohon itu dengan menggunakan kapak. hingga sore, pohon itu belum juga terputus. perut mereka pun sudah mulai keroncongan, sementara bekal yang mereka bawa sudah habis. akhirnya, nusa memutuskan untuk pergi mencari makanan ke hutan di sekitar sungai itu.","akhire, nusa lan adhi ipare gantian ngedeg wit kuwi nganggo pacul. nganti sore, wit kuwi durung pecah uga. wetenge wis keroncongan, dene bekal sing digawa wis entek. akhire, nusa mutusake lunga golek panganan menyang alas ing sacedhake kali kuwi."
Asal Mula Pulau Nusa,Bali,6,"aku akan pergi mencari makanan di tengah hutan itu. kamu selesaikan saja pekerjaan ini, kata nusa kepada adik iparnya yang sedang memotong pohon itu.","aku arep lunga golek panganan ing tengah alas kuwi. kowe rampungna wae kerjaan iki, ujare nusa marang adhi ipare sing isih ngedeg wit kuwi."
Asal Mula Pulau Nusa,Bali,7,"baik, bang, jawab adik iparnya.","nggeh, bang, wangsule adhi ipare."
Asal Mula Pulau Nusa,Bali,8,"setelah berpamitan kepada istrinya, berangkatlah nusa ke tengah hutan. tidak lama kemudian, nusa sudah kembali membawa sebutir telur yang besarnya dua kali lipat telur angsa.","sawise pamitan karo bojone, nusa lunga menyang tengah alas. ora suwe, nusa bali karo nggawa sakbutir endhog gedhe kaping pindho saka endhog angsa."
Asal Mula Pulau Nusa,Bali,9,"hei, lihatlah aku membawa makanan enak untuk makan malam kita. dik, tolong rebus telur ini, pinta nusa kepada istrinya.","heh, deloken aku nggawa panganan enak kanggo mangan wengi. dik, tulung godhok endhog iki, jaluke nusa marang bojone."
Asal Mula Pulau Nusa,Bali,10,"maaf, bang. adik tidak mau, karena adik tahu telur binatang apa yang abang bawa itu, jawab istri nusa menolak.","nyuwun pangapunten, bang. adik ora gelem, merga adik ngerti endhog kewan apa sing abang gawan kuwi, wangsule bojone nusa."
Asal Mula Pulau Nusa,Bali,11,"ah, abang tidak peduli ini telur binatang apa. yang penting abang bisa kenyang. abang sudah tidak kuat lagi menahan lapar, kata nusa dengan nada ketus.","ah, abang ora perduli iki endhog kewan apa. sing penting abang bisa wareg. abang wis ora kuwat maneh nahan keluwen, ujare nusa karo nada nesu."
Asal Mula Pulau Nusa,Bali,12,"akhirnya, telur itu dimasak sendiri oleh nusa. hampir tengah malam, telur itu baru matang. ia pun membangunkan istri dan adik iparnya yang sudah terlelap tidur. namun, keduanya tidak mau memakan telur itu. akhirnya, telur itu dimakan sendiri oleh nusa sampai habis, sementara istri dan adik iparnya kembali melanjutkan tidurnya.","akhire, endhog kuwi dimasak dewe karo nusa. meh tengah wengi, endhog kuwi mateng. dheweke banjur mbangunke bojone lan adhi ipare sing wis turu lelap. nanging, loro-lorone ora gelem mangan endhog kuwi. akhire, endhog kuwi dipangan dewe karo nusa nganti entek, dene bojone lan adhi ipare bali nerusake turune."
Asal Mula Pulau Nusa,Bali,13,"keesokan harinya, alangkah terkejutnya nusa saat terbangun dari tidurnya. tubuhnya dipenuhi dengan bintil-bintil berwarna merah dan terasa sangat gatal. ia pun mulai panik dan kemudian menyuruh istri dan adik iparnya untuk membantu menggaruk tubuhnya. namun anehnya, semakin digaruk tubuhnya, semakin terasa gatal dan perih.","esuke, nusa kaget banget nalika tangi saka turune. awake kebak bintil-bintil abang lan krasa gatel banget. dheweke banjur panik lan nyuwun bojone lan adhi ipare kanggo mbantu nggaruki awake. nanging anehe, saya digaruk saya gatel lan perih."
