judul,provinsi,id_teks,teks,referensi
Asal Mula Tanjung Lesung,Banten,1,"alkisah, hiduplah seorang pengembara bernama raden budog, yang dipercaya berasal dari laut selatan. suatu malam, raden budog bermimpi bertemu dengan seorang gadis yang sangat cantik. ia begitu terpesona oleh gadis itu hingga memutuskan untuk mengembara mencarinya.","alkisah, urip sawijining pengembara jenenge raden budog, sing dipercaya asale saka laut kidul. ing sawijining wengi, raden budog ngimpi ketemu karo sawijining prawan sing ayu banget. dheweke kagum banget karo prawan kuwi nganthi mutusake kanggo ngumbara nggoleki."
Asal Mula Tanjung Lesung,Banten,2,"dengan menunggangi kuda kesayangannya dan ditemani seekor anjing, ia berangkat menuju arah utara. dalam perjalanannya, raden budog tiba di gunung walang, namun pelana kudanya robek, sehingga ia harus melanjutkan perjalanan dengan menuntun kuda. mereka akhirnya tiba di pantai cawar, tempat ia memutuskan untuk mandi dan beristirahat.","kanthi numpak jaran kesayangane lan dikancai siji asu, dheweke budhal menyang arah lor. ing lelampahane, raden budog tekan gunung walang, nanging pelana jarane rusak, mula dheweke kudu nerusake lelampahan kanthi nuntun jarane. akhire, padha tekan ing pantai cawar, panggonan sing dipilih kanggo adus lan ngaso."
Asal Mula Tanjung Lesung,Banten,3,"setelah mandi, raden budog bersiap melanjutkan perjalanan. namun, kuda dan anjingnya menolak bergerak. meskipun ia berulang kali memerintah mereka, kedua hewan itu tetap diam. marah, raden budog mengutuk kuda dan anjingnya menjadi batu karang. kutukannya menjadi kenyataan, dan kedua hewan itu berubah menjadi batu karang yang diam membisu di pantai cawar.","sawise adus, raden budog siap nerusake lelampahan. nanging, jaran lan asune ora gelem obah. sanajan wis bola-bali diprentah, loro kewan kuwi tetep meneng. amarahe njeblug, raden budog ngutuk jaran lan asune dadi watu karang. kutukane dadi nyata, lan loro kewan kuwi malih dadi watu karang sing meneng ing pantai cawar."
Asal Mula Tanjung Lesung,Banten,4,"raden budog melanjutkan perjalanannya dengan berjalan kaki. ia melewati berbagai rintangan hingga tiba di sebuah desa setelah menyeberangi sungai yang sedang meluap. di desa itu, tinggallah seorang janda bernama nyi siti bersama putrinya yang cantik jelita, sri poh haci.","raden budog nerusake lelampahane kanthi mlaku sikil. dheweke ngeliwati macem-macem rintangan nganti tekan ing sawijining desa sawise nyebrang kali sing lagi banjir. ing desa kuwi, ana sawijining randha jenenge nyi siti sing urip bareng karo putrine sing ayu banget, sri poh haci."
Asal Mula Tanjung Lesung,Banten,5,"sri poh haci dikenal karena kebiasaannya menumbuk padi menggunakan antan dan lesung. suara tumbukan itu menciptakan irama yang merdu, sehingga menarik perhatian anak-anak perempuan desa untuk ikut menumbuk padi bersamanya. mereka menamai permainan itu ngagondang. namun, desa tersebut memiliki pantangan: ngagondang tidak boleh dilakukan pada hari jumat, yang dianggap sebagai hari keramat.","sri poh haci misuwur amarga kabiasaane ngethok pari nganggo antan lan lesung. swara tumbukane marakake irama sing merdu, nganti narik kawigaten anak-anak wadon desa kanggo melu ngethok pari bareng. wong-wong jenengake dolanan kuwi ngagondang. nanging, desa kuwi nduweni pantangan: ngagondang ora kena dilakoni dina jemuwah, sing dianggep dina keramat."
Asal Mula Tanjung Lesung,Banten,6,"ketika raden budog tiba di desa itu, ia mendengar suara permainan ngagondang dan mendekatinya. ia terpesona melihat sri poh haci, yang wajahnya sangat mirip dengan gadis dalam mimpinya. raden budog pun mendatangi rumah sri poh haci, menyatakan cinta, dan melamarnya. lamaran itu diterima, dan mereka menikah dengan sederhana, disaksikan oleh seluruh warga desa.","nalika raden budog tekan desa kuwi, dheweke krungu swara dolanan ngagondang lan ndeketi. dheweke kagum ndelok sri poh haci, sing raie mirip banget karo prawan ing impene. raden budog banjur marani omahe sri poh haci, nyatakake tresna, lan ngelamar. lamaran kuwi ditampa, lan padha rabi kanthi prasaja, disekseni dening sakabehe warga desa."
Asal Mula Tanjung Lesung,Banten,7,"setelah menikah, raden budog ikut bermain ngagondang bersama sri poh haci. ia sangat menyukai permainan itu hingga lupa waktu, meskipun telah diperingatkan oleh istrinya, mertuanya, dan sesepuh desa untuk tidak bermain ngagondang pada hari jumat.","sawise nikah, raden budog melu dolanan ngagondang bareng sri poh haci. dheweke seneng banget dolanan kuwi nganthi lali wektu, senajan wis dipengeni karo bojone, mertuane, lan para sepuh desa supaya ora dolanan ngagondang dina jemuwah."
Asal Mula Tanjung Lesung,Banten,8,"namun, raden budog keras kepala. pada suatu hari jumat, ia tetap bermain ngagondang meski hanya sendirian. ia bahkan melompat-lompat penuh semangat, berharap orang-orang datang dan bermain bersamanya. namun, kejadian aneh pun terjadi.","nanging, raden budog keras sirah. ing sawijining dina jemuwah, dheweke tetep dolanan ngagondang senajan mung dhewekan. dheweke nganti mlumpat-mlumpat semangat, muga-muga ana wong teka lan melu dolanan bareng. nanging, kedadian aneh kelakon."
Asal Mula Tanjung Lesung,Banten,9,"anak-anak desa yang melihat raden budog bermain berteriak, ada lutung bermain lesung ada lutung bermain lesung","anak-anak desa sing ndelok raden budog dolanan podo bengok, ana lutung dolanan lesung ana lutung dolanan lesung"
Asal Mula Tanjung Lesung,Banten,10,"raden budog, yang tidak sadar dirinya telah berubah menjadi seekor lutung, terus bermain dengan semangat. ketika akhirnya ia memperhatikan tubuhnya, ia terkejut melihat tangan, kaki, dan wajahnya dipenuhi bulu hitam seperti seekor lutung. bahkan, ia mendapati ekor panjang tumbuh di bagian belakang tubuhnya.","raden budog, sing durung nyadar yen dheweke wis malih dadi seekor lutung, tetep dolanan kanthi semangat. nalika pungkasane ndelok awake dhewe, dheweke kaget weruh tangan, sikil, lan raie kebak bulu ireng kaya lutung. malah, dheweke nemokake buntut dawa tuwuh ing mburi awake."
