judul,provinsi,id_teks,teks,referensi
Asal Mula Terbentuknya Danau Batur,Bali,1,"pada zaman dahulu, hiduplah sepasang suami istri di sebuah desa kecil di bali. mereka menjalani kehidupan rumah tangga yang bahagia, tetapi kebahagiaan mereka terasa kurang lengkap karena belum dikaruniai seorang anak. setiap hari mereka berdoa kepada tuhan agar diberikan seorang anak.","ing jaman mbiyen, ana sepasang bojo sing manggon ing sawijining desa cilik ing bali. urip omah tanggane rukun lan bahagia, nanging rasa bahagia kuwi rumangsa durung lengkap merga durung nduwe anak. saben dina, wong loro kuwi ndongakake marang gusti supaya diparingi anak."
Asal Mula Terbentuknya Danau Batur,Bali,2,"suamiku, aku sangat mendambakan seorang anak kecil. aku ingin sekali merawat dan membesarkan bayi, ujar sang istri dengan sedih.","mas, aku kuwi kepengin banget nduwe anak cilik. aku kepengin ngopeni lan nggedhekake bayi, ujare bojone karo sedhih."
Asal Mula Terbentuknya Danau Batur,Bali,3,"mari kita bersabar dan terus berdoa, istriku. semoga tuhan segera mengabulkan doa kita, jawab suaminya menenangkan.","sabara dhisik, ya, dik. ayo terus ndonga. muga-muga gusti enggal paring jawaban saka donga kita, wangsulane bojone karo nenangake."
Asal Mula Terbentuknya Danau Batur,Bali,4,"doa mereka akhirnya terkabul. sang istri mengandung dan melahirkan seorang bayi laki-laki. namun, bayi tersebut tumbuh dengan sangat cepat dan memiliki nafsu makan yang luar biasa besar, setara dengan pria dewasa. seiring waktu, bayi itu tumbuh menjadi seorang anak dengan tubuh yang sangat besar. karena tubuhnya yang besar, ia dijuluki kebo iwa, yang berarti paman kerbau.","akhire dongane dikabulake. bojone ngandhut lan nglairake bayi lanang. nanging, bayi kuwi gedhee cepet banget lan duwe napsu mangan sing luar biasa gedhe, kaya wong diwasa. suwene wektu, bayi kuwi dadi bocah sing awake gedhe banget. amarga gedhene kuwi, dheweke dijuluki kebo iwa, sing tegese âpaman kebon sapiâ."
Asal Mula Terbentuknya Danau Batur,Bali,5,"kebo iwa terus tumbuh menjadi semakin besar, begitu pula nafsu makannya yang terus meningkat. dalam sehari, ia bisa makan setara dengan seratus porsi makanan orang dewasa. hal ini membuat kedua orang tuanya kewalahan memenuhi kebutuhannya.","kebo iwa terus tuwuh dadi luwih gedhe, lan napsu mangane uga saya nambah. saben dina, dheweke isa mangan nganti podo karo atusan porsi mangane wong diwasa. kuwi ndadekake wong tuwane kewalahan nyukupi kabutuhan pangane."
Asal Mula Terbentuknya Danau Batur,Bali,6,"jika kebo iwa tidak mendapat cukup makanan, ia akan marah besar dan merusak apa saja yang ditemuinya, termasuk rumah penduduk dan tempat ibadah. hal ini membuat para warga merasa takut.","yen kebo iwa ora entuk mangan cukup, dheweke bakal nesu gedhe lan ngrusak sembarang sing ditemoni, klebu omahe warga lan panggonan ibadah. kuwi ndadekake warga dadi wedi."
Asal Mula Terbentuknya Danau Batur,Bali,7,"namun, ketika perutnya kenyang, kebo iwa berubah menjadi sosok yang baik hati. ia sering membantu warga mengerjakan pekerjaan berat seperti meratakan tanah, membendung sungai, dan mengangkut batu. sebagai imbalannya, warga memberikan makanan lezat untuknya.","nanging, yen wetenge wareg, kebo iwa dadi wong sing apikan. dheweke kerep nulungi warga ngerjakake gawean abot kaya ndandani lemah, mbendung kali, lan ngangkut watu. warga banjur ngasih panganan enak kanggo balasane."
Asal Mula Terbentuknya Danau Batur,Bali,8,"ketika musim paceklik tiba, warga mulai kesulitan menyediakan makanan untuk kebo iwa. bahkan kedua orang tuanya pun tidak sanggup lagi memenuhi kebutuhan makannya. namun, kebo iwa tidak peduli dan tetap memaksa warga memberinya makan.","nalika mangsa paceklik teka, warga wiwit kesusahan nyedhiyakake panganan kanggo kebo iwa. malah wong tuwane dhewe uga wis ora kuat nyukupi kebutuhan pangane. nanging, kebo iwa ora perduli lan tetep maksa warga nyedhiyakake panganan kanggo dheweke."
Asal Mula Terbentuknya Danau Batur,Bali,9,"para warga, yang sudah kewalahan, mengadakan pertemuan di rumah kepala desa untuk mencari solusi. salah seorang warga mengusulkan rencana jebakan:",warga-warga sing wis kewalahan banjur ngadani rapat ing omahe kepala desa kanggo golek solusi. salah siji warga ngusulake rencana jebakan:
Asal Mula Terbentuknya Danau Batur,Bali,10,"kita kumpulkan makanan yang banyak untuknya, lalu kita suruh dia menggali sumur yang dalam. ketika sumur itu cukup dalam, kita akan menjebaknya dengan batu kapur, usul warga tersebut.","ayo nglumpukake panganan sing akeh kanggo dheweke, banjur nyuruh dheweke kanggo ngeduk sumur sing jero. yen sumur kuwi wis cukup jero, kita jebak nganggo watu kapur, usule warga kuwi."
