judul,provinsi,id_teks,teks,referensi
Asal Usul dan Kisah Putri Owutango,Gorontalo,1,"alkisah, terdapat seorang pemuda bernama putra zulkarnain yang pergi mengail di pantai ternate. saat itu, kailnya tersangkut pada sehelai rambut yang panjangnya tujuh depa. dengan penuh keheranan, ia memungut rambut itu dan membawanya kepada ayah dan ibunya.","alkisah, ana sawijining nom-noman jenenge putra zulkarnain sing lunga mancing ing pantai ternate. wektu kuwi, kaile nyangkut ana ing sakhelai rambut sing dawane pitu depa. kanthi rasa heran, dheweke njupuk rambut kuwi lan nggawa menyang bapak lan ibune."
Asal Usul dan Kisah Putri Owutango,Gorontalo,2,raja kemudian memerintahkan untuk memukul canang guna memberitahukan kepada seluruh penduduk negeri ternate agar mencari pemilik rambut tujuh depa tersebut. raja berjanji bahwa siapa pun yang menemukan pemilik rambut itu akan dinaikkan pangkatnya.,raja banjur dhawuh supaya mukul canang kanggo ngandhani kabeh rakyat nagara ternate supaya nggoleki sapa sing nduweni rambut pitu depa kuwi. raja janji yen sapa wae sing nemokake sing nduweni rambut kuwi bakal diangkat pangkate.
Asal Usul dan Kisah Putri Owutango,Gorontalo,3,"seluruh wanita di ternate diperiksa rambutnya, namun tidak ada seorang pun yang memiliki rambut sepanjang itu. akhirnya, dipanggillah para ahli nujum untuk mengetahui siapa pemilik rambut tersebut. salah satu ahli nujum menghadap raja dan berkata, ampun, tuanku. adapun pemilik rambut panjang ini adalah putri siendeng, dan dia-lah yang kelak akan menjadi permaisuri putra tuanku.","kabeh wanita ing ternate dipriksa rambute, nanging ora ana siji wae sing nduweni rambut dawane kaya ngono. akhire, dipanggil para ahli nujum kanggo mangerteni sapa nduweni rambut kuwi. salah siji ahli nujum sowan raja lan kandha, ampun, tuanku. adapun sing nduweni rambut dawa iki ya putri siendeng, lan dheweke kuwi sing bakal dadi permaisuri putra tuanku."
Asal Usul dan Kisah Putri Owutango,Gorontalo,4,"mendengar hal itu, raja dan permaisuri merasa masgul memikirkan putra mereka yang semata wayang harus pergi meninggalkan ternate. namun, mereka tetap mempersiapkan segala perlengkapan yang dibutuhkan oleh putra zulkarnain untuk berlayar mencari wanita pemilik rambut tujuh depa tersebut.","krungu kuwi, raja lan permaisuri rumangsa sedhih mikirake putrane siji-sijine kudu ninggalake ternate. nanging, kabeh tetep nyiapkake kabeh peralatan sing dibutuhkake putra zulkarnain kanggo layar nggoleki wanita sing nduweni rambut pitu depa kuwi."
Asal Usul dan Kisah Putri Owutango,Gorontalo,5,"mereka menyiapkan empat buah perahu. perahu pertama diisi dengan berbagai macam makanan dan air, perahu kedua diisi dengan emas dan perak, perahu ketiga diisi dengan berbagai macam senjata dan obat-obatan, sedangkan perahu keempat digunakan oleh putra zulkarnain bersama para pengiringnya.","dheweke nyiapke papat prau. prau pisanan diisi panganan lan banyu, prau kapindho diisi emas lan perak, prau katelu diisi macem-macem gaman lan obat-obatan, dene prau kapapat kanggo putra zulkarnain lan para pangiringe."
Asal Usul dan Kisah Putri Owutango,Gorontalo,6,"setelah semuanya siap, mereka berangkat menuju arah matahari terbenam. dengan takdir allah swt, tiga bulan kemudian mereka terdampar di sebuah pantai. mereka segera membunyikan meriam, yang suaranya terdengar oleh raja negeri tersebut.","sawise kabeh siap, padha mangkat menyang arah srengenge surup. kanthi takdir allah swt, telung wulan sawise kuwi, padha kesasar ing sawijining pantai. dheweke langsung mbunyeni meriam, lan swarane krungu dening raja ing nagara kuwi."
Asal Usul dan Kisah Putri Owutango,Gorontalo,7,"tak lama kemudian, seorang syahbandar bernama djamali menemui mereka dan bertanya, siapakah yang berani membunyikan meriam tanpa seizin raja siendeng","ora suwi, ana sawijining syahbandar jenenge djamali nemoni lan takon, sapa sing wani mbunyeni meriam tanpa ijine raja siendeng"
Asal Usul dan Kisah Putri Owutango,Gorontalo,8,"putra zulkarnain menjawab, aku adalah putra mahkota sultan ternate. aku datang mencari seseorang yang memiliki rambut sepanjang tujuh depa, seperti yang sekarang ada padaku.","putra zulkarnain njawab, aku iki putra mahkota sultan ternate. aku teka nggoleki wong sing nduweni rambut dawane pitu depa, kaya sing saiki tak gendhong iki."
Asal Usul dan Kisah Putri Owutango,Gorontalo,9,"djamali tersenyum dan berkata, sudah ketemu ruas dengan buku. putri raja siendeng memang memiliki rambut sepanjang tujuh depa, tetapi saat ini beliau sedang sakit. hamba mendapat perintah untuk mencari obat berupa ikan kalang yang bunting.","djamali mesem lan kandha, wes pas. putri raja siendeng pancen nduweni rambut dawane pitu depa, nanging saiki lagi lara. kula diparentah golek obat saka iwak kalang sing ngandhut."
Asal Usul dan Kisah Putri Owutango,Gorontalo,10,"mendengar hal itu, putra zulkarnain berkata, masalah obat itu jangan dipikirkan. marilah kita mencarinya bersama-sama.","krungu kuwi, putra zulkarnain kandha, masalah obat kuwi ora usah dipikir. ayo padha nggoleki bareng-bareng."
Asal Usul dan Kisah Putri Owutango,Gorontalo,11,mereka pun mencari obat tersebut hingga menemukannya. djamali merasa sangat senang dan membawa putra zulkarnain tinggal di rumahnya. djamali menyerahkan obat itu kepada raja siendeng dan menceritakan tentang keberadaan putra mahkota ternate.,padha nggoleki obat kuwi nganti ketemu. djamali rumangsa bungah banget lan nggawa putra zulkarnain manggon ing omahe. djamali masrahke obat kuwi menyang raja siendeng lan nyritakake bab putra mahkota ternate.
Asal Usul dan Kisah Putri Owutango,Gorontalo,12,"raja siendeng pun memerintahkan, jika benar dia adalah putra mahkota zulkarnain, persilakan beliau dan para pengiringnya tinggal di istana. namun, putra zulkarnain lebih senang tinggal bersama djamali.","raja siendeng banjur dhawuh, yen pancen dheweke putra mahkota zulkarnain, paringake dheweke lan para pangiringe manggon ing istana. nanging, putra zulkarnain luwih seneng manggon karo djamali."
Asal Usul dan Kisah Putri Owutango,Gorontalo,13,"kemudian, di istana diadakan pertandingan sepak takraw, dengan syarat siapa pun yang berhasil menempatkan bola di pangkuan putri siendeng akan menikahinya dan diangkat menjadi pengganti raja. semua pemuda di negeri tersebut telah mencoba, tetapi tidak ada yang berhasil.","sawise kuwi, ana pertandingan sepak takraw ing istana, kanthi syarat sapa wae sing bisa nyelehke bal ing pangkuane putri siendeng bakal nikah karo dheweke lan diangkat dadi raja."
Asal Usul dan Kisah Putri Owutango,Gorontalo,14,"mendengar hal itu, putra zulkarnain meminta djamali untuk menyediakan ijuk pohon enau. dengan ijuk tersebut, ia membuat tali dan melilitkan ke seluruh tubuhnya, kecuali pada matanya.","kabeh nom-noman ing nagara kuwi wis nyoba, nanging ora ana sing bisa. krungu kuwi, putra zulkarnain nyuwun djamali nyedhiyakake ijuk wit aren. saka ijuk kuwi, dheweke nggawe tali lan digulungi ing sak awake, kecuali ing mripate."
