judul,provinsi,id_teks,teks,referensi
Asal Usul Girilawungan,Jawa Barat,1,"pada zaman dahulu, di daerah majalengka, jawa barat, berdirilah sebuah kerajaan kecil bernama kerajaan giri. kerajaan ini dipimpin oleh raja giri layang dan adiknya, putri giri larang, yang masih keturunan kerajaan pajajaran. raja giri layang memimpin dengan bijaksana dan adil sehingga rakyat hidup makmur.","ing jaman mbiyen, nang dhaerah majalengka, jawa barat, ngadeg sawijining karajan cilik jenenge karajan giri. karajan iki dipimpin dening raja giri layang lan adhine, putri giri larang, sing isih keturunan karajan pajajaran. raja giri layang mimpin kanthi wicaksana lan adil nganthi rakyate urip makmur."
Asal Usul Girilawungan,Jawa Barat,2,"raja giri layang sangat mengutamakan pertanian untuk meningkatkan kesejahteraan rakyat. ia menunjuk patih endang capang sebagai tangan kanannya untuk memberikan penerangan tentang cara bertani yang baik, termasuk pemupukan, pengairan, dan pembukaan lahan baru. hasilnya, pangan di kerajaan giri berlimpah.","raja giri layang banget ngutamakake pertanian kanggo ningkatke kesejahteraan rakyat. dheweke nunjuk patih endang capang dadi tangan tengene kanggo maringi penerangan bab cara bertani sing apik, kalebu pemupukan, pengairan, lan mbukak lahan anyar. asile, pangan nang karajan giri dadi melimpah."
Asal Usul Girilawungan,Jawa Barat,3,"penduduk kerajaan menggunakan sistem barter dalam perdagangan, dengan batok kelapa atau ruas bambu sebagai alat ukur. rumah penduduk diterangi pelita berbahan minyak dari biji kenari, keliki, atau jarak. kehidupan di kerajaan berjalan damai, dengan musik seperti gambang dan seruling sering terdengar setiap sore.","warga karajan nganggo sistem barter kanggo dagang, nganggo batok klapa utawa ruas pring dadi alat ukur. omah-omahe warga diterangi nganggo pelita saka minyak biji kenari, keliki, utawa jarak. urip nang karajan lumaku tentrem, musik kaya gambang lan seruling kerep krungu saben sore."
Asal Usul Girilawungan,Jawa Barat,4,"suatu hari, putri giri larang menghadap kakaknya, raja giri layang.","sawijining dina, putri giri larang ngadhep marang kakange, raja giri layang."
Asal Usul Girilawungan,Jawa Barat,5,"kakanda, adinda ingin pergi merantau untuk mencari ilmu kesaktian agar dapat membantu kakanda lebih baik dalam mengurus kerajaan, kata putri giri larang.","kakanda, adinda pengin lunga ngembara golek ilmu kasakten supaya isa mbantu kakanda ngurus karajan luwih apik, ujare putri giri larang."
Asal Usul Girilawungan,Jawa Barat,6,"raja giri layang awalnya khawatir, tetapi akhirnya mengizinkan adiknya merantau dengan beberapa pesan:","raja giri layang sakdurunge kuwatir, nanging akhire ngidini adhine lunga karo sawetara pesen:"
Asal Usul Girilawungan,Jawa Barat,7,membawa air dari sumur sudajaya.,nggawa banyu saka sumur sudajaya.
Asal Usul Girilawungan,Jawa Barat,8,"tidak melewati perbatasan kerajaan, karena kesaktiannya akan hilang.","aja nganti nyabrang wates karajan, merga kasaktianne isa ilang."
Asal Usul Girilawungan,Jawa Barat,9,"putri giri larang pun memulai perjalanannya. ia melewati gunung, lembah, hutan belantara, dan tebing yang curam hingga tiba di sebuah telaga indah di tengah hutan. telaga itu ternyata milik kerajaan majapahit, yang digunakan raja untuk berburu dan bersantai.","putri giri larang banjur miwiti lelampahane. dheweke liwat gunung, lembah, alas angker, lan tebing curam nganthi tekan sawijining telaga sing ayu nang tengah alas. telaga kuwi kagolong kagungane karajan majapahit, sing biasane dienggo raja kanggo mburu lan ngendhog."
Asal Usul Girilawungan,Jawa Barat,10,"saat putri giri larang sedang membersihkan diri di telaga, seorang patih dari kerajaan majapahit melihatnya. ia terpesona dengan kecantikan sang putri dan mencuri selendangnya untuk membawanya ke majapahit.","wektu putri giri larang resik-resik awak nang telaga, sawijining patih karajan majapahit weruh dheweke. patih kuwi kepincut karo ayune sang putri lan nyolong selendhange kanggo nyulik sang putri menyang majapahit."
Asal Usul Girilawungan,Jawa Barat,11,"wahai putri cantik, raja kami belum memiliki istri. hendaknya engkau bersedia menjadi permaisuri beliau. jika ingin selendangmu kembali, ikutilah aku, kata sang patih.","wahai putri ayu, raja kawe ora nduwe garwa. aja nganti kowe gelem dadi permaisurine. yen pengin selendhangmu bali, melua aku, ujare sang patih."
Asal Usul Girilawungan,Jawa Barat,12,"putri giri larang marah dan mengejar patih itu. namun, sang patih dengan kesaktiannya berhasil membawa sang putri melewati perbatasan, sehingga putri giri larang kehilangan kesaktiannya.","putri giri larang nesu lan ngejar patih kuwi. nanging, sang patih nganggo kasaktene iso nyebrangi wates karajan, dadi putri giri larang kelangan kasaktene."
Asal Usul Girilawungan,Jawa Barat,13,"di kerajaan majapahit, raja sangat terpesona oleh kecantikan putri giri larang dan memintanya menjadi permaisuri.","nang karajan majapahit, sang raja kepincut banget karo ayune putri giri larang lan njaluk dheweke dadi permaisuri."
Asal Usul Girilawungan,Jawa Barat,14,"aku akan mengembalikan selendangmu jika engkau bersedia menjadi istriku, kata raja majapahit.","aku bakal mbalekake selendhangmu yen kowe gelem dadi garwaku, ujare raja majapahit."
Asal Usul Girilawungan,Jawa Barat,15,putri giri larang tidak punya pilihan karena tubuhnya lemah tanpa kesaktiannya. ia setuju dengan syarat:,putri giri larang ora nduwe pilihan merga awake dadi lemes tanpa kasaktianne. dheweke setuju karo syarat:
