judul,provinsi,id_teks,teks,referensi
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,1,"pada zaman dahulu, di sebuah talang atau ladang yang dihuni oleh keturunan orang rambang, masyarakat hidup dengan damai dan tentram. mereka menggantungkan hidup dari bertani, dan kebutuhan seperti buah-buahan serta kayu bakar tersedia melimpah dari hutan di sekitar talang. setiap hari, mereka masuk dan keluar hutan tanpa rasa takut, menikmati hasil alam tanpa gangguan.","mbiyen kala, ana ing sawijining talang utawa padang kang dienggoni keturunane wong rambang, masyarakate urip tentrem lan ayem. padha nguripi awake saka tetanen, dene kabutuhan kaya woh-wohan lan kayu bakar akeh kasedhiya saka alas ing sakupenge talang. saben dina, padha mlebu metu alas tanpa wedi, ngeresiki asil alam tanpa gangguan."
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,2,"namun, ketentraman itu tidak berlangsung lama. suatu hari, masyarakat menemukan sesosok mayat dengan luka bekas cengkraman dan gigitan binatang buas. mereka kebingungan, tidak mengetahui binatang apa yang telah mencabut nyawa manusia tersebut. setelah mengurus jenazah, kehidupan berjalan seperti biasa, namun tanpa disadari, jumlah orang yang masuk hutan dan kembali ke desa mulai berkurang. setiap hari, ada saja orang yang hilang tanpa jejak, membuat masyarakat dicekam ketakutan.","nanging, ketentreman kuwi ora suwe suwene. ing sawijining dina, masyarakat nemokake mayit karo tatu bekas cengkeraman lan cokotan kewan galak. wong-wong padha bingung, ora ngerti kewan apa sing mateni manungsa kuwi. sawise ngurus mayit, urip terus lumaku kaya biasane, nanging tanpa disadari, wong-wong sing mlebu alas lan bali menyang desa saya sithik. saben dina ana wae wong sing ilang tanpa tilas, ndadekake masyarakat dicekam rasa wedi."
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,3,"setelah beberapa insiden, masyarakat memutuskan untuk bermusyawarah. mereka sepakat untuk berjaga malam demi menenangkan penduduk dan menjaga satu sama lain ketika masuk ke hutan. namun, upaya tersebut tidak membawa hasil. orang-orang tetap hilang, bahkan tidak ada yang kembali dengan selamat setelah masuk hutan. ketakutan merajalela, persediaan kayu bakar menipis, dan masyarakat mulai membakar perabot rumah untuk memasak. situasi semakin memburuk.","sawise sawetara kedadeyan, masyarakat mutusake kanggo rembugan bebarengan. padha sarujuk supaya jaga bengi, supaya warga krasa ayem lan bisa saling nglindhungi nalika mlebu alas. nanging, upaya kuwi ora marakake asil. wong-wong tetep ilang, malah ora ana sing bali kanthi slamet sawise mlebu alas. wedi saya nyebar, stok kayu bakar saya entek, nganti masyarakat kudu ngobong perabot omah kanggo masak. kahanan saya parah."
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,4,"berita ketakutan masyarakat sampai ke telinga adipati ratu, seorang pemimpin yang bijaksana dan bertanggung jawab. dengan penuh amarah, adipati ratu mendatangi desa tersebut untuk mencari tahu penyebab masalah ini. setelah diselidiki, diketahui bahwa penyebabnya adalah seekor harimau jadi-jadian yang memiliki kesaktian luar biasa.","kabar rasa wedi masyarakat tekan kupinge adipati ratu, sawijining pemimpin kang bijaksana lan tanggung jawab. kanthi nesu, adipati ratu teka menyang desa kuwi kanggo nyidik penyebab masalahe. sawise diselidiki, ketahuan yen sing nyebabake kuwi harimau jadi-jadian kang nduwe kasakten luar biasa."
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,5,"sebagai seorang pemimpin, adipati ratu merasa bertanggung jawab untuk mengembalikan ketentraman masyarakat. ia masuk ke hutan bersama beberapa orang untuk mencari harimau tersebut. setelah beberapa hari, adipati ratu akhirnya menemukan harimau itu, dan pertarungan sengit pun terjadi. pertarungan berlangsung selama dua hari dua malam tanpa ada yang menyerah.","minangka pemimpin, adipati ratu ngrasa tanggung jawab kanggo mbalekake ketentreman. dheweke mlebu alas bareng sawetara wong kanggo nggoleki harimau kuwi. sawise sawetara dina, adipati ratu pungkasane nemokake harimau kuwi, lan pertarungan sengit pun lumaku. gelute berlangsung rong dina rong bengi tanpa ana sing nyerah."
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,6,"dalam kelelahan, adipati ratu berkata kepada harimau, makanlah aku sebagai pengganti rakyatku. jika aku mati, kau boleh melanjutkan memakan manusia. tapi jika aku selamat, kau tidak boleh lagi memangsa keturunanku, keturunan rambang.","nalika wis padha kesel, adipati ratu ngomong marang harimau, âmangsaa aku dadi gantine rakyatku. yen aku mati, kowe oleh nerusake mangan manungsa. nanging yen aku slamet, kowe ora oleh ngganggu keturunanku, keturunane wong rambang.â"
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,7,"harimau yang merasa yakin akan kesaktiannya menyetujui syarat tersebut. dengan buas, harimau menerkam dan mengoyak tubuh adipati ratu hingga hancur, lalu menelannya bulat-bulat. namun, keanehan terjadi. dari tubuh harimau, adipati ratu muncul kembali, utuh tanpa luka sedikit pun.","harimau kang yakin karo kasaktene nyetujui syarat kuwi. kanthi buas, harimau nyerang lan nyoyak awake adipati ratu nganti ajur, banjur nelan sak wutuhe. nanging, aneh tenan, saka awake harimau, adipati ratu metu maneh kanthi utuh lan tanpa tatu setitik wae."
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,8,"harimau mencoba lagi untuk menghabisi adipati ratu, tetapi kejadian yang sama terus berulang hingga harimau kehilangan tenaga dan menyerah. aku mengaku kalah, adipati ratu. aku dan seluruh jenisku tidak akan mengganggu keturunanmu lagi. jika kau izinkan, aku ingin mengabdikan hidupku untukmu, kata harimau.","harimau nyoba maneh mateni adipati ratu, nanging kedadeyan kuwi terus balen nganti harimau entek tenaga lan nyerah. âaku ngakoni kalah, adipati ratu. aku lan sak jeniske ora bakal ngganggu keturunanmu maneh. yen panjenengan kersa, aku kepengin ngabdi marang panjenengan,â ujare harimau."
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,9,"adipati ratu menjawab, baiklah, aku izinkan kau mengikutiku, tetapi jangan menampakkan dirimu di hadapan orang lain agar mereka tidak ketakutan.","adipati ratu njawab, âya wis, aku ngidini kowe ngancik aku, nanging aja nganti nuduhake wujudmu nang ngarepe wong liya supaya ora padha wedi.â"
Asal Usul Harimau Tidak Mau Memakan Orang Rambang,Bengkulu,10,"setelah perjanjian tersebut, ketentraman kembali ke desa. masyarakat tidak lagi merasa takut masuk hutan, dan mereka bisa mengambil kayu bakar serta buah-buahan tanpa gangguan. hingga kini, kepercayaan tentang perlindungan raja hutan masih ada di kalangan keturunan rambang. mereka yakin bahwa hutan tetap aman karena raja hutan telah terikat sumpah untuk tidak mengganggu keturunan mereka.","sawise janji kuwi, ketentreman bali menyang desa. masyarakat ora wedi maneh mlebu alas, lan bisa njupuk kayu bakar lan woh-wohan tanpa gangguan. nganti saiki, kapercayan bab perlindungan raja alas isih ana ing kalangan keturunane wong rambang. padha yakin yen alas tetep aman amarga raja alas wis terikat sumpah ora bakal ngganggu keturunane manungsa kuwi."
