judul,provinsi,id_teks,teks,referensi
Asal Usul Ikan Duyung,Sumatera Selatan,1,"pada suatu ketika di sulawesi tengah, terdapat kisah tentang sebuah keluarga yang bahagia. keluarga itu terdiri atas bapak, ibu, dan tiga anak yang masih kecil. setiap pagi sudah menjadi kebiasaan dalam keluarga tersebut untuk sarapan bersama-sama. mereka berkumpul di meja makan dan berbagi cerita. selesai sarapan, sang ayah berangkat ke kebun untuk bekerja.","ing sawijining wektu ing sulawesi tengah, ana crita bab sawijining keluarga sing seneng. keluarga kuwi ana bapak, ibu, lan telung anak cilik. saben esuk wis dadi kebiasaan keluarga kuwi sarapan bebarengan. dheweke padha ngumpul ing meja mangan lan padha crita. sawise sarapan, bapak lunga menyang kebon kanggo nyambut gawe."
Asal Usul Ikan Duyung,Sumatera Selatan,2,"suatu hari, setelah selesai sarapan, sang bapak berpesan, bu, tolong simpan sisa ikan ini. aku akan memakannya nanti sepulang dari kebun.","ing salah sawijining dina, sawise sarapan, bapak maringi dhawuh, bu, tulung simpen sisa iwak iki. aku arep mangan mengko mengko nalika bali saka kebon."
Asal Usul Ikan Duyung,Sumatera Selatan,3,"baik, pak. akan saya simpan, ucap si ibu.","ya, pak. aku bakal simpen, ujare ibu."
Asal Usul Ikan Duyung,Sumatera Selatan,4,"berangkatlah sang bapak ke kebun untuk mengolah tanah, sedangkan si ibu menyimpan sisa lauk ikan di lemari makan. siang harinya, si ibu dan ketiga anaknya berkumpul di meja makan untuk makan siang. tapi, ketika akan makan, anak yang bungsu merengek untuk makan dengan lauk ikan yang disimpan di lemari makan.","bapak lunga menyang kebon kanggo ngolah lemah, dene ibu nyimpen sisa lauk iwak ing lemari mangan. wengi wengi, ibu lan telung anake ngumpul ing meja mangan kanggo mangan awan. nanging, nalika arep mangan, anak sing bungsu ngambek pengin mangan lauk iwak sing disimpen ing lemari mangan."
Asal Usul Ikan Duyung,Sumatera Selatan,5,"nak, lauk itu untuk bapak. tadi sebelum ke kebun, bapak pesan kepada ibu untuk menyimpannya, sebab bapak ingin memakannya nanti sore, jelas si ibu.","nak, lauk kuwi kanggo bapak. bapak wis maringi dhawuh marang ibu supaya disimpen, merga bapak arep mangan sore iki, terang ibu."
Asal Usul Ikan Duyung,Sumatera Selatan,6,"pokoknya aku cuma mau makan pakai lauk ikan. aku mau lauk ikan, ibu teriak anak yang bungsu sambil menangis.","pokoke aku mung pengin mangan nganggo lauk iwak. aku pengin lauk iwak, ibu ujare anak bungsu kanthi nangis."
Asal Usul Ikan Duyung,Sumatera Selatan,7,"si ibu semakin bingung. ia tidak tahu lagi bagaimana harus membujuk agar anaknya dapat mengerti pesan dari sang bapak. si anak terus saja menangis dan tidak mau makan dengan lauk lainnya. si ibu merasa tidak tega melihat anaknya menangis dengan perut yang masih kosong. akhirnya, ia mengeluarkan lauk ikan itu dari lemari makan dan menyuapi lauk ikan yang hanya tinggal sedikit kepada si anak hingga tidak tersisa lagi.","ibu saya bingung. dheweke ora ngerti kudu piye ngyakinake anake supaya ngerti dhawuh bapake. anak terus nangis lan ora gelem mangan lauk liyane. ibu saya sedhih ndelok anake nangis kanthi weteng isih kosong. akhire, dheweke njupuk lauk iwak saka lemari lan nyuap anake sing wis ora ana sisa."
Asal Usul Ikan Duyung,Sumatera Selatan,8,"saat sore datang, sang bapak segera bergegas untuk pulang ke rumah. perutnya terasa sangat lapar.","nalika sore teka, bapak enggal-enggal bali menyang omah. wetenge krasa sanget luwe."
Asal Usul Ikan Duyung,Sumatera Selatan,9,"wah, masih ada sisa ikan tadi pagi. aku akan memakannya sekarang, pikirnya.","wah, isih ana sisa iwak esuk mau. aku bakal mangan saiki, pikire."
Asal Usul Ikan Duyung,Sumatera Selatan,10,"setibanya di rumah, ia segera mencari istrinya agar menyiapkan makan sore untuknya.","tekane ing omah, dheweke golek bojone supaya nyiapake mangan sore kanggo dheweke."
