judul,provinsi,id_teks,teks,referensi
Asal Usul Kota Banyuwangi,Jawa Timur,1,"alkisah, zaman dahulu di daerah ujung timur jawa timur terdapat sebuah kerajaan besar. kerajaan tersebut diperintah oleh seorang raja yang adil dan bijaksana. sang raja memiliki seorang putra gagah bernama raden banterang. kegemaran raden banterang adalah berburu di hutan.","alkisah, jaman biyen ing pucuk wetan jawa timur ana sawijining karajan gedhe. karajan iku dipimpin dening raja sing adil lan wicaksana. sang raja nduweni putra gagah jenenge raden banterang. kegemarane raden banterang yaiku mburu ing alas."
Asal Usul Kota Banyuwangi,Jawa Timur,2,"suatu pagi, raden banterang hendak pergi berburu ke hutan. ia memerintahkan para pembantunya untuk menyiapkan peralatan.","ing sawijining esuk, raden banterang arep lunga mburu menyang alas. dheweke maringi dhawuh marang para abdine."
Asal Usul Kota Banyuwangi,Jawa Timur,3,"aku hendak pergi berburu ke hutan. kalian cepat siapkan alat berburu untukku, kata raden banterang kepada para pembantunya.","âaku arep mburu menyang alas. kowe kabeh cepet siapke piranti mburu kanggo aku,â kandhane raden banterang."
Asal Usul Kota Banyuwangi,Jawa Timur,4,"para pembantunya segera menyiapkan peralatan berburu untuk raden banterang. tidak lama kemudian, peralatan berburu telah siap. kemudian, raden banterang, disertai beberapa pengiringnya, berangkat ke hutan.","para abdi langsung nyiapkake piranti mburu kanggo raden banterang. ora suwe, kabeh wis siap. raden banterang banjur lunga menyang alas karo sawatara pangiringe."
Asal Usul Kota Banyuwangi,Jawa Timur,5,"di tengah hutan, mereka berjalan beriringan mencari binatang buruan. tiba-tiba saja, raden banterang melihat seekor kijang melintas di depannya. ia segera mengejar kijang seorang diri. si kijang pun segera lari masuk ke dalam hutan. akhirnya, raden banterang mengejar si kijang hingga masuk jauh ke dalam hutan. ia terpisah jauh dari para pengawalnya.","ing tengahing alas, rombongan kuwi mlaku bebarengan nggoleki kewan buruan. dumadakan, raden banterang ndelok ana kijang mlayu nyabrang ing ngarepe. dheweke langsung ngoyak kijang kuwi dhewe. si kijang banjur mlayu lumebu menyang alas sing luwih jero. akhire, raden banterang adoh saka para pengawale."
Asal Usul Kota Banyuwangi,Jawa Timur,6,"jauh di dalam hutan, raden banterang kehilangan jejak si kijang, binatang buruannya.","ing jero alas, raden banterang ilang jejake kijang sing digoleki."
Asal Usul Kota Banyuwangi,Jawa Timur,7,"ke mana kijang tadi cepat sekali larinya kijang itu. akan kucari terus sampai dapat, kata raden banterang.","âlha, endi kijang mau cepet banget larine. bakal tak goleki nganti ketemu,â ujare raden banterang."
Asal Usul Kota Banyuwangi,Jawa Timur,8,"ia kemudian menerobos semak belukar dan pepohonan hutan. namun, si kijang tidak juga ditemukan. akhirnya, ia tiba di sebuah sungai yang sangat bening airnya.","dheweke banjur nerobos alas, ngeliwati semak belukar lan wit-witan. nanging, si kijang tetep ora ditemokake. akhire, dheweke tekan sungai sing banyune bening banget."
Asal Usul Kota Banyuwangi,Jawa Timur,9,"airnya sangat jernih, juga segar rasanya, ujar raden banterang.","âbanyune bening banget, seger rasane,â kandhane raden banterang."
Asal Usul Kota Banyuwangi,Jawa Timur,10,"raden banterang meminum air sungai itu sampai terasa hilang dahaganya. kemudian, ia pergi meninggalkan sungai. namun, baru beberapa langkah berjalan, tiba-tiba ia dikejutkan oleh kehadiran seorang gadis cantik jelita.","raden banterang ngombe banyu sungai kuwi nganthi rasa ngelake ilang. sawise kuwi, dheweke ninggalake kali. nanging, durung adoh mlaku, dheweke kaget merga ana wong wadon ayu."
Asal Usul Kota Banyuwangi,Jawa Timur,11,"loh, anda siapa kenapa ada seorang wanita di tengah hutan apa anda manusia tanya raden banterang pada gadis tersebut.","âlho, kowe sapa kok ana wong wadon nang tengah alas kowe manungsa taâ pitakone raden banterang."
Asal Usul Kota Banyuwangi,Jawa Timur,12,"iya, saya manusia, bukan hantu penunggu hutan. nama saya surati, dari kerajaan klungkung. ayah saya gugur dalam perang mempertahankan mahkota kerajaan. saya sendiri tengah berusaha menyelamatkan diri dari serangan musuh ke hutan. maaf, anda siapa ya kata si gadis sambil tersenyum.","âinggih, kula manungsa, dudu lelembut alas. asman kula surati, saka karajan klungkung. bapak kula gugur nalika perang mbelani mahkota karajan. kula dhewe ngungsi menyang alas nyelametkake awak. nuwun sewu, panjenengan sintenâ wangsule si perawan karo mesem."
Asal Usul Kota Banyuwangi,Jawa Timur,13,"raden banterang terkejut mendengar penuturan si gadis cantik. setelah memperkenalkan dirinya, raden banterang segera menolong dan mengajaknya pulang ke istana. singkat cerita, mereka berdua ternyata berjodoh lalu menikah dan membangun keluarga bahagia di istana.","raden banterang kaget krungu critane si perawan ayu kuwi. sawise ngenalkake dheweke dhewe, raden banterang terus nulungi surati lan ngajak bali menyang kraton. cekak crita, raden banterang lan surati padha tresna lan banjur rabi, urip rukun bebrayan ing kraton."
Asal Usul Kota Banyuwangi,Jawa Timur,14,"pada suatu hari, surati tengah berjalan-jalan sendirian ke luar istana. tiba-tiba datang seorang lelaki berpakaian compang-camping mendekatinya.","ing sawijining dina, surati mlaku-mlaku dhewe metu saka kraton. dumadakan ana wong lanang nganggo klambi compang-camping nyedhaki."
Asal Usul Kota Banyuwangi,Jawa Timur,15,"surati. surati. aku kakakmu, teriak lelaki tersebut.","âsurati. surati. aku kakangmu,â ujare wong lanang kuwi."
