judul,provinsi,id_teks,teks,referensi
Asal Usul Laut Tador,Sumatera Utara,1,"di sebuah kampung terpencil di kabupaten batubara, sumatera utara, hiduplah sepasang suami istri. kehidupan mereka normal, persis dengan keluarga lainnya di kampung itu. sehari-hari mereka bertani, bahu-membahu bersama orang tua menggarap ladang dan sawah. kehidupan mereka semakin lengkap dengan hadirnya seorang anak laki-laki. mereka telah menjadi ayah dan ibu, dan memberi nama anak mereka tador. tador adalah anak yang menggemaskan. tubuhnya sehat, sangat ceria, dan tidak menyusahkan. wajah tador adalah perpaduan kedua orang tuanya. kulitnya mengikuti ayahnya yang berkulit coklat. bentuk wajah, bibir, dan hidungnya pun seperti membentuk wajah sang ayah. sementara itu, sang ibu terlihat pada bagian dahi, mata, dan rambutnya yang lurus, tidak seperti ayah yang berambut ikal. ada juga sedikit kemiripan dengan kakek, yaitu pada alisnya yang tebal, sedangkan kemiripan dengan nenek ada pada bagian dagunya yang sedikit runcing.",nan
Asal Usul Laut Tador,Sumatera Utara,2,"kehadiran tador tentu saja membangkitkan rasa bahagia yang besar. ayah, ibu, kakek, dan nenek seakan tidak mau bergantian menggendongnya. tangis tador yang lapar atau karena ingin buang air menjadi sebuah hiburan bagi mereka. meskipun begitu, hidup memang harus terus berjalan. tidak mungkin mereka terus-menerus menunggui tador. mereka tetap harus bekerja. beruntung tador juga tidak bau tangan. maksudnya, dia tidak harus terus bersama sang ibu. bisa saja dia bersama nenek ketika ibunya membantu ayah dan kakek ke ladang dan sawah. pun dia bisa bersama ibu jika nenek membantu kakek atau jika ayah berladang dan bersawah. untuk hal seperti itu, sepertinya tador sangat pengertian.",
Asal Usul Laut Tador,Sumatera Utara,3,"namun, kebahagiaan itu mendadak berubah. kakek meninggal dunia. kehidupan keluarga itu ditutupi duka. kepergian kakek sangat tidak terduga. dia selalu sehat, tidak punya penyakit keras selama ini. kalaupun kakek sakit, paling-paling hanya pilek dan batuk sedikit. kakek pun masih terlihat kuat. dia mampu mencangkul hingga berjam-jam di ladang. dia pun masih dapat memanggul hasil panen dalam karung ke rumah. padahal, ladang dan sawah itu berada di tempat yang sangat jauh. akan tetapi, malam itu sepulang dari ladang dan sawah, mendadak kakek meradang kesakitan tepat setelah dia selesai mandi. dia memegangi dadanya. matanya tampak membesar seperti melotot. ayah, ibu, dan nenek langsung panik. mereka mendudukkan kakek di dipan, lalu kakek dibaringkan. napas kakek mulai teratur, tetapi sesekali dia tetap memegangi dadanya dan mengeluh sakit. sekitar sejam kemudian, ketika dia mulai tenang dan tidak mengeluh sakit, kakek meninggal. bibirnya menyunggingkan senyum. ayah, ibu, dan nenek seperti tidak berhenti menangis. tador yang belum mengerti apa-apa juga ikutikutan menangis.",
Asal Usul Laut Tador,Sumatera Utara,4,"tetangga berdatangan. setelah memberikan ucapan duka dan berdoa, mereka langsung menyiapkan segala kebutuhan. semuanya bekerja tanpa diminta. mereka bergotong-royong menyiapkan tempat pemandian kakek, tempat salat, hingga menyiapkan lubang kuburan. kebiasaan di batubara, mayat memang tidak boleh menginap. jasad harus cepat dimakamkan, kasihan arwahnya jika terlalu lama disemayamkan di rumah. itulah sebabnya, dalam dingin malam, kakek dimakamkan. tador telah tertidur dalam gendongan sang ibu. mereka tidak ke kuburan, nenek juga. rata-rata yang ke kuburan untuk memakamkan kakek hanya kaum lelaki di kampung itu.",
Asal Usul Laut Tador,Sumatera Utara,5,"esoknya hingga tujuh hari ke depan, suasana duka masih sangat terasa di rumah tador. akan tetapi, keluarga itu harus tetap bekerja agar panen tidak terganggu. ayah dan ibu pergi ke ladang dan sawah. tador dijaga nenek. nenek yang matanya selalu basah menangis di hadapan tador. tador cucuku, mengapa cepat sekali kakek pergi isak nenek. tampaknya nenek belum dapat mengikhlaskan kepergian kakek. dia selalu saja sedih. keceriaan dan kelucuan tador tidak dapat menjadi obat. nenek pun semakin sering tidak makan. pun terlihat jarang tidur. beberapa kali ibu berusaha menghibur, meminta nenek ke ladang dan sawah. barangkali dengan beraktivitas nenek bisa kembali semangat. namun nenek tidak mau. dia memilih tetap menjaga tador.",
Asal Usul Laut Tador,Sumatera Utara,6,"tador cucuku, jadilah anak yang berbakti ya. menurut dan tidak banyak menuntut, kata nenek di suatu senja di depan rumah. seperti petang-petang sebelumnya, nenek memang selalu duduk bersama tador di beranda. begitu magrib, mereka baru masuk. mereka menyiapkan makanan sembari menanti ayah dan ibu kembali dari ladang dan sawah. nenek ingin jumpa kakek, cu, kata nenek kemudian. tidak lama kemudian, sang nenek menyusul suaminya. dia meninggal di pembaringan dalam posisi tidur. sehabis salat subuh, ayah dan ibu bersiap berangkat ke ladang dan sawah. saat itulah diketahui nenek telah tiada. nenek tidak bangun-bangun, padahal seperti biasa dia sudah harus menjaga tador yang masih terlelap. ayah dan ibu berulang kali membangunkan nenek, tetapi tidak juga berhasil. begitu ibu menyentuh tangan nenek, tangan itu sudah dingin. ayah langsung memeriksa nadi nenek dan semuanya telah terlambat. seperti kakek, nenek juga meninggal sambil tersenyum.",
Asal Usul Laut Tador,Sumatera Utara,7,"seketika rumah itu kembali berduka. tador bangun ketika isak tangis terdengar keras. ibu menjerit. ayah terisak. tetangga berdatangan. pagi itu, sebelum zuhur, nenek dimakamkan tepat di sisi makam kakek dan dua nisan kecil lainnya. waktu yang sangat singkat karena tidak sampai enam bulan sejak kakek meninggal. kepergian kakek dan nenek untuk selamanya itu terjadi saat tador berusia dua tahun. ibu dan ayah sempat panik. bagaimana dengan ladang dan sawah yang ditinggalkan kakek dan nenek untuk mereka ayah tidak akan sanggup bekerja sendirian. akan tetapi, kalau mengharapkan bantuan sang ibu, bagaimana dengan tador kalau tador dibawa ke ladang dan sawah, sangatlah tidak mungkin karena jaraknya sangat jauh. dari rumah ke ladang dan sawah itu berjarak lima kilometer. ingin meminta bantuan tetangga juga agak sulit karena mereka juga punya sawah dan ladang masing-masing. dalam keadaan bingung, ayah berusaha untuk bekerja sendirian di ladang dan sawah. sementara itu, sang ibu menjaga tador di rumah. memang tidak ada masalah yang berarti, tetapi hasil ladang dan sawah jadi berkurang.",
Asal Usul Laut Tador,Sumatera Utara,8,"setelah setahun kepergian kakek dan nenek, barulah ada kabar yang menenangkan. ada seorang tetangga yang sudah tidak sanggup lagi bekerja di ladang dan sawah. dia seorang ibu tanpa anak. kepada dialah tador dititipkan. ayah dan ibu kembali bersama menggarap ladang dan sawah. sejak matahari belum terbit, keduanya sudah keluar rumah. sedangkan tador tetap dibiarkan tertidur. barulah setelah matahari terbit, sang tetangga datang. beruntung tador selalu bangun setiap kali tetangga itu sudah tiba. awal-awal, tador sempat bingung mengapa ketika bangun tidak ada ibu. namun seiring waktu, tador jadi mengerti. pun tador tidak pernah protes ketika selepas magrib kedua orang tuanya baru tiba di rumah. ayah dan ibu bekerja, nak. ini semua demi tador. biar kita semua hidup enak, nak. biar kita semua bisa makan, begitu penjelasan ayah tanpa tador minta. tador, yang saat itu sudah berusia lima tahun, hanya mengangguk-angguk sembari memainkan ole-ole, sejenis bunyi-bunyian dari batang padi yang dibawa ayahnya. ayah tersenyum, sementara sang ibu masih sibuk menyiapkan makan malam. tidak lama kemudian, masakan selesai. sayur daun pepaya tersedia. ada pula ikan asin bakar dan sambal. tador mencampakkan mainannya dan langsung menyambar makanan. cuci tangan dulu, sayang, tegur ibu. tador berpaling manja. ya sudah, ibu suapi ya, bujuk ibu. mata tador langsung membulat penuh minat. suapan pertama yang diberikan ibu langsung dia lahap. dalam waktu yang cepat, satu piring makanan pun kandas. ibu dan ayah tersenyum, apalagi ketika tanpa disuruh, tador langsung ke dipan untuk tidur.",
Asal Usul Laut Tador,Sumatera Utara,9,"hari-hari semacam itu berlalu bertahun-tahun. hingga ketika tador berusia sepuluh tahun, sang penjaga pergi. tetangga itu pindah rumah. tidak ada lagi yang dapat menjaga tador. ayah dan ibu kembali panik. tador ikut ke ladang dan sawah ya, kata tador. ayah dan ibu saling berpandang. mereka sempat berpikir untuk mengabulkan permintaan tador itu, apalagi kini tador sudah sepuluh tahun. namun mengingat jarak yang cukup jauh, hati mereka tidak tega. berjalan kaki ketika matahari belum terbit sepanjang lima kilometer tentu bukan hal gampang. pun pulang menjelang magrib melewati jalan setapak dan hutan tentu tidak baik untuk tador.",
Asal Usul Laut Tador,Sumatera Utara,10,"ayah, tador kan sudah besar, rayunya. ibu, tador kan juga mau membantu, tambahnya. rengekan tador terus terdengar. ayah dan ibu menggelengkan kepala. tador lebih aman kamu di rumah ya, kata mereka. tador tampak tidak senang. bagaimanapun, dia ingin membantu kedua orang tuanya itu. kamu kan dapat bermain dengan kawan-kawan. nanti kalau kamu sudah besar, kamu memang wajib membantu ayah dan ibu. sabar dulu ya sayang, bujuk ibu. tador mengalah. dia tidak tahu lagi cara membujuk orang tuanya itu. oleh karena itu, sendirianlah tador selama orang tuanya bekerja. setiap bangun tidur, dia selalu sendirian, mandi, makan makanan yang sudah disediakan ibu, dan kemudian bermain. begitu sore, dia kembali ke rumah, mandi, kemudian setia menanti orang tua kembali dari ladang dan sawah. begitu terus hari-hari yang dijalani tador. bukan mau durhaka, melainkan belakangan ini tador memang suka bermain di sungai. dia bermain air bersama-sama temannya. dari situ pula dia mulai mahir berenang. ayah tidak tahu itu. ibu pun sama sekali tidak menyadari itu. namun bukannya mau berbohong, tador juga tidak pernah memamerkan kemahiran berenangnya. baginya, berenang adalah sebuah kebiasaan baru. tidak ada yang tahu, apalagi ibu dan ayah.",
