judul,provinsi,id_teks,teks,referensi
Asal Usul Pulau Senua,Riau,1,"pada zaman dahulu, di sebuah daerah di natuna, kepulauan riau, hiduplah sepasang suami istri yang sangat miskin. sang suami bernama baitusen, sedangkan istrinya bernama mai lamah. suatu hari, mereka memutuskan untuk merantau ke pulau bunguran demi mengadu nasib. pulau bunguran terkenal akan kekayaan lautnya, terutama karang dan siput.","ing jaman mbiyen, ana ing sawijining dhaerah ing natuna, kapuloan riau, urip sak pasangan bojoan sing banget mlarat. sing lanang jenenge baitusen, dene bojone jenenge mai lamah. siji dina, wong loro kuwi mutusake kanggo lunga merantau menyang pulo bunguran kanggo nggoleki panguripan. pulo bunguran misuwur amarga kasugihan laute, utamane karang lan kul."
Asal Usul Pulau Senua,Riau,2,"saat pertama kali tinggal di pulau bunguran, baitusen bekerja sebagai nelayan, seperti kebanyakan warga di pulau tersebut. setiap hari, ia pergi ke laut mencari siput lolak, kerang-kerangan yang kulitnya dapat dibuat menjadi perhiasan, kelekuk kulai, siput mutiara, dan berbagai jenis kerang lainnya. sementara itu, mai lamah membantu suaminya dengan membuka kulit kerang untuk diolah menjadi perhiasan.","nalika sepisanan manggon ing pulo bunguran, baitusen kerja dadi nelayan, kaya umume warga ing pulo kuwi. saben dina, dheweke lunga menyang laut nggoleki kul lolak, kewan laut cangkange bisa digawe perhiasan, kelekuk kulai, kul mutiara, lan macem-macem cangkang liyane. samentara kuwi, mai lamah nulungi bojone kanthi mbukak cangkange kanggo digawe perhiasan."
Asal Usul Pulau Senua,Riau,3,"pasangan ini merasa senang tinggal di pulau bunguran karena para penduduk menunjukkan sikap ramah dan penuh persaudaraan. rumah mereka kebetulan bersebelahan dengan rumah mak semah, seorang bidan kampung yang miskin namun baik hati.","pasangan kuwi krasa seneng manggon ing pulo bunguran amarga warga ing kono ngetokake sikap ramah lan padha-padha. omahe kebeneran jejeran karo omahe mak semah, sawijining bidan kampung sing mlarat nanging apikan."
Asal Usul Pulau Senua,Riau,4,"kalau suatu saat kalian sakit atau membutuhkan bantuan, panggil saja emak. emak pasti akan datang, pesan mak semah kepada mai lamah, yang menyambutnya dengan senang hati.","yen kapan-kapan kowe lara utawa butuh pitulungan, undang wae emak. emak mesthi bakal teka, pesene mak semah marang mai lamah, sing nyambut pesen kuwi kanthi seneng."
Asal Usul Pulau Senua,Riau,5,"warga bunguran lainnya juga bersikap baik kepada baitusen dan mai lamah, sehingga dalam waktu singkat, mereka merasa seperti penduduk asli.","warga bunguran liyane uga tumindak apik marang baitusen lan mai lamah, nganti sajroning wektu cendhak, wong loro kuwi krasa kaya dadi warga asli."
Asal Usul Pulau Senua,Riau,6,"bang, sejak kita tinggal di sini, adik tidak pernah merasa seperti pendatang. semua orang menganggap kita saudara, kata mai lamah kepada suaminya.","bang, wiwit kita manggon ing kene, adik ora tau krasa dadi wong anyar. kabeh wong nganggep kita kaya dulur, kandha mai lamah marang bojone."
Asal Usul Pulau Senua,Riau,7,"begitulah, dik. kalau kita pandai membawa diri di kampung orang, mereka pun akan menerima kita, jawab baitusen.","ngono, dik. yen awake dhewe isa njogo sikap ing kampung wong, mesthi bakal ditampa, wangsulane baitusen."
Asal Usul Pulau Senua,Riau,8,"seiring waktu, baitusen semakin rajin melaut. ia pergi sebelum matahari terbit dan baru kembali saat matahari terbenam. daerah pencariannya pun semakin jauh hingga ke pesisir pulau bunguran timur. suatu hari, baitusen menemukan lubuk teripang, sebuah tempat di laut yang dipenuhi ribuan ekor teripang. sejak saat itu, ia berhenti mencari kerang dan siput, beralih sepenuhnya pada teripang.","suwe-suwe, baitusen saya rajin melaut. dheweke lunga sadurunge srengenge munggah lan bali nalika srengenge surup. wilayah nelayane saya adoh nganti tekan pesisir pulo bunguran wetan. siji dina, baitusen nemokake lubuk teripang, sawijining papan ing laut sing kebak karo ewu-ewu teripang. wiwit kuwi, dheweke mandheg nggoleki cangkang lan kul, banjur pindhah tekan teripang."
Asal Usul Pulau Senua,Riau,9,"teripang dikenal memiliki harga jual yang sangat mahal, terutama di singapura dan cina. setelah menangkap teripang, baitusen mengeringkannya untuk dijual ke negeri-negeri tersebut. penjualan teripang pun membawa keberuntungan besar bagi baitusen dan mai lamah. mereka menjadi kaya raya, dan baitusen dikenal sebagai saudagar teripang terkemuka. para tauke dari negeri seberang pun berdatangan menggunakan tongkang dan kapal besar untuk membeli teripang hasil tangkapannya. dalam waktu singkat, pesisir timur pulau bunguran berubah menjadi pelabuhan yang sangat ramai.","teripang dikenal nduweni rega dodolan sing larang banget, utamane ing singapura lan cina. sawise nangkep teripang, baitusen ngeringke kuwi kanggo didol menyang negara kuwi. dodolan teripang nggawa berkah gedhe kanggo baitusen lan mai lamah. wong loro kuwi dadi sugih raya, lan baitusen dikenal dadi saudagar teripang terkemuka. para tauke saka negara sabrang padha teka nganggo tongkang lan kapal gedhe kanggo tuku teripang asile. sajroning wektu cendhak, pesisir wetan pulo bunguran malih dadi pelabuhan sing rame banget."
Asal Usul Pulau Senua,Riau,10,"kekayaan yang melimpah membuat mai lamah berubah. ia yang dulu sederhana kini mulai lupa daratan dan asal-usulnya. penampilannya berubah drastis; ia selalu memakai gincu, bedak, dan wewangian mahal. ia juga mulai menjauhi para tetangganya, merasa jijik bergaul dengan mereka yang miskin dan berbau anyir.","kasugihan sing melimpah nggawe mai lamah owah. dheweke sing biyen prasaja saiki dadi lali dhiri lan asal-usule. penampilane owah drastis; dheweke tansah nganggo gincu, bedhak, lan wangi-wangian larang. dheweke uga mulai adoh saka tangga teparone, krasa jijik nyampur karo wong-wong mlarat lan ambune amis laut."
