judul,provinsi,id_teks,teks,referensi
Asal Usul Rawa Pening,Jawa Tengah,1,"kisahnya, dahulu kala terdapat sebuah desa bernama ngasem yang terletak di lembah antara gunung merbabu dan telomoyo. di desa tersebut bermukim sepasang suami-istri bernama ki hajar dan nyai selakanta.","crita iki dumadi ana sawijining desa jenenge ngasem sing ana ing lembah antarane gunung merbabu lan telomoyo. ing desa iku manggone sawijining pasangan bojo, ki hajar lan nyai selakanta."
Asal Usul Rawa Pening,Jawa Tengah,2,"karena dikenal pemurah dan suka menolong, pasutri yang belum dikaruniai anak itu begitu dihormati oleh masyarakat sekitar. suatu hari, nyai selakanta mengutarakan keinginannya untuk segera menimang buah hati.","amarga dikenal loman lan seneng nulungi, pasangan bojo sing durung nduwe anak kuwi banget diajeni dening warga sakupenge. saben dina, nyai selakanta ngandhani kepenginane supaya enggal duwe anak."
Asal Usul Rawa Pening,Jawa Tengah,3,"demi mewujudkan keinginan istrinya, ki hajar pun bertapa ke lereng gunung telomoyo hingga berbulan-bulan. nyai selakanta pun mengkhawatirkan keadaan suaminya yang bertapa sampai tak kunjung pulang.","kanggo nggayuh keinginan bojone, ki hajar banjur nglakuake tapa ing lereng gunung telomoyo nganti sasi-sasi. nyai selakanta dadi kuwatir amarga bojone ora bali-bali."
Asal Usul Rawa Pening,Jawa Tengah,4,"secara ajaib, nyai selakanta pun mengandung di rumah sendirian. namun, saat melahirkan, betapa terkejut dia karena yang lahir dari perutnya adalah seekor naga. anak itu diberi nama baru klinthing yang diambil dari nama tombak milik suaminya.","kanthi ajaib, nyai selakanta ngandhut piyambak ing omah. nanging nalika nglairake, piyambakipun kaget amarga sing metu saka wetenge yaiku sawijining naga. anak mau diparingi jeneng baru klinthing, dijupuk saka jeneng tombake bojone."
Asal Usul Rawa Pening,Jawa Tengah,5,"kata baru berasal dari kata bra yang artinya keturunan brahmana, yaitu seorang resi yang kedudukannya lebih tinggi dari pendeta. sementara kata klinthing berarti lonceng. meski berwujud naga, baru klinthing dapat berbicara seperti manusia.","tembung baru asale saka tembung bra sing tegese keturunan brahmana, yaiku sawijining resi sing kedudukane luwih dhuwur saka pendeta. dene klinthing tegese lonceng. senajan wujude naga, baru klinthing bisa ngomong kaya manungsa."
Asal Usul Rawa Pening,Jawa Tengah,6,"merasa malu telah melahirkan seekor naga, nyai selakanta merawat baru klinthing dengan sembunyi-sembunyi. dia pun berencana kelak akan membawa baru klinthing ke bukit tugur agar jauh dari warga.","amarga isin wis nglairake naga, nyai selakanta ngopeni baru klinthing kanthi ndhelik. dheweke uga ngrancang mengko bakal nggawa baru klinthing menyang bukit tugur supaya adoh saka warga."
Asal Usul Rawa Pening,Jawa Tengah,7,"beranjak dewasa, baru klinthing pun menanyakan perihal ayahnya. nyai selakanta pun mengutus baru klinthing untuk menyusul ayahnya yang bertapa di lereng gunung telomoyo. baru klinthing juga dititipi membawa pusaka tombak baru klinthing milik ayahnya.","nalika wis diwasa, baru klinthing takon bab bapake. nyai selakanta banjur ngutus baru klinthing kanggo nggoleki bapake sing isih tapa ing lereng gunung telomoyo. dheweke uga diwenehi pusaka tombake ki hajar kanggo digawa."
Asal Usul Rawa Pening,Jawa Tengah,8,"sesampainya di lereng gunung telomoyo, baru klinthing langsung bersembah sujud di hadapan ayahnya yang sedang duduk bersemedi. awalnya ki hajar tidak percaya jika naga tersebut adalah anaknya. baru klinthing kemudian menunjukkan pusaka milik ki hajar.","yen wis tekan lereng gunung telomoyo, baru klinthing langsung sujud ing ngarep bapake sing lagi meditasi. awale ki hajar ora percaya yen naga iku anake. baru klinthing banjur nuduhake pusaka tombak sing diduweni ki hajar."
Asal Usul Rawa Pening,Jawa Tengah,9,"baiklah, aku percaya jika pusaka baru klinthing itu adalah milikku. tapi, bukti itu belum cukup bagiku. jika kamu memang benar-benar anakku, coba kamu lingkari gunung telomoyo ini ujar ki hajar.","âya wis, aku percaya nek pusaka iki duweku. nanging bukti kuwi durung cukup. yen kowe pancen anakku, coba deleng bisa ngubengi gunung telomoyo ikiâ kandhane ki hajar."
Asal Usul Rawa Pening,Jawa Tengah,10,"dengan kesaktiannya, baru klinthing dapat melingkari gunung telomoyo. ki hajar akhirnya mengakui naga itu adalah anaknya. setelah itu, ia memerintahkan baru klinthing bertapa di bukit tugur, agar tubuhnya berubah menjadi manusia.","kanthi kesaktiyane, baru klinthing bisa ngubengi gunung telomoyo. ki hajar banjur ngakoni manawa naga iku anake. banjur, ki hajar marentahake baru klinthing supaya tapa ing bukit tugur supaya wujude malih dadi manungsa."
Asal Usul Rawa Pening,Jawa Tengah,11,"sementara itu, ada sebuah desa bernama pathok yang sangat makmur. namun, penduduk desa itu dikenal sangat angkuh. suatu ketika, penduduk desa pathok bermaksud mengadakan pesta sedekah bumi setelah panen. mereka pun berburu binatang di bukit tugur.","ing wektu sing padha, ana desa jenenge pathok sing makmur banget. nanging, wargane desa iku kondhang angkuh. siji dina, warga desa pathok arep nganakake pesta sedekah bumi sawise panen. dheweke padha berburu kewan ing bukit tugur."
Asal Usul Rawa Pening,Jawa Tengah,12,"singkat cerita, mereka beramai-ramai menangkap baru klinthing dan memotong-motong dagingnya untuk dijadikan hidangan pesta.","sawise iku, wong-wong padha bebarengan nyekel baru klinthing lan nyabuti daginge kanggo panganan pesta."
Asal Usul Rawa Pening,Jawa Tengah,13,"ketika para warga sedang asyik berpesta, datanglah seorang anak laki-laki penuh luka berbau amis. anak itu adalah penjelmaan baru klinthing. dia meminta makanan, namun warga desa itu justru memaki dan mengusirnya.","nalika warga padha remen ngramekake pesta, ana bocah lanang sing kebak lara lan bau amis teka. bocah iku yaiku jelmaane baru klinthing. dheweke nyuwun panganan, nanging warga malah maki lan ngusir."
Asal Usul Rawa Pening,Jawa Tengah,14,"anak itu pun meninggalkan desa. di tengah perjalanan, ia bertemu dengan janda tua bernama nyi latung. nyi latung mengajak baru klinthing ke rumahnya dan memberinya makanan.","bocah iku banjur lunga saka desa. ing dalan, dheweke ketemu karo janda tuwa jenenge nyi latung. nyi latung ngajak baru klinthing menyang omahe lan maringi panganan."
