judul,provinsi,id_teks,teks,referensi
Asal Usul Selat Nasi,Bangka Belitung,1,"dahulu, di provinsi kepulauan riau, hiduplah sepasang suami istri yang menguasai pulau subi, yaitu datuk kaya dan istrinya, cik wan. mereka memiliki seorang putri bernama nilam sari, seorang gadis yang sangat cantik dan berbudi pekerti halus. kecantikannya tersohor hingga ke negeri seberang, sehingga banyak yang ingin meminangnya atau menjadikannya menantu.","mbiyen, ing provinsi kapuloan riau, urip sawijine pasangan bojo sing nguwasani pulo subi, yaiku datuk kaya lan bojone, cik wan. wong loro kuwi nduweni anak wadon jenenge nilam sari, sawijining cah ayu banget lan nduweni budi pekerti alus. kaayuane wis kondhang nganti tekan nagara sabrang, mula akeh wong sing kepengin nglamar utawa ndadekke dheweke dadi mantu."
Asal Usul Selat Nasi,Bangka Belitung,2,"salah satu yang tertarik adalah permaisuri kerajaan palembang. beliau ingin nilam sari menikah dengan putranya, pangeran demang aji jaya. untuk mewujudkan impian tersebut, permaisuri mengirimkan utusan untuk melamar nilam sari.","salah siji sing kasengsem yaiku permaisuri karajan palembang. dheweke pengin nilam sari nikah karo putrane, pangeran demang aji jaya. kanggo ngwujudke impen kuwi, permaisuri ngutus wakil kanggo nglamar nilam sari."
Asal Usul Selat Nasi,Bangka Belitung,3,"para utusan menghadap datuk kaya dan menyampaikan maksud serta tujuan mereka. setelah berbincang cukup lama, datuk kaya akhirnya memberikan persetujuan.","para utusan sowan datuk kaya lan nyampekke maksud uga tujuane. sawise rembugan cukup suwe, datuk kaya pungkasane maringi persetujuan."
Asal Usul Selat Nasi,Bangka Belitung,4,"aku setuju dengan lamaranmu. acara pernikahan akan dilaksanakan pada tanggal 10 safar nanti. jadi, silakan kalian datang lebih awal sebelum jadwal tersebut, jawab datuk kaya dengan wajah berseri-seri. ia sangat gembira karena akan menjadi besan seorang raja, yang berarti kedudukannya akan semakin tinggi dan dihormati oleh masyarakat.","aku setuju karo lamaranku. acara pernikahan bakal dilaksanakke ing tanggal 10 safar ngarep. dadi, silakan kowe teka luwih dhisik sadurunge jadwal kuwi, wangsule datuk kaya kanthi rai bungah. dheweke bungah banget merga bakal dadi besan raja, tegese drajate bakal saya dhuwur lan dihormati masarakat."
Asal Usul Selat Nasi,Bangka Belitung,5,"menjelang hari pernikahan, datuk kaya mengerahkan segala daya dan upaya untuk mempersiapkan acara tersebut. ratusan orang dikerahkan untuk membantu mempersiapkan tempat pernikahan dan memasak hidangan. nasi dimasak dalam jumlah besar untuk memenuhi kebutuhan para tamu yang diperkirakan akan datang dalam jumlah banyak. berbagai jenis hiburan juga dipersiapkan untuk memeriahkan suasana.","sadurung dina pernikahan, datuk kaya ngupaya sakabehe tenaga kanggo nyiapke acara kuwi. atusan wong dikerahke kanggo mbantu nyiapke panggonan pernikahan lan masak panganan. sega dimasak akeh banget kanggo nyukupi kabutuhan tamu sing diprakirakake bakal teka akeh. macem-macem hiburan uga disiapke kanggo ngrayakake suasana."
Asal Usul Selat Nasi,Bangka Belitung,6,"tiga hari sebelum acara, rombongan dari kerajaan palembang berangkat menggunakan sejumlah kapal. namun, celakanya, cuaca buruk melanda. ombak besar dan badai menghantam kapal-kapal mereka, memaksa rombongan untuk berlindung di teluk pulau kiabu hingga cuaca kembali normal. akibatnya, kedatangan mereka tertunda. rombongan baru tiba di lokasi pernikahan tiga hari setelah jadwal yang telah disepakati.","telung dina sakdurunge acara, rombongan saka karajan palembang budhal nganggo sawetara kapal. nanging, cilakane, cuaca ala nekan. ombak gedhe lan badai nggebug kapal-kapale, ngwajibke rombongan kanggo ndhelik ing teluk pulo kiabu nganti cuaca bali normal. akibate, tekane wong-wong kuwi dadi telat. rombongan anyar teka ing panggonan pernikahan telung dina sawise jadwal sing wis disepakati."
Asal Usul Selat Nasi,Bangka Belitung,7,"keterlambatan ini menimbulkan pertengkaran hebat antara datuk kaya dan istrinya. cik wan mencoba memahami situasi yang terjadi, namun datuk kaya merasa sangat kecewa. apalagi, semua hidangan yang telah disiapkan kini basi.","keterlambatan kuwi njalari padu gedhe antara datuk kaya lan bojone. cik wan nyoba mangerteni kahanan sing kelakon, nanging datuk kaya rumangsa kecewa banget. luwih-luwih, kabeh panganan sing wis disiapke saiki wis basi."
Asal Usul Selat Nasi,Bangka Belitung,8,"kita ganti saja dengan yang baru, suamiku. malu kita kalau memberikan hidangan basi kepada tamu sebanyak ini, usul cik wan.","ayo diganti mawa panganan anyar, mas. isin yen kudu marekke panganan basi kanggo tamu sak akehe iki, usule cik wan."
Asal Usul Selat Nasi,Bangka Belitung,9,tidak usah biarkan mereka makan hidangan basi itu. salah mereka sendiri kenapa datang terlambat. hukuman itu pantas untuk orang yang sudah ingkar janji. dikiranya mudah apa mempersiapkan acara sebesar ini jawab datuk kaya dengan emosi yang memuncak.,ra perlu ben wae padha mangan panganan basi kuwi. salahe dhewe kok teka telat. kuwi hukuman sing pantes kanggo wong sing wis ora netepi janji. disangkane gampang apa nyiapke acara gedhe kaya ngene wangsule datuk kaya kanthi nesu sing ndhuwur.
Asal Usul Selat Nasi,Bangka Belitung,10,"perdebatan terus terjadi hingga akhirnya datuk kaya menjatuhkan talak tiga kepada cik wan. dalam kemarahannya, ia mengambil nasi basi di depannya dan membuat garis panjang yang memisahkan dirinya dengan sang istri.","perdebatan terus lumaku nganti datuk kaya marahi nyebut talak telu marang cik wan. ing tengah kemarahane, dheweke njupuk sega basi ing ngarepe lan nggawe garis dawa sing misahke dheweke karo bojone."
Asal Usul Selat Nasi,Bangka Belitung,11,"perceraian kita dibatasi oleh garis dari nasi basi ini. kau tidak boleh melewatinya, begitu juga aku, ucap datuk kaya dengan nada tinggi.","pegatan kita dipisahke karo garis saka sega basi iki. kowe ora kena ngliwati, aku uga ora, ujare datuk kaya nganggo swara dhuwur."
Asal Usul Selat Nasi,Bangka Belitung,12,"begitu ia selesai berbicara, alam seolah-olah mendengar sumpahnya. kilat dan petir menyambar dengan keras, diikuti angin kencang dan hujan lebat. tanah tiba-tiba terbelah menjadi dua sesuai garis yang dibuat datuk kaya. pulau di sebelah selatan menjadi pulau subi besar, milik datuk kaya, sedangkan bagian di utara menjadi pulau subi kecil, milik cik wan. kedua pulau itu dipisahkan oleh sebuah selat yang kemudian dikenal oleh masyarakat dengan nama selat nasi.","bar mbok menawa dheweke rampung ngomong, alam kaya krungu sumpahe. kilat lan gludhug nyamber banter, banjur angin gedhe lan udan deres teka. lempung dadakan mblakra dadi loro manut garis sing digawe datuk kaya. pulo ing sisih kidul dadi pulo subi gedhe, kagungane datuk kaya, dene sisih lor dadi pulo subi cilik, kagungane cik wan. loro pulo kuwi dipisahke karo sawijining selat sing banjur dikenal masyarakat nganggo jeneng selat nasi."
Asal Usul Selat Nasi,Bangka Belitung,13,"nama selat nasi digunakan untuk mengenang peristiwa ini, sebagai pengingat akan perbuatan datuk kaya yang membuang-buang nasi basi akibat emosinya yang tak terkendali.","jeneng selat nasi digunakake kanggo eling-eling kedadean iki, minangka pangeling marang tumindake datuk kaya sing mbuwang-buwang sega basi merga emosine sing ora bisa dikendhalekake."
