judul,provinsi,id_teks,teks,referensi
Asal Usul Tari Guel,Aceh,1,"dahulu kala, di kerajaan johor, hiduplah dua kakak beradik, muria dan sengeda, anak dari sultan johor. suatu hari, sultan memerintahkan mereka untuk menggembala itik di tepi laut. sambil menggembala, mereka bermain layang-layang untuk mengusir kebosanan. namun, tiba-tiba badai besar datang, memutuskan benang layang-layang mereka. keduanya segera mengejar layang-layang tersebut, tanpa menyadari bahwa mereka meninggalkan itik-itik tanpa pengawasan.","mbiyen kala, ing karajan johor, urip loro sedulur, muria lan sengeda, anake sultan johor. ing sawijining dina, sultan dhawuh marang muria lan sengeda supaya nggembalani itik ing pinggir segara. sambi nggembala, loro-lorone dolanan layang-layang kanggo ngusir rasa bosen. nanging dumadakan, ana badai gedhe teka, nyuwek tali layang-layange. muria lan sengeda langsung mlayu ngejar layang-layange, ora nyadari yen itik-itik sing digembala ditinggal tanpa pangawasan."
Asal Usul Tari Guel,Aceh,2,"setelah lelah mengejar layang-layang, mereka kembali ke tepi laut hanya untuk mendapati bahwa semua itik telah hilang, tersapu ombak lautan. dengan perasaan takut karena lalai menjalankan tugas, mereka pulang untuk melaporkan kejadian tersebut kepada orang tua mereka. sesampainya di rumah, mereka dimarahi oleh ayah mereka, sultan johor, yang kemudian menghukum mereka. sultan memerintahkan mereka untuk mencari itik-itik yang hilang dan tidak boleh kembali sampai berhasil menemukannya.","sawise kesel ngejar layang-layang, muria lan sengeda bali menyang segara lan kaget weruh yen kabeh itik wis ilang, keseret ombak laut. amarga wedi lan kuwatir amarga ora tanggung jawab, loro-lorone mulih lan nyritakake kejadian kuwi marang bapake, sultan johor. tekane ing omah, sultan nesu lan langsung ngukum. dheweke dhawuh supaya muria lan sengeda golek itik-itik sing ilang lan ora oleh bali sadurunge nemokake."
Asal Usul Tari Guel,Aceh,3,"muria dan sengeda pun pergi dengan sebuah sampan, mengarungi lautan luas untuk mencari itik-itik tersebut. setelah berhari-hari mencari ke berbagai penjuru, mereka tersesat dan terdampar di sebuah negeri bernama serule. saat tiba di negeri serule, malam telah gelap gulita. mereka menemukan sebuah meunasah (langgar) dan memutuskan untuk beristirahat di sana karena tubuh mereka lemah dan basah kuyup setelah berhari-hari di laut.","muria lan sengeda banjur lunga numpak prau, nglangi segara sing amba kanggo nggoleki itik-itik kuwi. sawise dina-dina nggoleki nganthi adoh, dheweke kesasar lan keblasuk tekan sawijining nagara jenenge serule. tekane ing nagara serule pas wengi peteng. muria lan sengeda nemokake sawijining meunasah lan milih ngaso ana kono, awit awake loro wis kesel lan teles amarga suwe ana ing segara."
Asal Usul Tari Guel,Aceh,4,"keesokan harinya, penduduk negeri serule dikejutkan dengan kehadiran dua anak kecil yang terdampar di desa mereka. warga membawa muria dan sengeda ke istana raja cik serule untuk diinterogasi. setelah mendengar kisah mereka, raja cik serule merasa iba dan mengangkat mereka sebagai anak angkatnya. kedua anak itu hidup di bawah perlindungan raja cik serule dan sangat disayangi oleh raja. selama keberadaan mereka di negeri serule, rakyat hidup dalam kemakmuran, keamanan, dan kesejahteraan, berkat tuah atau kesaktian luar biasa yang dimiliki muria dan sengeda.","esuke, warga nagara serule kaget ndelok ana loro bocah cilik sing keblasuk tekan desane. muria lan sengeda digawa menyang istana raja cik serule kanggo ditakoni. sawise krungu critane, raja cik serule krasa trenyuh lan nampa loro-lorone dadi anak angkat. muria lan sengeda urip ing perlindungan raja lan banget disenengi. nalika muria lan sengeda urip ing nagara serule, rakyate urip makmur, aman, lan sejahtera amarga tuah utawa kasekten luar biasa sing diduweni muria lan sengeda."
Asal Usul Tari Guel,Aceh,5,"kemakmuran negeri serule menimbulkan rasa dengki dari raja linge, penguasa negeri tetangga. ia memerintahkan prajuritnya untuk membunuh kedua anak tersebut. dalam serangan itu, muria terbunuh, sementara sengeda berhasil diselamatkan oleh raja cik serule. untuk melindungi sengeda, sang raja menyembunyikannya di tempat yang aman. muria dimakamkan di tepi sungai di desa samarkilang, aceh tengah.","kemakmuran kuwi nggugah rasa dengki saka raja linge, ratu saka nagara tangga teparo. dheweke mrentah prajurite kanggo mateni loro-lorone. ing sawijining serangan, muria tiwas, nanging sengeda kasil diselametkake dening raja cik serule. kanggo nglindhungi sengeda, raja ndhelikake dheweke ing panggonan aman. muria banjur dikubur ing pinggir kali ing desa samarkilang, aceh tengah."
Asal Usul Tari Guel,Aceh,6,"setiap akhir tahun, para raja harus datang ke kutaraja (sekarang banda aceh) untuk mempersembahkan cup usur (upeti) kepada sultan aceh. raja cik serule membawa sengeda bersamanya ke ibu kota kesultanan aceh darussalam. saat pertemuan berlangsung, sengeda menunggu di luar istana. di sana, ia teringat mimpinya di masa lalu yang diberi petunjuk oleh roh kakaknya, muria. dalam mimpi tersebut, ia diminta melukiskan seekor gajah putih pada sehelai daun neniyun (pelepah rebung bambu).","saben akhir taun, para raja kudu sowan menyang kutaraja (saiki banda aceh) kanggo nyerahke âcup usurâ (upeti) marang sultan aceh. raja cik serule nggawa sengeda bareng menyang ibukutha kesultanan aceh darussalam. nalika pertemuan berlangsung, sengeda ngenteni ing njaban istana. ing kono, dheweke kelingan marang sawijining impen lawas, ing ngendi arwah kakange, muria, menehi petunjuk. ing impen kuwi, muria nyuwun supaya sengeda nggambar gajah putih ing godhong neniyun (pelepah rebung bambu)."
Asal Usul Tari Guel,Aceh,7,"setelah melukis gajah putih itu dan memaparkannya ke sinar matahari, pantulan cahayanya memikat hati putri sultan aceh. sang putri meminta ayahnya untuk mencari binatang yang dilukiskan oleh sengeda. sultan aceh, meskipun ragu, tidak dapat menolak permintaan putrinya. ia memerintahkan raja cik serule dan sengeda untuk mencari dan menangkap gajah putih tersebut sebagai persembahan.","sawise digambar lan disorot sinar srengenge, pantulane ngundang perhatian putri sultan aceh. sang putri banjur nyuwun marang bapake supaya golek kewan kaya ing gambar kuwi. sultan aceh, senadyan ragu, ora isa nolak panjaluk anake. dheweke banjur mrintah raja cik serule lan sengeda supaya golek lan nangkep gajah putih kuwi kanggo dipersembahake."
Asal Usul Tari Guel,Aceh,8,"raja cik serule merasa bingung bagaimana cara menangkap gajah putih. melihat kebingungan ayah angkatnya, sengeda menceritakan bahwa ia mendapat petunjuk dari roh muria. dalam mimpinya, muria memberitahu lokasi keberadaan gajah putih, yaitu di desa samarkilang.","raja cik serule bingung piye carane golek lan nangkep gajah putih. deleng kebingungane, sengeda nyritakake yen dheweke entuk petunjuk saka arwah muria. ing impene, muria ngandhani lokasi gajah putih kuwi ana ing desa samarkilang."
Asal Usul Tari Guel,Aceh,9,"keesokan harinya, raja cik serule dan sengeda pergi ke desa samarkilang. sesuai petunjuk dari roh muria, mereka menemukan gajah putih itu sedang berkubang di pinggir sungai. dengan penuh kesabaran, mereka berhasil menangkap gajah putih tersebut dan membawanya ke istana aceh untuk dipersembahkan kepada sultan.","esuke, raja cik serule lan sengeda lunga menyang desa samarkilang. miturut petunjuk saka arwah muria, dheweke nemokake gajah putih kuwi ana ing pinggir kali. kanthi sabar, dheweke bisa nangkep gajah putih kuwi lan digawa menyang istana aceh kanggo dipersembahake marang sultan."
Asal Usul Tari Guel,Aceh,10,"gajah putih yang dipersembahkan kepada sultan aceh menjadi simbol keberanian dan pengabdian sengeda serta raja cik serule. kisah muria dan sengeda menjadi legenda yang diwariskan dari generasi ke generasi, mengajarkan tentang tanggung jawab, kesetiaan, dan keikhlasan dalam menghadapi cobaan hidup. hingga kini, makam muria di samarkilang masih dikenang oleh masyarakat sebagai tempat yang penuh sejarah dan makna.","gajah putih sing dipersembahake dadi lambang keberanian lan pengabdian sengeda lan raja cik serule. crita muria lan sengeda dadi legenda sing diwarisake turun-temurun, mulangake bab tanggung jawab, kesetiaan, lan keikhlasan nalika ngadhepi cobaan urip. nganti saiki, makam muria ing samarkilang isih dikenang masarakat minangka panggonan sing kebak sajarah lan makna."
