judul,provinsi,id_teks,teks,referensi
Ayam dan Ikan Tongkol,Riau,1,"dahulu kala, di kepulauan riau, ikan tongkol dan ayam menjalin persahabatan yang erat. mereka saling membantu satu sama lain. suatu hari, raja ayam memberi kabar kepada raja tongkol tentang sebuah pesta besar yang akan diadakan oleh keluarga nelayan untuk pernikahan anak mereka.","mbiyen kala, ing kapuloan riau, iwak tongkol lan pitik nduweni paseduluran sing raket. wong loro kuwi padha tulung-tinulung siji lan sijine. sawijining dina, raja pitik maringi kabar marang raja tongkol bab hajatan gedhe sing bakal dianakake dening kulawargane nelayan kanggo mantenan anake."
Ayam dan Ikan Tongkol,Riau,2,"jangan lupa, sahabatku raja tongkol, kau harus datang bersama rakyatmu ke pesta besok malam. kalian pasti akan sangat menikmatinya, ujar raja ayam.","aja lali, kancaku raja tongkol, kowe kudu teka bareng karo rakyatmu ing pesta sesuk bengi. kowe mesthi bakal seneng banget, ujare raja pitik."
Ayam dan Ikan Tongkol,Riau,3,"baiklah, aku dan rakyatku akan dengan senang hati menghadiri pesta itu. namun, aku butuh bantuanmu, raja ayam, jawab raja tongkol.","yowis, aku lan rakyatku bakal rawuh kanthi seneng ati. nanging, aku butuh tulungmu, raja pitik, wangsule raja tongkol."
Ayam dan Ikan Tongkol,Riau,4,"bantuan apa itu dengan senang hati aku akan membantumu, timpal raja ayam.","tulung apa kuwi kanthi seneng ati aku bakal mbantu kowe, timpale raja pitik."
Ayam dan Ikan Tongkol,Riau,5,"kami akan datang nanti malam saat air laut pasang. namun, kami harus kembali sebelum matahari terbit, saat air laut mulai surut. jadi, aku minta kalian berkokok untuk memberi tanda waktu bagi kami, jelas raja tongkol.","kami bakal teka bengi mengko wektu banyu pasang. nanging, kudu bali sadurunge srengenge munggah, wektu banyu wiwit surut. dadi, aku nyuwun kowe lan rakyatmu kanggo kluruk minangka tandha wektu kanggo kami, jlentrehe raja tongkol."
Ayam dan Ikan Tongkol,Riau,6,"tentu saja, kami akan melakukannya, sahut raja ayam menyanggupi.","mesti, aku lan rakyatku bakal nindakke kuwi, sahut raja pitik nyanggupi."
Ayam dan Ikan Tongkol,Riau,7,"malam itu, pesta dimulai dengan megah. bulan purnama bersinar terang, dan air laut sedang pasang. rombongan rakyat tongkol pun tiba dan bersembunyi di karang-karang dekat panggung utama. mereka menikmati pesta dengan penuh suka cita, terpesona oleh alunan rebana yang bertalu-talu.","bengi kuwi, pestane diwiwiti kanthi meriah. rembulane purnama madhangi terang, lan banyu laut pasang. rombongan rakyat tongkol teka lan ndhelik ana ing karang-karang cedhak panggung utama. wong-wong kuwi nikmati pesta kanthi bungah, kesengsem marang irama rebana sing ditabuh rame."
Ayam dan Ikan Tongkol,Riau,8,"malam semakin larut, namun rakyat tongkol enggan meninggalkan pesta. masalah muncul ketika warga pantai dan para tongkol tertidur lelap. celakanya, raja ayam dan rakyatnya juga ikut terlelap. tak ada seekor pun ayam jantan yang berkokok memberi tanda waktu.","bengi saya suwe, nanging rakyat tongkol ora gelem ninggal pesta. masalah muncul nalika warga pesisir lan para tongkol padha turu kepenak. siale, raja pitik lan rakyate uga keturon. ora ana siji wae pitik jago sing kluruk kanggo maringi tandha wektu."
Ayam dan Ikan Tongkol,Riau,9,"saat matahari terbit, rakyat tongkol terbangun. mereka kaget melihat pantai mulai mengering karena air laut sudah surut.","nalika srengenge munggah, rakyat tongkol tangi. wong-wong kuwi kaget ndelok pantai wiwit garing merga banyu laut wis surut."
Ayam dan Ikan Tongkol,Riau,10,oh tidak air laut sudah surut kemana ayam jantan yang bertugas berkokok membantu kami seru para tongkol panik.,aduh banyu laut wis surut endi pitik jago sing tugase kluruk nulungi kita seru para tongkol kanthi panik.
Ayam dan Ikan Tongkol,Riau,11,"mereka berusaha melompat-lompat untuk kembali ke pantai yang berair. sayangnya, hanya sedikit yang berhasil selamat, termasuk raja tongkol.","wong-wong kuwi nyoba mlumpat-mlumpat supaya isa bali menyang segara sing isih ana banyune. sayange, mung sawetara wae sing isa slamet, klebu raja tongkol."
Ayam dan Ikan Tongkol,Riau,12,"ketika sinar matahari mulai menyengat, raja ayam dan rakyatnya baru terbangun. raja ayam panik. ya ampun ternyata hari sudah pagi. bagaimana nasib rakyat tongkol pikirnya dengan gelisah.","nalika cahyane srengenge wiwit sumunar panas, raja pitik lan rakyate tangi. raja pitik panik. aduh, jebule wis esuk. kepiye nasibe rakyat tongkol pikire kanthi kuatir."
Ayam dan Ikan Tongkol,Riau,13,"sementara itu, warga pesisir mulai bangun. mereka terkejut melihat banyak ikan tongkol menggelepar di karang-karang yang sudah kering. dengan cepat, mereka menangkap ikan-ikan itu dan membawanya pulang.","ing wektu kuwi, warga pesisir wiwit tangi. wong-wong kuwi kaget ndelok akeh iwak tongkol ngglethak ing karang-karang sing wis garing. cepet-cepet, wong-wong kuwi nyekel iwak-iwak kuwi lan nggawa bali menyang omah."
Ayam dan Ikan Tongkol,Riau,14,"melihat rakyatnya ditangkap oleh manusia, raja tongkol sangat marah. dengan nada penuh amarah, ia mengucapkan sumpah kepada raja ayam dan rakyatnya.","ndelok rakyate dicekel manungsa, raja tongkol nesu banget. kanthi swara kebak nesu, dheweke ngucapake sumpah marang raja pitik lan rakyate."
Ayam dan Ikan Tongkol,Riau,15,"persahabatan kita sudah selesai, raja ayam mulai sekarang, kami rakyat tongkol akan memakan semua rakyat ayam, terutama kalian ayam jantan seru raja tongkol.","paseduluran kita wis rampung, raja pitik wiwit saiki, aku lan rakyatku bakal mangan rakyatmu kabeh, utamane kowe, pitik jago seru raja tongkol."
Ayam dan Ikan Tongkol,Riau,16,"sejak saat itu, ikan tongkol dan ayam menjadi musuh bebuyutan. persahabatan mereka berubah menjadi permusuhan. hingga kini, nelayan di sekitar pantai wilayah riau sering menggunakan bulu ayam sebagai umpan untuk memancing ikan tongkol.","wiwit kuwi, iwak tongkol lan pitik dadi mungsuh bebuyutan. pasedulurane owah dadi permusuhan. nganti saiki, para nelayan ing pesisir wilayah riau asring nggunakake bulu pitik kanggo umpan mancing iwak tongkol."
