judul,provinsi,id_teks,teks,referensi
Baginde Lubuk Gong,Aceh,1,"di sebuah desa yang subur, terletak sebuah pemukiman yang dipimpin oleh seorang kepala desa kaya raya bernama baginde lubuk gong. kekayaannya meliputi ratusan hewan ternak dan sawah yang luas, menjadikannya salah satu tokoh terkemuka di desa. namun, kekayaannya bukanlah satu-satunya alasan ia dikenal. baginde lubuk gong juga memiliki seorang putri yang sangat cantik dan lembut, bernama putri lubuk gong.","nang sawijining desa sing subur, ana sawijining pemukiman sing dipimpin karo sawijining kepala desa sugih raya jenenge baginde lubuk gong. bandhane ngliputi atusan kewan ternak lan sawah sing amba, ndadekake dheweke salah siji tokoh terkemuka nang desa. nanging, bandhane dudu siji-sijine alesan dheweke dikenal. baginde lubuk gong uga nduweni sawijining putri sing ayu banget lan alus, jenenge putri lubuk gong."
Baginde Lubuk Gong,Aceh,2,"putri lubuk gong adalah sosok yang disukai banyak pemuda di desanya. setiap hari, ada saja pemuda yang datang untuk melamarnya. namun, ayahnya selalu menetapkan persyaratan yang sulit bagi para pelamar, sehingga putri lubuk gong belum juga menemukan pasangan hidupnya.","putri lubuk gong kuwi sosok sing disenengi akeh nom-noman nang desane. saben dina, mesthi ana wae nom-noman sing teka kanggo nglamar. nanging, bapake tansah netepake syarat sing angel kanggo para pelamar, mula putri lubuk gong durung nemokake pasangan uripe."
Baginde Lubuk Gong,Aceh,3,"suatu hari, datanglah seorang pemuda yang berani dan kaya dari luar desa untuk melamar putri lubuk gong. seperti biasa, baginde lubuk gong menetapkan persyaratan yang tinggi, namun pemuda itu dengan percaya diri menyetujui semua persyaratan tersebut. hari pernikahan pun ditentukan, tetapi pemuda tersebut dan rombongannya tidak kunjung datang. berbulan-bulan berlalu tanpa kabar dari mereka.","siji dina, tekane sawijining nom-noman sing wani lan sugih saka njaba desa kanggo nglamar putri lubuk gong. kaya biasane, baginde lubuk gong netepake syarat sing dhuwur, nanging nom-noman kuwi kanthi percaya dhiri nyetujoni kabeh syarat mau. dina pernikahan wis ditemtokake, nanging nom-noman kuwi lan rombongane ora teka-teka. wulan-wulan lumaku tanpa kabar saka wong-wong kuwi."
Baginde Lubuk Gong,Aceh,4,"baginde lubuk gong, meskipun sedikit kecewa, tetap menunggu dengan penuh harapan. ketika rombongan tersebut akhirnya muncul dengan membawa semua persyaratan yang diminta, baginde lubuk gong merasa senang. namun, sebelum pernikahan itu terlaksana, baginde lubuk gong merasa perlu pergi ke luar negeri untuk membeli barang-barang mewah sebagai persiapan pernikahan putri lubuk gong. kepergiannya ini menimbulkan kecurigaan di hati calon menantunya, yang menganggap bahwa baginde lubuk gong sengaja memperlambat pernikahan.","baginde lubuk gong, sanajan rada kecewa, tetep ngenteni kanthi kebak pangarep-arep. nalika rombongan kuwi pungkasane muncul nggawa kabeh syarat sing dijaluk, baginde lubuk gong krasa seneng. nanging, sakdurunge pernikahan kuwi kelakon, baginde lubuk gong krasa perlu lunga menyang luar negeri kanggo tuku barang-barang mewah minangka persiapan pernikahan putri lubuk gong. lungae iki nimbulake rasa curiga nang ati calon mantune, sing nganggep yen baginde lubuk gong sengaja nglamur pernikahan."
Baginde Lubuk Gong,Aceh,5,"dipenuhi pikiran buruk, pemuda itu menjadi kalap. dalam keadaan emosi yang tidak terkendali, ia memerintahkan orang-orangnya untuk menculik putri lubuk gong dan merantainya. putri lubuk gong pun hilang tanpa jejak, dan kabar tentang kematiannya menyebar dengan cepat.","kebak pikiran ala, nom-noman kuwi dadi nekat. nang kahanan emosi sing ora bisa dikendhaleni, dheweke maringi printah marang wong-wonge kanggo nyulik putri lubuk gong lan ngiket dheweke. putri lubuk gong banjur ilang tanpa tilas, lan kabar bab sejane sumebar kanthi cepet."
Baginde Lubuk Gong,Aceh,6,"ketika baginde lubuk gong kembali ke desanya, ia disambut dengan berita yang menyedihkan. kehilangan putri tunggalnya adalah pukulan yang sangat berat baginya. namun, meskipun penuh kemarahan dan kesedihan, baginde lubuk gong tidak menghukum calon menantunya yang terlibat dalam peristiwa tragis itu. sebaliknya, ia meminta pemuda tersebut untuk tinggal di rumahnya dan menggantikan posisi putri lubuk gong.","nalika baginde lubuk gong bali menyang desane, dheweke disambut karo kabar sing nyedihake. kehilangan putri siji-sijine kuwi pukulan sing banget abot kanggo dheweke. nanging, senajan kebak nesu lan sedhih, baginde lubuk gong ora ngukum calon mantune sing melu kejadian tragis kuwi. kosok baline, dheweke njaluk nom-noman kuwi tetep manggon nang omahe lan ngganti posisi putri lubuk gong."
Baginde Lubuk Gong,Aceh,7,"dalam duka yang mendalam, baginde lubuk gong memutuskan untuk membuang semua barang mewah dan mas kawin yang telah dibelinya dari luar negeri. ia merasa bahwa kekayaan materi tidak ada artinya jika kebahagiaan keluarganya telah sirna. walaupun kehilangan putri lubuk gong, baginde lubuk gong berusaha melanjutkan hidup dengan penuh kesabaran dan keikhlasan. ia menyadari bahwa takdir telah menulis kisahnya dengan pahit, tetapi ia tetap teguh menjalani hidupnya dengan penuh martabat.","nang rasa susah sing jero, baginde lubuk gong mutusake kanggo mbuwang kabeh barang mewah lan mas kawin sing wis dituku saka luar negeri. dheweke krasa yen bandha materi ora ana artine yen kabahagiaan keluargane wis sirna. senajan kelangan putri lubuk gong, baginde lubuk gong nyoba nerusake urip kanthi sabar lan ikhlas. dheweke ngerti yen nasib wis nulis ceritane kanthi pait, nanging dheweke tetep kukuh nglakoni uripe kanthi martabat."
Baginde Lubuk Gong,Aceh,8,"sementara itu, pemuda yang dulunya bermimpi menjadi menantu baginde lubuk gong kini hidup dengan rasa bersalah yang mendalam. meskipun telah diampuni, ia harus menjalani hidup dengan beban moral yang sangat berat sepanjang hidupnya.","samentara kuwi, nom-noman sing biyen ngimpi dadi mantu baginde lubuk gong saiki urip karo rasa salah sing jero. sanajan wis diapura, dheweke kudu nglakoni urip karo beban moral sing abot banget sak uripe."
Baginde Lubuk Gong,Aceh,9,"kisah tragis tentang putri lubuk gong menjadi pelajaran bagi semua orang bahwa tindakan impulsif dan keputusan yang diambil dalam keadaan emosional bisa memiliki konsekuensi yang merugikan bagi diri sendiri maupun orang lain. namun, baginde lubuk gong memilih untuk memaafkan dan mengajarkan kebaikan hati serta ketabahan dalam menghadapi cobaan hidup.","cerita tragis bab putri lubuk gong dadi pelajaran kanggo kabeh wong yen tumindak impulsif lan keputusan sing dijupuk nalika emosi bisa nduweni akibat sing gawe rugi kanggo awake dhewe lan wong liya. nanging, baginde lubuk gong milih kanggo ngapura lan ngajari kebaikan ati lan ketabahan nang ngadhepi cobaan urip."
Baginde Lubuk Gong,Aceh,10,"dalam keputusasaan dan kesedihan, baginde lubuk gong mencari cara untuk menghadapi rasa kekosongan yang dalam. ia menyadari bahwa mengabdikan dirinya untuk kebaikan orang lain mungkin bisa meredakan luka hatinya yang teramat dalam. baginde lubuk gong mulai aktif terlibat dalam kegiatan sosial dan bakti kepada masyarakat. ia memperluas program bantuan bagi warga desa yang membutuhkan, membangun fasilitas pendidikan dan kesehatan, serta mengadakan acara keagamaan dan budaya untuk menyatukan masyarakat.","nang rasa putus asa lan sedhih, baginde lubuk gong nggoleki cara kanggo ngadhepi rasa kosong sing jero. dheweke ngerti yen ngabdekake awake kanggo kebaikan wong liya bisa wae ngurangi lara atine sing jero banget. baginde lubuk gong mulai aktif melu kegiatan sosial lan pengabdian kanggo masyarakat. dheweke ngembangake program bantuan kanggo warga desa sing butuh, mbangun fasilitas pendidikan lan kesehatan, lan nganakake acara agama lan budaya kanggo nyawijekake masyarakat."
