judul,provinsi,id_teks,teks,referensi
Banta Ahmad,Aceh,1,"pada zaman dahulu, di sebuah negeri, terdapat sebuah kerajaan yang dipimpin oleh seorang raja yang tidak mempunyai anak. ia menginginkan seorang anak yang akan menggantikannya kelak. pada suatu malam setelah sembahyang maghrib, beliau bernazar, ya tuhanku, karuniakanlah kami seorang anak. kepada anak itu, cerikan seorang anak miskin sebagai kawannya. rupanya, permintaan itu dikabulkan oleh tuhan, lalu lahirlah seorang anak yang tampan. sejak lahirnya, anak tersebut menangis semalam suntuk. raja sangat susah memikirkan anaknya yang terus menangis. lalu dipanggilnya seorang nujum dan menanyakan nasib anaknya itu. kemudian nujum itu menceritakan hasil ramalannya bahwa raja telah melupakan sesuatu, yaitu belum memenuhi nazarnya. hal itu diakui oleh raja. seketika itu pula, raja memerintahkan perdana menteri untuk mencari satu keluarga fakir miskin yang ada di negeri itu. akhirnya, didapati satu keluarga fakir miskin yang mempunyai seorang putera, lalu dibawanya ke istana. kepada keluarga fakir miskin itu, didirikannya sebuah rumah dekat istana dan dibiayai segala kebutuhan hidupnya. anak fakir miskin yang telah diangkat sebagai anak pungut diberi nama raja ahmad, sedangkan anak raja diberi nama banta ahmad. banta ahmad mengira bahwa raja ahmad adalah abang kandungnya sendiri, sebab raja tidak pernah memberi tahu bahwa raja ahmad adalah anak angkatnya. setiap hari, raja ahmad dan banta ahmad bermain berdua dengan sangat intim. mereka bermain kelereng, bermain sumpit-sumpitan.","ing jaman mbiyen, ana ing sawijining nagara, ana sawijining karajan kang dipimpin dening sawijining raja kang ora nduweni anak. panjenengane ngersakake anak kang bakal ngganteni panjenengane kelak. ing sawijining wengi sawise sholat maghrib, panjenengane ndedonga, ya gusti, paringana kula anak siji. marang anak kuwi, pasanganana karo anak miskin minangka kancane. rupane, panyuwunan kuwi ditampani dening gusti allah, banjur laire anak kang bagus rupane. wiwit laire, anak kuwi nangis sak wengi kabeh. raja banget susah mikirake anake kang terus nangis. banjur diceluke sawijining nujum lan ditakoni bab nasib anake kuwi. banjur nujum kuwi nyritakake asil ramalane yen raja wis lali marang sawijining perkara, yaiku durung nepaki nazare. bab iku diakoni dening raja. wektu kuwi uga, raja dhawuh marang perdana mentri supaya golek sawijining kulawarga miskin kang ana ing nagara kuwi. akhire, ditemokake sawijining kulawarga fakir miskin kang nduweni anak lan banjur digawa menyang istana. marang kulawarga fakir miskin kuwi, didirekake sawijining omah cedhak istana lan kabeh kabutuhan uripe ditanggungi. anak fakir miskin kang wis diangkat dadi anak angkat dijenengi raja ahmad, dene anake ratu dijenengi banta ahmad. banta ahmad ngira yen raja ahmad iku kakang kandunge dhewe, amarga ratu ora tau nyritakake yen raja ahmad iku anak angkat. saben dina, raja ahmad lan banta ahmad dolanan bareng kanthi akrab banget. wong loro kuwi dolanan kelereng, dolanan sumpitan. ing sawijining dina, raja ahmad lan banta ahmad mlaku-mlaku menyang sawijining panggonan kanggo nyumpit manuk-manuk. dumadakan wong loro kuwi weruh sawijining manuk ing dhuwur wit gedhe. banjur raja ahmad ngomong marang adhine, banta ahmad, aja disumpit manuk kuwi, mengko awake dhewe bakal nemu cilaka. banta ahmad ora nggatekake larangan saka kakange. manuk kuwi disumpit, banjur tiba alon-alon. rupane, manuk kuwi tiba ing halaman istana, lan manuk kuwi dijupuk dening puteri laila, garwane bapake kang kapindho, kang dinikahi dening ratu nalika banta ahmad isih bayi. manuk kuwi disumputake ing sangisore belanga dening puteri laila. banjur tekane banta ahmad menyang panggonane ibu tirine lan takon, bu, apa ibu weruh manuk kang tiba ing kene puteri laila mangsuli, aku ora weruh. banta ahmad lan raja ahmad diparingi mlebu menyang istana dening puteri laila. banjur wong loro kuwi mlebu menyang istana, lan kasempatan kuwi dienggo kanggo nggoleki manuk kuwi, nanging ora ditemokake."
Banta Ahmad,Aceh,2,"pada suatu hari, raja ahmad dan banta ahmad pergi berjalan-jalan ke suatu tempat untuk menyumpit burung-burung. tiba-tiba mereka melihat seekor burung di atas pohon kayu yang besar. lalu raja ahmad mengatakan kepada adiknya, banta ahmad, jangan disumpit burung itu, nanti kita akan mendapat mala petaka. banta ahmad tidak menghiraukan larangan abangnya. burung itu disumpitnya, lalu jatuh perlahan-lahan. rupanya, burung itu jatuh ke halaman istana, dan burung itu diambil oleh puteri laila, isteri ayahnya yang kedua, yang dikawini oleh raja ketika banta ahmad masih bayi. burung itu disembunyikan di bawah belanga oleh puteri laila. kemudian datanglah banta ahmad ke tempat ibu tirinya seraya bertanya, bu, adakah ibu melihat burung yang jatuh di sini puteri laila menjawab, saya tidak melihatnya. banta ahmad dan raja ahmad dipersilakan masuk ke dalam istana oleh puteri laila. lalu mereka masuk ke dalam istana, dan kesempatan tersebut mereka gunakan untuk mencari burung tersebut, namun tidak mereka dapati juga.","nalika puteri laila menyang pawon, kasempatan kuwi dienggo dening banta ahmad kanggo munggah menyang loteng istana. ing kono dheweke nemokake manuk kang digoleki, kang wis disumputake dening puteri laila ing sangisore belanga. manuk kuwi dijupuk, banjur wong loro kuwi metu menyang halaman istana. puteri laila ngerti yen manuk kang disumputake wis dijupuk dening banta ahmad, banjur dheweke nyoba ngoyak. terjadi tarik-menarik antarane wong loro kuwi. manuk kang wis ana ing tangane banta ahmad kuwi ora bisa direbut maneh dening puteri laila. ing perebutan kuwi, klambine banta ahmad koyak ing bagean mburi. puteri laila banget nesu, banjur nyuruh dayange ngiket awake banta ahmad nganggo tali lan disuruh ngetokake cedhak wc istana. ora suwi, ratu bali, banjur nyeluk permaisurine lan ngendika, bukak lawang lan jupuk iwak iki. sawise ping telu panjenengane ngendika, bar mung ana wangsulan, kula ora bisa obah amarga wis kebelunggu. munggahana menyang istana. krungu wangsulan kuwi, ratu gumun banjur takon, kok puteri panjenengan kebelunggu puteri laila mangsuli, awit ulah anak panjenengan, banta ahmad lan raja ahmad. wektu kuwi, ratu banget murka marang kelakuan anak-anake kuwi. panjenengane dhawuh supaya loro anak kuwi dipateni. rupane, banta ahmad lan raja ahmad nyritakake kedadian kuwi marang ibu kandunge. banjur dening ibune, kedadian kuwi disampekake marang sawijining batur kang pinter. banjur batur kuwi mikir akal kanggo nylametake banta ahmad lan raja ahmad saka kemarane ratu. banta ahmad lan raja ahmad didandani kaya loro puteri ratu kang ayu rupane. wektu kuwi uga ratu teka ing kahanan nesu lan ngamuk ora ana tandhingane. dheweke ditegor dening batur nganggo swara alus, wahai daulat tuanku, aja daulat tuanku nesu-nesu lan rame-rame, mesthi isin yen didelok calon mantu kita. rayuan batur kang pinter kuwi bisa nyenengake ratu saka amuke. banjur panjenengane munggah menyang balai ruang lan nginep karo calon mantune kuwi."
Banta Ahmad,Aceh,3,"ketika puteri laila menuju ke dapur, kesempatan itu digunakan oleh banta ahmad untuk menaiki loteng istana. di sana ia menemukan burung yang dicarinya, yang telah disembunyikan oleh puteri laila di bawah belanga. burung itu diambilnya, lalu mereka keluar menuju ke halaman istana. puteri laila menyadari bahwa burung yang disembunyikannya telah diambil oleh banta ahmad, lalu ia berusaha mengejarnya. terjadilah tarik-menarik antara keduanya. burung yang sudah di tangan banta ahmad itu tidak berhasil direbut kembali oleh puteri laila. dalam perebutan itu, baju banta ahmad robek di bagian belakang. puteri laila sangat marah, lalu menyuruh dayangnya mengikat tubuh banta ahmad dengan tali dan disuruh meletakkannya dekat wc istana. tidak lama kemudian, raja pulang, lalu memanggil permaisurinya dan berseru, buka pintu dan ambillah ikan ini. setelah tiga kali berturut-turut ia berseru, barulah ada jawaban, saya tidak bisa bergerak karena sudah terbelenggu. naiklah ke istana.","raja lungguh ngobrol karo calon mantune kuwi.wektu kuwi, budhak sing cerdik kuwi ngomong marang raja, kula nyuwun pangapunten, daulat tuanku, kula sing bakal ngeterake loro putri iki bali menyang omahe. lan nek panjenengan kepengin mateni banta ahmad lan raja ahmad, kula wae sing bakal mateni. nek panjenengan pengin mangan ati lan ngombe getihe, ben kula sing nggawa mulih mengko. raja ora ngerti nek loro putri sing wis dihias kuwi sejatine anake dhewe. mangkono kuwi, budhak lan loro putri palsu mau budhal saka istana. ing perjalanan ngliwati alas, banta ahmad lan raja ahmad ora nemoni kesusahan. banjur budhak kuwi ngomong marang wong loro kuwi, kowe wis slamet saka bebaya lan saiki budhal golek pengalaman menyang negoro liya amarga bapakmu nesu banget karo kowe. sawise kuwi, budhak sing pinter mau bali menyang istana. ing tengah dalan, dheweke nyembelih loro wedhus. ati lan getih wedhus kuwi banjur digawa menyang raja karo ngomong, daulat tuanku, punika atine lan getihe banta ahmad lan raja ahmad sing wis kula pateni. raja banjur ngombe getihe lan mangan atine wedhus sing disangkane atine lan getihe anake dhewe. sawise kuwi, raja rumangsa seneng lan bali menyang istana putri laila."
Banta Ahmad,Aceh,4,"mendengar jawaban itu, raja heran lalu bertanya, mengapa tuan puteri terbelenggu puteri laila menjawab, perbuatan anakmu, banta ahmad dan raja ahmad. ketika itu, raja amat murka terhadap perbuatan anaknya itu. ia menyuruh agar kedua anak itu dibunuh. rupanya, banta ahmad dan raja ahmad menceritakan kejadian itu kepada ibu kandungnya. kemudian oleh ibunya, peristiwa tersebut disampaikan kepada seorang budak yang cerdik. lalu budak itu mencari akal untuk menyelamatkan banta ahmad dan raja ahmad dari kemurkaan raja. banta ahmad dan raja ahmad dihias bagaikan dua orang puteri raja yang cantik jelita. ketika itu pun raja datang dalam keadaan marah serta mengamuk tiada taranya. ia ditegur oleh budak dengan suara lemah lembut, wahai daulat tuanku, janganlah daulat tuanku marah-marah dan ribut-ribut, tentu akan malu dilihat oleh calon menantu kita. bujukan budak yang cerdik itu dapat menenangkan raja dari amukan kemarahan. kemudian ia naik ke balai ruang dan bermalam dengan calon menantunya itu. raja duduk beramah-tamah dengan calon menantunya itu.","banta ahmad lan raja ahmad lelungan ana ing alas suwe banget nganti pirang-pirang sasi. ing sawijining dina, wong loro kuwi ngaso ing sangisoring wit gedhe merga kesel banget. dumadakan ana manuk tiba cedhak wong loro kuwi. manuk kuwi nyangkut karo kayu sing nempel ing awake. banjur manuk kuwi dijupuk karo raja ahmad lan disimpen ana ngisor wit. jebule, manuk kuwi wis suwe dipantau lan diupaya dijupuk karo tengku syiah rimba, nanging nganti saiki durung tau kesangkut ing getah sing dipasang ana dahan wit kuwi. nalika manuk kuwi tiba, banta ahmad tangi lan takon marang kakange, sing tiba mau apa, mas ora ana apa-apa, jawab kakange sambil goroh. banta ahmad ora percaya karo jawaban kuwi. wong loro kuwi terus padha padu, nganti pungkasane raja ahmad ngakoni nek sing tiba kuwi manuk. wong loro kuwi banjur sepakat nyembelih manuk kuwi lan metu menyang panggonan sing padhang ana sangisoring srengenge. wong loro kuwi banjur nyekel manuk kuwi lan ngubengake ana ndhuwur geni."
Banta Ahmad,Aceh,5,"ketika itu, budak yang cerdik itu mengatakan kepada raja, biarlah daulat tuanku, kedua puteri ini saya antarkan ke rumahnya, dan kalau tuan ingin membunuh banta ahmad dan raja ahmad, biarlah saya yang membunuhnya. bila tuanku ingin memakan hati dan minum darahnya, biarlah nanti saya bawa pulang. raja tidak mengetahui bahwa kedua puteri yang telah dihias itu adalah anaknya sendiri. dalam pada itu, budak dan kedua puteri palsu itu berangkatlah dari istana. dalam perjalanan menempuh hutan belantara, banta ahmad dan raja ahmad tidak mengalami kesulitan. lalu budak itu mengatakan kepada mereka, kalian telah terhindar dari bahaya dan berangkat mencari pengalaman merantau ke negeri lain karena ayahmu sangat marah kepadamu.","wektu kuwi, tengku syiah rimba teka menyang panggonan kuwi. dheweke ngomong, wes dadi rejekimu entuk manuk iki. aku wis pirang-pirang taun nyoba nyekel manuk iki tapi ora tau kasil. pesanku, sapa sing mangan sirahe manuk iki, bakal dadi raja luwih dhisik. tapi sing mangan buntute bakal nandhang sangsara dhisik, nanging suwe-suwe bakal dadi raja uga. sawise kuwi, tengku syiah rimba langsung ngilang."
Banta Ahmad,Aceh,6,"setelah itu, budak yang cerdik pulang ke istana. dalam perjalanan, ia menyembelih dua ekor kambing. hati dan darah kambing itu diserahkan kepada raja sambil mengatakan, daulat tuanku, makanlah hati dan minumlah darah banta ahmad dan raja ahmad yang telah saya bunuh tadi. raja pun minumlah darah dan memakan hati kambing yang disangkanya hati dan darah anaknya itu. setelah itu, ia merasa senang dan pulang ke istana puteri laila.","nalika arep mbagi daging manuk kuwi, wong loro kuwi padha padu. padune kuwi merga rebutan sapa sing kudu mangan sirahe. kakange nyuruh adikne, nanging adikne malah nyuruh kakange. supaya ora terus-terusan padu, pungkasane banta ahmad njupuk buntute lan dimangsa dhewe. akhire kakange kudu mangan sirahe. sawise kuwi, merga ngelak, wong loro kuwi padha golek banyu. banta ahmad munggah wit sing dhuwur arep ndelok ana banyu apa ora. jebule, ora adoh saka kono, katon sumur tua. raja ahmad banjur mudhun lan nyedhak sumur kuwi, dene adikne tetep ngenteni ana ngisor wit. dheweke nyiduk banyu nganggo godhong keladi. nalika arep nyangga banyu kanggo adikne, dumadakan metu gajah saka alas. raja ahmad dijupuk lan diunggahke nang punggunge, banjur digawa menyang sawijining nagara sing wis patang puluh taun ora nduweni raja. warga nagara kuwi tau janji, sapa wae sing digawa gajah, bakal dadi rajane."
Banta Ahmad,Aceh,7,"banta ahmad dan raja ahmad berkelana di hutan belantara telah berbulan-bulan lamanya. pada suatu hari, mereka beristirahat di bawah batang kayu besar karena telah terlalu lelah. tiba-tiba seekor burung jatuh di samping mereka. burung itu terjerat dengan kayu pada badannya. lalu burung itu diambil oleh raja ahmad dan disimpan di bawah pohonnya. rupanya, burung tersebut telah lama diintip dan usaha penangkapannya dilakukan oleh tengku syiah rimba, tetapi selama ini ia belum terjerat dengan getah yang dipasang pada dahan kayu besar itu. ketika burung itu jatuh, banta ahmad terbangun dan menanyakan abangnya, apakah yang jatuh tadi, bang tidak ada apa-apa, jawab abangnya berbohong. banta ahmad tidak percaya atas jawaban abangnya itu. mereka bertengkar, akhirnya raja ahmad mengaku dan menjelaskan bahwa yang jatuh itu adalah seekor burung. mereka sepakat untuk menyembelih burung itu lalu mereka keluar ke tempat yang terang di bawah sinar matahari. mereka memegang burung itu di atas bara api.","banta ahmad wis krasa resah. dheweke ngenteni lan ngenteni. neng endi to kirane sedulure kuwi lunga banjur dheweke mangkat golek sedulure, terus nemu tapak sikile gajah ing dalan-dalan sing dilakoni. saka kene, dheweke mikir menawa sedulure bisa uga wis digawa utawa dipangan kewan kuwi. nalika raja ahmad digawa gajah, kelereng intan lan kain sing digawa ditibakake ana dalan kanggo ninggal jejak. banjur tekane raja ahmad ana ing sawijining nagara. raja ahmad saiki wis dadi raja ing nagara kuwi, dene banta ahmad isih nyusul sedulure. sak perjalanane, banta ahmad tekan sawijining kampung, banjur mlebu ing surau. ing surau kuwi banta ahmad nginep. pas wektu sholat maghrib, banta ahmad azan. swarane merdu banget nganti keprungu nganthi pelosok kampung. kabeh wong padha kepo, sapa to sing azan nganggo swara merdu kuwi banjur ana wong pinter jenenge lahuda, ngutus sawetara pemuda lunga menyang surau kanggo nyelidiki. sawise tekan ing surau, para pemuda ngerti yen sing azan kuwi tamu anyar sing durung tau dikenal. banjur padha bali lan lapor marang lahuda. lahuda banjur ngutus pemuda-pemuda kuwi ngeterake sega marang banta ahmad, tamu surau kuwi."
Banta Ahmad,Aceh,8,"ketika itu, datanglah tengku syiah rimba ke tempat mereka. kepada mereka ia mengatakan, sudah nasib, sudah rezeki, memperoleh burung ini. saya sudah bertahun-tahun lamanya berusaha menangkapnya namun tidak berhasil juga. pesan saya kepada kalian, bahwa siapa yang memakan burung ini, bahagian kepalanya, maka ia lebih dahulu menjadi raja. tetapi yang memakan ekornya akan mengalami kesengsaraan, tetapi lama kelamaan ia akan menjadi raja juga. demikianlah pesan tengku syiah rimba kepada mereka, dan dengan seketika ia menghilang dari pandangan.","banjur dheweke ditakoni karo banta ahmad kenapa ora nggowo lampu. dheweke banjur njupuk lampu menyang omahe lahuda. nalika dheweke bali, banta ahmad njupuk kelereng intan lan nyelehke ana ing dhadhane nganti sakupenge dadi padhang. ora suwe bar kuwi, dheweke tekan maneh karo nggowo lampu, lan kaget banget nalika weruh ana padhang sing sumunar ana sakupenge banta ahmad. kedadean aneh kuwi langsung dilaporake marang lahuda. lahuda ngomong marang dheweke yen cahya kuwi saka cahya intan. wektu kuwi uga lahuda nyuruh supaya banta ahmad digawa mulih menyang omahe. nanging banta ahmad kandha, ben wae aku nginep kene, awit sesuk aku arep lunga maneh. dheweke tetep memaksa supaya banta ahmad bali, nanging banta ahmad tetep ora gelem. akhire lahuda dhewe teka kanggo ngajak bali karo kandha, ayo tuwan turu nang omahku, nang kene akeh maling, mengko barang-barange tuwan iso dicolong. kayane, rayuan lahuda kuwi berhasil, banjur banta ahmad lunga menyang omahe."
Banta Ahmad,Aceh,9,"ketika mereka akan membagi daging burung itu, mereka bertengkar. pertengkaran itu bersumber dari siapa di antara mereka yang memakan bahagian kepala burung itu. pihak abang menyuruh adik, dan sebaliknya pihak adik meminta abang untuk memakannya. untuk menyudahi pertengkaran, akhirnya banta ahmad mengambil bahagian ekor burung itu lalu memakannya. karena itu, mau tak mau bahagian kepalanya harus dimakan oleh abangnya. setelah itu, karena kehausan, mereka mencari air. banta ahmad naik ke atas sebatang pohon yang tinggi dengan maksud mencari gerangan air itu. ternyata, tidak berapa jauh dari pohon itu tampaklah sebuah sumur tua. raja ahmad menuju ke sumur itu, sedangkan adiknya tinggal di bawah pohon. ia mengambil air untuk adiknya, dan air itu ditampungnya dalam sehelai daun keladi. ketika akan membawa air kepada adiknya, tiba-tiba keluar seekor gajah dari dalam hutan. raja ahmad diangkatnya ke atas punggungnya dan dibawanya ke sebuah negeri yang telah empat puluh tahun lamanya tidak mempunyai raja yang memimpin negeri itu. penduduk di negeri itu pernah bernazar bahwa yang akan memimpin negeri itu kelak adalah orang yang dibawa oleh gajah.","wengi kuwi, banta ahmad dijamu karo lahuda kanthi apik banget. kayane lahuda wis nduwe niat ala marang dheweke. tuwan, wenehna barang-barange tuwan marang aku supaya tak simpen ben ora dicolong maling, kandhane. banta ahmad manut panjaluke. wis jam 09.00 esuk, banta ahmad wis ora tentrem; dheweke kepengin ninggal desa kuwi, nanging lahuda durung tangi saka turu. dheweke nyuwun anake lahuda supaya mbangunke bapake. nanging kira-kira jam 10.00, bojone lahuda tangi lan ndelok yen banta ahmad wis kaiket cedhak wc. kayane wektu lahuda dibangunke karo anake, lahuda ngomong yen barang-barange banta ahmad ora ana nang dheweke. dheweke nesu marang banta ahmad lan nyuruh pelayane kanggo ngiket dheweke cedhak wc. weruh kuwi, bojone lahuda ora seneng karo tumindake sing kejem kuwi. dheweke nesu lan memaki bojone. akhire, lahuda nyuruh supaya banta ahmad dilepas. banjur banta ahmad disuruh lahuda ngingoni wedhus."
Banta Ahmad,Aceh,10,"banta ahmad sudah gelisah, ia menunggu dan menunggu. ke mana gerangan abangnya pergi kemudian pergilah ia mencari abangnya, lalu ditemui tapak gajah di sepanjang jalan yang dilaluinya itu. karena itu, ia berpikir barangkali ia sudah dibawa atau dimakan binatang itu. ketika raja ahmad dibawa oleh gajah, maka kelereng intan dan kain yang ada padanya dilemparkan sepanjang jalan sebagai jejaknya. kemudian sampailah ia pada suatu negeri. raja ahmad kini sudah menjadi raja di negeri itu, sedangkan banta ahmad sedang mencari abangnya. dalam perjalanan itu, ia tiba pada sebuah kampung, lalu pergi ke surau. di surau itulah banta ahmad menginap. kebetulan pada waktu itu, tepat pada saat bersembahyang maghrib, lalu ia pun berazan. suara azannya yang sangat merdu itu kedengaran ke seluruh pelosok kampung, sehingga semua penduduk kampung itu bertanya-tanya siapa gerangan orang yang berazan itu. kemudian, salah seorang yang cerdik di kampung itu, yang bernama lahuda, menyuruh beberapa orang pemuda pergi ke surau untuk menyelidikinya. setelah pemuda-pemuda yang diutus ke surau mengetahui bahwa yang berazan itu adalah seorang tamu yang belum mereka kenal, lalu mereka pun pulang untuk melaporkan kepada lahuda. ketika lahuda mengetahui bahwa tamu tersebut mau menginap di surau, lalu ia menyuruh beberapa orang pemuda untuk mengantarkan nasi kepada banta ahmad, tamu yang menginap di surau itu.","sawijining dina, lahuda lunga dagang menyang luar negeri, lan banta ahmad disuruh lungguh nang sangisoring wit pelem nang halaman istana kuwi. raja takon, sing lungguh nang ngisor wit pelem kuwi sapa banjur lahuda njawab, kuwi si cokeng. banjur lahuda ngedol banta ahmad marang raja, banjur raja maringi dheweke marang putrine nomer pitu, sing durung nduwe budhak. putri raja nomer pitu kuwi yaiku putri bungsu. banta ahmad disuruh ngingoni wedhus. dheweke diparingi panggonan turu lan panganan sing pantes karo putri bungsu. nanging, banta ahmad ora gelem turu nang panggonan kuwi. dheweke ngrasa yen dheweke wong hina. mula saka kuwi, sak dina putri bungsu takon, kok kowe ora turu lan mangan nang panggonan sing tak siapke nanging malah turu nang kandang wedhus. kuwi ora ketok nek aku nyia-nyiakake uripmu banta ahmad meneng wae lan ora njawab opo-opo. dheweke tetep mikir yen dheweke wong hina."
Banta Ahmad,Aceh,11,"lalu mereka ditanyai oleh banta ahmad mengapa mereka tidak membawa lampu. mereka lalu mengambil lampu ke rumah lahuda. ketika mereka pulang, banta ahmad mengambil kelereng intan dan meletakkannya di atas pahanya sehingga di sekitarnya menjadi terang. tidak lama kemudian, mereka pun tiba kembali dengan membawa lampu, dan alangkah terkejutnya mereka melihat cahaya terang di sekitar banta ahmad. hal yang aneh itu segera mereka laporkan kepada lahuda. lahuda mengatakan kepada mereka bahwa cahaya itu adalah cahaya intan. seketika itu pula lahuda menyuruh agar banta ahmad itu dibawa pulang oleh mereka ke rumahnya. namun begitu banta ahmad mengatakan, biarlah saya menginap di sini saja, karena besok saya akan berangkat lagi. mereka mendesak agar banta ahmad pulang ke rumah, tetapi banta ahmad tidak mau juga. akhirnya datanglah lahuda sendiri untuk memintanya pulang sambil mengatakan, marilah tuan tidur di rumah saya, di sini banyak pencuri, dan nanti barang-barang tuan akan kecurian. rupanya, bujuk rayu lahuda itu berhasil, lalu banta ahmad berangkatlah ke rumahnya.","saka dina menyang dina, wedhus gembalane saya nambah akehe. sak dina, ilang rong ekor wedhus. esuk banget, dheweke nyoba golek wedhus sing ilang kuwi. wis adoh dheweke mlaku nggoleki. sak dalan liwat alas, tekan omahe raksasa. omah kuwi ana nang tengah alas jero. tekan kana, raksasa takon, kowe arep apa nang kene banta ahmad njawab, aku ilang wedhus rong ekor. raksasa kuwi meneng sakwetara, terus kandha, oh, wedhusmu kuwi tak jupuk wingi, nanging aja kuwatir, bakal tak ganti karo rong ekor wedhus emas. sabanjure, raksasa kuwi ngomong maneh, miwiti dina iki, kowe tak anggep dadi anakku lan yen bisa kowe turu lan mangan nang kene wae. aku bakal nyedhiakake panganan kanggo kowe. rong wedhus emas wenehan raksasa kuwi digawa mulih menyang omahe majikane."
