judul,provinsi,id_teks,teks,referensi
Banta Barensyah,Aceh,1,"di sebuah dusun terpencil di pedalaman nanggroe aceh darussalam, hiduplah seorang janda bersama anak laki-lakinya, banta berensyah. kehidupan mereka penuh kesederhanaan dan kesulitan ekonomi, namun kebersamaan serta ikatan batin yang kuat antara ibu dan anak inilah yang menjadi sumber kekuatan mereka dalam menghadapi berbagai cobaan hidup.","ing sawijining dusun terpencil ing pedalaman nanggroe aceh darussalam, urip ana sawijining randha bareng anak lanange, banta berensyah. uripe wong loro kuwi kebak kesederhanaan lan kasangsaraan ekonomi, nanging kebersamaan lan ikatan batin sing kuwat antara ibu lan anak dadi sumber kekuwatane kanggo ngadhepi macem-macem cobaan urip."
Banta Barensyah,Aceh,2,"banta berensyah, seorang pemuda berbakat dalam memainkan suling, menjadi harapan satu-satunya bagi ibunya. suatu hari, kabar tentang sayembara dari seorang raja sampai ke dusun mereka. raja mengumumkan bahwa siapa saja yang mampu memberikan hadiah istimewa berupa pakaian dari emas dan suasa untuk putrinya, putri terus mata, akan mendapatkan kesempatan langka untuk memperbaiki hidup.","banta berensyah, sawijining nom-noman sing duwe bakat main suling, dadi siji-sijine pangarep-arep kanggo ibune. sawijining dina, ana kabar bab sayembara saka sawijining raja tekan dusune. raja ngumumkake yen sapa wae sing isa maringi hadiah istimewa wujud klambi saka emas lan suasa kanggo putrine, putri terus mata, bakal nduwe kesempatan langka kanggo ngowahi uripe."
Banta Barensyah,Aceh,3,"mendengar kabar tersebut, hati banta berensyah berdesir oleh keinginan untuk mengubah nasib. meski sangat miskin, ia mendapatkan restu ibunya untuk mengikuti sayembara tersebut. dengan hanya membawa suling kesayangannya dan sehelai daun talas sebagai bekal, ia memulai perjalanan panjang menuju negeri yang belum pernah ia kenal sebelumnya.","krungu kabar kuwi, atine banta berensyah gumregah merga kepengin ngowahi nasib. senajan mlarat banget, dheweke entuk restu saka ibune kanggo melu sayembara kuwi. mung kanthi nggawa suling kesayangane lan saklempit godhong telas kanggo bekal, dheweke miwiti perjalanan dawa menyang nagara sing durung tau dikenal sadurunge."
Banta Barensyah,Aceh,4,"banta menumpang kapal pamannya, jakub, dan berlayar di lautan luas selama berhari-hari. meski sulit, ia tidak pernah menyerah. akhirnya, perjalanan itu membawanya ke sebuah pulau yang mempesona dengan keindahan alam dan budaya yang unik.","banta numpak kapal paklike, jakub, lan ngumbara neng segara amba sajroning pirang-pirang dina. sanajan angel, dheweke ora tau nyerah. akhire, perjalanan kuwi nggawa dheweke tekan sawijining pulo sing endah banget karo alam lan budaya sing unik."
Banta Barensyah,Aceh,5,"di pulau tersebut, banta menemukan kain emas dan suasa yang dicari sesuai dengan deskripsi raja. namun, kebahagiaannya tak berlangsung lama. pamannya, jakub, yang diam-diam mengikutinya, merampas kain tersebut. dengan hati hancur, banta tetap melanjutkan perjalanan menuju istana raja, meski tanpa bukti kepemilikan atas kain itu.","ing pulo kuwi, banta nemu kain emas lan suasa sing cocog karo gambarane raja. nanging, kabungahane ora suwe. paklike, jakub, sing ndhisike ndhelik ngetutake dheweke, ngerampas kain kuwi. senajan atine remuk, banta tetep nerusake perjalanan menyang kraton raja, senajan tanpa bukti yen kain kuwi duwe dheweke."
Banta Barensyah,Aceh,6,"setibanya di istana, banta terkejut mendapati pesta pernikahan putri terus mata telah dimulai. dengan hati berat, ia menyadari kesempatannya telah berlalu. namun, keajaiban terjadi. seekor burung elang tiba-tiba muncul di atas keramaian pesta. dengan suara lantang, burung itu mengungkapkan kebenaran bahwa kain emas dan suasa yang dibawa jakub sebenarnya milik banta berensyah.","sawise tekan kraton, banta kaget weruh pesta mantenane putri terus mata wis diwiwiti. kanthi ati abot, dheweke sadar yen kesempatane wis kliwat. nanging, keajaiban kelakon. ana manuk elang dumadakan muncul ing dhuwur keramaian pesta. kanthi swara banter, manuk kuwi mbabarake kebenaran yen kain emas lan suasa sing digawa jakub sakjane duweke banta berensyah."
Banta Barensyah,Aceh,7,"sang raja dan putri terus mata yang mendengar pengakuan burung elang segera menyadari bahwa mereka hampir tertipu oleh jakub. merasa malu dan takut akan hukuman, jakub mencoba melarikan diri melalui jendela. namun, takdir berkata lain. kakinya tersandung, dan ia jatuh menemui ajalnya.","sang raja lan putri terus mata sing krungu pengakuane manuk elang langsung nyadar yen mau mau meh diapusi karo jakub. krasa isin lan wedi dihukum, jakub nyoba mlayu liwat jendhela. nanging, nasib ngomong liya. sikile kesrimpet, lan dheweke tiba nganti nemoni pati."
Banta Barensyah,Aceh,8,"setelah kekacauan berakhir, kebenaran pun terungkap. sang raja yang terkesan oleh keberanian dan ketulusan banta berensyah memberikan restunya untuk menikahi putri terus mata. pernikahan mereka dirayakan dengan meriah oleh seluruh kerajaan.","sawise keriuhan kuwi rampung, kebenaran kabukak. sang raja sing kagum karo wani lan ketulusane banta berensyah maringi restu kanggo nikahi putri terus mata. pesta mantene dirayakake meriah dening kabeh warga kerajaan."
Banta Barensyah,Aceh,9,"sebagai penghormatan atas keberanian dan kejujuran banta, sang raja menyerahkan tahta kerajaan kepadanya. banta berensyah yang dahulu hanya seorang pemuda miskin kini menjadi raja yang bijaksana dan dihormati.","minangka pangormatan marang kawani lan kejujurane banta, sang raja nyerahke tahta kerajaan marang dheweke. banta berensyah sing biyen mung nom-noman mlarat saiki dadi raja sing wicaksana lan diajeni."
Banta Barensyah,Aceh,10,"perjalanan banta berensyah mengajarkan bahwa keberanian, kejujuran, dan keadilan selalu membuahkan hasil. dari seorang pemuda miskin, ia membuktikan bahwa kebaikan hati dapat mengubah nasib bahkan di tengah dunia yang penuh tipu muslihat. kisah ini menjadi bagian dari sejarah yang dikenang, memberi inspirasi bagi generasi mendatang untuk selalu berpegang teguh pada nilai-nilai kebaikan.","perjalanane banta berensyah mulang yen kawani, kejujuran, lan kaadilan mesthi bakal marakake kabecikan. saka sawijining nom-noman mlarat, dheweke mbuktekake yen kabecikan ati isa ngowahi nasib sanajan ana ing donya sing kebak tipuan. crita iki dadi bagean saka sajarah sing kelingan, maringi inspirasi marang generasi sabanjure supaya tetep ngugemi nilai-nilai kabecikan."
