judul,provinsi,id_teks,teks,referensi
Batu Belah Batu Betangkup,Sumatera Barat,1,"di sebuah desa, hidup seorang janda tua bernama minah yang memiliki tiga orang anak. ia memiliki dua orang anak laki-laki dan satu orang anak perempuan. minah sangat menyayangi ketiga anaknya itu. sebagai seorang janda, minah berusaha memenuhi kebutuhan hidupnya dan kebutuhan hidup ketiga anaknya. ia selalu bekerja keras tanpa kenal lelah untuk dapat menghidupi diri dan ketiga anaknya.","nang sawijining desa, urip sawijining randha tuwa jenenge minah sing nduweni telu anak. dheweke nduweni loro anak lanang lan siji anak wadon. minah banget tresna marang ketelu anake kuwi. minangka randha, minah ngupaya nyukupi kabutuhan uripe lan kabutuhan urip ketelu anake. dheweke tansah kerja keras tanpa kesel kanggo bisa nguripi awake dhewe lan ketelu anake."
Batu Belah Batu Betangkup,Sumatera Barat,2,"sayangnya, anak-anak minah merupakan anak yang pemalas dan nakal. tidak ada satu pun dari mereka yang berniat membantu meringankan beban ibunya. ketiga anaknya hanya suka bermalas-malasan dan bermain saja. jika dinasehati, anak-anaknya akan membantah. padahal, kondisi bu minah sudah semakin tua. karena itu, bu minah seringkali bersedih karena kelakuan anak-anaknya itu.","nanging, anak-anake minah kuwi anak sing malas lan nakal. ora ana siji wae saka anake kuwi sing gelem mbantu ngenthengake beban ibune. ketelu anake mung seneng males-malesan lan dolanan wae. yen dinasihati, anak-anake bakal mbalela. padahal, kahanane bu minah wis saya tuwa. mula saka kuwi, bu minah kerep sedhih merga kelakuan anak-anake kuwi."
Batu Belah Batu Betangkup,Sumatera Barat,3,"hingga suatu hari, bu minah sakit parah. ia memanggil ketiga anaknya untuk memasak makan malam karena hari itu bu minah sedang tidak sanggup untuk melakukan aktivitas seperti biasanya. hanya saja, hingga matahari hampir terbenam, anak-anaknya tidak ada yang melakukan tugas sesuai permintaan bu minah. mereka tetap saja asyik dengan dunianya, bermain dan bermalas-malasan.","nganti ing sawijining dina, bu minah lara parah. dheweke ngundang ketelu anake kanggo masak nedha bengi merga dina kuwi bu minah pancen ora kuwat kanggo nindakake aktivitas kaya biasane. nanging, nganti srengenge meh surup, anak-anake ora ana sing nindakake tugas kaya sing dipengini bu minah. wong-wong kuwi isih wae asyik karo duniane, dolanan lan males-malesan."
Batu Belah Batu Betangkup,Sumatera Barat,4,"akhirnya, bu minah dengan kondisi yang masih sakit itu terpaksa memasakkan makan malam untuk dirinya sendiri dan ketiga anaknya. mendapat perlakuan yang sama terus-menerus dan merasa ketiga anaknya tidak pernah berubah, bu minah pun merasa tidak tahan. ia memutuskan mengunjungi batu keramat di tepi hutan.","akhire, bu minah kanthi kahanan isih lara kuwi kapeksa masak nedha bengi kanggo awake dhewe lan ketelu anake. oleh perlakuan sing padha terus-terusan lan rumangsa ketelu anake ora nate owah, bu minah banjur rumangsa ora tahan. dheweke mutusake ngunjungi watu keramat ing pinggir alas."
Batu Belah Batu Betangkup,Sumatera Barat,5,"bu minah berlutut sambil menangis di sana, memohon agar batu tersebut menelan dirinya karena ia sudah tidak sanggup hidup seperti ini. bu minah berteriak sambil memohon pada batu keramat tersebut, batu belah batu betangkup, engkau adalah yang disucikan di sini, tolong aku. telanlah diriku, aku sudah sangat lelah dan tak sanggup hidup bersama ketiga anakku. mereka tidak pernah menghargai dan menghormatiku sedikitpun.","bu minah ndodok karo nangis ing kana, ndonga supaya watu kuwi ngelek awake merga dheweke wis ora kuwat urip kaya ngene iki. bu minah njerit karo nyuwun marang watu keramat kuwi, âwatu belah watu betangkup, kowe kuwi sing disucekake ing kene, tulung aku. elena aku, aku wis banget kesel lan ora kuwat urip karo ketelu anakku. wong-wong kuwi ora nate ngajeni lan ngurmati aku sithik wae.â"
Batu Belah Batu Betangkup,Sumatera Barat,6,"tak butuh waktu lama, batu belah batu betangkup terbelah dan dengan sekejap langsung menelan bu minah. hanya rambut panjang bu minah saja yang tersisa di sana.","ora suwe, watu belah watu betangkup kebelah lan sakcepete langsung ngelek bu minah. mung rambut dawa bu minah wae sing isih kari ing kana."
Batu Belah Batu Betangkup,Sumatera Barat,7,"sementara di rumah, anak-anak bu minah merasa lapar dan mencari keberadaan ibunya. mereka merasa lapar, tapi tidak ada yang memasak. karena itu, barulah mereka sadar bahwa ibunya tidak ada di rumah. ditunggu beberapa saat, ibunya tak kunjung pulang. karena alasan itu, ketiga anak bu minah mencari ibunya, menyusuri aliran sungai, dan masuk ke dalam hutan.","samentara kuwi, ing omah, anak-anake bu minah krasa luwe lan nggoleki ibune. wong-wong kuwi krasa luwe, nanging ora ana sing masak. mula saka kuwi, bar kuwi wong-wong kuwi eling yen ibune ora ana ing omah. ditunggu sawetara wektu, ibune ora mulih-mulih. mula saka kuwi, ketelu anak bu minah nggoleki ibune, nyusur kali, lan mlebu alas."
Batu Belah Batu Betangkup,Sumatera Barat,8,"hingga akhirnya, mereka sampai di depan batu betangkup yang sudah terbelah dan mereka sadar bahwa masih ada rambut ibunya terurai di sela-sela batu tersebut. mereka pun sadar bahwa ibunya sudah tidak ada lagi. mereka memohon kepada batu belah batu betangkup untuk melepaskan ibunya.","nganti pungkasane, wong-wong kuwi tekan ngarepe watu betangkup sing wis kebelah lan wong-wong kuwi eling yen isih ana rambut ibune nyangga ing sela-sela watu kuwi. wong-wong kuwi banjur ngerti yen ibune wis ora ana maneh. wong-wong kuwi nyuwun marang watu belah watu betangkup supaya ngeculke ibune."
Batu Belah Batu Betangkup,Sumatera Barat,9,"di situlah baru mereka sadar bahwa sekarang tidak ada lagi yang menyayanginya seperti ibu, tidak ada lagi yang akan memasakkan makanan untuk mereka, dan mereka kehilangan ibunya. ketiga anak tersebut terus menerus menangis di depan batu betangkup. awalnya, batu betangkup tidak merespon apa pun, baru ketika ketiga anak tersebut berjanji untuk selalu menghormati ibunya dan tidak akan semena-mena lagi terhadap ibunya, batu betangkup merespon.","ing kono kuwi wong-wong kuwi banjur eling yen saiki ora ana maneh sing tresna kaya ibu, ora ana maneh sing bakal masakke panganan kanggo wong-wong kuwi, lan wong-wong kuwi wis kelangan ibune. ketelu anak kuwi terus-terusan nangis ing ngarepe watu betangkup. awale, watu betangkup ora ngerespon apa-apa, mung bar ketelu anak kuwi janji kanggo tansah ngajeni ibune lan ora bakal semena-mena maneh marang ibune, watu betangkup ngerespon."
Batu Belah Batu Betangkup,Sumatera Barat,10,"baiklah, kalau itu mau kalian. aku akan melepaskan ibu kalian dan mengembalikannya pada kalian. tapi patuhilah janji kalian, jangan diingkari. kata batu belah batu betangkup.","âyo wis, yen kuwi sing kok karepake. aku bakal ngeculke ibu kowe lan mbalekake marang kowe. nanging turutan janjimu kuwi, aja dilanggari,â kandha watu belah watu betangkup."
