judul,provinsi,id_teks,teks,referensi
Batu Gantung Danau Toba,Sumatera Utara,1,"pada zaman dahulu kala, hiduplah sebuah keluarga kecil yang terdiri dari sepasang suami istri dan seorang anak perempuan. mereka tinggal di sebuah desa terpencil di sekitar wilayah danau toba. anak perempuan mereka bernama seruni, seorang gadis yang dikenal sebagai kembang desa karena kecantikannya. selain itu, ia juga rajin bekerja membantu orang tuanya di ladang. jika tidak sedang bekerja di ladang, seruni sering mengambil alih tugas menjual hasil kebun ke pasar. hasil penjualan itu digunakan untuk memenuhi kebutuhan hidup sehari-hari keluarganya.","jaman mbiyen, ana sawijining kulawarga cilik sing isine sepasang bojone lan siji anak wadon. kulawarga iki manggon ing sawijining desa sing adoh, cedhak wilayah danau toba. anak wadone jenenge seruni, sawijining prawan ayu sing dikenal dadi kembang desa merga ayune. saliyane kuwi, seruni uga sregep bantu wong tuwane ing ladang. yen ora kerja ing ladang, seruni kerep njupuk tugas ngedol asil kebon menyang pasar. dhuwit saka dodolan kuwi kanggo nyukupi kabutuhan saben dina keluargane."
Batu Gantung Danau Toba,Sumatera Utara,2,"suatu hari, seruni pergi ke ladang ditemani anjing peliharaannya, toki. ia bekerja sendirian karena ayah dan ibunya sedang ada keperluan di desa tetangga.","sakdina, seruni lunga menyang ladang karo asu kesayangane, jenenge toki. dheweke kerja dhewean merga bapak ibune ana perlu menyang desa tangga."
Batu Gantung Danau Toba,Sumatera Utara,3,"sesampainya di ladang, seruni tidak langsung bekerja. ia hanya duduk termenung sambil menikmati pemandangan danau toba. sementara itu, toki duduk di sampingnya, seolah memahami gejolak hati tuannya.","tekan ladang, seruni ora langsung kerja. dheweke mung lungguh meneng, mikir, karo ndelok danau toba. toki lungguh ana ing sacedhakinge, kaya ngerti kahanan atine majikane."
Batu Gantung Danau Toba,Sumatera Utara,4,"hati seruni sedang diliputi kegelisahan. orang tuanya berencana menjodohkannya dengan seorang lelaki pilihan mereka, yang ternyata masih sepupunya sendiri. namun, di sisi lain, seruni telah jatuh cinta kepada seorang pemuda pujaan hatinya, dan mereka telah berjanji untuk menikah.","atine seruni pancen lagi resah. wong tuwane arep njodhokke dheweke karo lanang pilihane, sing jebule isih sedulure dhewe. nanging, ing sisih liya, seruni wis tresna marang lanang pujaane, lan wis janji arep rabi karo wong kuwi."
Batu Gantung Danau Toba,Sumatera Utara,5,"ia merasa berada di persimpangan sulit. jika menolak perjodohan, ia takut dianggap sebagai anak durhaka. namun, jika menuruti kehendak orang tuanya, seruni merasa tidak akan bisa hidup bahagia.","seruni rumangsa ana ing persimpangan sing angel. yen nolak jodho saka wong tuwane, dheweke wedi dianggep anak durhaka. tapi nek manut wong tuwane, dheweke rumangsa ora bakal urip bahagia."
Batu Gantung Danau Toba,Sumatera Utara,6,"toki sesekali menggonggong, mencoba menarik perhatian majikannya. namun, seruni tetap larut dalam pikirannya.","toki kadhang menggonggong, kaya nyoba narik perhatian majikane. tapi seruni isih kebacut mikir."
Batu Gantung Danau Toba,Sumatera Utara,7,"ya tuhan, aku tidak tahu harus berbuat apa. aku tidak sanggup menanggung beban seberat ini, ratap seruni sambil menangis. ia mencurahkan isi hatinya kepada yang maha kuasa.","ya gusti, aku ora ngerti kudu ngapa. aku ora kuwat nahan beban abot iki, sambate seruni karo nangis. dheweke ngaturake keluh kesahe marang gusti allah."
Batu Gantung Danau Toba,Sumatera Utara,8,"seruni kemudian bangkit dari duduknya dan berjalan menuju tebing danau toba. melihat hamparan air yang luas di hadapannya, tiba-tiba muncul niat dalam hatinya untuk mengakhiri hidupnya.","seruni banjur tangi saka lungguhane lan mlaku nyedhaki tebing danau toba. delengen banyu sing amba ing ngarep, dumadakan ana niat ing atine kanggo ngakhiri uripe."
Batu Gantung Danau Toba,Sumatera Utara,9,"tanpa sadar, ia terus berjalan mendekati tebing yang curam. namun, di tengah pikirannya yang berkecamuk, ia justru terperosok ke dalam sebuah lubang batu besar.","tanpa sadar, dheweke terus mlaku nyedhaki tebing sing jero. nanging, ing tengah pikirane sing mumet, dheweke malah kecebur ana ing bolongan watu gedhe."
Batu Gantung Danau Toba,Sumatera Utara,10,"di dalam lubang itu, seruni tidak bisa melihat apa pun karena minimnya cahaya. saat meraba-raba sekelilingnya, ia merasakan batu-batu di sekitarnya bergerak seakan ingin menghimpitnya. seruni panik dan berteriak minta tolong dengan suara memilukan.","ing njero bolongan kuwi, seruni ora isa ndelok apa-apa merga peteng. nalika rabaan sakubenge, dheweke ngrasa yen watu-watu ing sacedhake mulai obah, kaya arep ngremuk dheweke. seruni panik lan njerit minta tulung karo swara nyedihke."
Batu Gantung Danau Toba,Sumatera Utara,11,"di atas lubang, toki menggonggong keras sambil menggaruk tanah, mencoba mencari cara untuk menolong majikannya.","ing dhuwur bolongan, toki menggonggong banter karo nggaruk lemah, nyoba golek cara kanggo nulungi majikane."
Batu Gantung Danau Toba,Sumatera Utara,12,"toki, tolong cari bantuan seru seruni dari dalam lubang.","toki, tulung golek bantuan celuke seruni saka njero bolongan."
Batu Gantung Danau Toba,Sumatera Utara,13,"namun, dinding batu terus bergerak, semakin menyempitkan ruang geraknya. dalam kepanikannya, seruni terus berteriak,","nanging, tembok watu kuwi terus nutup, nyepetake gerake seruni. ing tengah-tengah rasa panik, seruni terus njerit,"
Batu Gantung Danau Toba,Sumatera Utara,14,"parapat tolong, parapat batu parapat","parapat tulung, parapat watu parapat"
Batu Gantung Danau Toba,Sumatera Utara,15,"mendengar jeritan majikannya, toki terus menggonggong dan akhirnya berlari menuju rumah.","krungu jerit majikane, toki terus menggonggong banjur mlayu bali menyang omah."
Batu Gantung Danau Toba,Sumatera Utara,16,"saat tiba di rumah, ia menemukan orang tua seruni yang baru saja kembali dari desa tetangga. anjing itu menggonggong tidak berhenti-henti sambil mondar-mandir, seolah ingin memberi tahu sesuatu.","tekan omah, toki nemu wong tuwae seruni sing anyar bali saka desa tangga. asu kuwi menggonggong terus-terusan karo mondar-mandir, kaya arep ngandhani sesuatu."
Batu Gantung Danau Toba,Sumatera Utara,17,"pasangan suami istri itu merasa ada yang tidak beres. hari sudah semakin gelap, tetapi toki pulang tanpa seruni. mereka segera meminta bantuan para tetangga untuk mencari anak mereka.","pasangan suami istri kuwi rumangsa ana sing ora beres. sore saya peteng, nanging toki wis bali tanpa seruni. wong loro kuwi langsung njaluk bantuan tangga-tanggane kanggo nggoleki anake."
Batu Gantung Danau Toba,Sumatera Utara,18,"tak butuh waktu lama, para tetangga berkumpul membawa obor dan mengikuti toki yang berlari menuju ladang.","ora suwi, para tangga padha nglumpuk nggawa obor lan ngetutke toki sing mlayu menyang ladang."
Batu Gantung Danau Toba,Sumatera Utara,19,"sesampainya di ladang, mereka terkejut melihat sebuah lubang besar di pinggir tebing. toki menggonggong dan mengarahkan moncongnya ke dalam lubang.","tekan ladang, wong-wong kuwi kaget weruh ana bolongan gedhe ana pinggir tebing. toki menggonggong lan nuduhake monconge menyang bolongan kuwi."
Batu Gantung Danau Toba,Sumatera Utara,20,"saat orang tua seruni mendekati mulut lubang, mereka mendengar suara seruni yang masih terjebak di dalamnya,","nalika wong tuwane seruni nyedhaki bolongan kuwi, dheweke krungu swara seruni sing isih kejepit ana njero,"
Batu Gantung Danau Toba,Sumatera Utara,21,"parapat tolong, parapat batu parapat","parapat tulung, parapat watu parapat"
Batu Gantung Danau Toba,Sumatera Utara,22,"seketika, ibunya menangis histeris, menyadari bahwa suara itu adalah suara putrinya.","seketika kuwi, ibune nangis histeris, nyadari yen kuwi swara anake."
Batu Gantung Danau Toba,Sumatera Utara,23,"pak, itu suara seruni seru sang ibu.","pak, kuwi swarane seruni celuke ibune."
Batu Gantung Danau Toba,Sumatera Utara,24,"iya, bu. tapi kenapa ia terus berteriak âparapatâ ujar ayah seruni bingung.","iya, bu. tapi kok dheweke terus-terusan njerit âparapatâ ujare bapake seruni bingung."
Batu Gantung Danau Toba,Sumatera Utara,25,"sementara itu, para tetangga berusaha mencari cara untuk mengeluarkan seruni dari dalam lubang.",tangga-tangga padha nyoba golek cara kanggo nylametke seruni saka njero bolongan.
