judul,provinsi,id_teks,teks,referensi
Batu Golog,Lampung,1,"pada zaman dahulu, di daerah padamara dekat sungai sawing, nusa tenggara barat, hiduplah sepasang suami istri yang miskin. si istri bernama inaq lembain, sedangkan suaminya bernama amaq lembain. setiap hari, mereka pergi ke rumah-rumah penduduk untuk mencari pekerjaan. jika di desanya sudah tidak ada penduduk yang memakai tenaga mereka, mereka pergi dari satu desa ke desa lainnya sambil membawa kedua anak mereka.","pada zaman dahulu, di daerah padamara dekat sungai sawing, nusa tenggara barat, urip ana sepasang bojo sing miskin. bojone wadon jenenge inaq lembain, dene bojone lanang jenenge amaq lembain. saben dina, dheweke padha lunga menyang omah-omah warga kanggo golek gaweyan. yen ing desane wis ora ana warga sing butuh tenaga dheweke, dheweke lunga saka siji desa menyang desa liyane karo nggawa loro anak-anake."
Batu Golog,Lampung,2,"pada suatu hari, mereka tiba di sebuah rumah penduduk yang tampak sibuk menumbuk padi. inaq lembain menghampirinya. bolehkan saya ikut bekerja membantu menumbuk padi tanya inaq lembain.","ing sawijining dina, dheweke tekan ing sawijining omah warga sing katon sibuk nutu pari. inaq lembain nyedhaki omah kuwi. bolehkan saya ikut bekerja membantu menumbuk padi takon inaq lembain."
Batu Golog,Lampung,3,"boleh. kebetulan yang kami tumbuk cukup banyak, kau bisa membantu kami, jawab pemilik rumah.","boleh. kebetulan yang kami tumbuk cukup banyak, kau bisa membantu kami, wangsulane sing nduweni omah."
Batu Golog,Lampung,4,"terima kasih, bu, kata inaq lembain dengan hati senang.","matur nuwun, bu, kandha inaq lembain kanthi ati bungah."
Batu Golog,Lampung,5,"ketika menumbuk padi, kedua anak inaq lembain diletakkan di sebuah batu ceper yang tidak jauh dari tempat ia menumbuk padi. batu itu bernama batu golog.","nalika nutu pari, loro anak inaq lembain dilebokake ing sawijining watu ceper sing ora adoh saka panggonan dheweke nutu pari. watu kuwi jenenge batu golog."
Batu Golog,Lampung,6,"kalian tunggu di sini, jangan nakal. ibu sedang bekerja agar nanti kita dapat upah untuk makan, pesan inaq lembain.","kowe-kowe ngenteni ing kene, aja nakal. ibu lagi nyambut gawe supaya mengko entuk upah kanggo mangan, pesene inaq lembain."
Batu Golog,Lampung,7,"kemudian, inaq lembain bekerja menumbuk padi. tidak berapa lama, kedua anaknya berteriak-teriak memanggilnya.","sakwise kuwi, inaq lembain kerja nutu pari. ora suwe, loro anake njerit-jerit nyeluk ibune."
Batu Golog,Lampung,8,"ibu, ibu teriak kedua anak inaq lembain.","ibu, ibu njerit loro anak inaq lembain."
Batu Golog,Lampung,9,"si ibu menganggap anak-anaknya hanya iseng memanggilnya. tanpa menoleh, ia meneruskan pekerjaannya.","ibune nganggep anak-anake mung guyon nyeluk-nyeluk. tanpa noleh, dheweke nerusake gaweane."
Batu Golog,Lampung,10,ibu. ibu.,ibu. ibu.
Batu Golog,Lampung,11,"tunggulah kalian di situ sebentar, ibu bekerja, ucap inaq lembain tanpa menghiraukan teriakan kedua anaknya.","tunggulah kalian di situ sebentar, ibu bekerja, ujare inaq lembain tanpa nggatekake jerite anak-anake."
Batu Golog,Lampung,12,"sebenarnya, anak-anak itu tidak sedang merajuk. batu yang mereka duduki tiba-tiba bergerak naik ke atas. kedua anak itu ketakutan sehingga memanggil-manggil ibunya. karena dipikirnya sang anak sedang bercanda, inaq lembain tidak melihat batu yang semakin lama semakin tinggi, tingginya melebihi pohon kelapa. kedua anak itu berteriak-teriak ketakutan.","sejatine, anak-anak kuwi ora lagi guyon. watu sing dienggoni ndadak obah munggah. loro anak kuwi wedi banget nganti njerit-jerit nyeluk ibune. merga dikira mung dolanan, inaq lembain ora weruh menawa watu kuwi saya suwe saya dhuwur, dhuwure ngluwihi wit klapa. loro anak kuwi njerit-jerit ketakutan."
Batu Golog,Lampung,13,ibu. ibu. tolong jeritan anaknya dari ketinggian.,ibu. ibu. tulung jerit anak-anake saka dhuwure.
Batu Golog,Lampung,14,"tunggu, ibu sedang bekerja, ucap inaq lembain. tanpa disadari, teriakan anak-anaknya terdengar semakin sayup. sekali lagi, ia tidak menggubris teriakan sang anak. semakin lama, ia tidak mendengar suara teriakan anak-anaknya. ia berpikir, sang anak pasti sudah lelap tertidur.","tunggu, ibu sedang bekerja, kandha inaq lembain. tanpa disadari, jeritane anak-anake saya suwe saya sayup. mung maneh, dheweke ora nggatekake jeritan anak-anake. saya suwe, dheweke ora krungu maneh swara jeritane anak-anake. dheweke mikir, anak-anake mesti wis turu."
Batu Golog,Lampung,15,"sementara itu, batu golog itu semakin lama semakin tinggi. kedua anak inaq lembain sudah terbawa oleh batu golog sampai menembus ke awan. betapa terkejutnya inaq lembain melihat kedua anaknya sudah tidak terlihat lagi. inaq lembain sangat bingung untuk menyelamatkan kedua anaknya. ia menangis dan memohon kepada dewata untuk bisa mengambil anaknya yang berada di atas awan. doa inaq lembain pun terkabul. ia diberi kekuatan gaib oleh dewata. dengan sabuknya, ia dapat memenggal batu golog hanya dengan sekali tebasan saja. batu golog itu terpenggal menjadi tiga bagian.","saktemene, watu batu golog kuwi saya suwe saya dhuwur. loro anak inaq lembain wis kebawa batu golog nganti nembus mega. betapa kagete inaq lembain nalika ndelok anak-anake wis ora katon maneh. inaq lembain kebingungan arep nylametake anak-anake. dheweke nangis lan ndonga marang dewata supaya bisa njupuk anak-anake sing ana ing ndhuwur mega. donga inaq lembain dikabul. dheweke diwenehi kasekten dening dewata. kanthi sabuke, dheweke bisa nggeprek batu golog mung kanthi sap oncekan wae. batu golog kuwi kepenggal dadi telung bagean."
Batu Golog,Lampung,16,"bagian-bagian batu golog yang terpenggal tersebut terlempar sangat jauh. bagian pertama jatuh di suatu tempat, sehingga menyebabkan tanah bergetar. tempat jatuhnya batu itu menjadi sebuah desa yang kemudian bernama desa gembong. bagian kedua jatuh di suatu tempat yang kemudian tempat itu diberi nama dasan batu. nama ini diberikan karena ada seseorang yang melihat batu tersebut jatuh. sedangkan bagian ketiga batu golog jatuh di suatu tempat dan diberi nama montong teker. nama ini diberikan karena bagian terakhir dari batu golog yang terjatuh ini menimbulkan suara gemuruh.","bagean-bagean saka batu golog sing kepenggal kuwi kelempar adoh banget. bagean pisanan tiba ing sawijining panggonan, nganti ndadekake lemah kuwi geger. panggonan tibane watu kuwi banjur dadi sawijining desa sing dijenengi desa gembong. bagean kapindho tiba ing sawijining panggonan sing banjur diarani dasan batu. jeneng iki diwenehi amarga ana wong sing ndelok watu kuwi tiba. dene bagean katelu batu golog tiba ing sawijining panggonan lan dijenengi montong teker. jeneng iki diwenehi amarga bagean pungkasan saka batu golog sing tiba kuwi ndadekake swara gumuruh."
Batu Golog,Lampung,17,"batu golog memang sudah terpecah menjadi tiga bagian, tapi inaq lembain tidak bisa mendapatkan anaknya. anak-anak inaq lembain sudah berubah menjadi dua ekor burung. sang kakak berubah menjadi burung kekuwo, sedangkan sang adik berubah menjadi burung kelik.","batu golog pancen wis kepisah dadi telung bagean, nanging inaq lembain ora bisa entuk maneh anak-anake. anak-anak inaq lembain wis malih wujud dadi loro ekor manuk. sang kakang malih dadi manuk kekuwo, dene adhine malih dadi manuk kelik."
