judul,provinsi,id_teks,teks,referensi
Batu Menangis,Maluku,1,"alkisah, di atas sebuah bukit jauh dari pemukiman penduduk di kalimantan barat, hiduplah ibu bersama anak perempuannya. suaminya sudah lama meninggal tanpa mewariskan harta berarti. kehidupan menjanda di umur cukup tua tak meninggalkan ibu banyak pilihan. ia tak mungkin menikah lagi, jadi ibu harus berusaha sendiri untuk menghidupi anak perempuan kesayangannya, darmi. setiap hari ibu bekerja keras. mengurus kebun sayur sejak pagi buta, menanam bibit, menyiram, memberi pupuk, menyiangi semak, memanen, dan menjual hasil panen ke pasar. belum lagi mengurus anak yang masih kecil juga mencari kayu bakar untuk memasak. kulit ibu yang awalnya cerah lama-lama menggelap karena terpapar sinar matahari. berat badannya menyusut, ibu tak memiliki waktu untuk mengurus dirinya sendiri. harapan ibu, darmi bisa hidup bahagia tak seperti dirinya. maka darmi pun dimanja penuh kasih sayang.","alkisah, ana ing pucuk gunung adoh saka pemukiman penduduk ing kalimantan barat, ana ibu bebarengan karo anak wadone. bojone wis suwe tilar donya tanpa ninggalake bandha kang berarti. urip dadi janda ing umur cukup tuwa ora ninggalake ibu akeh pilihan. ibu ora bisa omah-omah maneh, mula ibu kudu usaha dhewe kanggo nguripi anak wadon kesayangane, darmi. saben dina ibu kerja keras. ngurusi kebon sayur wiwit esuk buta, nandur bibit, nyiram, mberi pupuk, ngresiki semak, panen, lan adol hasil panen menyang pasar. durung maneh ngurusi anak sing isih cilik uga golek kayu bakar kanggo masak. kulit ibu sing wiwitane cerah alon-alon dadi peteng amarga kena srengenge. bobot badane mudhun, ibu ora nduwe wektu kanggo ngurusi awake dhewe. pangarep-arep ibu, darmi bisa urip bahagia ora kaya dheweke. mula darmi dipangku tresna katresnan."
Batu Menangis,Maluku,2,"darmi tumbuh menjadi gadis cantik. kulitnya kuning langsat, tubuh semampai, paras memesona, dan rambutnya hitam legam panjang terurai. darmi juga selalu mengenakan baju indah dan aksesori mentereng. berbeda dari ibu yang sudah lama tak membeli barang untuk diri sendiri. ia sudah tua, pikirnya. tak memerlukan lagi semua hal itu. harapan ibu, darmi bisa hidup bahagia tak seperti dirinya. tapi darmi masih muda dan suka bergaul. darmi pun selalu senang jika dibelikan baju baru, aksesori, dan alat berhias. lama kelamaan hanya benda-benda itu yang ada di benaknya. darmi senang sekali bercermin sambil menyisir rambutnya. ia sadar kalau dirinya sangat cantik. tapi hanya itu pula yang darmi lakukan. mengagumi diri sendiri sepanjang hari saat ibu bekerja keras di kebun.","darmi tuwuh dadi cah wadon ayu. kulite kuning langsat, awake langsing, pasuryane mempesona, lan rambute ireng legam dawa ngalor. darmi uga tansah nganggo klambi ayu lan aksesoris mentereng. beda karo ibu sing wis suwe ora tuku barang kanggo awake dhewe. dheweke wis tuwa, mikire. ora perlu maneh kabeh kuwi. pangarep-arep ibu, darmi bisa urip bahagia ora kaya dheweke. nanging darmi isih enom lan seneng dolanan. darmi tansah seneng yen dibelike klambi anyar, aksesoris, lan piranti ngurus awak. suwene mung barang-barang kuwi sing ana ing atine. darmi seneng banget ndelok kaca lan nyisir rambute. dheweke sadar yen dheweke pancen ayu. nanging mung kuwi wae sing dilakoni darmi. nggumunake awake dhewe sak suwalik dina nalika ibu kerja keras ing kebon."
Batu Menangis,Maluku,3,"tak hanya pemalas, si cantik pun pemarah","ora mung malas, sing ayu uga gengsi"
Batu Menangis,Maluku,4,"suatu hari, ibu lupa mengantar pesanan sayur ke pelanggannya di desa. ibu meminta tolong darmi untuk memasak. tapi saat pulang, ternyata darmi masih bersolek. jangankan memasak, kamarnya pun masih berantakan seperti saat ibu tinggalkan. saat ditanya, darmi malah geram karena ibu mengganggunya berdandan dan meninggalkannya kelaparan. akhirnya ibu juga yang membuat makanan kemudian membereskan kamar darmi. darmi makin keenakan, untuk mengambil segelas air saja harus memanggil ibu. tak pernah sekalipun darmi mengerjakan pekerjaan rumah, apalagi berpanas-panasan di kebun sayur atau mengantar dagangan ke pasar di kaki bukit. tapi saat menginginkan sesuatu, darmi akan merengek hingga mendapatkan keinginannya. jika ibu tidak punya uang, darmi marah besar. mengatakan ia kesal dilahirkan di keluarga miskin. hal ini membuat ibu sedih dan sering kali menguras uang tabungannya. bagaimanapun, darmi adalah satu-satunya cinta ibu, anaknya tersayang yang ia besarkan sendiri dari kecil.","ing salah sawijining dina, ibu lali nganter pesenan sayur menyang pelanggane ing desa. ibu njaluk tulung darmi kanggo masak. nanging nalika mulih, ternyata darmi isih nyolek. jangankan masak, kamare uga isih berantakan kaya nalika ibu ninggalake. nalika ditakoni, darmi malah nesu amarga ibu ngganggu dheweke dandanan lan ninggalake dheweke keluwen. akhire ibu sing masak banjur beres-beres kamar darmi. darmi saya keenakan, kanggo njupuk segelas banyu wae kudu nelpon ibu. ora tau sapisan darmi nglakoni pakaryan omah, apalagi ngopeni kebon sayur utawa nganter dagangan menyang pasar ing kaki gunung. nanging nalika kepengin barang, darmi bakal ngambek nganti entuk kepenginane. yen ibu ora nduwe dhuwit, darmi nesu banget. ngomong yen dheweke kesel lair ing keluarga mlarat. iki ndadekake ibu sedhih lan asring nguras tabungane. senajan mangkono, darmi iku siji-sijine katresnan ibu, anak sing ditresnani sing dibesarke saka cilik."
Batu Menangis,Maluku,5,darmi malu memiliki ibu yang lusuh,darmi malu duwe ibu sing lusuh
Batu Menangis,Maluku,6,"suatu hari, sisir semata wayang darmi patah, membuatnya uring-uringan sepanjang hari. ia mau mendapatkan sisir baru. harus lebih cantik dari sisir lamanya. tapi darmi tak percaya selera ibu. lagian, jika ikut ke pasar, ia bisa melihat aksesori cantik dan mungkin mendapatkannya juga. akhirnya darmi memutuskan ikut ibu yang memasok sayur ke pasar turun bukit. darmi yang takut kulitnya terkena sinar matahari membawa daun besar sebagai payung, sedangkan ibu menarik gerobak berisi sayur dengan tubuh rentanya. satu dua orang melewati mereka sambil memberi pandangan sinis. di benak darmi, itu karena orang merendahkannya perihal memiliki ibu dengan penampilan bak pengemis. kurus dan lusuh, darmi mengambil langkah cepat meninggalkan ibu di belakang, sehingga orang tak tahu wanita penarik gerobak itu adalah ibunya. tak disangka, darmi bertemu kawan di perjalanan. mereka berbincang hingga ibu sampai. ibu bertanya siapa anak muda yang berbicara pada darmi, berharap dikenalkan. tapi darmi malah memperkenalkan ibu sebagai pembantunya. hati ibunya pun terasa hancur mendengar perkataan anaknya. ia menahan tangis dan tak mampu berkata-kata. tahu ibunya diam dan menerima dibilang pembantu, darmi mengulangi kata-katanya tiap ada orang menyapa.","siji dina, sisir semata wayange darmi pecah, ndadekake dheweke kesel sedina muput. dheweke kepengin nduwe sisir anyar. kudune luwih ayu tinimbang sisir lawas. nanging darmi ora percaya rasa ibu. liyane, yen melu menyang pasar, dheweke bisa ndeleng aksesoris ayu lan bisa uga entuk kuwi uga. akhire darmi mutusake melu ibu sing ngirim sayur menyang pasar mudhun gunung. darmi sing wedi kulit kena srengenge nggawa godhong gedhe dadi payung, dene ibu narik gerobak isine sayur nganggo awak sing ringkih. sawijining loro wong liwat ndelok lan menehi pandhangan sinis. ing pikiran darmi, iku amarga wong padha ngremehke dheweke gegayutan nduwe ibu kanthi penampilan kaya pengemis. kurus lan lusuh, darmi mlaku kanthi cepet ninggalake ibu ing mburi, supaya wong ora ngerti yen wanita sing narik gerobak iku ibune. ora disangka, darmi ketemu kanca ing dalan. dheweke padha rembugan nganti ibu tekan. ibu takon sapa cah nom sing ngobrol karo darmi, ngarep-arep dikenalke. nanging darmi malah ngenalke ibu minangka pembantune. ati ibu kroso remuk krungu omongan anake. dheweke nahan nangis lan ora kuwat ngomong. ngerti ibu meneng lan nrima disebut pembantu, darmi mbaleni omongane saben ana wong nyapa."
Batu Menangis,Maluku,7,menghabiskan pendapatan ibu di pasar,ngabisake pemasukan ibu ing pasar
Batu Menangis,Maluku,8,"darmi sengaja mengikuti ibu menjual sayur lebih dulu agar bisa mengintip penghasilan ibu. setelahnya, darmi langsung meminta uang. awalnya ibu hanya memberi darmi uang untuk membeli sisir, tapi darmi malah memarahinya di depan umum. sudah lelah akan perangai anaknya, ibu pasrah. menyerahkan semua pendapatannya hari itu, entah bagaimana caranya esok ia membeli bibit dan beras. darmi girang, ia langsung membeli semua hal menarik yang terlihat. tapi setiap ibu menghampiri untuk mengakrabkan diri atau memujinya, darmi melengos. beberapa kali ibu mencoba hingga akhirnya tak tahan lagi, ia biarkan saja darmi menghabiskan uang sampai puas. kecantikan darmi membuatnya banyak disapa pemuda di pasar sampai ada yang mau mengantarkan pulang. bagaimanapun, ibu khawatir akan keselamatan darmi. ibu mengikuti darmi dari belakang untuk menjaganya. darmi terlihat asyik sekali mengobrol dengan komplotan pemuda yang katanya mau mengantar pulang itu.","darmi kanthi sengaja melu ibu adol sayur luwih dhisik supaya bisa ngintip pemasukan ibu. sawise kuwi, darmi langsung njaluk dhuwit. awale ibu mung maringi dhuwit kanggo tuku sisir, nanging darmi malah nesu marang ibu ing ngarepe wong akeh. wis kesel karo perangai anake, ibu pasrah. nyerahake kabeh pemasukan dina iku, entah piye carane sesuk bisa tuku bibit lan beras. darmi seneng, dheweke langsung tuku kabeh barang sing narik kawigatene. nanging saben ibu nyedhak kanggo nyedhaki utawa muji, darmi minggat. sawetara kaping ibu nyoba nganti ora kuwat maneh, ibu ngidini darmi ngabisake dhuwit nganti puas. kaendahan darmi ndadekake dheweke akeh disapa pemuda ing pasar nganti ana sing gelem nganter mulih. senadyan mangkono, ibu kuwatir babagan keselamatan darmi. ibu melu saka mburi kanggo ngawasi. darmi katon seneng banget ngobrol karo klompok pemuda sing konon gelem nganter mulih."
Batu Menangis,Maluku,9,ialah sang batu menangis,iku watu nangis
Batu Menangis,Maluku,10,"makin lama, pemuda-pemuda makin mendekat ke putri ibu, sehingga ibu harus memperingati darmi dengan memanggilnya. sontak, para pemuda ikut menengok lalu bertanya pada darmi, memastikan apa yang memanggil itu adalah ibunya. kali ini darmi tertawa. mengatakan bagaimana mungkin wanita yang terlihat seperti gembel itu adalah ibunya. darmi bilang ia berasal dari keluarga berada, ibunya cantik, dan sedang menunggu di rumah. darmi menambahkan wanita itu adalah pekerja rendah di kediamannya. maka para pemuda ikut tertawa, menyadari betapa konyol pertanyaan tadi. cukup sudah, ibu tak kuat lagi. ia melepas gerobak yang dipegangnya lalu bersimpuh ke tanah. sakit hatinya, ibu pun menangis. ia keluarkan semua tangis yang selama ini tertahan seraya meminta pertolongan tuhan, meminta mengakhiri sakit hati, lelah, dan doanya yang sia-sia, meminta kebahagiaan untuk si anak durhaka. langit berubah gelap, angin berembus kencang. ternyata tuhan mendengar doa ibu. darmi yang masih dikelilingi para pemuda tiba-tiba merasa kakinya kaku dan berat. seketika darmi menyadari ia terkena kutuk karena perbuatannya pada ibu. saat tubuhnya semakin berat, darmi menangis ketakutan. saking beratnya tubuh, darmi tertarik ke tanah. kini ia bersimpuh menangis makin kencang. kakinya berubah menjadi batu, lanjut ke pinggulnya. darmi makin ketakutan, ia memanggil-manggil ibu, meminta maaf dan berjanji tak akan mengulangi perbuatannya. ibu hanya bisa melongo lalu menghampiri putrinya yang separuh menjadi batu. keduanya hanya bisa menangis bersama hingga akhirnya darmi berubah sepenuhnya menjadi batu. anehnya, dari dalam batu, darmi tetap keluar air mata hingga beberapa lama. oleh para pemuda, batu itu dipindah ke sisi tebing. menghadap ke langit agar darmi tak kesepian. penduduk sekitar kemudian menyebutnya sebagai batu menangis.","luwih suwe, pemuda-pemuda saya cedhak karo putri ibu, mula ibu kudu ngelingake darmi kanthi manggil. kaget, para pemuda padha ngadhepi banjur takon marang darmi, mastiake yen sing manggil iku ibune. saiki darmi ngguyu. ngomong kepiye bisa wanita sing katon kaya gembel iku ibune. darmi ngomong yen dheweke asal saka keluarga sugih, ibune ayu, lan lagi ngenteni ing omah. darmi nambahake yen wanita kuwi pekerja rendah ing panggonane. mula para pemuda padha ngguyu, ngerti carane bodho pitakon mau. cukup, ibu ora kuat maneh. dheweke ngeculake gerobak sing digenggam banjur sujud ing lemah. atine lara, ibu banjur nangis. dheweke nglepasake kabeh nangis sing wis kapendem suwe, nyuwun tulung marang gusti, nyuwun ngakhiri lara ati, kesel, lan donga sing sia-sia, nyuwun kabagyan kanggo anak durhaka. langit malih peteng, angin mili kenceng. ternyata gusti krungu dongan ibu. darmi sing isih dikelilingi para pemuda dumadakan kroso sikile kaku lan abot. sakjane darmi nyadari yen dheweke kena kutukan amarga tumindake marang ibu. nalika awake tambah abot, darmi nangis ajrih. amarga abot banget, darmi keseret menyang lemah. saiki dheweke sujud nangis saya banter. sikile malih dadi watu, banjur tekan pinggul. darmi saya wedi, dheweke nelpon-nelpon ibu, njaluk ngapura lan janji ora bakal mbaleni tumindake. ibu mung bisa bengok-bengok banjur nyedhaki anak wadon sing wis separo dadi watu. keduane mung bisa nangis bareng nganti pungkasane darmi malih dadi watu. anane sing aneh, saka jerone watu isih metu eluh nganti sawetara wektu. para pemuda banjur mindhah watu mau menyang sisih tebing. ngadhep langit supaya darmi ora kesepian. wong-wong sakupenge banjur nyebut watu mau minangka watu nangis."
