judul,provinsi,id_teks,teks,referensi
Bawang Putih dan Bawang Merah,Jawa Barat,1,"di desa dadapan, ada seorang janda bernama mbok rondo dadapan. ia memiliki dua orang anak perempuan: satu anak kandung bernama bawang merah dan satu anak tiri bernama bawang putih. mbok rondo dadapan sangat memanjakan bawang merah, sementara bawang putih diperlakukan dengan sangat kejam. semua pekerjaan rumah, seperti mencuci, memasak, dan menyapu, dibebankan kepada bawang putih. jika bawang putih melakukan kesalahan sedikit saja, ia diberi hukuman berat.","ing desa dadapan, ana sawijining randha jenenge mbok rondo dadapan. dheweke nduwe anak wadon loro: siji anak kandhung jenenge bawang merah lan siji anak tiri jenenge bawang putih. mbok rondo dadapan banget ngeweni bawang merah, dene bawang putih diperlakokke kanthi kasar banget. kabeh gawean omah, kaya ngumbah, masak, lan nyapu, kabeh dibebasake marang bawang putih. yen bawang putih salah sithik wae, dheweke diparani ukuman abot."
Bawang Putih dan Bawang Merah,Jawa Barat,2,"pada suatu hari, bawang putih disuruh mencuci pakaian di sungai. cucian bawang putih hari itu sangat banyak, sehingga siang hari ia baru selesai mencuci. bawang putih langsung menjemur cucian itu di samping rumah. bawang merah tidak mau membantu saudaranya. ia hanya melihat bawang putih sambil makan. setelah selesai menjemur cucian, bawang putih baru disuruh makan oleh mbok rondo dadapan.","ing sawijining dina, bawang putih didhawuhi ngumbah klambi ing kali. cuciane bawang putih dina kuwi akeh banget, mula dheweke rampung ngumbah awan. bawang putih langsung nyeprote cucian kuwi ing pinggir omah. bawang merah ora gelem mbantu adhine. dheweke mung ndelok bawang putih karo mangan. sawise rampung nyeprote cucian, bawang putih anyar didhawuhi mangan dening mbok rondo dadapan."
Bawang Putih dan Bawang Merah,Jawa Barat,3,"mbok rondo dadapan kemudian memeriksa jemuran dan ternyata cuciannya kurang satu, yaitu baju milik bawang merah.","mbok rondo dadapan banjur mriksa jemuran lan jebul cuciannya kurang siji, yaiku klambi duweke bawang merah."
Bawang Putih dan Bawang Merah,Jawa Barat,4,"bawang putih, kemarilah teriak mbok rondo dadapan.","bawang putih, mrene kene bengok mbok rondo dadapan."
Bawang Putih dan Bawang Merah,Jawa Barat,5,bawang putih segera berlari ke tempat jemuran.,bawang putih langsung mlayu menyang panggonan jemuran.
Bawang Putih dan Bawang Merah,Jawa Barat,6,"baju batik bawang merah mana engkau hanyutkan di sungai, ya tanya mbok rondo dengan marah.","klambi batike bawang merah endi kowe ngilangke neng kali, ya pitakone mbok rondo kanthi nesu."
Bawang Putih dan Bawang Merah,Jawa Barat,7,"aku tidak tahu, mbok. barangkali hanyut di sungai, jawab bawang putih ketakutan.","aku ora ngerti, mbok. mbok menawa hanyut neng kali, wangsulane bawang putih karo wedi."
Bawang Putih dan Bawang Merah,Jawa Barat,8,mbok rondo dadapan sangat marah lalu memukuli bawang putih.,mbok rondo dadapan banget nesu banjur mukuli bawang putih.
Bawang Putih dan Bawang Merah,Jawa Barat,9,"kurang ajar mengapa kamu tidak hati-hati cepat cari baju itu sampai dapat kalau tidak kamu temukan, kamu tidak akan kuberi makan ancam mbok rondo dadapan.","nggegilani ngapa kok ora ati-ati cepet golet klambi kuwi nganti ketemu yen ora kowe temokke, kowe ora tak paringi mangan ancam mbok rondo dadapan."
Bawang Putih dan Bawang Merah,Jawa Barat,10,"bawang putih ketakutan. ia segera menuju ke sungai untuk mencari baju yang hanyut. ia menyusuri sungai itu mengikuti arusnya. sepanjang jalan, air mata bawang putih menetes membasahi pipinya.","bawang putih wedi banget. dheweke langsung menyang kali kanggo golek klambi sing hanyut. dheweke nyusuri kali kuwi manut aruse. sakwitose, banyu mata bawang putih netes netes ing pipine."
Bawang Putih dan Bawang Merah,Jawa Barat,11,"seandainya ayah dan ibuku masih hidup, tentu aku tidak akan menderita begini. mungkin semua ini sudah menjadi kehendak tuhan yang maha kuasa. aku harus tabah menghadapi semua cobaan ini. semoga tuhan selalu melindungiku, gumam bawang putih.","yen bapak lan ibuku isih urip, mesthi aku ora bakal nandhang sangsara koyo ngene. mbok menawa kabeh iki wis dadi karsane gusti kang maha kuwasa. aku kudu sabar ngadhepi kabeh cobaan iki. muga-muga gusti tansah nglindhungi aku, gumame bawang putih."
Bawang Putih dan Bawang Merah,Jawa Barat,12,bawang putih bertemu dengan seorang laki-laki setengah baya yang sedang memandikan kuda. ia berhenti dan bertanya kepada orang itu.,bawang putih ketemu karo wong lanang setengah tuwa sing lagi adus kewan jaran. dheweke mandheg lan takon marang wong kuwi.
Bawang Putih dan Bawang Merah,Jawa Barat,13,"paman, apakah paman melihat sebuah baju yang hanyut","paman, apa paman ndelok klambi sing hanyut"
Bawang Putih dan Bawang Merah,Jawa Barat,14,"tak ada, nak. aku tidak melihat baju yang hanyut. cobalah engkau bertanya kepada orang di sana, kata orang itu sambil menunjuk ke arah seorang laki-laki yang sedang memancing ikan. laki-laki yang sedang memancing itu juga tidak melihat baju yang hanyut.","orak, nduk. aku ora ndelok klambi sing hanyut. coba kowe takon marang wong kono, kandhane wong kuwi karo nuding marang wong lanang sing lagi mancing iwak. wong mancing kuwi uga ora ndelok klambi sing hanyut."
Bawang Putih dan Bawang Merah,Jawa Barat,15,"bawang putih mulai lapar dan putus asa. dengan langkah gontai, ia terus berjalan menyusuri sungai hingga sampai di tepi hutan. ia bertemu dengan seorang nenek yang sedang mencuci beras.","bawang putih wiwit krasa luwe lan putus asa. karo mlaku gontai, dheweke terus nyusuri kali nganti tekan pinggir alas. dheweke ketemu karo mbah putri sing lagi ngumbah beras."
Bawang Putih dan Bawang Merah,Jawa Barat,16,"nek, apakah nenek melihat baju yang hanyut di sungai ini tanya bawang putih.","nek, apa nenek ndelok klambi sing hanyut ing kali iki takone bawang putih."
Bawang Putih dan Bawang Merah,Jawa Barat,17,"ya, siang tadi aku melihat baju hanyut. baju itu aku pungut dan kubawa pulang. ikutlah ke rumahku, nduk, nanti baju itu akan kukembalikan, kata nenek itu.","ya, awan mau aku ndelok klambi hanyut. klambi kuwi tak jupuk lan tak gawan mulih. ayo melu menyang omahku, nduk, mengko klambi kuwi tak balekake, kandha mbah putri kuwi."
Bawang Putih dan Bawang Merah,Jawa Barat,18,bawang putih sangat girang mendengar jawaban itu. ia segera mengambil tempayan di samping nenek itu dan mengisinya dengan air.,bawang putih bungah banget krungu jawaban kuwi. dheweke langsung njupuk tempayan ing jejere mbah kuwi lan ngisi banyu.
Bawang Putih dan Bawang Merah,Jawa Barat,19,"nek, biarlah tempayan ini nanti aku yang bawa, kata bawang putih.","nek, ben tempayan iki aku wae sing nggawa, kandhane bawang putih."
Bawang Putih dan Bawang Merah,Jawa Barat,20,bawang putih berjalan mengikuti nenek itu. ia merasa takut karena wajah nenek itu tidak seperti wajah orang kebanyakan.,bawang putih mlaku ngetutke mbah kuwi. dheweke krasa wedi merga rai mbah kuwi ora koyo wong-wong biyasa.
Bawang Putih dan Bawang Merah,Jawa Barat,21,"nek, namaku bawang putih, kata bawang putih gugup. dan siapakah nenek ini sebenarnya","nek, jenengku bawang putih, kandhane bawang putih karo kagok. lan sinten ta nenek sakjane"
Bawang Putih dan Bawang Merah,Jawa Barat,22,"jangan takut kepadaku, nduk, kata nenek. namaku nini buto ljo.","aja wedi karo aku, nduk, kandhane mbah kuwi. jenengku nini buto ljo."
