judul,provinsi,id_teks,teks,referensi
Bayo',Jambi,1,"di nagari koto rajo, tinggallah seorang perempuan bernama mak siti. umurnya sekitar lima puluh tahunan. setiap hari dia pergi ke sawah, sesekali pergi ke ladang untuk bertanam cabai dan jagung. mak siti tinggal sendirian, suaminya sudah lama meninggal. anak satu-satunya pun pergi merantau ke negeri seberang. mak siti termasuk salah seorang yang kaya di kampung itu. akan tetapi, dia tidak pernah merasa puas dengan semua yang dimilikinya. mak siti masih suka mengambil milik orang lain, seperti merebut tanah tetangganya. dia juga menyuruh anaknya merantau untuk mencari uang.","ing nagari koto rajo, ana sawijining wong wadon aran mak siti. umure watara limang puluh taun. saben dina dheweke menyang sawah, kadhang menyang ladang kanggo nandur cabai lan jagung. mak siti manggon piyambakan, bojone wis suwe mati. anake siji-sijine uga lunga merantau menyang negeri seberang. mak siti kalebu wong sugih ing kampung kuwi. nanging, dheweke ora tau wareg karo kabeh sing diduweni. mak siti isih seneng njupuk barang wong liya, kaya rebut tanah tanggane. dheweke uga nyuruh anake merantau golek dhuwit."
Bayo',Jambi,2,"mak siti tinggal di pinggir kampung, terpisah dari permukiman warga lainnya. di situ hanya terdapat sekitar lima rumah. rumahnya berdekatan dengan rumah mak ipeh, bayonya atau kawan seumurannya. mak ipeh juga tinggal sendirian. berbeda dengan mak siti, mak ipeh hidupnya miskin dan sudah sering sakit-sakitan.","mak siti manggon ing pinggir kampung, kapisah saka panggonan warga liyane. ing kana mung ana watara limang omah. omahe cedhak karo omahe mak ipeh, bayone utawa kanca umure padha. mak ipeh uga manggon dhewean. beda karo mak siti, mak ipeh uripe mlarat lan wis kerep lara-lara."
Bayo',Jambi,3,"suatu pagi, setelah menyiapkan bekal untuk ke ladang, mak siti berjalan ke depan rumah. terlihat olehnya pintu rumah mak ipeh yang masih tertutup. biasanya setiap pagi, mak ipeh sudah duduk di depan rumah atau menyapu halaman.","sak esuk, sawise nyiapake bekal menyang ladang, mak siti mlaku menyang ngarep omah. katon saka kene lawang omahe mak ipeh isih ditutup. biasane saben esuk, mak ipeh wis lungguh ing ngarep omah utawa nyapu halaman."
Bayo',Jambi,4,"bayo, apakah kamu sudah bangun mengapa pintu masih tertutup mak siti memanggil berkalikali. akan tetapi, tidak terdengar jawaban dari dalam rumah. mak siti cemas dan segera mendekat ke rumah mak ipeh. didorongnya pintu yang sudah lapuk itu. kreekkk mak siti terkejut melihat mak ipeh sudah tergeletak di lantai dengan wajah memucat.","bayo, apa kowe wis tangi ngapa lawange isih ditutup mak siti nelpon bola-bali. nanging, ora krungu jawaban saka njero omah. mak siti kuwatir lan cepet-cepet marani omahe mak ipeh. dheweke dorong lawang sing wis lapuk kuwi. kreekkk mak siti kaget ndelok mak ipeh wis tilem ing lantai karo rai sing pucet."
Bayo',Jambi,5,"bayo, apa yang terjadi bangun bayo, ujar mak siti sambil menepuk-nepuk pipi mak ipeh. kemudian, mak siti menempelkan jarinya ke hidung mak ipeh. dia ingin memastikan apakah masih ada napas atau tidak. mak siti melakukannya berkali-kali. dia sama sekali tidak merasakan napas yang keluar dari hidung mak ipeh. setelah yakin kalau mak ipeh sudah meninggal, dia segera memberi tahu orang kampung.","bayo, apa sing kelakon tangi bayo, omonge mak siti nalika nyepuk pipi mak ipeh. banjur, mak siti tempelake driji ing irunge mak ipeh. dheweke pengin mastiake apa isih ana ambegan utawa ora. mak siti nindakke bola-bali. dheweke ora krasa ambegan metu saka irunge mak ipeh. sawise yakin yen mak ipeh wis mati, dheweke langsung ngandhani wong kampung."
Bayo',Jambi,6,"seminggu seusai mak ipeh meninggal, mak siti pergi ke ladang. di ladang, dia menyiangi cabai yang sudah mulai tumbuh. dia juga ingin menjaga jagungnya yang sudah berbuah agar tidak dimakan babi hutan. disiapkannya nasi, sambal terung, dan air putih untuk bekal sampai keesokan harinya. tidak lupa dibawakannya juga makanan untuk anjing penjaga yang diikatnya di pondok.","sakwise seminggu mak ipeh mati, mak siti menyang ladang. ing ladang, dheweke nyiangi cabe sing wis mulai thukul. dheweke uga pengin njaga jagung sing wis berbuah supaya ora dipangan babi alas. disiapake sega, sambal terong, lan banyu putih kanggo bekal nganti sesuk. ora lali dibawake uga panganan kanggo asu penjaga sing diiket ing pondhok."
Bayo',Jambi,7,"mak siti kemudian berangkat ketika panas matahari sudah terasa di kulit. suara burung berkicauan. cahaya matahari semakin terasa di kulit mak siti yang mulai berkerut. setelah sampai di pondok, diletakkannya barang-barang yang dibawanya dari rumah. mak siti segera menyiangi cabai yang ditanam sebulan yang lalu. siang pun berganti malam. burung-burung sudah kembali ke sarang. di malam yang kelam itu, dia hanya diterangi sebuah lampu togok, lampu bersumbu dan berbahan bakar minyak tanah.","mak siti banjur mangkat nalika srengenge wis muni panas ing kulit. swara manuk muni. sinar srengenge saya krasa ing kulit mak siti sing wis mulai kerut. sawise tekan pondhok, ditepakake barang-barang sing digawa saka omah. mak siti langsung nyiangi cabai sing ditandur sebulan kepungkur. wengi wis ganti wengi. manuk-manuk wis bali menyang sarang. ing wengi peteng kuwi, dheweke mung diterangake lampu togok, lampu gulu lan nganggo lenga tanah."
Bayo',Jambi,8,"mak siti duduk sendiri, bersandar di tiang pondok. dinginnya malam terasa menusuk tulang. dia bangkit dari duduknya ingin membuat api unggun untuk penghangat tubuh. ketika api unggun sudah membesar, cahayanya menerangi sekeliling pondok. ketika badan sudah terasa hangat, dia masuk ke pondoknya. baru saja ingin duduk, terdengar suara orang memanggil namanya.","mak siti lungguh dhewean, ngglayut ing tiang pondhok. adheme wengi krasa nyusup menyang balung. dheweke tangi saka lungguhe arep gawe geni unggun kanggo ngelakoni awak. nalika geni unggun wis gedhe, cahyane madhangi sakubenge pondhok. nalika awak wis krasa anget, dheweke mlebu ing pondhok. bar anyar lungguh, krungu swara wong nelpon jenenge."
Bayo',Jambi,9,"sitiiiâ¦ suara itu terdengar pelan. mak siti terkejut mendengar suara itu. dicobanya mengingat-ingat lagi, apakah memang ada suara yang memanggil atau tidak.","sitiiiâ¦ swara kuwi muni pelan. mak siti kaget krungu swara kuwi. diciptake ngelingi maneh, apa bener ana swara sing nelpon utawa ora."
Bayo',Jambi,10,"ah, mungkin ini hanya perasaan saya saja. tidak mungkin ada orang di tengah hutan begini, pikirnya.","ah, bisa wae mung raosku wae. ora mungkin ana wong ing tengah alas kaya ngene, pikire."
Bayo',Jambi,11,"mak siti kemudian duduk dan berusaha melupakan hal itu. akan tetapi, tidak lama kemudian suara yang memanggil namanya itu terdengar lagi. suara itu sudah tidak asing lagi di telinganya.",mak siti banjur lungguh lan ngupaya nglilani kuwi. nanging ora suwe swara sing nyeluk jenenge kuwi muni maneh. swara kuwi wis ora asing maneh ing kupinge.
Bayo',Jambi,12,sitiiiâ¦ kali ini suara itu terdengar lebih keras. mak siti kemudian bangkit dari duduknya dan berusaha mengingat pemilik suara itu.,sitiiiâ¦ wektu iki swara kuwi muni luwih banter. mak siti banjur tangi saka lungguhe lan nyoba ngelingi pemilik swara kuwi.
