judul,provinsi,id_teks,teks,referensi
Benda Ajaibnya Kucing,Jawa Barat,1,"tersebutlah kisah tentang pak sabar dan bu sabar, pasangan yang sangat miskin. pada suatu hari, pak sabar mengusulkan kepada istrinya untuk meminjam uang kepada saudaranya, bu mellas, agar mereka bisa makan. coba pinjam uang pada bu mellas, untuk menyambung hidup kita. keadaannya cukup baik, kata pak sabar. maka bu sabar pun berangkat.","kasebut crita pak sabar lan bu sabar, pasangan sing banget mlarat. ing sawijining dina, pak sabar ngusulake marang bojone supaya ngutang dhuwit marang sedulure, bu mellas, supaya padha bisa mangan. coba ngutang dhuwit neng bu mellas, kanggo nerusake urip kita. kaanane cukup apik, kandha pak sabar. mula bu sabar banjur mangkat."
Benda Ajaibnya Kucing,Jawa Barat,2,"sesampainya di rumah bu mellas, bu sabar disambut dengan pertanyaan, ada apa, bar kau datang ke sini bu sabar menjawab, dik, sudah beberapa hari kami tidak makan. saya ingin pinjam uang seratus atau dua ratus saja. bu mellas lalu memberikan uang seratus rupiah, ini seratus, ambillah, katanya. bu sabar pun pulang dengan membawa uang tersebut.","tekane neng omahe bu mellas, bu sabar disambut nganggo pitakonan, ana apa, bar kowe teka neng kene bu sabar njawab, dik, wis sawetara dina awake dhewe ora mangan. aku arep ngutang dhuwit satus apa rongatus wae. bu mellas banjur menehi dhuwit satus rupiah, iki satus, jupuk wae, kandhane. bu sabar banjur mulih nggawa dhuwit kuwi."
Benda Ajaibnya Kucing,Jawa Barat,3,"di tengah perjalanan, bu sabar bertemu dengan seorang pria yang sedang menyeret seekor anjing. ia pun bertanya, ke mana kau bawa anjing itu mengapa kau seret pria itu menjawab, anjing ini tidak bisa menjaga rumah, hanya makan saja. aku akan membuangnya. bu sabar merasa kasihan dan berkata, aduh, kasihan. aku akan beli saja. berapa kau mau beli tanya pria itu. aku beli seratus rupiah, jawab bu sabar. ya sudah, bawa saja, kata pria itu.","ing tengah dalan, bu sabar ketemu karo wong lanang sing lagi nyeret asu. dheweke banjur takon, arep digawa neng ngendi asu kuwi ngapa kok kowe nyeret wong lanang kuwi njawab, asu iki ora bisa njaga omah, mung mangan wae. aku arep mbuwang. bu sabar krasa eman lan kandha, aduh, eman. aku tuku wae. pira kowe gelem tuku takon wong kuwi. aku tuku satus rupiah, wangsul bu sabar. yo wis, gawa wae, kandha wong kuwi."
Benda Ajaibnya Kucing,Jawa Barat,4,"sesampainya di rumah, pak sabar bertanya, dik, mana uangnya mengapa kau bawa anjing ini bu sabar menjawab, saya kasihan pada anjing itu. dia diseret, jadi saya beli. keduanya pun tertegun, meskipun mereka hidup dalam kekurangan.","tekane neng omah, pak sabar takon, dik, endi dhuwite ngapa kok kowe nggawa asu iki bu sabar njawab, aku eman karo segawon kuwi. dheweke diseret, mula aku tuku. karo padha kaget, senadyan urip padha kekurangan."
Benda Ajaibnya Kucing,Jawa Barat,5,"anjing itu diletakkan di bawah langgar, namun tidak makan atau minum, hanya menggonggong saja. pak sabar pun menyuruh bu sabar untuk meminjam lagi uang kepada bu mellas. bu sabar kembali berangkat dan kali ini meminjam seratus rupiah lagi. dalam perjalanan pulang, bu sabar bertemu dengan seseorang yang sedang menyeret seekor kucing. bu sabar bertanya, apa yang akan kau lakukan dengan kucing itu kucing ini akan saya buang karena sering mencuri ikan, jawab pria itu. jangan dibuang, aku beli saja seratus rupiah, kata bu sabar. kucing itu pun diserahkan kepadanya.","asu kuwi didekek ing ngisore langgar, nanging ora mangan utawa ngombe, mung nggonggong wae. pak sabar banjur nyuruh bu sabar supaya ngutang maneh dhuwit marang bu mellas. bu sabar bali mangkat lan wektu kuwi ngutang satus rupiah maneh. ing dalan mulih, bu sabar ketemu karo wong sing nyeret kucing. bu sabar takon, apa sing arep kok lakoni karo kucing kuwi kucing iki arep tak buwang merga kerep nyolong iwak, wangsul wong kuwi. aja dibuwang, aku tuku wae satus rupiah, kandha bu sabar. kucing kuwi banjur diserahake marang dheweke."
Benda Ajaibnya Kucing,Jawa Barat,6,"di rumah, pak sabar kembali bertanya, dik, mana uangnya bu sabar menjawab, uangnya sudah saya pakai untuk membeli kucing. keduanya kembali tertegun.","ing omah, pak sabar bali takon, dik, endi dhuwite bu sabar njawab, dhuwite wis tak gawe kanggo tuku kucing. karo padha kaget maneh."
Benda Ajaibnya Kucing,Jawa Barat,7,"pada suatu malam, bu sabar membangunkan pak sabar agar mengantarkannya ke tempat kencing yang tidak jauh dari langgar. sebelum keluar, bu sabar melihat sebuah benda bersinar bulat di serambi. ia bertanya kepada pak sabar, bar, apa itu pak sabar menjawab, oh, mungkin itu benda ajaibnya kucing gumalana. bu sabar pun mengambil benda tersebut.","ing sawijining bengi, bu sabar ngundang pak sabar supaya nganterke dheweke menyang panggonan kencing sing ora adoh saka langgar. sate durung metu, bu sabar weruh ana barang padhang bunder neng serambi. dheweke takon marang pak sabar, bar, apa kuwi pak sabar njawab, oh, mbok menawa kuwi barang aji-aji-ne kucing gumalana. bu sabar banjur njupuk barang kuwi."
Benda Ajaibnya Kucing,Jawa Barat,8,"mereka mencoba menyusunnya dengan kemenyan dan mengharapkan keajaiban. setelah itu, pak sabar meminta uang dan emas, dan dengan ajaib, uang dan emas yang sangat banyak pun keluar. keduanya merasa senang dan riang. namun, beberapa waktu kemudian, bu sabar ingin memiliki benda semacam itu lagi untuk pak sabar. ia berniat meminta kepada tukang emas bernama akhmad untuk membuatkan benda serupa.","dheweke nyoba nyusun barang kuwi nganggo menyan lan ngarep-arep keajaiban. sawise kuwi, pak sabar njaluk dhuwit lan emas, lan kanthi aji-aji, dhuwit lan emas sing akeh banget metu. karo padha bungah lan seneng. nanging, sawatara wektu sawise, bu sabar kepengin nduwe barang kaya ngono maneh kanggo pak sabar. dheweke arep njaluk marang tukang emas jenenge akhmad supaya nggawe barang sing padha."
Benda Ajaibnya Kucing,Jawa Barat,9,"akhirnya, bu sabar pergi ke rumah akhmad dan membicarakan ongkos dan waktu pembuatan. akhmad setuju untuk membuatkan benda tersebut dengan biaya lima puluh ribu rupiah dan waktu pengerjaan satu minggu. bu sabar pulang dengan harapan besar.","akhire, bu sabar lunga menyang omahe akhmad lan ngomongake bab biaya lan wektu pembuatan. akhmad sarujuk kanggo nggawe barang kuwi kanthi biaya seket ewu rupiah lan wektu pengerjaan seminggu. bu sabar mulih kanthi pangarep-arep gedhe."
Benda Ajaibnya Kucing,Jawa Barat,10,"setelah satu minggu, bu sabar kembali ke rumah akhmad untuk mengambil benda tersebut. namun, setelah dicoba, benda tersebut ternyata tidak mengeluarkan apa pun. bu sabar dan pak sabar merasa bingung, karena benda yang asli telah ditukar dengan yang tiruan oleh akhmad.","sawise seminggu, bu sabar bali menyang omahe akhmad kanggo njupuk barang kuwi. nanging, sawise dicoba, barang kuwi jebul ora ngasilake apa-apa. bu sabar lan pak sabar krasa bingung, merga barang sing asli wis diganti karo sing palsu dening akhmad."
