judul,provinsi,id_teks,teks,referensi
Beungong Meulu dan Beungong Peuken,Aceh,1,"pada zaman dahulu, di suatu negeri, terdapat sebuah keluarga miskin yang memiliki seorang anak laki-laki dan seorang anak perempuan. anak laki-lakinya bernama beungong peukan, sementara anak perempuannya bernama beungong meulu. keluarga miskin itu memelihara dua ekor anjing yang sangat disayangi.","wektu jaman biyen, ana ing sawijining nagara, ana kulawarga mlarat sing nduwe anak lanang siji lan anak wadon siji. anak lanange aran beungong peukan, dene anak wadone aran beungong meulu. kulawarga mlarat kuwi padha ngopeni loro asu sing banget ditresnani."
Beungong Meulu dan Beungong Peuken,Aceh,2,"suatu hari, orang tua mereka memanggil beungong meulu dan beungong peukan. setelah keduanya berada di dekat mereka, orang tua itu berkata, wahai anak-anak, kami berpesan kepada kalian berdua, bahwa jika kami telah meninggal nanti, peliharalah anjing-anjing ini dengan baik.","sawijining dina, wong tuwane nyeluk beungong meulu lan beungong peukan. sawise padha ngumpul cedhak wong tuwa, wong tuwa kuwi kandha, wahai anak-anakku, aku maringi piweling, yen aku wis seda mengko, jaga asu-asu kuwi kanthi becik."
Beungong Meulu dan Beungong Peuken,Aceh,3,"ya, ayah, jawab beungong meulu dan beungong peukan. namun, setelah kedua orang tua mereka meninggal dunia, mereka tidak menghiraukan wasiat itu. anjing-anjing yang dulu disayangi oleh ayah mereka kini dibiarkan kelaparan, karena makanannya tidak diperhatikan lagi.","iyo, bapak, wangsulane beungong meulu lan beungong peukan. nanging sawise wong tuwane mati, padha ora nggatekake wasiat mau. asu-asu sing biyen ditresnani bapak saiki dilalekake, nganti keluwen, awit panganane ora dijaga maneh."
Beungong Meulu dan Beungong Peuken,Aceh,4,"suatu hari, kedua anjing itu datang menghadap beungong meulu dan beungong peukan untuk menanyakan, mengapa kami tidak diberi makan lagi, sehingga kami selalu kelaparan","sak dina, loro asu kuwi teka ngadhepi beungong meulu lan beungong peukan lan takon, napa kowe ora maringi pangan maneh, nganti aku padha keluwen terus"
Beungong Meulu dan Beungong Peuken,Aceh,5,"kami tidak sanggup lagi memberi makan kalian. kami sendiri selalu kekurangan, jawab mereka.","aku lan aku ora bisa maringi mangan kowe. aku dhewe tansah kekurangan, jawabe."
Beungong Meulu dan Beungong Peuken,Aceh,6,"setelah beberapa hari, anjing-anjing itu datang lagi, namun menerima jawaban yang sama. akhirnya, kedua anjing itu mengancam akan membunuh beungong meulu dan beungong peukan, yang membuat keduanya ketakutan.","sawise sawetara dina, asu-asu kuwi bali teka, nanging isih oleh jawaban sing padha. pungkasane, loro asu kuwi ngancam arep mateni beungong meulu lan beungong peukan, nganti padha wedi."
Beungong Meulu dan Beungong Peuken,Aceh,7,"pada suatu hari, mereka meninggalkan kampung halaman dan pergi melintasi lautan dengan menggunakan sebuah perahu kecil. keesokan harinya, kedua anjing itu datang lagi untuk mencari mereka, tetapi tidak menemukannya. mereka hanya menemukan rumah yang telah kosong, lalu mengamuk dan menghancurkan rumah tersebut. setelah itu, kedua anjing itu berlari ke pantai dan melihat beungong meulu dan beungong peukan sedang menyeberangi lautan. tanpa pikir panjang, kedua anjing itu melompat ke laut untuk mengejar mereka.","sak dina, padha lunga ning kutha lan nyebrang segara nganggo prahu cilik. esuke, loro asu kuwi bali nggoleki, nanging ora ketemu. sing ditemokake mung omah sing wis kosong, banjur padha ngamuk ngancurake omah kuwi. banjur loro asu kuwi mlayu menyang pesisir lan weruh beungong meulu lan beungong peukan lagi nyebrang segara. tanpa mikir dawa, loro asu mau mlumpat mlebu segara kanggo ngoyak dheweke."
Beungong Meulu dan Beungong Peuken,Aceh,8,"melihat anjing-anjing itu mengejar mereka, beungong meulu dan beungong peukan berdoa, ya allah, lindungilah kami dari malapetaka ini, agar kami selamat. kami berjanji akan melaksanakan sembahyang sunat dua rakaat setelah sampai di daratan nanti. doa mereka pun dikabulkan, dan kedua anjing itu dimakan oleh ikan paus. beungong meulu dan beungong peukan selamat sampai ke tempat tujuan.","weruh asu-asu ngoyak dheweke, beungong meulu lan beungong peukan ndedonga, ya allah, tulung jaga aku saka sengsara iki, supaya slamet. aku janji arep sholat sunat loro rakaat yen tekan tanah meneng. doane dikabulke, lan loro asu kuwi dipangan iwak paus. beungong meulu lan beungong peukan slamet tekan tujuan."
Beungong Meulu dan Beungong Peuken,Aceh,9,"setelah itu, mereka melaksanakan sembahyang dua rakaat untuk menunaikan nazar mereka dan melanjutkan perjalanan ke sebuah kampung. di kampung itu, mereka merasa sangat lapar dan meminta rambutan kepada penduduk, namun permintaan mereka tidak dikabulkan kecuali dengan membeli. karena tidak memiliki uang, mereka bertanya tentang rumah kepala kampung untuk meminta bantuan.","sakwise kuwi, padha nindakake sholat loro rakaat kanggo nglakoni nazar lan nerusake lelungan menyang sawijining desa. ing desa kuwi, padha krasa banget luwe lan njaluk rambutan marang warga, nanging permintaane ora dituruti kajaba tuku. amarga ora duwe dhuwit, padha takon omahe kepala desa kanggo njaluk tulung."
Beungong Meulu dan Beungong Peuken,Aceh,10,"setelah sampai di rumah kepala kampung, mereka menyapa, assalamualaikum. waalaikumsalam, jawab kepala kampung. kemudian, mereka menyampaikan maksud kedatangannya, kami mohon bantuan, karena sudah berbulan-bulan kami kelaparan dalam perjalanan. kepala kampung itu menjawab, penduduk di sini serba kekurangan, jadi kami tidak bisa menolong orang lain.","sakwise tekan omah kepala desa, padha nyapa, assalamualaikum. waalaikumsalam, jawab kepala desa. banjur padha ngandhani maksud teka, aku nyuwun tulung, amarga wis pirang-pirang sasi luwe ing perjalanan. kepala desa ngomong, warga kene padha kekurangan, dadi aku ora bisa nulungi wong liya."
Beungong Meulu dan Beungong Peuken,Aceh,11,"kalau begitu, tunjukkanlah kami sebuah gubuk untuk bermalam, kata mereka. kepala kampung itu pun menunjukkan sebuah gubuk tua milik seorang nenek bernama nekni. gubuk itu sudah lama tidak dihuni.","yen ngono, tunjukna aku gubuk kanggo nginep, ujare. kepala desa banjur nunjukake gubuk tuwa duwe nenek aran nekni. gubuk kuwi wis suwe ora dienggoni."
Beungong Meulu dan Beungong Peuken,Aceh,12,"di gubuk itu, tidak ada makanan, hanya tumbuhan liar yang tumbuh di sekitar belakang gubuk. tumbuhan itu mereka rebus untuk dimakan. pada suatu pagi, beungong meulu berjalan-jalan di sekitar semak-semak dekat gubuk dan menemukan tiga batang pohon yang kulitnya bisa dipintal menjadi tali. kulit pohon itu diambil dan dipintal menjadi tali, lalu dijalin menjadi jaring.","ing gubuk kuwi, ora ana panganan, mung tanduran liar sing tuwuh nang mburi gubuk. tanduran kuwi direbus kanggo dimangan. ing sawijining esuk, beungong meulu mlaku-mlaku nang semak-semak cedhak gubuk lan nemokake telu wit sing kulite isa dipintal dadi tali. kulit wit kuwi dijupuk lan dipintal dadi tali, banjur dirajut dadi jaring."
Beungong Meulu dan Beungong Peuken,Aceh,13,"kemudian, beungong peukan pergi menjaring udang di sebuah danau tidak jauh dari gubuk. pada hari itu, ia berhasil menangkap dua bambu udang. sebagian udang ditukarkan dengan beras dan sebagian lagi dijual kepada penduduk kampung. pada malam hari, mereka memasak nasi dan makan sekenyang-kenyangnya. karena terlalu kenyang, mereka jatuh pingsan.","banjur beungong peukan lunga njaring udang ing sawijining tlaga ora adoh saka gubuk. dina kuwi, dheweke kasil nangkep loro buntal udang. sawijining udang ditukaran karo beras, lan siji liyane didol marang warga desa. ing wayah wengi, padha masak sega lan mangan nganti wareg. amarga kakehan mangan, padha kelangan kesadaran."
Beungong Meulu dan Beungong Peuken,Aceh,14,"ketika sadar, mereka saling bertanya, apa yang terjadi dengan kita namun, tak seorang pun tahu jawabannya. keesokan harinya, beungong peukan pergi lagi menjaring udang, dan kali ini ia berhasil menangkap lebih banyak lagi. udang yang diperoleh ditukarkan dengan barang pecah belah seperti piring dan mangkok.","nalika tangi, padha padha takon, apa sing kelakon karo awake dhewe nanging ora ana sing ngerti jawabane. esuk-esuke, beungong peukan lunga maneh njaring udang, lan wektu kuwi luwih akeh sing katangkep. udang sing dijupuk ditukaran karo barang pecah belah kaya piring lan mangkok."
