judul,provinsi,id_teks,teks,referensi
Bruek Kura,Aceh,1,"di sebuah negeri, terdapatlah sebuah keluarga miskin yang tidak memiliki anak. suatu hari, mereka duduk di beranda rumah sambil membicarakan kesepian rumah tangga yang mereka alami. saat mereka asyik berbincang, sang suami berkata kepada isterinya, marilah kita memohon kepada tuhan agar diberikan seorang anak. kemudian mereka berdoa, ya allah, berikanlah kami seorang putra, walaupun dia menyerupai kura-kura, kami akan rela menerimanya. setahun kemudian, permintaan mereka pun dikabulkan oleh tuhan, dan lahirlah seorang anak laki-laki yang menyerupai kura-kura. anak tersebut mereka asuh dengan baik.","ing sawijining nagara, ana sawijining kulawarga miskin sing ora nduwe anak. sawijining dina, wong loro kuwi lungguh ana ing teras omah karo rembugan bab kaseselan urip omah-omahan sing dialami. nalika lagi asik ngobrol, bojone lanang kandha marang bojone wadon, ayo padha ndedonga marang gusti allah supaya diparingi anak. banjur padha ndedonga, ya allah, paringana kula anak lanang, sanajan wujude kaya kura-kura, kula ikhlas nampani. setaun sawise, panjaluke ditampa dening gusti allah, lan lairlah anak lanang sing wujude kaya kura-kura. anak kuwi dirumat kanthi becik."
Bruek Kura,Aceh,2,"ketika anak itu berumur tujuh tahun, ia berkata kepada ibunya, wahai ibu, pergilah kepada raja dan mintalah sebuah kail beserta benangnya agar saya dapat pergi memancing di kali. ibunya pun pergi menghadap raja untuk menyampaikan keinginan anaknya. permintaannya dikabulkan oleh raja. keesokan harinya, si kura-kura itu menyusuri kali untuk memancing. namun, saat hampir sampai, ia terhalang oleh sebatang kayu besar yang sudah terdampar di sungai. ia pun berteriak meminta tolong kepada ibunya. ibunya datang dan menolongnya hingga akhirnya ia sampai di tempat tujuannya. setelah itu, ibunya pulang ke rumah.","nalika anak kuwi yuswane pitung taun, dheweke kandha marang ibune, bu, tindhaka menyang raja lan nyuwuna kail karo benange supaya aku isa mancing ing kali. ibune banjur lunga sowan marang raja kanggo ngandhakake karepe anake. panjaluke ditampa dening raja. esuke, si kura-kura kuwi mlaku nyusuri kali kanggo mancing. nanging, nalika meh tekan panggonan, dalane ketutupan batang kayu gedhe sing wis ngelanggar ana ing kali. dheweke banjur bengok njaluk tulung marang ibune. ibune teka lan nulungi nganthi tekan panggonan tujuwane. sawise kuwi, ibune mulih menyang omah."
Bruek Kura,Aceh,3,"di tempat tujuan, ia mengambil kail dan melemparkannya ke dalam air sambil mengucapkan bismillahirrahmanirrahim. tak lama kemudian, seekor ikan besar pun tersangkut. betapa gembiranya hatinya ketika berhasil menangkap ikan tersebut. setelah itu, ia pulang ke rumah dan kedua orang tuanya sangat senang melihat ikan besar yang dibawanya pulang. ikan itu kemudian diberikan kepada ibunya dan ia berpesan agar ikan tersebut dibelah dua; satu bagian dimasak dan bagian lainnya diantarkan kepada raja.","ing panggonan kuwi, dheweke njupuk kail lan dibuwang menyang banyu karo ngucap bismillahirrahmanirrahim. ora suwe, ana iwak gedhe kesangkut. betapa bungahe atine nalika bisa oleh iwak kuwi. sawise kuwi, dheweke mulih menyang omah lan wong tuwane seneng banget ndelok iwak gedhe sing digawa mulih. iwak kuwi banjur diparingake marang ibune lan dheweke pesen supaya iwake diperang dadi loro; sak perangan dimasak lan perangan liyane dikirim menyang raja."
Bruek Kura,Aceh,4,"ibunya pun memenuhi permintaan itu dan pergi mengantarkan ikan yang telah dibelah ke istana. ketika ibunya menyerahkan ikan tersebut kepada raja, sang raja bertanya, berapa harga ikan ini ibunya menjawab, ikan ini bukan untuk dijual, tetapi sebagai persembahan anakku untuk baginda. sungguh mulia hati anakmu itu, sehingga saya tidak sanggup menilainya, jawab raja. raja kemudian memerintahkan pengawalnya untuk memberikan beras sebanyak 20 liter, minyak goreng sebotol, minyak tanah, serta bumbu-bumbu masak sebagai balasan.","ibune banjur nindakke panjaluk kuwi lan lunga ngirim iwak sing wis diperang menyang istana. nalika ibune masrahake iwak kuwi marang raja, raja banjur takon, pinten regane iwak iki ibune mangsuli, iwak iki ora didol, nanging minangka persembahan saka anak kula kanggo paduka. sungguh mulya atine anakmu kuwi, nganti aku ora sanggup menehi regane, wangsul raja. banjur raja dhawuh marang para pengawale supaya menehi beras sak 20 liter, lenga goreng sak botol, lenga tanah, lan bumbu masak minangka balasan."
Bruek Kura,Aceh,5,"keesokan harinya, si kura-kura pergi memancing lagi dan berhasil menangkap dua ikan yang lebih besar dari hari sebelumnya. ia membawa pulang ikan tersebut dan memberi pesan kepada ibunya untuk memasak satu ikan dan mengantarkan yang lainnya kepada raja. raja pun memberikan 40 liter beras sebagai balasan. begitu seterusnya, hingga pada hari ketujuh, si kura-kura meminta ibunya untuk melamar puteri bungsu raja.","esuke, si kura-kura lunga mancing maneh lan isa oleh loro iwak sing luwih gedhe tinimbang dina sakdurunge. dheweke nggawa mulih iwak kuwi lan pesen marang ibune supaya sak iwak dimasak lan sijine dikirim menyang raja. raja banjur menehi beras sak 40 liter minangka balasan. kaya mangkono terusane, nganthi dina kapitu, si kura-kura njaluk marang ibune supaya dilamarake putri bungsu raja."
Bruek Kura,Aceh,6,"mendengar itu, ibunya berkata, wahai anakku, tidak mungkin saya melamar puteri raja untukmu, karena kamu menyerupai kura-kura. orang yang akan menjadi menantu raja pastilah orang yang termasyhur. namun, si kura-kura menjawab, belum tentu, bu. rezeki dan jodoh adalah urusan tuhan. kita hanya berusaha. akhirnya, ibunya pergi melamar, tetapi tidak berani mengungkapkan maksudnya di hadapan raja. setelah beberapa kali didesak, akhirnya ibunya berkata, kabarnya di sini ada sekuntum bunga, dan jika boleh, kami ingin memetiknya.","krungu kuwi, ibune kandha, lho, anakku, ora mungkin aku ngelamar putri raja kanggo kowe, merga kowe wujude kaya kura-kura. wong sing bakal dadi mantu raja mesthine wong misuwur. nanging, si kura-kura mangsuli, durung mesthi, bu. rejeki lan jodho iku urusane gusti allah. kita mung usaha. akhire, ibune lunga ngelamar, nanging ora wani ngucapake maksude ing ngarepe raja. sawise ping pirang-pirang dipaksa, akhire ibune kandha, krungu-krungu ana sekuntum kembang ing kene, lan yen oleh, aku kepengin methik."
Bruek Kura,Aceh,7,"raja yang mengira bunga itu adalah bunga yang sebenarnya, berkata, silakan petik. namun, setelah penjelasan ibunya, raja baru memahami bahwa maksud ibunya adalah untuk melamar puteri bungsu. raja pun marah dan mengusir serta mencambuknya hingga pingsan. setelah sadar, ibunya pulang dan menceritakan kejadian itu kepada anaknya. si kura-kura yang merasa sedih melihat ibunya, kemudian menggosokkan ludahnya ke tubuh ibunya sehingga tubuhnya kembali segar.","raja sing nyangka yen kembang kuwi ya kembang tenan, kandha, monggo petik. nanging, sawise dijelasake ibune, raja banjur ngerti yen maksude yaiku arep ngelamar putri bungsu. raja banjur nesu lan ngusir ibune sarta nggebug nganthi pingsan. sawise sadar, ibune mulih lan nyritakake kedadeyan kuwi marang anake. si kura-kura sing sedhih ndelok ibune, banjur nggosokake ilate menyang badan ibune nganti awake bali seger."
Bruek Kura,Aceh,8,"beberapa hari kemudian, si kura-kura mengirimkan ibunya lagi untuk melamar puteri. kali ini, raja tidak marah dan berkata, saya akan menerima lamaran anakmu jika puteri bungsuku menyetujuinya. silakan tanyakan langsung kepadanya. ternyata, puteri bungsu menerima lamaran itu, meskipun raja marah besar mendengarnya. sebaliknya, ibunya sangat senang karena keinginan anaknya akhirnya terwujud.","sawise sawetara dina, si kura-kura ngutus ibune maneh kanggo ngelamar putri. saiki, raja ora nesu lan kandha, aku bakal nampa lamaran anakmu yen putri bungsuku sarujuk. monggo takon langsung marang dheweke. ternyata, putri bungsu nampa lamaran kuwi, senadyan raja nesu banget krungu kuwi. kosok baline, ibune bungah banget merga kekarepane anake bisa kelakon."
Bruek Kura,Aceh,9,"perkawinan pun dilangsungkan pada hari jumat minggu berikutnya. raja yang tetap tidak setuju memberikan tempat di istana, akhirnya puteri bungsu membuat sebuah pondok dekat istana. pada malam itu, si kura-kura datang untuk menikah dan berdoa, ya allah, datangkanlah tujuh orang ulama untuk menikahkan kami. doanya dikabulkan dan tujuh ulama pun datang, menikahkan mereka.","pernikahan dilaksanakake ing dina jumuah minggu sabanjure. raja sing isih ora sarujuk menehi panggonan ing istana, pungkasane putri bungsu gawe pondhok cilik cedhak istana. ing bengi kuwi, si kura-kura teka kanggo kawinan lan ndedonga, ya allah, tekakake pitung ulama kanggo nikahake aku lan bojoku. donga kuwi ditampa lan pitung ulama rawuh, nikahake dheweke."
Bruek Kura,Aceh,10,"malam itu, setelah pernikahan, si kura-kura keluar dari sarungnya dan berubah menjadi seorang raja yang gagah perkasa. sarung kura-kura itu pun berubah menjadi kuda dan peralatan perang. si raja membeli pakaian dan perhiasan untuk isterinya dan menyimpannya di dalam peti. isterinya terkejut melihat peti berisi harta itu. namun, setelah beberapa malam, ia mulai curiga bahwa suaminya bukanlah kura-kura.","bengi kuwi, sawise kawinan, si kura-kura metu saka cangkange lan malih wujud dadi raja sing gagah perkasa. cangkange kura-kura malih dadi jaran lan piranti perang. si raja tuku klambi lan perhiasan kanggo garwane lan disimpen ing peti. garwane kaget ndelok peti isi bandha kuwi. nanging, sawise sawetara bengi, dheweke wiwit curiga yen bojone dudu kura-kura."
Bruek Kura,Aceh,11,"pada malam berikutnya, ia menyembunyikan sarung kura-kura, dan saat si kura-kura kembali dari pasar, ia mencarinya dan bertanya. setelah itu, mereka membakar sarung kura-kura, dan pada setiap letupan, sesuatu yang baru muncul: sebuah tempat luas, pusat perbelanjaan, dan ternak. dalam waktu tiga bulan, mereka menjadi keluarga kaya raya. raja dan keluarganya merasa iri, sehingga terjadi peperangan yang akhirnya dimenangkan oleh puteri bungsu bersama suaminya. mereka memerintah dengan penuh kasih sayang kepada rakyat, yang membuat semua rakyat bersatu.","ing bengi sabanjure, dheweke ndhelikake cangkange kura-kura, lan nalika si kura-kura bali saka pasar, dheweke nggoleki lan takon. sawise kuwi, padha ngobong cangkange kura-kura, lan ing saben letusan, ana barang anyar sing metu: sak panggonan amba, pusat blanja, lan ternak. ing wektu telung wulan, dheweke dadi kulawarga sugih raya. raja lan kulawargane dadi meri, nganthi ana perang sing pungkasane dimenangke putri bungsu karo bojone. dheweke mrentah kanthi katresnan marang rakyat, sing ndadekake rakyat padha rukun."
