judul,provinsi,id_teks,teks,referensi
Buaya Ajaib,Kalimantan Barat,1,"zaman dahulu kala, di tepian sungai tami di papua barat, ada sepasang suami istri yang menantikan kehadiran seorang anak. sang suami bernama towjatuwa, ia sangat gelisah karena istrinya yang sedang hamil tua mengalami kesulitan ketika akan melahirkan. hanya ada satu cara untuk membantu istrinya melahirkan, yaitu dengan mengoperasinya.","jamane mbiyen, ana ing pinggir kali tami ing papua kulon, ana sepasang bojo sing wis suwe ngenteni nduwe anak. sing lanang jenenge towjatuwa, dheweke kuwatir banget merga bojone sing ngandhut gedhe ngalami kesulitan nalika arep ngelairake. mung ana siji cara kanggo mbantu bojone, yaiku kanthi dioperasi."
Buaya Ajaib,Kalimantan Barat,2,"menggunakan batu tajam dari sungai tami, ketika ia sedang sibuk mencari batu tajam, tiba-tiba muncul seekor buaya besar di depannya. towjatuwa kaget bukan kepalang. ia sangat ketakutan dan hampir pingsan. buaya itu semakin mendekati towjatuwa dengan tubuh yang terlihat aneh, tidak seperti buaya lainnya. di punggung buaya itu tumbuh bulu-bulu burung kaswari. hal ini membuat buaya itu tampak menyeramkan ketika bergerak-gerak.","kanthi nggoleki watu landhep saka kali tami, nalika towjatuwa sibuk nggoleki watu, ndadak muncul baya gedhe ing ngarepe. towjatuwa kaget pol. dheweke wedi banget lan meh pingsan. baya kuwi saya cedhak karo towjatuwa, karo awake sing katon aneh, ora kaya buaya biasane. ing punggunge buaya kuwi tuwuh bulu-bulu manuk kaswari. kuwi ndadekake buaya kuwi katon medeni nalika obah."
Buaya Ajaib,Kalimantan Barat,3,"ketika jarak buaya dengan dirinya sudah semakin dekat, towjatuwa mulai bersiap-siap untuk melarikan diri. tiba-tiba, sang buaya menyapa towjatuwa dengan ramah.","nalika jarak buaya karo dheweke wis saya cedhak, towjatuwa siap-siap arep mlayu. nanging ndadak baya kuwi nyapa towjatuwa kanthi ramah."
Buaya Ajaib,Kalimantan Barat,4,jangan takut. maafkan jika aku mengagetkanmu. namaku wituwe. siapa namamu dan apa yang kamu cari di sungai ini tanya buaya.,aja wedi. nyuwun ngapura nek aku nggetekke kowe. jenengku wituwe. jenengmu sapa lan kowe ngapa ing kali iki pitakone buaya.
Buaya Ajaib,Kalimantan Barat,5,"oh a. ku. aku. namaku towjatuwa. aku di sini sedang mencari batu tajam untuk membantu istriku melahirkan, jawab towjatuwa dengan rasa ketakutan.","o. a. ku. aku. jenengku towjatuwa. aku lagi nggoleki watu landhep kanggo mbantu bojoku ngelairake, wangsulane towjatuwa karo rasa wedi."
Buaya Ajaib,Kalimantan Barat,6,rasa takut towjatuwa lama-kelamaan telah pudar karena buaya ini nampaknya sangat akrab dan tidak mengerikan seperti penampilannya. pembicaraan mereka pun dilanjutkan dengan santai.,rasa wedi towjatuwa suwe-suwe ilang merga baya kuwi katon akrab lan ora medeni kaya penampilane. obrolane banjur diterusake kanthi santai.
Buaya Ajaib,Kalimantan Barat,7,"kau tidak usah khawatir, towjatuwa. aku akan menolong istrimu melahirkan, kata buaya ajaib itu.","kowe ora usah kuwatir, towjatuwa. aku bakal nulungi bojomu ngelairake, kandha baya ajaib kuwi."
Buaya Ajaib,Kalimantan Barat,8,towjatuwa merasa senang mendengar ucapan sang buaya. ia kembali ke rumah dan menceritakan pertemuannya dengan buaya.,towjatuwa bungah banget krungu tembunge buaya kuwi. dheweke bali menyang omah lan nyritakake pertemuane karo buaya.
Buaya Ajaib,Kalimantan Barat,9,"esok harinya, perut istri towjatuwa mulai terasa sakit tak tertahankan. towjatuwa sangat panik, ia menunggu-nunggu kedatangan si buaya ajaib. tetapi, semakin lama ditunggu, buaya pun tak kunjung tiba. namun, di saat-saat terakhir, ketika istrinya sudah tak kuat lagi menahan rasa sakitnya, buaya ajaib itu akhirnya tiba di rumahnya, menepati janjinya. ia segera menolong persalinan istri towjatuwa.","esuke, wetenge bojo towjatuwa mulai krasa lara banget. towjatuwa panik, dheweke ngenteni kedadangane si baya ajaib. nanging, saya suwe dianti-anti, baya kuwi ora teka-teka. nanging, ing wektu-wektu pungkasan, nalika bojone wis ora kuat nahan lara, baya ajaib kuwi pungkasane teka ing omahe, netepi janjine. dheweke langsung nulungi proses lairan bojone towjatuwa."
Buaya Ajaib,Kalimantan Barat,10,"akhirnya, istri towjatuwa bisa melahirkan anaknya dengan selamat. tak lama kemudian, terdengar tangis bayi laki-laki yang memecahkan keheningan malam. towjatuwa merasa lega dan bahagia dengan kelahiran bayinya. bayinya telah lahir dengan sehat dan selamat, anak itu diberi nama narrowra.","akhire, bojone towjatuwa bisa ngelairake anake kanthi slamet. ora suwe, krungu tangis bayi lanang sing mecah kasepening wengi. towjatuwa rumangsa lega lan seneng banget karo kelairane bayi kuwi. bayi kuwi lair kanthi sehat lan slamet, lan dijenengi narrowra."
