judul,provinsi,id_teks,teks,referensi
Bujang Katak,Jambi,1,"pada zaman dahulu, hiduplah seorang nenek tua yang tinggal sebatang kara di sebuah desa kecil di bangka belitung. nenek itu sangat miskin dan tinggal di sebuah gubuk reot yang hampir ambruk. suaminya telah lama meninggal, dan ia tidak memiliki anak maupun sanak saudara.","ing jaman mbiyen, ana sawijining mbok tuwa sing manggon dhewekan ing sawijining desa cilik ing bangka belitung. mbok kuwi mlarat banget lan manggon ing gubuk reot sing meh rubuh. bojone wis suwe tilar donya, lan dheweke ora nduweni anak utawa sanak saudara."
Bujang Katak,Jambi,2,"untuk mencukupi kebutuhannya, nenek menggarap sebidang ladang warisan dari almarhum suaminya. namun, tubuhnya yang lemah membuatnya cepat lelah, sehingga pekerjaannya sering kali tertunda. di tengah kesendiriannya, nenek sering berandai-andai.","kanggo nyukupi kabutuhane, mbok kuwi nggarap sawah warisan saka alm. bojone. nanging, awake sing ringkih nggawe dheweke gampang kesel, mula gaweyane kerep katunda. ing tengahing kasepi, mbok kuwi kerep ngayal."
Bujang Katak,Jambi,3,"seandainya aku punya anak, mungkin ada yang membantuku bekerja, ucapnya dalam hati.","âyen wae aku nduweni anak, mesthine ana sing bisa nulungi aku nyambut gawe,â ujare ing njero ati."
Bujang Katak,Jambi,4,"malam harinya, ia duduk di depan gubuknya sambil menatap bintang dan bulan. ia berdoa kepada tuhan, tuhan, selama ini hamba tak pernah meminta apa pun. namun, hamba kini memohon seorang anak, walaupun ia berbentuk seekor katak.","wengi kuwi, dheweke lungguh ing ngarep gubuke karo ndeleng lintang lan rembulan. dheweke ndonga marang gusti allah, âgusti, nganthi saiki kawula durung nate nyuwun apa-apa. nanging saiki kawula nyuwun diparingi anak, sanadyan wujude kaya kodhok.â"
Bujang Katak,Jambi,5,"tiga hari setelah berdoa, nenek merasakan sesuatu yang aneh di perutnya. ia merasa mual setiap pagi dan menyadari bahwa dirinya sedang hamil. meski bahagia, nenek menjadi bahan cibiran para tetangga.","telung dina sawise ndonga, mbok kuwi ngrasakake prekara aneh ing wetenge. dheweke mual saben esuk lan sadar manawa dheweke lagi ngandhut. sanajan bungah, mbok kuwi dadi omongan tanggane."
Bujang Katak,Jambi,6,bagaimana mungkin nenek tua itu hamil jangan-jangan ia berbuat hal yang memalukan ujar salah satu warga.,âpiye isa mbok tuwa kuwi ngandhut aja-aja dheweke nindakake prekoro kang isinâ ujare warga.
Bujang Katak,Jambi,7,"namun, nenek tak peduli dengan omongan mereka. ia tetap bersyukur atas anugerah tuhan.","nanging, mbok kuwi ora perduli karo omongane wong-wong. dheweke tetep syukur amarga wis diparingi berkah saka gusti allah."
Bujang Katak,Jambi,8,"ketika waktu melahirkan tiba, nenek merasakan sakit yang luar biasa dan melahirkan seorang bayi sendirian. para tetangga yang datang ke gubuknya terkejut melihat bayi itu berbentuk seperti katak.","nalika wayahe ngelairake teka, mbok kuwi ngrasa lara banget lan ngelairake bayi dhewean. warga sing teka menyang gubuke kaget nalika ndeleng bayi kuwi wujude kaya kodhok."
Bujang Katak,Jambi,9,bagaimana mungkin ini terjadi jangan-jangan nenek ini berhubungan dengan katak cibir warga.,âpiye iso kedadeyan iki aja-aja mbok kuwi sesambungan karo kodhokâ olok-oloke warga.
Bujang Katak,Jambi,10,"namun, nenek menjelaskan bahwa ia hanya berdoa kepada tuhan untuk mendapatkan anak, walaupun berbentuk katak. warga pun pergi tanpa ada yang mau menggendong bayi tersebut.","nanging, mbok kuwi nerangake manawa dheweke mung ndonga marang gusti supaya diparingi anak, sanajan wujude kaya kodhok. warga banjur lunga tanpa ana sing gelem nggendhong bayi kuwi."
Bujang Katak,Jambi,11,"nenek menamai anaknya bujang katak dan merawatnya dengan penuh kasih sayang. meski berbentuk seperti katak, bujang katak tumbuh menjadi pemuda yang baik hati, rajin, dan penuh bakti kepada ibunya.","mbok kuwi menehi jeneng anake bujang katak lan ngasuh kanthi katresnan kang gedhe. sanajan wujude kaya kodhok, bujang katak tuwuh dadi nom-noman sing becik atine, sregep, lan ngabekti marang ibune."
Bujang Katak,Jambi,12,"suatu hari, bujang katak bertanya kepada ibunya tentang negeri mereka.","sawijining dina, bujang katak takon marang ibune bab nagara panggon asale."
Bujang Katak,Jambi,13,"ibu, ceritakanlah tentang negeri ini, pintanya.","âbu, critakna bab nagara iki,â jaluke."
Bujang Katak,Jambi,14,"negeri ini dipimpin oleh seorang raja yang bijaksana. ia memiliki tujuh putri yang cantik jelita, tetapi belum ada satu pun yang menikah, jawab sang ibu.","ânagara iki dipimpin dening sang raja sing wicaksana. dheweke nduweni pitung putri kang ayu-ayu, nanging durung ana siji wae sing rabi,â wangsul ibune."
Bujang Katak,Jambi,15,"mendengar cerita itu, bujang katak mulai membayangkan kecantikan para putri raja dan ingin menikahi salah satu dari mereka.","krungu crita kuwi, bujang katak wiwit mbayangake kaendahan para putri lan kepengin ngelamar salah siji saka wong-wong mau."
Bujang Katak,Jambi,16,"bu, aku ingin menikahi salah satu putri raja, ucapnya.","âbu, aku kepengin ngelamar salah siji putri raja,â ujare."
Bujang Katak,Jambi,17,"awalnya, sang ibu merasa mustahil keinginan itu tercapai. namun, karena cinta dan kasih sayangnya, ia setuju untuk membantu bujang katak.","kaping pisan, sang ibu rumangsa kuwi mokal kelakon. nanging, amarga katresnan lan welase, dheweke setuju nulungi bujang katak."
Bujang Katak,Jambi,18,"keesokan harinya, nenek dan bujang katak pergi ke istana. sang ibu menyampaikan maksud kedatangan mereka kepada raja.","esuke, mbok kuwi lan bujang katak lunga menyang karajan. sang ibu ngaturake maksud tekane marang sang raja."
Bujang Katak,Jambi,19,"ampun baginda, hamba kemari karena putra hamba ingin melamar salah satu putri baginda, ujar nenek.","ânyuwun pangapunten, baginda, kawula rawuh mriki amarga anak kawula kepengin ngelamar salah siji putri paduka,â ujare mbok kuwi."
Bujang Katak,Jambi,20,"raja terkejut dan langsung meminta izin kepada putri-putrinya. namun, keenam putri menolak dengan kasar dan menghina bujang katak.","sang raja kaget lan langsung njaluk idin marang putri-putrine. nanging, enem putri nola kanthi kasar lan ngina bujang katak."
Bujang Katak,Jambi,21,mana mungkin kami menikah dengan pria berbentuk katak ejek mereka.,âpiye bisa aku rabi karo priya wujude kaya kodhokâ olok-oloke.
Bujang Katak,Jambi,22,"hanya putri bungsu yang merasa kasihan kepada bujang katak. ia tidak menghina maupun meludahi mereka. melihat itu, bujang katak dan ibunya kembali ke rumah dengan perasaan sedih, tetapi mereka tidak menyerah.","mung sang putri ragil sing kroso trenyuh marang bujang katak. dheweke ora ngina utawa nyelaki. wektu weruh kuwi, bujang katak lan ibune bali menyang omah kanthi ati susah, nanging ora nyerah."
Bujang Katak,Jambi,23,nenek kembali ke istana untuk mencoba melamar putri bungsu. raja akhirnya memberikan syarat yang sulit:,mbok kuwi bali menyang karajan kanggo nyoba ngelamar sang putri ragil. sang raja banjur menehi syarat kang abot:
Bujang Katak,Jambi,24,"bujang katak, buatlah jembatan emas dari gubukmu hingga gerbang istana dalam waktu seminggu. jika gagal, kau akan dihukum mati, titah raja.","âbujang katak, gawaa jembatan emas saka gubukmu nganti gapura karajan sajrone seminggu. yen gagal, kowe bakal dipateni,â dhawuhe sang raja."
Bujang Katak,Jambi,25,"dengan penuh keyakinan, bujang katak menyanggupi syarat itu.","kanthi yakin, bujang katak nampa tantangan kuwi."
Bujang Katak,Jambi,26,"bujang katak pergi bertapa di sebuah gua dekat gunung untuk memohon bantuan tuhan. pada hari ketujuh, keajaiban terjadi. kulit katak yang melapisi tubuhnya mengelupas, dan ia berubah menjadi pemuda yang tampan dan gagah. kulit yang terkelupas itu berubah menjadi emas batangan.","bujang katak lunga tapa ing guwa cedhak gunung kanggo nyuwun tulung marang gusti allah. ing dina kapitu, kedadeyan gaib. kulit kodhok kang nutupi awake ngelupas, lan dheweke malih dadi pemuda kang gagah lan nggenteng rupane. kulit kang ngelupas mau dadi emas batangan."
Bujang Katak,Jambi,27,"dengan emas tersebut, ia dan ibunya membangun jembatan emas hingga ke gerbang istana dalam semalam.","kanthi emas kuwi, dheweke lan ibune mbangun jembatan emas nganthi tekan gapura karajan mung sajrone sedina."
Bujang Katak,Jambi,28,"keesokan harinya, raja dan seluruh rakyat terkejut melihat jembatan emas yang berkilauan. ketika bujang katak datang bersama ibunya, raja akhirnya merestui pernikahannya dengan putri bungsu.","esuke, sang raja lan rakyat padha kaget weruh jembatan emas sing nggilap. nalika bujang katak teka bareng ibune, raja pungkasane maringi restu marang rabine karo putri ragil."
Bujang Katak,Jambi,29,"pernikahan mereka dirayakan selama tujuh hari tujuh malam dengan meriah. semua orang bahagia, kecuali keenam kakak sang putri bungsu yang menyesal telah menolak bujang katak.","rabine dirayakake sajrone pitung dina pitung wengi kanthi meriah. kabeh wong bungah, kejaba enem kakang sang putri ragil sing kuciwa amarga wis nolak bujang katak."
