judul,provinsi,id_teks,teks,referensi
Bujang Kurap,Riau,1,"pada zaman dahulu, di sebuah desa hiduplah seorang lelaki yang tubuhnya penuh dengan penyakit kurap. karena kondisinya, masyarakat desa memanggilnya dengan ejekan bujang kurap. awalnya, ia mencoba mengabaikan ejekan tersebut, tetapi lama-kelamaan kesabarannya habis. ia telah berusaha mengobati penyakitnya, namun tidak pernah berhasil.","mbiyen kala, ana ing sawijining desa, urip sawijining lanang kang awake kebak kurap. amarga kondisine kuwi, warga desa pada ngenyek lan nyebut dheweke âbujang kurap.â awit sepisanan, dheweke ngupaya sabar lan nglirwakake olok-olok kuwi, nanging suwe-suwe kesabarane entek. bujang kurap wis nyoba ngobati larane, nanging ora tau mari."
Bujang Kurap,Riau,2,"suatu hari, ia mendengar kabar tentang seorang tabib sakti bernama tapak libok yang tinggal di desa bengen. meski tapak libok terkenal sulit ditemukan dan dikisahkan memiliki tubuh yang sangat tinggi seperti pohon manggeris, bujang kurap bertekad menemukannya. ia ingin menyembuhkan penyakitnya dan memulihkan nama baiknya.","ing sawijining dina, dheweke krungu kabar ana tabib sakti jenenge tapak libok kang manggon ing desa bengen. sanajan tapak libok kondhang angel ditemokake lan critane awake dhuwur kaya wit manggeris, bujang kurap tekad arep nemokake. dheweke kepengin mari saka larane lan mulihake jeneng apike."
Bujang Kurap,Riau,3,"setelah berjalan selama berhari-hari, bujang kurap tiba di suatu tempat dan menemukan bekas telapak kaki besar di tanah. ia yakin bahwa itu adalah jejak tapak libok. dengan semangat baru, ia terus menelusuri jejak itu. setelah tiga puluh hari perjalanan, ia menemukan bekas telapak kaki lain dan akhirnya tiba di tengah hutan lebat. di sana, ia beristirahat di bawah pohon besar.","sawise mlaku nganti dina-dinan, bujang kurap tekan panggonan lan ndelok tapak sikil gedhe ana ing lemah. dheweke yakin nek kuwi tilase tapak libok. kanthi semangat anyar, dheweke terus ngetutake tilas kuwi. sawise telung puluh dina perjalanan, dheweke nemokake tapak sikil liyane lan pungkasane tekan alas lebat. ing kono, dheweke ngaso ing sangisoring wit gedhe."
Bujang Kurap,Riau,4,"tiba-tiba, ia merasakan tetesan air dari atas. saat menengadah, ia melihat seorang pria raksasa yang sedang buang air dari atas pohon. pria itu bertanya dengan suara lantang, âanak muda, mengapa engkau berada di tempatku iniâ","ora nyana, ana banyu netes saka dhuwur. nalika ndangak, dheweke weruh ana pria raksasa sing lagi nguyuh saka dhuwur wit. wong raksasa kuwi takon nganggo swara seru, âcah enom, kok kowe tekan panggonanku ikiâ"
Bujang Kurap,Riau,5,"dengan keberanian yang tersisa, bujang kurap menjawab, âapakah saya telah bertemu dengan tapak libokâ","kanthi sisa keberaniane, bujang kurap njawab, âapa aku wis ketemu karo tapak libokâ"
Bujang Kurap,Riau,6,"tapak libok mengangguk dan menanyakan maksud kedatangan bujang kurap. setelah mendengar penjelasannya, tapak libok setuju untuk mengobati penyakitnya. tak lama kemudian, bujang kurap sembuh total. kulitnya kembali bersih, dan ia mengucapkan terima kasih kepada tapak libok.","tapak libok manggut lan takon apa tujuane bujang kurap. sawise ngrungokake panjaluke, tapak libok sarujuk kanggo ngobati larane. ora suwe, bujang kurap mari sak pol-pole. kulite resik maneh, lan dheweke matur nuwun marang tapak libok."
Bujang Kurap,Riau,7,"namun, sebelum pergi, tapak libok menawarkan kekuatan sakti kepada bujang kurap dengan syarat, âengkau tidak boleh kembali ke desa. engkau harus berkelana dan menggunakan ilmu ini untuk kebaikan.â bujang kurap setuju dan mulai perjalanan barunya.","sadurung lunga, tapak libok nawakake kawruh sakti marang bujang kurap kanthi syarat, âkowe ora oleh bali menyang desa. kowe kudu lelungan lan nggunakake elmu iki kanggo kabecikan.â bujang kurap sarujuk lan miwiti perjalanan anyare."
Bujang Kurap,Riau,8,"dalam perjalanannya, bujang kurap tiba di sebuah kerajaan di pulau bangka. ia mendengar bahwa raja mengadakan sayembara untuk mencabut pohon besar yang tumbuh di tengah istana. pohon itu menghalangi jalan menuju istana, dan siapapun yang berhasil mencabutnya akan mendapatkan hadiah: jika pemenang adalah laki-laki, ia akan dinikahkan dengan putri raja; jika perempuan, ia akan diangkat menjadi anak raja. namun, jika gagal, peserta akan dihukum mati.","ing tengah lelungan, bujang kurap tekan sawijining kraton ing pulo bangka. dheweke krungu kabar yen raja ngadani sayembara kanggo mencabut wit gedhe ing tengah kraton. wit kuwi ngalang-alangi dalan menyang istana, lan sapa wae sing bisa mencabut bakal entuk hadiah: yen lanang, bakal dinikahke karo putri raja; yen wadon, bakal diangkat dadi anak raja. nanging yen gagal, bakal dipateni."
Bujang Kurap,Riau,9,"sudah banyak orang sakti mencoba, tetapi tidak ada yang berhasil. mendengar kabar ini, bujang kurap memutuskan untuk mencoba peruntungannya. dengan keberanian dan ilmu yang diberikan tapak libok, ia berhasil mencabut pohon tersebut. sesuai janji, bujang kurap dinikahkan dengan putri raja yang cantik.","wis akeh wong sakti nyoba, nanging ora ana sing bisa. krungu kabar kuwi, bujang kurap mutusake nyoba peruntungane. kanthi keberanian lan elmu saka tapak libok, dheweke bisa mencabut wit kuwi. miturut janji, bujang kurap dinikahkake karo putri raja sing ayu."
Bujang Kurap,Riau,10,"setelah beberapa bulan hidup di istana, bujang kurap merasa rindu pada kampung halamannya. ia meminta izin kepada raja untuk kembali ke desanya, dan raja mengizinkan. bersama istrinya dan rombongan prajurit, ia berlayar menuju desa dengan menaiki kapal. namun, sebelum sampai, bujang kurap turun dari kapal dan memilih berjalan kaki ke desa, sementara istrinya melanjutkan perjalanan dengan kapal.","sawise sawetara wulan urip ing istana, bujang kurap kangen marang desane. dheweke njaluk idin marang raja kanggo bali menyang desa, lan raja ngidini. bareng bojone lan prajurit kraton, dheweke numpak prau mudik menyang desa. nanging, sakdurung tekan, bujang kurap milih mudhun saka prau lan mlaku dhewe menyang desa, dene bojone nerusake lelungan nganggo prau."
