judul,provinsi,id_teks,teks,referensi
Bulu Botting,Sulawesi Selatan,1,"dahulu kala, di daerah soppeng, sulawesi selatan, hiduplah sepasang pengantin bangsawan yang disebut arung. mereka tengah melakukan perjalanan dari umpunge menuju sering donridonri. dalam perjalanan panjang itu, mereka memutuskan untuk beristirahat sejenak agar tenaga mereka tetap terjaga hingga tiba di tujuan dengan selamat.","mbiyen kala, ing daerah soppeng, sulawesi selatan, urip sapasang panganten bangsawan sing disebut arung. wong loro kuwi lagi lelungan saka umpunge menyang sering donridonri. ing tengah lelampahan dawa kuwi, padha mutusake kanggo ngaso dhisik supaya tenagane tetep kejaga nganthi tekan tujuan kanthi slamet."
Bulu Botting,Sulawesi Selatan,2,"sebaiknya kita beristirahat dulu di atas bukit sana. di sana ada banyak batu besar yang bisa kita pilih untuk duduk dan beristirahat sejenak, ujar kepala rombongan, mengarahkan perjalanan menuju bukit yang dimaksud.","luwih becik kita ngaso dhisik ing ndhuwur bukit kono. ing kono ana akeh watu gedhe sing isa dipilih kanggo lungguh lan ngaso sedhela, ujare kepala rombongan, nuntun perjalanan menyang bukit sing dimaksud."
Bulu Botting,Sulawesi Selatan,3,"sebelum sampai ke bukit, indo botting, sang perias pengantin yang sudah menganggap pasangan itu seperti anaknya sendiri, memberikan pesan:","sadurung tekan bukit, indo botting, tukang dandani panganten sing wis nganggep pasangan kuwi kaya anake dhewe, maringi pepeling:"
Bulu Botting,Sulawesi Selatan,4,berhati-hatilah dalam memilih batu untuk kalian duduki. jangan bersikap sombong atau berbicara sembarangan. kita harus tetap sopan karena ini adalah tanah orang lain. kita tidak tahu apa yang bisa terjadi jika kita tidak menghormati tempat ini.,aja sembrono milih watu kanggo lungguhanmu. aja sombong lan ngomong sembarangan. kita kudu tetep sopan merga iki dudu tanah kita dhewe. kita ora ngerti apa sing isa kedadeyan yen ora ngajeni panggonan iki.
Bulu Botting,Sulawesi Selatan,5,"namun, peringatan itu tidak sepenuhnya dipatuhi oleh pengantin pria.","nanging, pepeling kuwi ora digatekake tenan karo panganten lanang."
Bulu Botting,Sulawesi Selatan,6,"sudahlah istriku, jangan terlalu memikirkan ucapan itu. pilih saja batu yang nyaman untukmu. percayalah, tidak akan terjadi apa-apa, bisik sang pengantin pria, menganggap remeh pesan indo botting.","wis, istriku, aja mikir kuwi terus. pilih wae watu sing paling nyaman kanggo kowe. percayaa, ora bakal ana opo-opo, bisik panganten lanang, nganggap remeh omongane indo botting."
Bulu Botting,Sulawesi Selatan,7,"nahas, sikap takabur dan tidak menghormati pesan tersebut membawa malapetaka. setelah duduk sembarangan di atas salah satu batu, sepasang pengantin itu tiba-tiba berubah menjadi batu. kejadian itu membuat seluruh rombongan panik dan histeris. mereka menyaksikan bagaimana batu tempat duduk pengantin itu kini berubah menjadi dua batu besar yang sangat menyerupai sosok sang pengantin.","nanging sayange, sikap sombong lan ora ngajeni pepeling kuwi malah nggawa musibah. sawise lungguh sembarangan ana ing salah siji watu, sepasang panganten kuwi ndadak malih dadi watu. kedadeyan kuwi ndadekake kabeh rombongan panik lan histeris. padha nyekseni piye watu panggonan lungguh panganten kuwi saiki malih dadi loro watu gedhe sing wujude mirip banget karo wujud panganten."
Bulu Botting,Sulawesi Selatan,8,"ini pasti akibat kesombongan mereka. batu ini bukan sembarang batu. mereka telah mendapatkan balasan atas sikapnya yang pongah, ujar salah seorang anggota rombongan, yang diangguki oleh yang lain.","iki mesthi merga saka kesombongane. watu iki dudu watu sembarangan. wong loro kuwi wis oleh balasan saka sikape sing angkuh, ujare salah siji anggota rombongan, lan diangguki wong-wong liyane."
Bulu Botting,Sulawesi Selatan,9,"meski sedih dan terkejut, rombongan tidak dapat berbuat apa-apa untuk mengubah nasib tragis tersebut. takdir telah ditentukan.","sanajan sedhih lan kaget, rombongan ora isa ngapa-ngapani kanggo ngganti nasib tragis kuwi. takdir wis netep."
Bulu Botting,Sulawesi Selatan,10,"dua batu besar tersebut kemudian dikenal oleh masyarakat sebagai botting arung atau batu pengantin bangsawan. menariknya, di bukit sebelahnya muncul pula sepasang batu lain yang disebut botting sama atau batu pengantin rakyat biasa.","loro watu gedhe kuwi banjur dikenal karo masyarakat kanthi jeneng botting arung utawa watu panganten bangsawan. sing menarik, ana ing bukit jejere uga muncul sapasang watu liyane sing dijenengi botting sama utawa watu panganten rakyat biasa."
