judul,provinsi,id_teks,teks,referensi
Burung Cendrawasiih,Papua,1,"di daerah fakfak, tepatnya di pegunungan bumberi, hiduplah seorang perempuan tua bersama seekor anjing betina. perempuan tua itu bersama anjing tersebut mendapatkan makanan dari hutan berupa buah-buahan dan kuskus. hutan adalah ibu mereka yang menyediakan makanan untuk hidup. mereka berdua hidup bebas dan bahagia di alam.","ing daerah fakfak, pase ing pagunungan bumberi, urip ana sawijining wong wadon tuwa bareng karo seekor asu betina. wong wadon tuwa kuwi bareng asu kuwi entuk pangan saka alas arupa woh-wohan lan kuskus. alas kuwi ibune sing nyedhiyakake pangan kanggo urip. dheweke loro urip bebas lan seneng ing alam."
Burung Cendrawasiih,Papua,2,"suatu ketika, seperti biasanya, mereka berdua pergi ke hutan untuk mencari makan. perjalanan yang cukup memakan waktu belum juga membuahkan hasil. anjing itu merasa lelah karena kehabisan tenaga. dalam keadaan demikian, tibalah mereka di suatu tempat yang ditumbuhi pohon pandan yang penuh dengan buah. perempuan tua itu segera memungut buah tersebut dan menyuguhkannya kepada anjing betina yang sedang kelaparan. dengan senang hati, anjing betina itu melahap suguhan segar tersebut. anjing betina itu merasa segar dan kenyang. buah merah, sejenis pandan dari papua.","sak wanci, kaya biyasane, dheweke loro menyang alas golek pangan. lelakon sing cukup suwe durung ngasilake apa-apa. asu kuwi krasa kesel merga entek tenaga. ing kahanan kaya ngono, tekanen dheweke ing sawijining papan sing tuwuh wit pandan sing kebak woh. wong wadon tuwa kuwi langsung mungut woh kuwi lan disuguhake marang asu betina sing lagi kaliren. kanthi bungah, asu betina kuwi ngadhem-adhem suguhan seger kuwi. asu betina kuwi krasa seger lan wareg. woh abang, sawijining pandan saka papua."
Burung Cendrawasiih,Papua,3,"namun, anjing itu mulai merasakan hal-hal aneh di perutnya. perut anjing itu mulai membesar. perempuan tua itu memastikan bahwa sahabatnya, anjing betina itu, hamil. tidak lama kemudian, lahirlah seekor anak anjing. melihat keanehan itu, perempuan tua itu segera memungut buah pandan untuk dimakannya, lalu mengalami hal yang sama dengan yang dialami oleh sahabatnya. perempuan tua itu melahirkan seorang anak laki-laki. keduanya lalu memelihara mereka masing-masing dengan penuh kasih sayang. anak laki-laki itu diberi nama kweiya.","nanging, asu kuwi wiwit ngrasakake perkara-perkara aneh ing wetenge. weteng asu kuwi wiwit nggedhe. wong wadon tuwa kuwi mastiake menawa kancane, asu betina kuwi, ngandhut. ora suwe, laire seekor anak asu. weruh kaane kuwi, wong wadon tuwa kuwi langsung mungut woh pandan kanggo dipangan, banjur ngalami kahanan sing padha karo kancane. wong wadon tuwa kuwi nglairake sawijining anak lanang. karo katresnan, dheweke loro ngopeni anak-anake dhewe. anak lanang kuwi dijenengi kweiya."
Burung Cendrawasiih,Papua,4,"setelah kweiya dewasa, dia mulai membuka hutan dan membuat kebun untuk menanam makanan dan sayuran. alat yang dipakai untuk menebang pohon hanyalah sebuah pahat berbentuk kapak batu. karena itu, kweiya hanya dapat menebang satu pohon setiap harinya. ibunya ikut membantu dengan membakar daun-daun dari pohon yang telah rebah untuk membersihkan tempat itu, sehingga asap tebal mengepul ke langit. setiap kali hutan lebat itu dihiasi dengan kepulan asap tebal yang membumbung tinggi.","sawise kweiya gedhe, dheweke miwiti mbukak alas lan nggawe kebon kanggo nandur panganan lan sayuran. piranti sing dienggo kanggo nebang wit mung sawijining pahat wangun kampak watu. merga kuwi, kweiya mung isa nebang siji wit saben dina. ibune melu mbantu kanthi ngobong godhong-godhong saka wit sing wis ambruk kanggo resik-resik panggonan, nganti asap kandel munggah menyang langit. saben wektu alas sing rapet kuwi dihiasi karo kepulan asap kandel sing munggah dhuwur."
Burung Cendrawasiih,Papua,5,"keduanya tidak menyadari bahwa mereka telah menarik perhatian orang dengan mengadakan kepulan asap tersebut. konon, ada seorang pria tua yang sedang memancing di tengah laut dan terpaku melihat tiang asap yang mengepul tinggi ke langit, seolah-olah menghubungkan hutan belantara dengan langit. dia tertegun, memikirkan bagaimana dan siapa gerangan pembuat asap misterius itu. karena rasa ingin tahu, ia pun berangkat untuk mencari tempat di mana asap itu terjadi. ia segera menyiapkan diri dengan bekal secukupnya dan bersenjatakan sebuah kapak besi, lalu berangkat bersama seekor kuskus yang dipeliharanya sejak lama.","dheweke loro ora nyadari menawa dheweke wis narik kawigaten wong kanthi nggawe kepulan asap kuwi. critane, ana sawijining wong lanang tuwa sing lagi mancing ing tengah segara lan kaget weruh tiyang asap sing munggah dhuwur menyang langit, kaya-kaya nyambungake alas karo langit. dheweke kaget, mikir sapa sing nggawe asap misterius kuwi. merga rasa pengin ngerti, dheweke banjur budhal golek panggonan ana ngendi asap kuwi kadadean. dheweke langsung nyiapake bekal cukup lan nggawa sawijining kampak wesi, banjur budhal bareng seekor kuskus sing wis suwe dipelihara."
Burung Cendrawasiih,Papua,6,"perjalanan itu ternyata cukup memakan waktu. setelah seminggu berjalan kaki, akhirnya ia mencapai tempat di mana asap itu terjadi. setibanya di tempat itu, ternyata yang ditemui adalah seorang pria tampan yang sedang menebang pohon di bawah terik panas matahari dengan menggunakan sebuah kapak batu berbentuk pahat. melihat itu, ia menghampiri dan memberi salam, weing weinggiha pohi, yang artinya selamat siang, sambil memberikan kapak besi kepada kweiya untuk menebang pohon-pohon di hutan rimba tersebut. sejak itu, pohon-pohon pun berjatuhan bertubi-tubi.","lelakon kuwi pancen njupuk wektu. sawise seminggu mlaku sikil, pungkasane tekan panggonan ana ngendi asap kuwi ana. tekanen ing kono, jebul ketemu karo sawijining pemuda ganteng sing lagi nebang wit ing sangisore panas srengenge karo nganggo sawijining kampak watu wangun pahat. weruh kuwi, dheweke nyedhaki lan ngucap salam, âweing weinggiha pohi,â sing artine slamet awan, karo menehi kampak wesi marang kweiya kanggo nebang wit-witan ing alas. wiwit wektu kuwi, wit-witan pun ambruk bertubi-tubi."
Burung Cendrawasiih,Papua,7,"ibunya, yang sedang beristirahat di pondok, menjadi heran. ia menanyakan hal itu kepada kweiya, dengan alat apa ia menebang pohon sehingga dapat rebah begitu cepat. kweiya nampaknya ingin merahasiakan tamu baru itu. ia menjawab bahwa kebetulan pada hari itu, satu tangannya terlalu ringan untuk dapat menebang begitu banyak pohon dalam waktu yang sangat singkat. ibunya yang belum sempat melihat pria itu, percaya bahwa apa yang diceritakan oleh anaknya memang benar.","ibune, sing lagi ngaso ing pondhok, dadi heran. dheweke takon marang kweiya, nganggo piranti apa kok isa nebang wit nganti ambruk cepet banget. kweiya katon kepengin ndhelikake tamu anyar kuwi. dheweke njawab menawa kebeneran dina kuwi, salah sijine tangane krasa entheng banget nganti isa nebang wit akeh ing wektu sing cendhak. ibune sing durung ndeleng wong lanang kuwi, percaya menawa apa sing dicritakake anakne kuwi pancen bener."
Burung Cendrawasiih,Papua,8,"karena kweiya meminta disiapkan makanan, ibunya segera menyiapkan makanan sebanyak mungkin. setelah makanan siap, ibunya memanggil kweiya untuk pulang makan. kweiya bermaksud mengajak pria tersebut untuk ikut makan ke rumah mereka, dengan maksud memperkenalkannya kepada ibunya agar diterima sebagai teman hidupnya. dalam perjalanan menuju rumah, kweiya memotong sejumlah tebu lengkap dengan daunnya untuk membungkus pria tua itu. lalu setibanya di dekat rumah, kweiya meletakkan bungkusan tebu itu di luar rumah.","merga kweiya njaluk disiapake panganan, ibune langsung nyiapake panganan akeh-akehe. sawise panganan siap, ibune nimbali kweiya supaya bali mangan. kweiya nduweni maksud ngajak wong lanang kuwi kanggo melu mangan menyang omahe, kanthi maksud ngenalake marang ibune supaya ditampa dadi kancane urip. ing perjalanan menyang omah, kweiya motong sawetara tebu bareng godhonge kanggo mbungkus wong tuwa kuwi. sawise tekan cedhak omah, kweiya nyelehake âbungkusan tebuâ kuwi ing njaba omah."
Burung Cendrawasiih,Papua,9,"sewaktu ada di dalam rumah, kweiya berpura-pura haus dan memohon kepada ibunya untuk mengambilkan sebatang tebu untuk dimakannya sebagai penawar dahaga. ibunya memenuhi permintaan anaknya dan keluar untuk mengambil sebatang tebu. namun, ketika ibunya membuka bungkus tebu itu, terkejutlah ia karena melihat seorang pria yang berada di dalam bungkusan itu. segera ibunya menjerit ketakutan, tetapi kweiya berusaha menenangkannya sambil menjelaskan bahwa dialah yang mengakali ibunya dengan cara itu. harapan kweiya agar ibunya mau menerima pria tersebut sebagai teman hidupnya karena pria itu telah berbuat baik kepada mereka. ia telah memberikan sebuah kapak yang sangat berguna dalam hidup mereka nanti.","nalika ana ing njero omah, kweiya pura-pura ngelak lan njaluk marang ibune supaya njupukake setangkep tebu kanggo dimangan minangka pangilang ngelak. ibune nuruti panyuwunan anakne lan metu njupuk setangkep tebu. nanging, nalika ibune mbukak bungkus tebu kuwi, kaget banget amarga weruh sawijining wong lanang ana ing njero bungkus kuwi. langsung ibune njerit merga wedi, nanging kweiya nyoba nenangake sambil nerangake menawa dheweke sing ngapusi ibune nganggo cara kuwi. pangarep-arep kweiya supaya ibune gelem nampa wong lanang kuwi dadi kancane urip merga wis tumindak becik marang dheweke. dheweke wis menehi kampak sing migunani banget kanggo uripe."
Burung Cendrawasiih,Papua,10,"sang ibu akhirnya menerima baik pikiran anaknya itu dan sejak itu mereka bertiga tinggal bersama. setelah beberapa waktu, lahirlah beberapa anak di tengah keluarga kecil tersebut, dan kedua orang tua itu menganggap kweiya sebagai anak sulung mereka. sedangkan anak-anak yang lahir kemudian dianggap sebagai adik-adik kandung kweiya. namun, dalam perkembangan selanjutnya, hubungan persaudaraan antara mereka semakin memburuk karena adik-adik tiri kweiya merasa iri terhadapnya.","sang ibu pungkasane nampa kanthi becik pikiran anakne kuwi lan wiwit wektu kuwi dheweke telu urip bareng. sawise sawetara wektu, laire sawetara anak ana ing tengah keluarga cilik kuwi, lan loro wong tuwa kuwi nganggep kweiya dadi anak mbarep. dene anak-anak sing lair sabanjure dianggep dadi adik kandhunge kweiya. nanging, ing perkembangan sabanjure, hubungan persaudaraan antarane dheweke saya rusak merga adik-adik tiri kweiya krasa cemburu marang dheweke."
