judul,provinsi,id_teks,teks,referensi
Caadara,Papua,1,"pada suatu masa, hiduplah seorang panglima perang yang tangguh bernama wire di desa kramuderu. ia memiliki seorang putra bernama caadara, yang sejak kecil dilatih ilmu perang dan bela diri oleh ayahnya. wire berharap suatu hari caadara dapat menggantikan posisinya sebagai panglima perang yang tangguh.","ing sawijining wektu, urip sawijining panglima perang sing gagah berani jenenge wire ing desa kramuderu. dheweke nduwe anak lanang jenenge caadara, sing saka cilik wis dilatih elmu perang lan bela dhiri karo bapake. wire ngarepake nek sawijining dina caadara bisa ngganteni posisine dadi panglima perang sing gagah."
Caadara,Papua,2,"tahun demi tahun berlalu, caadara tumbuh menjadi seorang pemuda gagah, tangkas, dan cakap. untuk menguji kemampuan anaknya, wire mengirim caadara untuk berburu di hutan bersama teman-temannya.","tahun demi tahun berlalu, caadara dadi nom-noman sing gagah, cekatan, lan trampil. kanggo nguji kemampuan anake, wire ngutus caadara supaya melu buruan ing alas bareng kancane."
Caadara,Papua,3,"caadara memimpin kelompoknya melewati jalan setapak dan semak belukar. selama enam hari, mereka berhasil menombak berbagai binatang tanpa hambatan berarti. namun, pada hari ketujuh, mereka melihat seekor anjing pemburu. kehadiran anjing itu menandakan adanya bahaya yang mengintai.","caadara mimpin kelompoke liwat dalan setapak lan semak belukar. sajroning enem dina, dheweke bisa nembak maneka kewan tanpa alangan sing berarti. nanging, dina kapitu, dheweke ndelok anjing pemburu. anane anjing kuwi nunjukake yen ana bebaya sing ngintai."
Caadara,Papua,4,"sadar akan ancaman, caadara memerintahkan teman-temannya bersiap dengan busur, anak panah, kayu pemukul, dan senjata lainnya. mereka berjalan lebih hati-hati hingga terdengar pekikan keras yang membuat anak buah caadara ketakutan. namun, dengan kepemimpinannya, caadara segera memerintahkan mereka membuat benteng pertahanan di tanah lapang berumput tinggi yang penuh semak belukar.","sadar marang ancaman, caadara mrentah kanca-kancane supaya siyap karo busur, panah, kayu pemukul, lan senjata liyane. dheweke mlaku luwih ngati-ati nganti krungu pekik keras sing ndadekake anak buahe caadara wedi. nanging, merga kepemimpinane, caadara langsung mrentah wong-wong mau supaya gawe benteng pertahanan ing tanah lapang kang sukete dhuwur lan kebak semak belukar."
Caadara,Papua,5,"tak lama kemudian, 50 orang suku kuala muncul dan menyerang mereka. pertempuran sengit pun terjadi. tongkat dan tombak saling beradu, suara dentingan senjata memenuhi udara. meski jumlah pasukan musuh jauh lebih banyak, caadara tetap memimpin pertempuran dengan keberanian luar biasa. ia berhasil merobohkan banyak lawan hingga membuat musuh yang tersisa melarikan diri.","ora suwe, ana 50 wong suku kuala muncul lan nyerang. pertempuran sengit langsung kedadeyan. tongkat lan tumbak tabrakan, swara benturan senjata muni ing udara. senajan jumlah musuh luwih akeh, caadara tetep mimpin perang kanthi wani luar biasa. dheweke bisa ngrobohke akeh mungsuh nganti sisane mlayu kabur."
Caadara,Papua,6,"teman-teman caadara takjub melihat kehebatan putra panglima perang wire. mereka mengeluk-elukan namanya sepanjang perjalanan pulang. kabar kemenangan ini membuat seluruh desa gempar. wire, ayah caadara, terharu dan bangga hingga berlinang air mata. ia menyadari bahwa semua latihan yang diberikan kepada caadara tidaklah sia-sia.","kanca-kancane caadara gumun banget ndelok kaprigelan anake panglima perang wire. jenenge digugu-gugu nganti tekan dalan bali. kabar kemenangane ndadekake sakdesa geger. wire, bapake caadara, trenyuh lan bangga nganti netesake eluh. dheweke ngerti yen kabeh latihan sing wis diwenehake marang caadara ora muspra."
Caadara,Papua,7,"untuk merayakan keberanian dan kemenangan caadara, diadakan pesta malam di desa. selain itu, masyarakat desa mulai mempersiapkan strategi untuk melawan suku kuala yang telah menyerang mereka. sebagai bentuk penghormatan, caadara diberi anugerah berupa kalung yang terbuat dari gigi binatang, dihiasi bulu kasuari, dan bulu cenderawasih di bagian tengahnya.","minangka perayaan kewanian lan kemenangane caadara, diadakake pesta wengi ing desa. saliyane kuwi, masyarakat desa mulai nyiapake strategi kanggo ngelawan suku kuala sing wis nyerang. minangka tandha pangajen, caadara diwenehi kalung saka untu kewan, dihiasi bulu kasuari, lan bulu cendrawasih ana ing tengahe."
Caadara,Papua,8,"setelah peristiwa itu, masyarakat desa mempelajari taktik perang caadara, yang kemudian dikenal sebagai caadara ura. taktik ini meliputi:","sawise kedadeyan kuwi, masyarakat desa sinau taktik perange caadara, sing banjur dikenal minangka caadara ura. taktik iki isine:"
Caadara,Papua,9,melempar senjata dari jarak jauh.,melempar senjata saka adoh.
Caadara,Papua,10,berlari menyerbu musuh dengan senjata.,mlayu nyerbu mungsuh karo senjata.
Caadara,Papua,11,seni silat untuk pertempuran jarak dekat.,seni silat kanggo perang cedhak.
Caadara,Papua,12,teknik menahan lemparan kayu atau senjata musuh.,teknik nahan lemparan kayu utawa senjata mungsuh.
Caadara,Papua,13,"nama caadara tetap harum sepanjang masa. ia dikenang sebagai pahlawan yang melindungi desanya dengan keberanian dan kecerdasannya dalam perang. dengan taktik perangnya, caadara menginspirasi generasi berikutnya untuk menjaga kehormatan dan keamanan desa kramuderu.","jeneng caadara tetep semerbak ing sak lawase. dheweke dikenang dadi pahlawan sing njaga desane nganggo wani lan kecerdasane ing perang. kanthi taktik perange, caadara maringi inspirasi kanggo generasi sakbanjure supaya njaga pakurmatan lan keamanan desa kramuderu."
