judul,provinsi,id_teks,teks,referensi
Calon Arang,Jawa Timur,1,"di sebuah desa bernama girah, yang merupakan bagian dari kerajaan daha yang dipimpin oleh seorang raja bernama raja airlangga, hidup seorang penganut aliran hitam bernama calon arang. ia merupakan seorang janda dan memiliki seorang anak perempuan bernama ratna manggali. seiring berjalannya waktu, anak perempuan calon arang semakin dewasa, hanya saja belum ada satu pun pria yang berani meminangnya. karena sakit hati anak perempuannya tak kunjung mendapat jodoh, calon arang pun beraksi dengan ilmu hitamnya. ia berusaha menyebarkan ketakutan di desa girah. ia memerintahkan krakah, seorang anak buahnya, untuk mencari anak gadis sebagai persembahan.","ing sawijining desa jenenge girah, sing dadi bagean saka karajan daha kang dipimpin dening sawijining raja jenenge raja airlangga, urip sawijining penganut aliran ireng jenenge calon arang. dheweke kuwi sawijining randha lan nduwe anak wadon jenenge ratna manggali. suwe-suwe, anake calon arang saya diwasa, nanging durung ana siji wae priya sing wani nglamar. amarga loro ati anake durung oleh jodho, calon arang banjur tumindak nganggo elmu irenge. dheweke nyoba nyebarake rasa wedi ing desa girah. dheweke marentahake krakah, sawijining bala sakancane, supaya golek anak wadon kanggo sesaji."
Calon Arang,Jawa Timur,2,"krakah, pergilah dan kerahkan pasukanmu untuk membawa seorang gadis ke hadapanku sebelum matahari tenggelam. bawa gadis itu ke candi durga, perintah calon arang kepada krakah.","krakah, lungaa lan kerah pasukanmu kanggo nggawa sawijining gadis marang aku sakdurunge srengenge surup. gawanen gadis kuwi menyang candi durga, prentahe calon arang marang krakah."
Calon Arang,Jawa Timur,3,"krakah, bersama pasukannya, pun segera menemukan seorang gadis dan membawanya ke candi durga. gadis itu tentu saja berusaha memberontak. ia ketakutan, namun masih sempat berteriak-teriak.","krakah, bareng pasukane, banjur nemokake sawijining gadis lan digawane menyang candi durga. gadis kuwi mesthi wae nglawan. dheweke wedi, nanging isih sempat mbengok-mbengok."
Calon Arang,Jawa Timur,4,lepaskan aku lepaskan aku sekarang teriak sang gadis.,lepaskna aku lepaskna aku saiki bengok gadis kuwi.
Calon Arang,Jawa Timur,5,"akan tetapi, usahanya tak membuahkan hasil, hingga lama kelamaan gadis tersebut jatuh pingsan. ia dibaringkan di altar persembahan, dan tepat tengah malam, di bawah langit gelap, calon arang mengorbankan anak gadis tersebut untuk betari durga sebagai persembahan bagi dewi angkara murka.","nanging, usaha gadis kuwi ora hasil, nganti suwe-suwe dheweke pingsan. gadis kuwi dipinggirke ing altar sesaji, lan pas tengah wengi, ing sangisoring langit peteng, calon arang nyedekake anak gadis kuwi kanggo betari durga minangka sesaji kanggo dewi angkara murka."
Calon Arang,Jawa Timur,6,"kutukan calon arang pun menjadi kenyataan. penduduk girah ketakutan karena banjir besar datang. calon arang tentu bahagia dengan hal itu. ia berkata,","kutukan calon arang dadi kenyataan. warga girah wedi amarga banjir gedhe teka. calon arang mesthi bungah merga kuwi. dheweke kandha,"
Calon Arang,Jawa Timur,7,siapa pun yang terkena percikan air banjir dari sungai brantas ini akan menderita sakit parah dan menemui ajalnya. ha ha ha ha. ungkap calon arang sambil terkekeh puas.,sapa wae sing kenekan banyu banjir saka kali brantas iki bakal nandhang lara abot lan mati. ha ha ha ha. ngucap calon arang karo ngguyu puas.
Calon Arang,Jawa Timur,8,"karena ulah calon arang tersebut, korban yang berjatuhan sangat banyak. banyak penduduk desa girah sakit dan akhirnya meninggal. naasnya lagi, tak ada obat yang bisa menyembuhkan penyakit tersebut. raja airlangga, selaku raja di kerajaan daha, pun mendengar kabar tersebut.","amarga ulah calon arang kuwi, korbane akeh banget. akeh warga desa girah sing lara lan pungkasane mati. apese maneh, ora ana obat sing bisa ngobati lelara kuwi. raja airlangga, minangka raja ing karajan daha, banjur krungu kabar kuwi."
Calon Arang,Jawa Timur,9,apa yang menyebabkan rakyatku mengalaminya tanya sang raja kepada paman patih.,apa sing nyebabake rakyatku ngalami iki pitakone sang raja marang paman patih.
Calon Arang,Jawa Timur,10,"paman patih pun menjelaskan bahwa semua itu adalah ulah calon arang. raja airlangga yang mendengar kabar itu tentu saja marah besar. bendera perang dikibarkan, dan ratusan prajurit pilihan kerajaan dikerahkan untuk menangkap calon arang. mendengar kabar bahwa calon arang akan segera ditangkap, rakyat pun sangat senang. akhirnya, rumah calon arang dikepung.","paman patih banjur njelasake yen kuwi kabeh ulahe calon arang. raja airlangga sing krungu kabar kuwi mesthi wae nesu gedhe. gendera perang dikibarake, lan atusan prajurit pilihan karajan dikirim kanggo nangkep calon arang. krungu kabar yen calon arang arep ditangkep, rakyat mesthi seneng banget. akhire, omahe calon arang dikepung."
