judul,provinsi,id_teks,teks,referensi
Cerita Datu Kandibata,Sumatera Utara,1,"alkisah ada sebuah cerita rakyat yang dikenal dengan nama datu kandibata. di tepi sungai lau biang, terdapat sebuah kampung yang terkenal, yaitu kampung kandibata. kampung ini menjadi terkenal karena ada sebuah rumah tangga yang dihuni oleh sepasang suami istri yang keduanya bergelar datu besar. mereka memiliki dua orang puteri yang sangat cantik, yang tertua bernama si beru tandang karo dan yang bungsu bernama si beru tandang meriah.","alkisah ana sawijining crita rakyat sing dikenal nganggo jeneng datu kandibata. ing pinggiring kali lau biang, ana sawijining kampung sing misuwur, yaiku kampung kandibata. kampung iki dadi misuwur merga ana sawijining rumah tangga sing dienggoni karo sapasang bojomu sing loro-lorone kagungan gelar datu gedhe. dheweke duwe loro putri sing ayu banget, sing paling tuwa jenenge si beru tandang karo lan sing ragil jenenge si beru tandang meriah."
Cerita Datu Kandibata,Sumatera Utara,2,"datu kandibata dan istrinya sering dipanggil untuk mengobati orang sakit. keahlian mereka dalam pengobatan membuat kampung kandibata terkenal tidak hanya di sekitarnya, tetapi juga di tanah alas, tanah deli, tanah toba, hingga tanah simalungun. datu kandibata dikenal sangat pintar, mampu meramalkan masa depan, dan memiliki banyak pusaka serta minyak obat yang sangat berkhasiat. apa yang diucapkannya selalu menjadi kenyataan. bahkan, ia mampu membuat sesuatu tumbuh dengan kata-katanya, dan dapat menghidupkan kembali orang yang sudah meninggal selama jenazahnya masih utuh. oleh karena itu, banyak orang yang menghormatinya, baik rakyat biasa, prajurit, maupun para raja.","datu kandibata lan bojone kerep diundang kanggo ngobati wong lara. kapinterane dheweke ing pengobatan ndadekake kampung kandibata misuwur ora mung ing sakupenge, nanging uga tekan tanah alas, tanah deli, tanah toba, nganti tanah simalungun. datu kandibata dikenal pinter banget, isa nerangake masa depan, lan nduweni akeh pusaka uga lenga obat sing mujarab banget. apa wae sing diucapke mesthi dadi kenyataan. malah, dheweke isa ndadekake barang tuwuh mung nganggo tembung, lan isa nguripke maneh wong sing wis mati anggere mayite isih utuh. mula saka kuwi, akeh wong sing ngajeni dheweke, saka rakyat biasa, prajurit, nganti para raja."
Cerita Datu Kandibata,Sumatera Utara,3,"namun, ada satu kelemahan pada datu kandibata: ia sangat tamak akan uang. suatu hari, di tanah alas, penyakit cacar mulai menyebar, menginfeksi semua rakyat dan raja-raja di sana. raja alas mengirim utusan dengan membawa dua belas prajurit untuk memanggil datu kandibata, berharap ia bisa mengobati penyakit tersebut. utusan itu berkata, kami siap memenuhi permintaan apa pun, baik itu emas, perak, ataupun benda berharga lainnya.","nanging, ana siji kelemahan ing datu kandibata: dheweke banget tamak dhuwit. siji dina, ing tanah alas, penyakit cacar mulai nyebar, nulari kabeh rakyat lan raja-raja ing kana. raja alas ngirim utusan karo nggawa rolas prajurit kanggo ngundang datu kandibata, muga-muga isa ngobati penyakit kuwi. utusan kuwi kandha, kita siap nepaki panjaluk apa wae, entuk emas, perak, utawa barang berharga liyane."
Cerita Datu Kandibata,Sumatera Utara,4,"datu kandibata menerima tawaran itu, meskipun ada kekhawatiran dari istrinya, si beru tandang karo, yang takut jika mereka pergi ke tanah alas, penyakit cacar itu akan menular kepada anak-anak mereka. namun, datu kandibata meyakinkan istrinya, jangan khawatir, meskipun anak kita sakit atau bahkan mati, aku bisa menghidupkannya kembali.","datu kandibata nampa tawaran kuwi, sanajan ana rasa kuwatir saka bojone, si beru tandang karo, sing wedi nek dheweke mangkat menyang tanah alas, penyakit cacar kuwi bakal nulari anak-anak dheweke. nanging, datu kandibata ngyakinake bojone, aja kuwatir, sanajan anak kita lara utawa malah mati, aku isa nguripke maneh."
Cerita Datu Kandibata,Sumatera Utara,5,"setelah memutuskan untuk berangkat, mereka berangkat bersama utusan raja alas. sebelum pergi, datu kandibata mengingatkan semua murid dan kerabatnya agar menjaga kedua putrinya dengan baik. putri mereka, si beru tandang karo dan si beru tandang meriah, merasa sangat cemas dan mengungkapkan kekhawatirannya. mereka berdua berdoa agar jika mereka meninggal, mereka bisa ditemukan di hadapan orang tua mereka.","sawise mutusake arep mangkat, dheweke mangkat bareng utusan raja alas. sadurunge lunga, datu kandibata ngelingake kabeh murid lan sanak sedulure supaya ngreksa loro putrine sing apik banget. putri-putrine, si beru tandang karo lan si beru tandang meriah, ngrasakake kuwatir banget lan nyritakake rasa kuwatire. karo ndonga supaya nek dheweke mati, isa ditemokake nang ngarepe wong tuwane."
Cerita Datu Kandibata,Sumatera Utara,6,"sesampainya di tanah alas, penyakit cacar itu memang semakin parah. meskipun datu kandibata berusaha mengobati banyak orang, penyakit itu justru semakin meluas. sementara itu, kondisi kedua putrinya di kampung semakin buruk, dan mereka pun akhirnya terkena penyakit yang sama. dalam keadaan terdesak, istri datu kandibata meminta agar mereka segera pulang.","sesampai ing tanah alas, penyakit cacar kuwi pancen saya parah. sanajan datu kandibata nyoba ngobati akeh wong, penyakit kuwi malah saya nyebar. sakwise kuwi, kahanan loro putrine ing kampung saya elek, lan pungkasane kena penyakit sing padha. ing kahanan kepepet, bojone datu kandibata njaluk supaya dheweke cepet bali."
Cerita Datu Kandibata,Sumatera Utara,7,"namun, datu kandibata tetap bersikeras bahwa meskipun anak-anak mereka mati, ia bisa menghidupkan mereka kembali. dengan ketamakan akan uang, ia memutuskan untuk tetap tinggal, meskipun sudah ada kabar bahwa anak-anaknya sudah meninggal dunia. istrinya sangat bersedih, namun datu kandibata tetap yakin bahwa ia bisa melakukan apa saja.","nanging, datu kandibata tetep kejawab yen sanajan anak-anak dheweke mati, dheweke isa nguripke maneh. karo keserakahan marang dhuwit, dheweke mutusake tetep nang kana, sanajan wis ana kabar nek anak-anak dheweke wis mati. bojone sedhih banget, nanging datu kandibata tetep yakin nek dheweke isa nglakoni apa wae."
Cerita Datu Kandibata,Sumatera Utara,8,"beberapa hari kemudian, utusan datang membawa kabar duka: si beru tandang karo dan si beru tandang meriah telah meninggal dunia. meski begitu, datu kandibata tetap tidak mau pulang dan meminta agar anak-anaknya dikuburkan dengan cara khusus, sesuai pesan yang ia berikan. ia tetap percaya bahwa ia bisa menghidupkan mereka kembali.","sawetara dina sakwise, utusan teka nggawa kabar sedhih: si beru tandang karo lan si beru tandang meriah wis seda. sanajan ngono, datu kandibata tetep ora gelem bali lan njaluk supaya anak-anak dheweke dikubur kanthi cara khusus, miturut pesen sing wis diwenehake. dheweke tetep percaya yen isa nguripke maneh."
Cerita Datu Kandibata,Sumatera Utara,9,"setelah berbulan-bulan di tanah alas, akhirnya datu kandibata dan istrinya kembali ke kampung mereka. mereka menemukan bahwa anak-anak mereka sudah dimakamkan, tetapi hantu si beru tandang karo dan si beru tandang meriah terus menangis di atas kuburan mereka, meratapi kesedihan karena ayah dan ibu mereka lebih memilih uang daripada anak-anak mereka.","sawise pirang-pirang wulan nang tanah alas, pungkasane datu kandibata lan bojone bali menyang kampung. dheweke nemokake nek anak-anak dheweke wis dikubur, nanging lelembut si beru tandang karo lan si beru tandang meriah terus nangis ing dhuwur kuburane, ngrasakake sedhih merga bapak lan ibune luwih milih dhuwit tinimbang anak-anak."
Cerita Datu Kandibata,Sumatera Utara,10,"karena mereka terus menangis, terdengarlah suara mereka itu kepada keramat gunung sibayak, yaitu keramat batu marlunglung dan keramat batu ernala. mereka sangat kasihan. akhirnya berkatalah ia kepada pesuruhnya, katanya, coba tanya, apa sebabnya mereka menangis sepanjang hari. sungguh sedih mendengar ratapan mereka itu.","merga dheweke terus nangis, keprungu swarane tekan keramat gunung sibayak, yaiku keramat batu marlunglung lan keramat batu ernala. dheweke melas banget. pungkasane kandha marang pesurunge, kandhane, coba takon, apa sebab dheweke nangis sedina muput. sungguh sedhih ngrungokke ratapane kuwi."
