judul,provinsi,id_teks,teks,referensi
Cerita Pelleng Peneppuh Babah,Sumatera Utara,1,"konon, dahulu kala, di sebuah istana kerajaan di tanah pakpak sekitar benua harhar, hiduplah seorang raja bernama pu rempur mayapmayap. raja ini sangat termasyhur, kaya raya, dan memiliki banyak hamba sahaya yang bekerja di ternaknya yang jumlahnya tak terhitung, seperti kerbau, kambing, babi, dan ayam. karena kekayaannya, pu rempur mayapmayap terkenal ke mana-mana, baik ke negeri timur maupun barat. beliau dijuluki dengan gelar pujaan.","konon, mbiyen kala, nang sawijining istana kraton nang tanah pakpak sekitar benua harhar, urip sawijining raja jenenge pu rempur mayapmayap. raja iki misuwur banget, sugih raya, lan nduwe akeh kawula kang nyambut gawe nang ternake kang cacahe ora kaetung, kaya kebo, wedhus, babi, lan pitik. merga kasugihane, pu rempur mayapmayap misuwur nang endi-endi, baik nang nagara wetan uga kulon. dheweke dijuluki karo gelar pujaan."
Cerita Pelleng Peneppuh Babah,Sumatera Utara,2,"benar-benar beliau adalah putra mahkota yang padanya tak kurang suatu apa dalam hal kewibawaan kepemimpinan. kata titahnya tak pernah dibantah orang, tikarnya tak pernah digulung, selalu terbentang setiap saat karena tamu-tamu kerajaannya terus silih berganti datang bertamu ke istananya, akibat keagungan dan kemegahan panji-panji mahkotanya, begitu kata orang.","âtenan dheweke iku putra mahkota sing ora kurang apa-apa ing bab wibawane kapemimpinan. titene ora tau dilawan wong, tikare ora tau digulung, tansah kebentang saben wektu merga tamu-tamu kratone terus ganti-gantian teka nang istanane, merga agung lan mewahne panji-panji mahkotane,â ngono tembunge wong."
Cerita Pelleng Peneppuh Babah,Sumatera Utara,3,"walaupun demikian, ada masa senang dan ada masa susah. negeri yang telah adil makmur, rakyat yang hidup rukun dan damai, saling tolong-menolong, serta rajanya yang dihormati dan amat dicintai rakyatnya, kadang-kadang mendapat ancaman dari negeri lain yang ingin mengembangkan kerajaannya. begitu pula keadaan kerajaan ini. dari kerajaan seberang, seorang raja bernama raja bulbulen memerintahkan seluruh raja-raja hulubalangnya untuk menggempur kerajaan benua harhar yang sedang makmur-makmurnya itu. hulubalang raja bulbulen mengenakan topeng daun sengkut, sejenis daun pandan di hutan, dan mereka diperintahkan untuk menundukkan serta memperluas wilayah, serta melenyapkan raja-raja yang ingin bertahan dan menentang kehendak raja.","sanajan ngono, ana masa seneng lan ana masa susah. nagara kang wis adil makmur, rakyat kang urip rukun lan tentrem, saling nulung, lan rajane kang dihormati lan banget dikasihi rakyate, kadhangkala nampa ancaman saka nagara liya kang arep ngembangake kratone. kaya ngono uga kahanan kraton iki. saka kraton sabrang, sawijining raja jenenge raja bulbulen marentahke kabeh raja-raja hulubalange kanggo nyerang kraton benua harhar kang lagi makmur-makmure kuwi. hulubalange raja bulbulen nganggo topeng godhong sengkut, jinis godhong pandan alas, lan dheweke dikongkon kanggo nglukukake lan ngluwihi wilayah, lan ngilangi raja-raja kang arep bertahan lan nentang karsane raja."
Cerita Pelleng Peneppuh Babah,Sumatera Utara,4,"namun, raja pu rempur mayapmayap, bersama rakyatnya, menantang maksud raja bulbulen tersebut. terjadilah peperangan yang tak dapat dielakkan, siang dan malam. perang semakin berkobar dan korban jatuh bergelimpangan. peperangan berlangsung selama tujuh bulan, tetapi raja pu rempur mayapmayap masih belum terkalahkan.","nanging, raja pu rempur mayapmayap, bareng rakyate, nantang karepe raja bulbulen kuwi. kedadian perang kang ora bisa dicegah, awan lan bengi. perang saya murub lan korban jatuh podo sumebar. peperangan kelakon suwene pitu sasi, nanging raja pu rempur mayapmayap isih durung terkalahkan."
Cerita Pelleng Peneppuh Babah,Sumatera Utara,5,"namun, pada suatu hari, malang tak dapat ditolak, untung tak dapat diraih. perlawanannya belum direstui oleh semangat kesaktian arwah-arwah nenek moyang mereka di kerajaan benua harhar. mereka pun mengalami kekalahan, sehingga sebagian besar rakyat dan pasukannya gugur dalam medan laga. kekalahan itu tak terelakkan lagi, dan ratap tangis rakyat terdengar di mana-mana. yang paling memilukan, raja pu rempur mayapmayap sendiri mati dalam pertempuran tersebut.","nanging, nang sawijining dina, cilaka ora bisa ditolak, untung ora bisa digayuh. perlawanane durung diridhoi karo semangat kasakten arwah-arwah para leluhure nang kraton benua harhar. dheweke banjur ngalami kekalahan, nganti mayoritas rakyat lan pasukane gugur nang medan laga. kekalahan kuwi ora bisa dicegah meneh, lan ratapan rakyat krungu nang endi-endi. sing paling ndemek ati, raja pu rempur mayapmayap dhewe mati nang pertempuran kuwi."
Cerita Pelleng Peneppuh Babah,Sumatera Utara,6,"mereka mengenang kembali keagungan kerajaan mereka yang dahulu, dan membayangkan betapa malangnya mereka yang kini berada dalam tawanan perbudakan dan dibawah kekuasaan raja bulbulen, untuk waktu yang tak dapat ditentukan. mengenang kekalahan itu, rakyat menangis, tua muda, besar kecil, terlebih-lebih kaum ibu, semuanya berkabung dengan hati yang sangat pedih dan pilu.","wong-wong padha eling meneh marang keagungan kratone biyen, lan mbayangke sepira cilakane nasibe wong-wong kang saiki dadi tawanan perbudakan lan nang sangisore kekuasaane raja bulbulen, kanggo wektu kang ora bisa ditemtokke. ãling kekalahan kuwi, rakyat nangis, tuwa enom, gedhe cilik, luwih-luwih kaum ibu, kabeh padha berkabung nganggo atine kang lara banget lan pilu."
Cerita Pelleng Peneppuh Babah,Sumatera Utara,7,"namun, di antara mereka itu, masih ada tujuh orang hulubalang pu rempur mayapmayap yang selamat, bersama putra mahkota yang bernama si pandirabar. mereka berhasil menghindar dari keganasan pedang musuh dan saling bertemu di hutan. bersama, mereka bersumpah dan membuat tekad bulat, di bawah pimpinan si pandirabar, untuk merebut kembali kerajaan mereka dan menegakkan panji-panji mahkota benua harhar di kemudian hari.","nanging, nang antarane wong-wong kuwi, isih ana pitu hulubalange pu rempur mayapmayap kang slamet, bareng putra mahkota jenenge si pandirabar. dheweke bisa ngindar saka keganasan pedange mungsuh lan padha ketemu nang alas. bareng, dheweke padha sumpah lan nggawe tekad mantep, nang sangisoring pimpinane si pandirabar, kanggo ngrebut meneh kratone lan ngadegake panji-panji mahkota benua harhar mbesuk."
Cerita Pelleng Peneppuh Babah,Sumatera Utara,8,"mereka pun melanjutkan perjalanan untuk mencari bantuan dari kerajaan lainnya, sambil memantapkan ilmu keperwiraan dan bertapa untuk mencari kesaktian. hal ini mereka lakukan dengan tujuan menemui kramat nenek batara guru di gunung kramat batu ardan. puncak gunung itu sangat dihormati, dijaga oleh puluhan harimau hitam dan binatang-binatang purbakala sebagai piaraan nenek batara guru. masing-masing mereka membawa bekal berupa satu sumpit beras dan satu tabung garam.","dheweke banjur neruske lelampahan kanggo golek pitulungan saka kraton liyane, sambil ngasah kawruh keperwiraan lan bertapa kanggo golek kasakten. kuwi ditindakke kanggo ketemu karo kramat nenek batara guru nang gunung kramat batu ardan. puncak gunung kuwi diurmati banget, dijaga karo puluhan macan ireng lan kewan-kewan purba minangka piaraane nenek batara guru. saben wong nggawa bekal wujud siji sumpit beras lan siji tabung uyah."
Cerita Pelleng Peneppuh Babah,Sumatera Utara,9,"namun, nasib masih belum berpihak pada mereka. dalam perjalanan di rimba belantara, mereka tersesat dan tidak tahu lagi di mana mereka berada. akhirnya, mereka memutuskan untuk mencari pohon kayu raksasa yang tinggi, tempat tumbuhnya anggrek raksasa yang dikenal dengan sebutan peldang. pohon tersebut menjadi tempat mereka menginap untuk menghindari bahaya serangan binatang buas di malam hari.","nanging, nasib isih durung berpihak marang dheweke. nang lelampahan nang alas rimba, dheweke kesasar lan ora ngerti meneh nang endi dheweke. akhire, dheweke mutuske kanggo golek wit kayu raksasa kang dhuwur, panggonan tuwuhe anggrek raksasa kang dikenal kanthi jeneng peldang. wit kuwi dadi panggonan nginep kanggo ngindari bebaya serangan kewan buas wengi."
Cerita Pelleng Peneppuh Babah,Sumatera Utara,10,"pandirabar memutuskan untuk bertapa di tempat itu, berharap suatu saat akan memperoleh ilham dari nenek batara guru. tujuh tahun berlalu, mereka tinggal di tempat pertapaan itu, bahkan dalam mendapatkan bahan makanan pun mereka sempat berladang di celah-celah hutan. selama bertapa, mereka tidak memakan beras dan garam perbekalan yang dibawa dari istana, melainkan menyimpannya dengan baik sebagai obat pelipur dan penawar rindu ke istana.","pandirabar mutuske kanggo bertapa nang panggonan kuwi, ngarep-arep ing sawijining dina bakal entuk ilham saka nenek batara guru. pitung taun kliwat, dheweke manggon nang panggonan pertapan kuwi, malah kanggo golek bahan pangan dheweke nganti nandur nang sela-sela alas. sajeroning bertapa, dheweke ora mangan beras lan uyah perbekalan sing digawa saka istana, nanging nyimpene kanthi apik minangka obat pelipur lan pengobat kangen marang istana."
