judul,provinsi,id_teks,teks,referensi
Cerita Raja Narasaon,Sumatera Utara,1,"alkisah, rakyat kirakira pada abad ke-14 di sibisa, sebuah kampung dekat prapat, diperintah oleh seorang raja yang bernama datu pejel. isterinya adalah salah seorang puteri guru teteabulan yang bernama siboru bidinglaut. dari perkawinan mereka lahir seorang anak laki-laki yang dinamakan narasaon. nama ini diberikan karena ia menderita suatu penyakit kulit yang tak kunjung sembuh. penyakit itu semakin lama semakin parah. seluruh kulit narasaon mulai menyerupai kulit kasar seekor kodok besar.","alkisah, rakyat kirakira ing abad kaping-14 ing sibisa, sawijining kampung cedhak prapat, dipimpin dening sawijining raja sing aran datu pejel. bojone yaiku salah sijine putri guru teteabulan sing aran siboru bidinglaut. saka perkawinan kuwi lair anak lanang sing dijenengi narasaon. jeneng kuwi diwenehake amarga dheweke ngalami penyakit kulit sing ora mari-mari. penyakit kuwi saya suwe saya parah. kabeh kulit narasaon wiwit dadi kaya kulit kasare kodok gedhe."
Cerita Raja Narasaon,Sumatera Utara,2,"datu pejel, yang terkenal sebagai dukun yang tangguh, sangat khawatir melihat penyakit anaknya. sekalipun diobatinya, penyakit itu tetap kambuh. tampaknya tidak ada harapan untuk menyembuhkan narasaon. sekalipun datu pejel berusaha memperdalam ilmunya, penyakit itu tak kunjung hilang. datu pejel bertambah khawatir lagi. nama baiknya akan hilang sama sekali bila umum mengetahui bahwa ia, seorang dukun besar, gagal mengobati anaknya sendiri. oleh sebab itu, ia berusaha menyembunyikan penyakit itu dari mata orang banyak. narasaon dilarangnya keluar rumah dan disuruhnya memakai pakaian yang menutupi seluruh tubuhnya.","datu pejel, sing misuwur dadi dukun tangguh, banget kuwatir ndelok penyakit anake. senajan wis diobati, penyakit kuwi tetep bali maneh. koyoke ora ana pangarep-arep kanggo marekke narasaon. senajan datu pejel ngupaya nglempakake ilmu luwih jero, penyakit kuwi tetep ora ilang-ilang. datu pejel saya kuwatir. jeneng apike bakal ilang nek wong akeh ngerti yen dheweke, sawijining dukun gedhe, gagal ngobati anake dhewe. mula saka kuwi, dheweke ngupaya ndhelikake penyakit kuwi saka pandelengan wong-wong. narasaon dilarang metu saka omah lan disuruh nganggo klambi sing nutupi kabeh awake."
Cerita Raja Narasaon,Sumatera Utara,3,"kesulitan besar timbul ketika didengarnya bahwa boru tulang narasaon yang paling tua, yaitu puteri pamannya (saudara ibunya), sudah besar, sedangkan narasaon sendiri pun hampir dewasa. alangkah memalukan bila narasaon meminang boru tulangnya dan ditolak karena penyakit kulitnya. penolakan ini akan mengakibatkan pula bahwa gadis-gadis lain dari keluarga baik-baik di daerah itu juga akan menolak narasaon bila ia meminang mereka. masalah pelik ini sangat mengganggu pikiran datu pejel. semalam-malaman ia tidak bisa tidur. yang lebih menyusahkan lagi ialah kemungkinan bahwa anaknya tidak akan menikah seumur hidupnya dan meninggal tanpa keturunan. alangkah besarnya aib yang akan menimpanya dan isterinya.","kesulitan gedhe muncul nalika krungu yen boru tulang narasaon sing paling tuwa, yaiku putri pamane (sedulure ibune), wis gedhe, dene narasaon dhewe uga meh diwasa. alangkah malune yen narasaon nglamar boru tulang lan ditolak merga penyakit kulite. penolakan iki bisa ndadekake yen para cah wadon saka kulawarga apik ing daerah kono uga bakal nolak narasaon nek nglamar. masalah rumit iki banget ngganggu pikirane datu pejel. wengi-wengi dheweke ora bisa turu. sing luwih nyusahake maneh yaiku yen anake ora bakal omah-omah saklawase lan mati tanpa keturunan. alangkah gedhene isin sing bakal menimpa dheweke lan bojone."
Cerita Raja Narasaon,Sumatera Utara,4,"setelah lama mempertimbangkan keadaannya, akhirnya datu pejel memutuskan untuk membunuh anaknya. hal ini disampaikannya kepada isterinya. sebagai ibu yang melahirkan narasaon, siboru bidinglaut tentu saja terperanjat. ia menolak rencana suaminya. namun, bagaimanapun ia bermohon, datu pejel tidak mau mengubah rencananya. bukankah ia sendiri pun lebih suka mati daripada hidup terus dengan arang tercoreng di dahinya tidak, narasaon harus disingkirkan.","sawise suwe mikirake kahanane, pungkasane datu pejel mutusake kanggo mateni anake. bab iki diomongke marang bojone. minangka ibu sing nglairake narasaon, siboru bidinglaut mesthi kaget banget. dheweke nolak rencana bojone. nanging, senajan ngemis-ngemis, datu pejel tetep ora gelem ngganti rencanane. apa ora dheweke luwih milih mati tinimbang urip terus karo isin gedhe ora, narasaon kudu disingkirke."
Cerita Raja Narasaon,Sumatera Utara,5,"pada suatu malam, selagi narasaon tidur nyenyak, beberapa orang diam-diam memasuki kamarnya dan menangkapnya. mulutnya disumpal sehingga ia tidak bisa berteriak. ia diikat, dimasukkan ke dalam sebuah peti yang dikunci rapat, lalu dibawa keluar rumah. di sebuah hutan dekat sibisa, peti itu dimasukkan ke dalam lubang yang sudah disediakan lalu ditimbuni dengan tanah. datu pejel, yang ikut serta menguburkan anaknya, sekarang tidak dapat menahan kesedihan hatinya. sebelum pergi, diucapkannya kata-kata perpisahan.","ing sawijining wengi, nalika narasaon turu pulas, sawetara wong mlebu kamare kanthi alon-alon lan nangkep dheweke. cangkeme disumpel supaya ora bisa njerit. dheweke diiket, dilebokke menyang peti sing dikunci rapet, banjur digawa metu saka omah. ing sawijining alas cedhak sibisa, peti kuwi dilebokke ing lemah sing wis disiapke banjur ditimbun nganggo lemah. datu pejel, sing melu ngubur anake, saiki ora bisa nahan sedhih atine. sadurung lunga, dheweke ngucapake tembung pamit:"
Cerita Raja Narasaon,Sumatera Utara,6,"anakku narasaon, sekarang kau kuserahkan ke pangkuan bumi. semoga yang maha kuasa melindungimu. aku bermohon kepada-nya semoga ia melimpahkan kasih-nya kepadamu. semoga disembuhkan-nya penyakitmu dan kau dikembalikan-nya kepada kami orang tuamu dalam keadaan sehat.","anakku narasaon, saiki kuserahke awakmu marang pangkuane bumi. mugo gusti maha kuwasa nglindhungi kowe. aku nyuwun marang panjenengane mugo panjenengane paring sih katresnan marang kowe. mugo panjenengane marekke penyakitmu lan ngedunke kowe bali marang aku lan ibumu ing kahanan sehat."
Cerita Raja Narasaon,Sumatera Utara,7,"setelah datu pejel menyingkirkan anaknya, tidak terdengar lagi kabar tentang narasaon. suami isteri itu menganggap anaknya benar-benar sudah meninggal. sekarang, siboru bidinglaut sangat kehilangan dan merasa bersalah telah ikut membantu membunuh anak tunggalnya. hatinya begitu sedih sehingga ia siang malam menangis dan tidak bisa tidur maupun makan. melihat keadaan isterinya, datu pejel berusaha menghiburnya. tetapi karena tidak berhasil, hatinya sendiri pun hancur oleh penyesalan yang tidak putus-putusnya.","sawise datu pejel nyingkirke anake, ora ana kabar maneh bab narasaon. bojo bojone kuwi nganggep yen anake pancen wis mati. saiki, siboru bidinglaut banget kangen lan rumangsa salah wis melu mbantu mateni anak tunggale. atine sedhih banget nganti saben dina nangis lan ora bisa turu utawa mangan. ndelok kahanane bojone, datu pejel nyoba nglipur. nanging amarga ora kasil, atine dhewe pecah karo penyesalan sing ora ana enteke."
Cerita Raja Narasaon,Sumatera Utara,8,"ratap tangis siboru bidinglaut ternyata berhasil. di suatu tempat di dunia atas, tinggal tujuh bidadari yang mendengar ratapan perempuan malang itu. mereka kasihan padanya dan memutuskan untuk menolongnya serta mengembalikan narasaon. setelah mengenakan pakaian terbang mereka, ketujuh bidadari melayang ke tempat di mana narasaon terkubur. petinya mereka buka, narasaon dikeluarkan dan dihidupkan kembali. lama bidadari-bidadari itu tinggal di bumi mengurus narasaon. setiap hari mereka membawanya ke pansur napitu, tujuh pancuran yang mereka buat.","tangis ratapan siboru bidinglaut jebul krungu tekan panggonan ing dunia atas, panggonane pitung bidadari. wong-wong iku melas ndelok wanita apes kuwi lan mutusake kanggo nulungi lan mulihake narasaon. sawise nganggo klambi mabur, pitung bidadari kuwi mabur menyang panggonan narasaon dikubur. petine dibukak, narasaon dijupuk lan diuripke maneh. suwe bidadari-bidadari kuwi manggon ing bumi ngopeni narasaon. saben dina dheweke digawa menyang pansur napitu, pitung pancuran sing digawe dening bidadari kuwi."
Cerita Raja Narasaon,Sumatera Utara,9,"setelah narasaon kuat kembali, pada suatu hari bidadari-bidadari itu berkata, wahai pemuda yang baik, kami ingin kembali ke dunia atas dan sekarang mengucapkan selamat tinggal kepadamu. engkau sudah sehat dan kuat kembali sehingga selesailah tugas kami. kembalilah segera kepada ibumu sebab ia nyaris mati karena dirundung kesedihan. siang malam ia menangis.","sawise narasaon kuwat maneh, ing sawijining dina bidadari-bidadari kuwi ngomong, wahai pemuda apik, kita kepengin bali menyang dunia atas lan saiki pamit. kowe wis sehat lan kuwat maneh dadi wis rampung tugasku. balioa enggal marang ibumu amarga dheweke wis meh mati amarga kesedihan. saben dina lan wengi nangis."
Cerita Raja Narasaon,Sumatera Utara,10,"narasaon menjawab, oh, puteri-puteri budiman, aku mengucapkan terima kasih banyak atas bantuan dan rawatan kalian yang penuh kasih sayang. tapi sebelum kita berpisah, masih ada suatu permintaanku.","narasaon mangsuli, oh, para putri budiman, aku matur nuwun banget marang pitulungan lan rawatanmu sing kebak katresnan. nanging sadurung kita pisah, aku isih nduwe siji panyuwun."
