judul,provinsi,id_teks,teks,referensi
Cindua Mato,Sumatera Barat,1,"pada zaman dahulu, hiduplah seorang ratu bernama bundo kanduang, yang konon diciptakan bersamaan dengan alam semesta. ia memimpin kerajaan pagaruyung dengan bijaksana. bundo kanduang memiliki seorang putra bernama dang tuanku, pewaris tahta kerajaan, yang bersahabat dengan seorang kesatria muda bernama cindua mato.","ing jaman mbiyen, ana sawijining ratu jenenge bundo kanduang, sing miturut crita diciptakake bareng karo alam semesta. dheweke mimpin karajan pagaruyung kanthi wicaksana. bundo kanduang nduweni putra jenenge dang tuanku, ahli waris tahta karajan, sing bersahabat karo sawijining kesatria enom jenenge cindua mato."
Cindua Mato,Sumatera Barat,2,"dang tuanku dan cindua mato tumbuh bersama sejak kecil. mereka dikenal sebagai pemuda tangguh dan sering bermain di gelanggang. dang tuanku juga telah memiliki tunangan, yaitu putri bungsu, putri raja mudo dari negeri sikalawi.","dang tuanku lan cindua mato gedhe bebarengan wiwit cilik. dheweke dikenal dadi nom-noman tangguh lan kerep dolanan ana ing gelanggang. dang tuanku uga wis duwe tunangan, yaiku putri bungsu, putri raja mudo saka nagari sikalawi."
Cindua Mato,Sumatera Barat,3,"suatu hari, bundo kanduang meminta dang tuanku menghadiri gelanggang yang diadakan di negeri sungai tarab, ditemani oleh cindua mato. saat di sungai tarab, dang tuanku mendengar kabar bahwa putri bungsu akan dinikahkan dengan imbang jayo, raja dari sungai ngiang di minangkabau timur.","siji dina, bundo kanduang njaluk dang tuanku supaya rawuh ing gelanggang sing dianakake ana ing nagari sungai tarab, ditemani dening cindua mato. nalika ana ing sungai tarab, dang tuanku krungu kabar yen putri bungsu bakal dinikahake karo imbang jayo, raja saka sungai ngiang ing minangkabau wetan."
Cindua Mato,Sumatera Barat,4,"berita ini mengejutkan cindua mato, karena ia mengetahui bahwa gosip mengenai dang tuanku diasingkan karena penyakit menular hanyalah rekayasa dari imbang jayo untuk merebut putri bungsu. mendengar fitnah ini, cindua mato segera kembali ke pagaruyung untuk melaporkan kepada bundo kanduang.","warta iki nggawe kaget cindua mato, merga dheweke ngerti yen gosip ngenani dang tuanku diasingake merga penyakit menular iku mung rekayasa saka imbang jayo kanggo ngrebut putri bungsu. krungu fitnah kuwi, cindua mato langsung bali menyang pagaruyung kanggo laporan marang bundo kanduang."
Cindua Mato,Sumatera Barat,5,"bundo kanduang sangat murka setelah mengetahui pengkhianatan ini. ia mengadakan pertemuan dengan penasihat istana, basa ampek balai, untuk memutuskan langkah yang akan diambil. demi menjaga hubungan antar-kerajaan dan menghindari perang, bundo kanduang memutuskan untuk mengirim hadiah berupa kerbau sakti bernama si binuang ke pernikahan putri bungsu dan imbang jayo di negeri sikalawi.","bundo kanduang banget nesu sawise ngerti pengkhianatan kuwi. dheweke nganakake pertemuan karo penasihat kraton, basa ampek balai, kanggo mutusake langkah sing arep dijupuk. supaya tetep njaga hubungan antar-karajan lan ngindari perang, bundo kanduang mutusake kanggo ngirim hadiah wujud kebo sakti jenenge si binuang menyang pesta nikahan putri bungsu lan imbang jayo ana ing nagari sikalawi."
Cindua Mato,Sumatera Barat,6,"cindua mato ditugaskan untuk mengantarkan hadiah tersebut dengan ditemani kuda saktinya, si gumarang. dalam perjalanan, ia menemukan bukit tambun tulang, tempat berserakan tengkorak manusia. dengan kesaktiannya, ia memanggil arwah-arwah tengkorak itu dan mengetahui bahwa mereka adalah pedagang yang dibunuh oleh penyamun atas perintah imbang jayo.","cindua mato ditugasi kanggo nganterke hadiah kuwi karo kuda saktine, si gumarang. nalika perjalanan, dheweke nemokake bukit tambun tulang, panggonan sing akeh balung-balung manungsa. kanthi kesaktiannya, dheweke nyeluk arwah-arwah balung kuwi lan ngerti yen kuwi para pedagang sing dibunuh dening penyamun atas perintah imbang jayo."
Cindua Mato,Sumatera Barat,7,"setelah mendengar cerita itu, cindua mato melanjutkan perjalanan ke negeri sikalawi dengan tekad untuk mengungkap kejahatan imbang jayo dan menyelamatkan putri bungsu.","sawise krungu cerita kuwi, cindua mato nerusake perjalanan menyang nagari sikalawi kanthi tekad ngungkap kejahatan imbang jayo lan nylametke putri bungsu."
Cindua Mato,Sumatera Barat,8,"sesampainya di negeri sikalawi, cindua mato berpura-pura pingsan agar bisa bertemu dengan putri bungsu. ia mengungkapkan bahwa dang tuanku tidak pernah sakit, dan semua fitnah itu adalah tipu daya imbang jayo. putri bungsu yang merasa takut akhirnya sepakat untuk melarikan diri bersama cindua mato.","tekane ing nagari sikalawi, cindua mato pura-pura semaput supaya isa ketemu karo putri bungsu. dheweke nyritakake yen dang tuanku ora tau lara, lan kabeh fitnah kuwi mung tipu daya imbang jayo. putri bungsu sing wedi pungkasane setuju kanggo mlayu bareng cindua mato."
Cindua Mato,Sumatera Barat,9,"pada hari pernikahan, saat imbang jayo hendak menaiki pelaminan, tiba-tiba badai besar dan hujan lebat melanda. dalam kekacauan itu, cindua mato membawa putri bungsu pergi ke padang ganting, tempat basa ampek balai bersemayam.","ing dina pernikahan, nalika imbang jayo arep munggah pelaminan, dumadakan ana badai gedhe lan udan deres. ing tengah kekacauan kuwi, cindua mato nggawa putri bungsu lunga menyang padang ganting, panggonane basa ampek balai."
Cindua Mato,Sumatera Barat,10,"namun, tindakannya menimbulkan kemarahan bundo kanduang, karena dianggap bisa memicu perang antara pagaruyung dan sikalawi. bundo kanduang mengadakan perundingan dengan para raja adat, yang akhirnya memutuskan untuk menyerahkan hukuman kepada dang tuanku.","nanging, tumindake kuwi nggawe nesune bundo kanduang, merga dianggep bisa nyulut perang antarane pagaruyung lan sikalawi. bundo kanduang nganakake perundingan karo para raja adat, sing pungkasane mutusake supaya hukuman diserahkan marang dang tuanku."
