judul,provinsi,id_teks,teks,referensi
Ciung Wanara,Jawa Barat,1,"dahulu kala, terdapat sebuah kerajaan bernama galuh pakuan, yang diperintah oleh prabu permana di kusumah. di kerajaan ini, terdapat seorang menteri bernama aria kebonan, yang suatu hari datang menghadap raja untuk menyampaikan laporan tentang wilayah yang ia urus.","mbiyen banget, ana sawijining kerajaan jenenge galuh pakuan. raja sing mimpin kerajaan kuwi jenenge prabu permana di kusumah. ing kerajaan kuwi ana menteri jenenge aria kebonan. ing sawijining dina, aria kebonan sowan neng kraton, arep nglaporake kahanan wilayah sing dadi tanggung jawabe."
Ciung Wanara,Jawa Barat,2,"saat berada di istana, aria kebonan disuguhi berbagai makanan dan menyaksikan kehidupan sang raja dengan penuh kekaguman. dalam hatinya, ia diam-diam berharap suatu hari nanti bisa menjadi raja. tak disangka, prabu permana di kusumah mengetahui isi hati aria kebonan. namun, sang raja tidak marah. sebaliknya, ia justru mengizinkan aria kebonan untuk menjadi raja sementara karena dirinya akan pergi bertapa.","wektu ana ing kraton, aria kebonan disuguhi panganan enak-enak lan ndelok urip raja sing mewah. ing njero atine, dheweke kepengin dadi raja. prabu permana di kusumah ngerti isi atine aria kebonan, nanging ora nesu. malah, prabu permana ngidini aria kebonan dadi raja saksuwene dheweke arep lunga tapa."
Ciung Wanara,Jawa Barat,3,"namun, prabu permana di kusumah memberikan dua syarat:","nanging, prabu permana menehi loro syarat:"
Ciung Wanara,Jawa Barat,4,aria kebonan harus memerintah dengan adil dan bijaksana.,aria kebonan kudu mimpin kanthi adil lan wicaksana.
Ciung Wanara,Jawa Barat,5,ia tidak boleh memperlakukan permaisuri kerajaan sebagai istrinya sendiri.,ora oleh nyepaki permaisuri kraton dadi bojone dhewe.
Ciung Wanara,Jawa Barat,6,"aria kebonan menyetujui syarat tersebut. dengan kesaktiannya, sang raja mengubah wajah aria kebonan menjadi lebih muda dan memberinya nama prabu barma wijaya kusumah. ia pun diperkenalkan sebagai raja kepada rakyat galuh.",aria kebonan setuju karo syarat kuwi. prabu permana banjur nganggo kesaktiane ngganti rupa aria kebonan dadi luwih enom lan maringi jeneng anyar: prabu barma wijaya kusumah. dheweke banjur diakoni rakyat dadi raja galuh.
Ciung Wanara,Jawa Barat,7,"namun, setelah naik takhta, prabu barma wijaya kusumah menjadi sombong dan melanggar syarat kedua. ia memperlakukan dewi pangrenyep dan dewi naganingrum, dua permaisuri kerajaan, sebagai istrinya sendiri.","nanging sawise dadi raja, prabu barma malah sombong lan nglanggar syarat nomer loro. dheweke nyepaki dewi pangrenyep lan dewi naganingrum, loro permaisuri kerajaan, kaya bojone dhewe."
Ciung Wanara,Jawa Barat,8,"suatu hari, dewi pangrenyep dan dewi naganingrum mengalami mimpi anehâmereka bermimpi kejatuhan dan menimang bulan. biasanya, mimpi seperti itu hanya dialami oleh perempuan yang sedang hamil.","wektu kuwi, dewi pangrenyep lan dewi naganingrum padha ngimpi ketiban lan nggendhong bulan. biasane, impen kuwi pertanda nek wong kuwi lagi isi. prabu barma kaget, soale dheweke rumangsa ora tau gawe meteng loro permaisuri kuwi. banjur dheweke ngundang sawijining pertapa jenenge ajar sukaresi kanggo nerangake makna impen kuwi."
Ciung Wanara,Jawa Barat,9,"merasa tidak pernah memperlakukan kedua permaisuri sebagai istrinya, prabu barma wijaya kusumah pun memanggil seorang petapa untuk menafsirkan mimpi tersebut. sang petapa yang bernama ajar sukaresi datang ke istana.","nanging, ajar sukaresi kuwi sak benere ya prabu permana di kusumah sing nyamar. sawise ndelok lan niteni, ajar sukaresi ngomong nek loro permaisuri kuwi pancen lagi ngandhut anak lanang."
Ciung Wanara,Jawa Barat,10,"namun, yang tidak diketahui oleh prabu barma wijaya kusumah adalah bahwa ajar sukaresi sebenarnya adalah prabu permana di kusumah yang sedang menyamar. setelah menerawang, ia menyampaikan bahwa kedua permaisuri benar-benar sedang mengandung anak laki-laki.","prabu barma nesu banget lan nyoba mateni ajar sukaresi nganggo keris. nanging kerise malah mbengkong. sakwise kuwi, ajar sukaresi malih wujud dadi naga jenenge nagawiru."
