judul,provinsi,id_teks,teks,referensi
Damarwulan dan Menakjingga,Jawa Tengah,1,"pada masa pemerintahan kerajaan majapahit, ratu yang memimpin adalah dewi suhita, yang dikenal dengan gelar ratu ayu kencana wungu. di bawah kepemimpinannya, majapahit berhasil menaklukkan banyak daerah, salah satunya adalah kerajaan blambangan di banyuwangi. kerajaan ini dipimpin oleh seorang adipati sakti bernama adipati kebo marcuet, seorang bangsawan klungkung bali yang memiliki sepasang tanduk seperti kerbau.","ing jaman pamarentahan karajan majapahit, ratu sing mimpin yaiku dewi suhita, sing dikenal nganggo gelar ratu ayu kencana wungu. ing sangisoring pamarentahane, majapahit bisa nundhukake akeh wewengkon, salah sijine yaiku karajan blambangan ing banyuwangi. karajan iki dipimpin dening siji adipati sakti jenenge adipati kebo marcuet, sawijining bangsawan klungkung bali sing nduwe sapasang tanduk kaya kebo."
Damarwulan dan Menakjingga,Jawa Tengah,2,"meskipun kecil, kerajaan blambangan menjadi ancaman serius bagi majapahit karena kesaktian adipati kebo marcuet. ia memberontak terhadap majapahit, sehingga ratu ayu kencana wungu mengadakan sayembara. barang siapa yang bisa mengalahkan adipati kebo marcuet akan diangkat menjadi adipati blambangan dan menjadi suami sang ratu.","senajan cilik, karajan blambangan dadi ancaman serius kanggo majapahit merga kesaktiane adipati kebo marcuet. dheweke mberontak marang majapahit, mula ratu ayu kencana wungu ngadani sayembara. sapa wae sing isa ngalahake adipati kebo marcuet bakal diangkat dadi adipati blambangan lan dadi bojone sang ratu."
Damarwulan dan Menakjingga,Jawa Tengah,3,"banyak pendekar sakti yang mengikuti sayembara tersebut, namun tidak ada yang berhasil mengalahkan kebo marcuet. hingga datanglah seorang pemuda bernama jaka umbaran dari pasuruan. ia adalah cucu ki ajah pamengger, guru sekaligus ayah angkat kebo marcuet. dengan senjata pusaka gada wesi kuning dan bantuan seorang pemanjat kelapa sakti bernama dayun, jaka umbaran berhasil mengalahkan kebo marcuet.","akeh pendekar sakti sing melu sayembara kuwi, nanging ora ana sing bisa ngalahake kebo marcuet. nganthi tekane sawijining nom-noman jenenge jaka umbaran saka pasuruan. dheweke kuwi putune ki ajah pamengger, guru sekaligus bapak angkate kebo marcuet. kanthi gaman pusaka gada wesi kuning lan bantuan sawijining panjat klapa sakti jenenge dayun, jaka umbaran bisa ngalahake kebo marcuet."
Damarwulan dan Menakjingga,Jawa Tengah,4,"sesuai janji, jaka umbaran diangkat menjadi adipati blambangan dengan gelar minakjinggo. namun, ratu ayu kencana wungu tidak menepati janjinya untuk menikahi jaka umbaran. alasannya, setelah pertarungan melawan kebo marcuet, wajah jaka umbaran menjadi rusak, badannya bongkok, dan kakinya pincang. pengingkaran janji ini membuat minakjinggo murka. ia kembali memberontak dan berencana menyerang majapahit.","sesuai janjine, jaka umbaran diangkat dadi adipati blambangan nganggo gelar minakjinggo. nanging, ratu ayu kencana wungu ora nepati janjine kanggo nikahi jaka umbaran. alesane, sawise perang ngelawan kebo marcuet, rai jaka umbaran dadi rusak, awake mbongkok, lan sikile pincang. pengingkaran janji iki ndadekake minakjinggo nesu. dheweke mberontak maneh lan ngerancang nyerang majapahit."
Damarwulan dan Menakjingga,Jawa Tengah,5,"ratu ayu kencana wungu yang khawatir dengan ancaman minakjinggo kembali mengadakan sayembara. barang siapa yang bisa mengalahkan minakjinggo, ia akan dinikahkan dengan sang ratu. saat sayembara berlangsung, seorang pemuda tampan bernama damarwulan datang untuk mengikuti tantangan tersebut.","ratu ayu kencana wungu sing kuwatir karo ancamane minakjinggo ngadani sayembara maneh. sapa wae sing isa ngalahake minakjinggo, dheweke bakal rabi karo sang ratu. nalika sayembara lumaku, sawijining nom-noman ayu jenenge damarwulan teka kanggo melu tantangan kuwi."
Damarwulan dan Menakjingga,Jawa Tengah,6,"damarwulan berangkat ke blambangan untuk menghadapi minakjinggo. namun, dalam pertarungan pertama, minakjinggo yang memiliki pusaka gada wesi kuning berhasil mengalahkan damarwulan dan memasukkannya ke penjara.","damarwulan budhal menyang blambangan kanggo ngadhepi minakjinggo. nanging, ing pertarungan pisanan, minakjinggo sing nduwe pusaka gada wesi kuning bisa ngalahake damarwulan lan nglebokke dheweke menyang pakunjaran."
Damarwulan dan Menakjingga,Jawa Tengah,7,"di istana minakjinggo, terdapat dua selir bernama dewi wahita dan dewi puyengan. keduanya terpikat oleh ketampanan damarwulan. damarwulan memanfaatkan perasaan mereka untuk mencuri gada wesi kuning milik minakjinggo. ketika minakjinggo tertidur, kedua selir itu membantu damarwulan mencuri gada tersebut dan membebaskannya dari penjara.","ing karajane minakjinggo, ana loro selir jenenge dewi wahita lan dewi puyengan. karo loro kuwi kagodha karo ketampanane damarwulan. damarwulan migunakake perasaane wong loro kuwi kanggo nyolong gada wesi kuning duweke minakjinggo. nalika minakjinggo turu, loro selir kuwi mbantu damarwulan nyolong gada kuwi lan mbebasake dheweke saka pakunjaran."
Damarwulan dan Menakjingga,Jawa Tengah,8,"dengan gada wesi kuning di tangannya, damarwulan kembali menantang minakjinggo. kali ini, damarwulan berhasil mengalahkan minakjinggo dan memenggal kepalanya sebagai bukti kemenangannya. ia membawa kepala minakjinggo kembali ke majapahit untuk dipersembahkan kepada ratu ayu kencana wungu.","kanthi gada wesi kuning ana ing tangane, damarwulan mbaleni nantang minakjinggo. saiki, damarwulan bisa ngalahake minakjinggo lan nyedhak sirahe minangka bukti kemenangane. dheweke nggawa sirahe minakjinggo bali menyang majapahit kanggo dipersembahke marang ratu ayu kencana wungu."
Damarwulan dan Menakjingga,Jawa Tengah,9,"dalam perjalanan pulang, damarwulan dihadang oleh layang seta dan layang kumitir, putra patih logender. mereka berusaha merebut kepala minakjinggo agar dapat mengklaim kemenangan dalam sayembara. karena kelelahan, damarwulan kalah dalam pertempuran, dan kepala minakjinggo berhasil direbut oleh layang seta dan layang kumitir.","sakdalane bali, damarwulan dicegat dening layang seta lan layang kumitir, putrane patih logender. wong loro kuwi nyoba njupuk sirahe minakjinggo supaya isa ngakoni menang ing sayembara. merga kesel, damarwulan kalah ing pertempuran kuwi, lan sirahe minakjinggo bisa direbut dening layang seta lan layang kumitir."
Damarwulan dan Menakjingga,Jawa Tengah,10,"sesampainya di majapahit, layang seta dan layang kumitir menyerahkan kepala minakjinggo kepada sang ratu. namun, tidak lama kemudian, damarwulan tiba dan menjelaskan bahwa ia sebenarnya yang mengalahkan minakjinggo. untuk membuktikan siapa yang benar, ratu ayu kencana wungu memerintahkan mereka bertarung.","satekane ing majapahit, layang seta lan layang kumitir nyerahke sirahe minakjinggo marang sang ratu. nanging, ora suwe sawise kuwi, damarwulan teka lan nerangke yen dheweke sebenere sing ngalahke minakjinggo. kanggo mbuktekake sapa sing bener, ratu ayu kencana wungu mrintahake supaya padha tarung."
