judul,provinsi,id_teks,teks,referensi
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,1,"di sebuah desa yang terletak di sumatra barat, hiduplah pak buyung, istri, dan seorang anak yang bernama indra. mereka tinggal di sebuah gubuk kecil di pinggir laut. sehari-hari, pak buyung dan istrinya mengumpulkan hasil-hasil hutan dan menangkap ikan di laut untuk memenuhi kebutuhan keluarga. setiap pagi, mereka mencari manau rotan dan damar, kemudian menjualnya di pasar. jika musim ikan tiba, mereka pergi ke laut untuk menangkap ikan dengan menggunakan jala pancing atau bubu.","nang sawijining desa sing mapan ing sumatra barat, urip pak buyung, bojone, lan anak siji jenenge indra. wong-wong kuwi manggon ana ing gubuk cilik pinggir segara. saben dina, pak buyung lan bojone nglumpukake asil-asiling alas lan mancing iwak nang laut kanggo nyukupi kabutuhan kulawarga. saben esuk, pak buyung lan bojone kuwi nggoleki manau rotan lan damar, banjur didol nang pasar. yen musim iwak teka, wong-wong kuwi menyang laut kanggo mancing iwak nganggo jala, pancing, utawa bubu."
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,2,"ketika indra berusia 10 tahun, ia mulai diajak membantu orangtuanya ke hutan dan laut. ia adalah anak yang rajin dan tidak pernah mengeluh. ayah dan ibunya sangat bangga kepadanya. hanya satu hal yang membuat mereka resah, yaitu nafsu makan indra yang sangat besar. sekali makan, ia biasa menghabiskan setengah bakul nasi dan beberapa piring lauk.","nalika indra umure 10 taun, dheweke mulai diajak nulungi wong tuwane menyang alas lan laut. dheweke kuwi bocah sing sregep lan ora tau sambat. bapak ibune bangga banget marang dheweke. mung ana siji sing nggawe padha kuwatir, yaiku napsu mangane indra sing gedhe banget. sak pisan mangan, dheweke biasa ngentekake satengah bakul sega lan sawetara piring lawuh."
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,3,"suatu saat, tibalah musim paceklik. hasil hutan dan hasil laut semakin sulit didapat. keluarga ini menyantap ubi dan talas sebagai pengganti nasi. ternyata musim paceklik kali ini berlangsung lama, sehingga mereka semakin sulit mendapatkan bahan makanan. mereka harus menahan lapar setiap harinya. lama-kelamaan, keadaan ini membuat mereka menjadi lebih peduli pada diri sendiri daripada kepada anaknya.","sawijining wektu, musim paceklik tekan. asil alas lan laut saya angel digoleki. kulawarga kuwi mangan uwi lan tales kanggo ngganti sega. ternyata musim paceklik wektu kuwi suwe banget, nganti wong-wong kuwi saya angel entuk bahan pangan. wong-wong kuwi kudu nahan luwe saben dina. suwe-suwe, kahanan kuwi nggawe wong tuwane saya mikirake awake dhewe tinimbang anake."
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,4,"suatu hari, indra mengeluh karena perutnya sangat lapar. sudah berhari-hari mereka hanya makan ubi bakar. ia menangis dan mengadu kepada ayahnya, ayah, aku lapar sekali. bisakah ayah beri aku makanan rengeknya.","sawijining dina, indra sambat merga wetenge luwe banget. wis pirang-pirang dina wong-wong kuwi mung mangan uwi bakar. dheweke nangis lan sambat marang bapake, yah, aku luwe banget. isa ora bapak maringi aku panganan rengeke."
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,5,"anak malas, jika kamu lapar, pergi sana mencari makanan sendiri di hutan atau di laut, ujar ayahnya. sang ibu mencoba membela indra karena ia masih kecil, namun ayahnya tetap bersikeras agar indra mencari makan sendiri. berkat bujukan ibunya, indra pun berangkat mencari makan menuju hutan di bukit junjung sirih. sebelum berangkat, indra terlebih dahulu memberi makan ayam piaraannya yang bernama taduang. ayam tersebut sangat setia kepada indra. setiap kali indra datang atau pulang ke rumah, ayam itu selalu berkokok menyambutnya.","anak males, nek kowe luwe, lungo kana nggoleki panganan dhewe nang alas utawa nang laut, ujare bapake. ibune nyoba mbelani indra merga dheweke isih cilik, nanging bapake tetep kekeh supaya indra nggoleki panganan dhewe. merga bujukan ibune, indra banjur lunga nggoleki panganan menyang alas ing bukit junjung sirih. sadurung mangkat, indra luwih dhisik maringi mangan ayam piaraane sing jenenge taduang. ayam kuwi setya banget marang indra. saben indra teka utawa mulih, ayam kuwi mesthi kluruk nyambut."
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,6,"dari pagi sampai siang hari, indra pergi mencari makanan ke hutan dan ke laut. namun, sampai siang hari, tak sedikit pun ia mendapatkan makanan untuk mengisi perutnya yang lapar. maka, ia pun kembali pulang. keesokan harinya, sang ayah kembali menyuruhnya pergi mencari makanan, sementara ayah dan ibunya hanya tidur-tiduran di rumah. mereka seperti sudah pasrah terhadap keadaan. keadaan ini berlangsung selama sebulan, dan indra merasa tubuhnya sangat lelah.","saka esuk nganti awan, indra lunga nggoleki panganan menyang alas lan laut. nanging, nganti awan, sak cuil wae dheweke ora entuk panganan kanggo ngisi wetenge sing luwe. mula, dheweke banjur mulih. esuke, bapake maneh nyuruh dheweke lunga nggoleki panganan, dene bapak ibune mung turu-turuan nang omah. wong-wong kuwi kaya wis pasrah marang kahanan. kahanan kuwi kelakon nganti sewulan, lan indra rumangsa awake banget kesel."
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,7,"suatu hari, ketika indra sedang mencari makan ke laut, ibunya berhasil mendapatkan pensi, sejenis kerang yang ukurannya kecil, hasil tangkapannya bersama beberapa tetangga.","sawijining dina, nalika indra isih nggoleki panganan menyang laut, ibune bisa entuk pensi, sejenis kijing cilik, asil tangkapane bareng karo sawetara tangga teparo."
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,8,"apa itu, bu tanya suaminya. ibu indra yang sedang mencuci bahan makanan mengatakan bahwa pensi sangat enak jika digulai. ia lalu memasak gulai pensi, dan aromanya membuat perut sang ayah semakin lapar.","apa kuwi, bu pitakon bojone. ibu indra sing lagi nyuci bahan pangan ngomong yen pensi enak banget nek digulai. dheweke banjur masak gulai pensi, lan ambune nggawe weteng bapake saya luwe."
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,9,"wah, sedap sekali aromanya, bu. apakah ini cukup untuk kita bertiga ibu kan tahu, indra makannya banyak sekali. rasanya tidak cukup, kata sang ayah.","wah, sedhep banget ambune, bu. apa iki cukup kanggo bertelu ibu wis ngerti, indra mangane akeh banget. rasane ora cukup, ujare bapake."
Danau Singkarak dan Sungai Ombilin,Sumatera Barat,10,"lalu bagaimana, pak","lha terus piye, pak"
