judul,provinsi,id_teks,teks,referensi
Datu Dalu dan Sang Maima,Sumatera Utara,1,"di antara jalan siborongborong menuju dolok sanggul, terdapat sebuah kampung bernama sipultak. menurut cerita rakyat, sekitar abad ke-14, di tempat ini memerintah seorang penguasa bernama datu pongpangbalasaribu. ia berasal dari marga borbor dan beristrikan siboru hombing. dari pernikahan mereka lahir dua putra, datu pulungantua dan datu dalu.","nang antarane dalan siborongborong menyang dolok sanggul, ana sawijining kampung jenenge sipultak. miturut crita rakyat, kira-kira abad kaping-14, nang panggonan iki mimpin sawijining penguasa jenenge datu pongpangbalasaribu. dheweke asale saka marga borbor lan bojone siboru hombing. saka pernikahan kuwi lair loro putra, datu pulungantua lan datu dalu."
Datu Dalu dan Sang Maima,Sumatera Utara,2,"setelah datu pulungantua dewasa dan berkeluarga, ia dikaruniai seorang putra bernama sahang maima, atau lebih dikenal sebagai sang maima. ketika datu pongpangbalasaribu meninggal dunia, perselisihan terjadi antara kedua putranya mengenai siapa yang akan menggantikan ayah mereka sebagai penguasa dan bagaimana harta warisan akan dibagi. konflik ini begitu sengit hingga hampir menimbulkan pertempuran berdarah.","sawise datu pulungantua diwasa lan nduwe keluarga, dheweke dianugrahi sawijining putra jenenge sahang maima, utawa luwih dikenal dadi sang maima. nalika datu pongpangbalasaribu tilar donya, perselisihan kedadeyan antara loro putrane ngenani sapa sing bakal ngganteni bapake dadi penguasa lan kepriye warisan bakal dibagi. konflik iki nganti sengit banget nganti meh njalari peperangan getih."
Datu Dalu dan Sang Maima,Sumatera Utara,3,"beruntung, perselisihan tersebut berhasil didamaikan oleh keluarga dari pihak perempuan. mereka adalah keturunan raja nartasaon dari uluan dan tuan sorbadibanua, salah satu cucu si raja batak dari balige. dengan campur tangan mereka, disepakati bahwa datu pulungantua akan menggantikan ayahnya sebagai penguasa di sipultak. sementara itu, datu dalu menerima sebagian besar sawah dan ladang serta diperbolehkan mendirikan kampung baru sekitar satu kilometer dari sipultak, di mana ia menjadi penguasa bebas.","untunge, perselisihan kuwi bisa didamaikan karo keluarga saka pihak wadon. wong-wong kuwi keturunane raja nartasaon saka uluan lan tuan sorbadibanua, salah siji putune si raja batak saka balige. kanthi campur tangane wong-wong kuwi, disepakati yen datu pulungantua bakal ngganteni bapake dadi penguasa nang sipultak. samentara kuwi, datu dalu nampa mayoritas sawah lan ladang lan diidini ngedegake kampung anyar kira-kira sak kilometer saka sipultak, ing ngendi dheweke dadi penguasa bebas."
Datu Dalu dan Sang Maima,Sumatera Utara,4,"datu dalu juga mewarisi sebuah tombak pusaka milik ayahnya yang disebut hujur jambar baho, yang berarti tombak bagian dari warisan. tombak ini bukan sembarang senjata; ia memiliki kekuatan gaib yang membuat semua binatang, baik jinak maupun buas, takut. tombak itu juga dikenal dengan julukan hujur na so boi mago, atau tombak yang tidak boleh hilang. menurut cerita, tombak ini merupakan hadiah perkawinan dari negeri siam.","datu dalu uga nurun sawijining tumbak pusaka duweke bapake sing dijenengi hujur jambar baho, tegese tumbak bagean saka warisan. tumbak iki dudu senjata sembarangan; nduweni kekuwatan gaib sing ndadekake kewan-kewan, jinise jinak utawa galak, padha wedi. tumbak kuwi uga dikenal nganggo julukan hujur na so boi mago, utawa tumbak sing ora kena ilang. miturut crita, tumbak iki minangka hadiah perkawinan saka negarani siam."
Datu Dalu dan Sang Maima,Sumatera Utara,5,"pada suatu waktu, kampung sang maima menghadapi masalah besar. ladang mereka terus-menerus dirusak oleh seekor babi besar yang datang hanya pada malam hari. usaha penduduk untuk mengusir atau membunuh babi itu selalu gagal, karena binatang tersebut kebal terhadap senjata.","ing sawijining wektu, kampunge sang maima ngalami masalah gedhe. ladhange terus-terusan dirusak karo sawijining babi gedhe sing teka mung ing wayah bengi. usaha warga kanggo ngusir utawa mateni babi kuwi tansah gagal, merga kewan kuwi kebal marang senjata."
Datu Dalu dan Sang Maima,Sumatera Utara,6,"sang maima akhirnya meminta izin kepada pamannya, datu dalu, untuk meminjam tombak sakti tersebut. awalnya, datu dalu enggan, menganggap babi itu bisa diusir dengan cara biasa. namun, setelah mendengar penjelasan sang maima, ia setuju meminjamkan tombak itu, dengan pesan tegas agar tombak tersebut dijaga dengan baik dan tidak sampai hilang.","sang maima pungkasane njaluk idin marang pamane, datu dalu, kanggo nyilih tumbak sakti kuwi. awale, datu dalu ora gelem, nganggep yen babi kuwi isa diusir nganggo cara biasa. nanging, sawise krungu penjelasane sang maima, dheweke setuju nyilihake tumbak kuwi, karo pesen tegas supaya tumbak kuwi dijaga apik-apik lan ora nganti ilang."
Datu Dalu dan Sang Maima,Sumatera Utara,7,"dengan tombak di tangan, sang maima bersiap di ladangnya. ketika malam tiba, babi besar itu muncul dan mulai merusak tanaman. sang maima menunggu hingga babi mendekat, lalu menghunjamkan tombak sakti itu dengan seluruh tenaganya. tombak itu tepat mengenai kepala babi, namun gagangnya patah, dan ujung tombaknya tertinggal di kepala babi tersebut.","kanthi tumbak nang tangan, sang maima siap-siap nang ladhange. nalika bengi teka, babi gedhe kuwi muncul lan miwiti ngrusak tanduran. sang maima ngenteni nganti babi kuwi nyedhak, banjur ngunjamake tumbak sakti kuwi nganggo sakabehe tenagane. tumbak kuwi pas ngenani sirahe babi, nanging gagange pecah, lan pucuke tumbak ketinggalan nang sirahe babi kuwi."
Datu Dalu dan Sang Maima,Sumatera Utara,8,"babi itu lari ke dalam hutan, meninggalkan jejak darah. sang maima mengejarnya hingga ke sebuah lubang besar, namun babi itu menghilang ke dalamnya. karena gelap, ia memutuskan untuk kembali keesokan harinya.","babi kuwi mlayu mlebu alas, ninggal jejak getih. sang maima ngejarke nganti tekan sawijining bolongan gedhe, nanging babi kuwi ngilang mlebu nang njero. merga peteng, dheweke mutusake bali sesuke."
Datu Dalu dan Sang Maima,Sumatera Utara,9,"ketika sang maima melaporkan kejadian ini kepada datu dalu, pamannya sangat marah mendengar bahwa tombak pusaka telah patah dan ujungnya hilang. ia mengancam akan mengumumkan perang jika sang maima gagal menemukan tombak itu kembali.","nalika sang maima nglaporake kejadian iki marang datu dalu, pamane nesu banget krungu yen tumbak pusaka wis pecah lan pucuke ilang. dheweke ngancem bakal ngumumke perang yen sang maima gagal nemokke tumbak kuwi maneh."
Datu Dalu dan Sang Maima,Sumatera Utara,10,"dengan berat hati, sang maima memutuskan untuk mencari tombak itu hingga ke dunia bawah. ia mengadakan musyawarah dengan keluarganya, dan mereka sepakat membantu menyediakan peralatan, termasuk tali dari ijuk yang panjang untuk perjalanan tersebut.","kanthi ati abot, sang maima mutusake kanggo nggoleki tumbak kuwi nganti tekan donya ngisor. dheweke ngadani rembugan karo keluargane, lan padha setuju mbantu nyedhiakake piranti, kalebu tali saka ijuk sing dawa kanggo perjalanan kuwi."
