judul,provinsi,id_teks,teks,referensi
Datuk Darah Puti,Aceh,1,"pada zaman dahulu kala, hiduplah seorang hulubalang ternama bernama datuk darah putih di sebuah kerajaan di negeri jambi. keunikan namanya berasal dari ciri khas tubuhnya: ketika terluka, ia mengeluarkan darah putih, bukan darah merah.","ing jaman mbiyen kala, ana sawijining karajan ing tanah jambi, ana sawijining hulubalang misuwur jenenge datuk darah putih. jeneng kuwi dijupuk saka ciri khas awake: nalika tatu, getihe metu putih, dudu abang."
Datuk Darah Puti,Aceh,2,"datuk darah putih dikenal sebagai hulubalang yang jujur, berani, sakti, dan setia pada raja. setiap tugas yang diberikan raja selalu ia selesaikan dengan hasil memuaskan, sehingga ia dihormati oleh rakyat dan disegani oleh raja.","datuk darah putih dikenal dadi hulubalang sing jujur, wani, sakti, lan setya marang sang raja. saben tugas sing diwenehake sang raja tansah rampung kanthi asil nyenengake, mula dheweke dihormati dening rakyat lan disegani dening sang raja."
Datuk Darah Puti,Aceh,3,"suatu hari, raja memerintah datuk darah putih untuk membentuk pasukan inti kerajaan.","ing salah sawijining dina, sang raja marentah datuk darah putih kanggo mbentuk pasukan inti karajan."
Datuk Darah Puti,Aceh,4,"datuk, kumpulkan prajurit-prajurit pilihan yang memiliki ketangkasan di atas rata-rata. latih mereka agar menjadi prajurit yang tangguh dan setia pada kerajaan, perintah raja.","datuk, kumpulna prajurit-prajurit pilihan sing nduwe ketangkasan ndhuwur rata-rata. latih supaya dadi prajurit sing tangguh lan setya marang karajan, prentah sang raja."
Datuk Darah Puti,Aceh,5,"baik, yang mulia. hamba akan melaksanakan perintah baginda, jawab datuk darah putih.","inggih, yang mulia. kula badhe ngelampahi prentah paduka, wangsul datuk darah putih."
Datuk Darah Puti,Aceh,6,"dengan mudah, datuk darah putih mengumpulkan dan melatih prajurit pilihan berkat pengalamannya mengenal kemampuan para prajurit. setelah pelatihan selama satu tahun, pasukan ini menjadi prajurit yang tangguh, pemberani, dan siap berkorban demi negeri.","kanthi gampang, datuk darah putih nglumpukake lan nglatih prajurit pilihan amarga pengalamane ngenal kemampuan para prajurit. sawise latihan sajrone setaun, pasukan iki dadi prajurit sing tangguh, wani, lan siyap berkorban kanggo nagara."
Datuk Darah Puti,Aceh,7,"suatu hari, seorang mata-mata datang melaporkan kabar genting kepada raja.","sawijining dina, ana mata-mata teka ngelaporake kabar wigati marang sang raja."
Datuk Darah Puti,Aceh,8,"yang mulia, pasukan belanda sedang dalam perjalanan melalui jalur laut menuju negeri kita, lapornya dengan napas tersengal.","yang mulia, pasukan walanda lagi lumaku liwat jalur laut menyang nagara kita, lapore kanthi napas ngos-ngosan."
Datuk Darah Puti,Aceh,9,raja pun memerintahkan datuk darah putih dan pasukan inti untuk menghadang pasukan belanda di selat berhala.,sang raja banjur marentah datuk darah putih lan pasukan inti kanggo nyegat pasukan walanda ing selat berhala.
Datuk Darah Puti,Aceh,10,"datuk, cegat mereka di selat berhala. jika perlu, hancurkan kapalnya tanpa sisa, titah raja.","datuk, cegata wong-wong kuwi ing selat berhala. yen perlu, ancurna kapale tanpa sisa, titah sang raja."
Datuk Darah Puti,Aceh,11,"baik, baginda, jawab datuk darah putih dengan hormat.","inggih, paduka, wangsul datuk darah putih kanthi hormat."
