judul,provinsi,id_teks,teks,referensi
Desa Penyalahan Tasikmalaya,Jawa Barat,1,"dahulu kala, di sebuah desa yang terletak di kawasan tasikmalaya, hiduplah sepasang suami istri yang tinggal bersama seekor harimau bernama si loreng. harimau ini tidak seperti harimau pada umumnya. selain gagah dan tangkas, ia juga memiliki kepatuhan luar biasa terhadap pasangan tersebut. si loreng dirawat oleh mereka sejak masih kecil, dan hubungan antara harimau itu dengan keluarga semakin erat setelah pasangan ini memiliki seorang anak.","mbiyen kala, ing sawijining desa sing mapan ing dhaerah tasikmalaya, urip sakpasang bojo sing manggon bareng karo seekor macan jenenge si loreng. macan iki ora kaya macan umume. saliyane gagah lan tangkas, dheweke uga nduweni kasetyan luar biasa marang pasangan kuwi. si loreng dirumat karo wong-wong kuwi wiwit isih cilik, lan hubungan antarane macan kuwi karo keluarga saya raket sawise pasangan kuwi duwe anak."
Desa Penyalahan Tasikmalaya,Jawa Barat,2,"saat suami istri itu bekerja di ladang, si loreng bertugas menjaga bayi mereka di rumah. harimau ini menunjukkan kesetiaan yang luar biasa, menjaga bayi itu dengan penuh kasih sayang dan tanggung jawab. si loreng dianggap sebagai bagian dari keluarga, dan anak itu tumbuh dengan aman di bawah perlindungannya.","nalika bojo kuwi kerja ing sawah, si loreng tugas njaga bayi dheweke ing omah. macan iki nuduhake kasetyan sing luar biasa, njaga bayi kuwi nganggo katresnan lan tanggung jawab. si loreng dianggep dadi bagian saka keluarga, lan bayi kuwi gedhe kanthi aman neng perlindungane."
Desa Penyalahan Tasikmalaya,Jawa Barat,3,"namun, suatu hari, ketika suami istri itu sedang sibuk di ladang, terjadi peristiwa mengejutkan. si loreng tiba-tiba berlari kencang melintasi pematang sawah menuju mereka. ia mengeluarkan geraman panik, tampak gelisah, dan mulutnya berlumuran darah. melihat itu, pasangan tersebut langsung diliputi ketakutan dan kecemasan, teringat pada bayi mereka yang seharusnya dijaga oleh si loreng.","nanging, ing sawijining dina, nalika bojo kuwi lagi sibuk neng sawah, kedadian kaget dumadi. si loreng ndadak mlayu kenceng nyabrang pematang sawah marani wong loro kuwi. dheweke ngeculake geraman panik, katon risau, lan cangkeme kebak getih. weruh kuwi, pasangan kuwi langsung kebak wedi lan kuatir, kelingan bayi dheweke sing sakmesthine dijaga karo si loreng."
Desa Penyalahan Tasikmalaya,Jawa Barat,4,jangan-jangan ia telah memangsa anak kita seru sang suami dengan panik sambil meraih geloknya.,aja-aja dheweke wis mangan anakku jare bojone lanang kanthi panik karo nyekel geloke.
Desa Penyalahan Tasikmalaya,Jawa Barat,5,"hai loreng, kau membunuh anakku teriak sang istri, tak dapat menyembunyikan ketakutannya.","hai loreng, kowe mateni anakku jarit bojone wadon, ora bisa ndhelikake wedi."
Desa Penyalahan Tasikmalaya,Jawa Barat,6,"si loreng hanya menggelengkan kepala, seolah ingin menjelaskan sesuatu. namun, darah yang terus menetes dari mulutnya semakin menyulut kemarahan sang suami. tanpa berpikir panjang, sang suami menyerang si loreng dengan geloknya. harimau itu, meski terkejut, tidak melawan. ia hanya mengerang kesakitan hingga akhirnya terjatuh dan meninggal dunia.","si loreng mung nggeleng, kaya arep nerangake soko. nanging, getih sing isih netes saka cangkeme saya ndadekake nesune bojone lanang saya murub. tanpa mikir dawa, bojone lanang nyerang si loreng nganggo geloke. macan kuwi, sanadyan kaget, ora ngelawan. dheweke mung nggero kelaran nganthi pungkasane ambruk lan mati."
Desa Penyalahan Tasikmalaya,Jawa Barat,7,"setelah si loreng mati, pasangan itu segera bergegas pulang untuk memeriksa keadaan anak mereka. betapa terkejutnya mereka saat tiba di rumah dan mendapati bayi mereka sedang tidur nyenyak di buaian, tanpa cedera sedikit pun. sang istri memeluk bayinya dengan gemetar, mencaricari tanda luka, namun bayi itu benar-benar dalam keadaan baik.","sawise si loreng mati, pasangan kuwi langsung mlayu mulih kanggo meriksa kahanan anak dheweke. kaget banget wong loro kuwi wektu tekan omah lan ndelok bayi dheweke turu nyenyak ana ing ayunan, tanpa tatu sak titik wae. bojone wadon meluk bayine karo gemeter, nggoleki tandha tatu, nanging bayi kuwi pancen ana ing kahanan apik."
Desa Penyalahan Tasikmalaya,Jawa Barat,8,"di sudut ruangan, tidak jauh dari buaian, mereka menemukan bangkai seekor ular besar. tubuh ular itu penuh darah dan telah kehilangan nyawanya. saat itu, pasangan ini menyadari bahwa si loreng sebenarnya telah menyelamatkan bayi mereka dari serangan ular besar. harimau yang mereka salah sangka itu telah berkorban demi melindungi anak mereka.","ing pojokan ruangan, ora adoh saka ayunan, dheweke nemokake bangkai seekor ula gedhe. awak ula kuwi kebak getih lan wis mati. wektu kuwi, pasangan iki ngerti nek si loreng sakjane wis nyelametake bayi dheweke saka serangan ula gedhe. macan sing disangka salah kuwi wis ngorbanake nyawane kanggo ngelindhungi anak dheweke."
Desa Penyalahan Tasikmalaya,Jawa Barat,9,"hati suami istri itu hancur oleh penyesalan. mereka telah salah menyalahkan makhluk yang selama ini begitu setia kepada mereka. untuk mengenang peristiwa tersebut, desa tempat tinggal mereka diberi nama desa penyalahan, yang berarti salah duga. kisah si loreng menjadi legenda di desa itu, diwariskan dari generasi ke generasi.","atine bojo kuwi remuk karo penyesalan. dheweke wis salah nyalahkake makhluk sing sak suwene iki setya banget marang dheweke. kanggo ngeling-eling kedadian kuwi, desa panggonane diwenehi jeneng desa penyalahan, sing tegese salah duga. critane si loreng dadi legenda neng desa kuwi, diwarisake saka generasi menyang generasi."
Desa Penyalahan Tasikmalaya,Jawa Barat,10,"penduduk desa penyalahan mengambil hikmah dari cerita ini: keadilan, pengertian, dan kehati-hatian dalam mengambil keputusan adalah hal yang sangat penting dalam kehidupan. sebagai penghormatan atas pengorbanan si loreng, penduduk desa menjaga dan menghormati keberadaan harimau, mengingatkan mereka akan bahaya dari keputusan yang terburu-buru dan dampaknya yang dapat membawa penyesalan seumur hidup.","wong-wong desa penyalahan njupuk piwulang saka crita iki: keadilan, pengertian, lan ngati-ati neng njupuk keputusan iku perkara penting banget neng urip. minangka panghormatan marang pengorbanane si loreng, warga desa njaga lan ngajeni anane macan, ngelingake dheweke marang bebaya saka keputusan sing kesusu lan akibate sing bisa ndadekake penyesalan sak urip."
