judul,provinsi,id_teks,teks,referensi
Empat Raja,Maluku,1,"dahulu kala di tanah papua, hiduplah sepasang suami istri yang sangat mendambakan hadirnya seorang anak. meski bertahun-tahun tidak dikaruniai keturunan, mereka tidak pernah berhenti berdoa kepada tuhan siang dan malam.","mbiyen kala ana ing tanah papua, urip sapasang bojo sing banget ngidam-idamkake kehadirane anak. sanajan nganti pirang-pirang taun ora diparingi keturunan, wong loro kuwi ora nate mandheg ndedonga marang gusti awan lan bengi."
Empat Raja,Maluku,2,"suatu hari, mereka pergi ke hutan untuk mencari kayu bakar sebelum musim hujan tiba. sayangnya, hasil kayu yang mereka kumpulkan sangat sedikit. dalam kelelahan, mereka memutuskan untuk beristirahat di tepi sungai waikeo. saat beristirahat, sang suami melihat sebuah lubang besar di sisi lain tepi sungai. ia mendekatinya dan terkejut mendapati enam butir telur besar di dalamnya.","sawijining dina, wong loro kuwi lunga menyang alas kanggo golek kayu bakar sadurunge mangsa udan teka. sayange, kayu sing bisa diklumpukake sithik banget. merga kesel, wong loro kuwi mutusake kanggo ngaso ing pinggir kali waikeo. nalika lagi ngaso, bojone lanang weruh ana bolongan gedhe ing sisi liyane pinggiring kali. dheweke nyedhaki lan kaget weruh ana enem endhog gedhe ana njero kono."
Empat Raja,Maluku,3,"dengan penuh keheranan, ia memanggil istrinya, dan mereka sepakat membawa pulang telur-telur tersebut. mereka berniat menjadikan telur-telur itu sebagai persediaan makanan. namun keesokan harinya, ketika akan memasaknya, telur-telur itu justru menetas. ajaibnya, dari telur-telur tersebut muncul lima anak manusiaâempat laki-laki dan satu perempuanâsedangkan satu telur lainnya mengeras menjadi batu. anak-anak itu lahir dalam balutan kain putih yang bersinar, sebagai tanda bahwa mereka berasal dari kayangan.","karo rasa gumun, dheweke ngundang bojone, lan wong loro kuwi padha sarujuk nggawa mulih endhog-endhog kuwi. wong loro kuwi nduwe niyat arep nggawe endhog-endhog kuwi dadi cadangan panganan. nanging esuke, nalika arep dimasak, endhog-endhog kuwi malah netes. ajaibe, saka endhog-endhog kuwi metu lima bocah manungsaâpapat lanang lan siji wadonâdene siji endhog liyane dadi atos kaya watu. bocah-bocah kuwi lair nganggo kain putih sing sumunar, tandha yen asale saka kayangan."
Empat Raja,Maluku,4,"pasangan suami istri itu sangat bahagia, merasa doa mereka akhirnya terkabul. mereka pun berjanji kepada tuhan untuk merawat dan membesarkan anak-anak tersebut dengan penuh kasih sayang. keempat anak laki-laki diberi nama war, betani, dohar, dan mohamad, sedangkan anak perempuan diberi nama pintolee.","pasangan bojo kuwi banget bungahe, kerasa yen donga-dongane pungkasane dituruti. wong loro kuwi banjur janji marang gusti arep ngrumat lan nggedhekake anak-anak kuwi karo katresnan sejati. papat anak lanang diwenehi jeneng war, betani, dohar, lan mohamad, dene anak wadon dijenengi pintolee."
Empat Raja,Maluku,5,"kelima anak tersebut tumbuh menjadi pribadi yang rajin, berbudi luhur, dan berbakti kepada kedua orang tuanya. berkat kerja keras mereka, lahan pertanian keluarga menjadi subur, bahkan memberikan manfaat bagi masyarakat di sekitar. kepatuhan mereka kepada orang tua dan kegigihan dalam bekerja membuat seluruh desa mengagumi keluarga ini.","lima anak kuwi tuwuh dadi wong sing sregep, apik budi pekerti, lan tansah manut marang wong tuwane. merga kerja kerase, lahan tetanen keluargane dadi subur, malah marekake manfaat tumrap masyarakat sakupenge. ketaatane marang wong tuwa lan kekarepane nalika kerja ndadekake kabeh warga desa padha ngajeni keluargane kuwi."
Empat Raja,Maluku,6,"namun, kebahagiaan keluarga itu mulai terguncang ketika pintolee jatuh cinta pada seorang pemuda yang tidak disukai keluarganya. meski tidak mendapat restu, pintolee bersikeras mempertahankan pilihannya. akhirnya, ia memutuskan untuk meninggalkan keluarga, menaiki sebuah cangkang kerang besar, dan berlayar bersama kekasihnya hingga terdampar di pulau numfor.","nanging, kabungahan keluarga kuwi mulai guncang nalika pintolee tiba-tiba tresna marang pemuda sing ora disenengi keluargane. sanajan ora entuk idin, pintolee tetep ngotot ngukuhke pilihane. akhire, dheweke mutusake ninggalake keluarga, numpak cangkang kijing gedhe, lan munggah numpak prahu bebarengan karo kekasihe nganti kapondhok ing pulo numfor."
Empat Raja,Maluku,7,"waktu terus berlalu, hingga sang ayah yang sudah lanjut usia merasa waktunya semakin dekat. ia memanggil keempat anak laki-lakinya untuk memberikan warisan berupa empat pulau.","wektu terus mlaku, nganthi bapake sing wis sepuh rumangsa yen wektune wis cedhak. dheweke ngundang papat anak lanange kanggo menehi warisan awujud papat pulo."
Empat Raja,Maluku,8,"war diberi pulau waigeo,","war diwenehi pulo waigeo,"
Empat Raja,Maluku,9,"betani diberi pulau salawati,","betani diwenehi pulo salawati,"
Empat Raja,Maluku,10,"dohar diberi pulau lilinta,","dohar diwenehi pulo lilinta,"
