judul,provinsi,id_teks,teks,referensi
Hancurnya Kerajaan Suwawa,Gorontalo,1,"di suatu kerajaan, terdapat dua putra mahkota, yaitu putra mooduto dan pulumoduyo. para pembesar negeri tidak bisa menentukan siapa di antara keduanya yang pantas menggantikan raja. untuk menentukan siapa yang lebih layak, diadakanlah pertandingan sepak takraw. namun, permainan ini bukan menggunakan bola biasa yang terbuat dari rotan, melainkan tombak.","ing sawijining karajan, ana loro putra mahkota, yaiku putra mooduto lan pulumoduyo. para pembesar nagara ora isa netepke sapa ing antarane loro kuwi sing pantes ngganteni raja. kanggo netepke sapa sing luwih pantes, dianakake pertandingan sepak takraw. nanging, dolanan iki dudu nganggo bal biasa sing digawe saka rotan, nanging tumbak."
Hancurnya Kerajaan Suwawa,Gorontalo,2,"pertandingan dipimpin oleh seorang talenga (juri) yang sudah termasyhur. setelah pertandingan berlangsung, keduanya merasa haus. masing-masing mengambil seratus batang tebu yang telah disediakan. putra pulumoduyo memakan tebu-tebu itu mulai dari pangkal hingga ujung, sementara putra mooduto memakannya dari ujung ke pangkal. sisa tebu yang tak habis dimakan diberikan kepada rakyat yang ada di tempat itu.","pertandingan dipimpin dening sawijining talenga (juri) sing wis kawentar. sawise pertandingan lumaku, loro-lorone krasa ngelak. saben-saben njupuk satus batang tebu sing wis disedhiyakake. putra pulumoduyo mangan tebu-tebu kuwi diwiwiti saka pangkal nganti pucuk, dene putra mooduto mangan saka pucuk nganti pangkal. sisane tebu sing ora entek dipangan diparingake marang rakyat sing ana ing papan kuwi."
Hancurnya Kerajaan Suwawa,Gorontalo,3,"saat penentuan pengganti raja, rakyat harus memilih siapa yang pantas berdasarkan apa yang telah dilakukan oleh keduanya. sebagian rakyat menyukai pulumoduyo karena ia memilih yang terbaik untuk dirinyaâmemakan bagian tebu yang manis dan memberikan bagian yang kurang baik kepada rakyat. sebagian lagi memilih mooduto karena ia memberikan yang terbaik kepada rakyatnya.","wektu penentuan pengganti raja, rakyat kudu milih sapa sing pantes adhedhasar apa sing wis ditindakake dening loro-lorone. sawetara rakyat seneng karo pulumoduyo merga dheweke milih sing paling apik kanggo awake dheweâmangan bagean tebu sing manis lan menehi bagean sing kurang apik marang rakyat. sawetara maneh milih mooduto merga dheweke menehi sing paling apik kanggo rakyate."
Hancurnya Kerajaan Suwawa,Gorontalo,4,"namun, bangsa iyotogia memiliki pandangan lain. mereka berpendapat bahwa jika putra pulumoduyo menjadi raja, ia akan memberikan berkat kepada rakyatnya karena setiap orang harus menyelamatkan dirinya sendiri sebelum menyelamatkan orang lain. sebaliknya, jika putra mooduto menjadi raja, mereka beranggapan bahwa ia tidak akan ikhlas memberikan sesuatu kepada rakyatnya, sebab ia menyimpan yang buruk untuk dirinya sendiri dan memberikan yang terbaik kepada orang lain. oleh sebab itu, bangsa iyotogia bersama talenga pogambango sepakat mengangkat putra pulumoduyo sebagai raja.","nanging, bangsa iyotogia nduwe panemu liyane. dheweke nganggep yen putra pulumoduyo dadi raja, dheweke bakal maringi berkah kanggo rakyate merga saben wong kudu nylametake awake dhewe dhisik sadurunge nylametake wong liya. kosok baline, yen putra mooduto dadi raja, dheweke dianggep ora bakal ikhlas menehi apa-apa marang rakyate, merga dheweke nyimpen sing ala kanggo awake dhewe lan maringi sing paling apik kanggo wong liya. mula saka kuwi, bangsa iyotogia bareng karo talenga pogambango sarujuk ngangkat putra pulumoduyo dadi raja."
Hancurnya Kerajaan Suwawa,Gorontalo,5,"atas saran talenga pogambango, rakyat suwawa dibagi menjadi dua bagian: bagian terkecil untuk keturunan putra mooduto, dan sebagian besar untuk putra pulumoduyo dan pogambango yang mengepalainya. kedua putra mahkota tidak mengeluarkan pendapat apa pun atas keputusan ini.","miturut saran talenga pogambango, rakyat suwawa dibagi dadi loro bagian: bagian paling cilik kanggo turunan putra mooduto, lan sebagian gedhe kanggo putra pulumoduyo lan pogambango sing mimpin. loro putra mahkota ora ngucapake pendapat apa-apa bab keputusan iki."
Hancurnya Kerajaan Suwawa,Gorontalo,6,"pada suatu hari, pulumoduyo pergi mengembara tanpa memberi tahu pengikutnya. rakyat iyotogia padudutiya merasa kehilangan dan merindukan pulumoduyo. beberapa di antara mereka berangkat ke muara sungai suwawa untuk mencari kabar tentang pulumoduyo. di sana, mereka mendengar bahwa pulumoduyo sedang mengembara ke sausu. mereka mencarinya sampai ke sausu, suwawa, dan kerajaan bone yang disebut bonedaa.","ing dina liya, pulumoduyo lunga ngembara tanpa ngandhani para pengikute. rakyat iyotogia padudutiya ngerasakake kangen lan kepengin nemokake pulumoduyo. sawetara saka antarane budhal menyang muara kali suwawa kanggo nggoleki kabar bab pulumoduyo. ing kono, dheweke krungu yen pulumoduyo lagi ngembara menyang sausu. dheweke nggoleki nganti tekan sausu, suwawa, lan karajan bone sing dijenengi bonedaa."
Hancurnya Kerajaan Suwawa,Gorontalo,7,"sementara itu, rakyat iyotogia padudutiya dan talenga pogambango yang sedang mencari pulumoduyo tidak mengetahui bahwa rakyat timbale panimbalo atau litawaliti telah mengangkat putra mooduto menjadi raja. ketika akhirnya mereka bertemu dengan pulumoduyo, mereka mendengar kabar penobatan mooduto sebagai raja. pulumoduyo tidak mengatakan apa-apa dan memilih diam seribu bahasa.","saknalikane kuwi, rakyat iyotogia padudutiya lan talenga pogambango sing lagi nggoleki pulumoduyo ora ngerti yen rakyat timbale panimbalo utawa litawaliti wis ngangkat putra mooduto dadi raja. nalika pungkasane padha ketemu karo pulumoduyo, dheweke krungu kabar penobatan mooduto dadi raja. pulumoduyo ora ngendika apa-apa lan milih meneng seribu basa."
Hancurnya Kerajaan Suwawa,Gorontalo,8,"pogambango merasa terhina karena mooduto tidak menunggunya saat penobatan, sehingga ia tidak senang atas hal tersebut.","pogambango kerasa dihina merga mooduto ora nunggu dheweke wektu penobatan, mula dheweke ora seneng karo prakara kuwi."
Hancurnya Kerajaan Suwawa,Gorontalo,9,"saya tidak akan menanggung hal-hal yang akan terjadi, kata pogambango dengan kesal.","âaku ora bakal tanggung jawab marang apa-apa sing bakal kelakon,â ujare pogambango kanthi nesu."
Hancurnya Kerajaan Suwawa,Gorontalo,10,"setelah beberapa bulan tinggal di suwawa, pulumoduyo belajar ilmu bela diri dan berbagai macam penggunaan senjata. ia juga terbiasa tidur tujuh hari tujuh malam, yang membantunya melupakan kelakuan adiknya. pulumoduyo yang sabar tetap tidak menyimpan dendam terhadap mooduto.","sawise sawatara wulan manggon ing suwawa, pulumoduyo sinau elmu bela dhiri lan warna-warni panggunaan senjata. dheweke uga biasa turu pitu dina pitu bengi, sing ngewangi dheweke lali marang tingkahan adhine. pulumoduyo sing sabar tetep ora nyimpen dendam marang mooduto."
