judul,provinsi,id_teks,teks,referensi
Hang Tuah Kesatrai Melayu,Riau,1,"bintan adalah sebuah pulau yang indah dan subur di perairan riau. setelah sekian lama tanpa pemimpin, kini bintan memiliki raja bernama sang maniaka. ia adalah putra pertama sang purba, raja besar yang bermahligai di bukit siguntang, palembang. kabar tentang sang maniaka menyebar dari tanjung, teluk, anak sungai, bukit, hingga pelosok tasik rantau melayu. berita ini disambut sukacita oleh masyarakat, termasuk di sungai duyung, kampung halaman hang mahmud dan dang merdu, ayah dan bunda hang tuah.","bintan iku sawijining pulo sing endah lan subur ing perairan riau. sawise suwe ora nduweni pemimpin, saiki bintan nduweni raja jenenge sang maniaka. dheweke iku putra kapisan sang purba, raja agung sing nduweni kraton ing bukit siguntang, palembang. kabar bab sang maniaka nyebar saka tanjung, teluk, anak kali, bukit, nganti pelosok tasik ing tanah melayu. warta iki disambut bungah karo masyarakat, kalebu ing sungai duyung, kampung kelairane hang mahmud lan dang merdu, bapak lan ibune hang tuah."
Hang Tuah Kesatrai Melayu,Riau,2,"pada suatu malam, hang mahmud bermimpi melihat bulan turun dari langit dan cahayanya memancar menyinari kepala hang tuah. saat terbangun, hang mahmud memeluk dan mencium putranya dengan air mata bahagia. ia merasa mimpinya adalah pertanda baik. esok harinya, hang mahmud melangir hang tuah, memandikannya dengan air bunga, memberinya pakaian putih, dan menyajikan nasi kunyit serta telur ayam. kemudian, ia mengundang para tetua untuk membacakan doa selamat.","ing sawijining wengi, hang mahmud ngimpi ndelok rembulan mudhun saka langit lan cahyane madhangi sirahe hang tuah. nalika tangi, hang mahmud nyekel lan ngambung anake karo netesake luh kabungahan. dheweke rumangsa yen impen kuwi tandha apik. esuke, hang mahmud nglangir hang tuah, adusake nganggo banyu kembang, maringi klambi putih, lan nyuguhake sega kunir karo endhog pitik. sabanjure, dheweke ngundang para sepuh kanggo ndongakke slametan."
Hang Tuah Kesatrai Melayu,Riau,3,"anak kita ini harus dipelihara dengan baik, ujar hang mahmud kepada istrinya, dang merdu. hang tuah pun dititipkan kepada guru-guru mengaji, dari guru peranakan keling hingga guru peranakan cina. selain belajar agama, hang tuah juga mempelajari berbagai bahasa, seperti melayu, keling, jawa, cina, portugis, dan lainnya.","anak kita iki kudu dirumat sing becik, ujare hang mahmud marang bojone, dang merdu. hang tuah banjur dititipke marang para guru ngaji, saka guru keturunan keling nganti guru keturunan cina. saliyane sinau agama, hang tuah uga sinau macem-macem basa, kaya basa melayu, keling, jawa, cina, portugis, lan liya-liyane."
Hang Tuah Kesatrai Melayu,Riau,4,"ketika berusia sepuluh tahun, hang tuah bersama empat sahabatnya, hang jebat, hang kasturi, hang lekir, dan hang lekiu, berlayar ke laut cina selatan. sebelum berangkat, masing-masing dibekali sebilah keris oleh orang tua mereka. dalam perjalanan, mereka diserang oleh tiga perahu lanun. namun, hang tuah tidak gentar. ia mengarahkan perahunya ke sebuah pulau untuk mengatur strategi karena perahu mereka lebih kecil dibandingkan milik para lanun.","nalika umur sepuluh taun, hang tuah bareng karo patang kancane, yaiku hang jebat, hang kasturi, hang lekir, lan hang lekiu, tindak pelayaran menyang laut cina kidul. sadurunge mangkat, saben-sabene diwenehi sebilah keris saka wong tuwane. sajeroning perjalanan, wong-wong kuwi diserang dening telung prau bajak laut. nanging, hang tuah ora wedi. dheweke ngarahke prau menyang sawijining pulo kanggo nyusun strategi merga prau-wong-wonge luwih cilik tinimbang bajak laut kuwi."
Hang Tuah Kesatrai Melayu,Riau,5,"setelah sampai di pulau, pertempuran sengit terjadi. hai, budak-budak degil lebih baik menyerah supaya tidak kami bunuh teriak salah satu lanun. cih kalianlah yang harus tunduk kepada kami jawab hang tuah. dengan tempuling, seligi, dan sumpitan, mereka berhasil mengalahkan banyak lanun hingga tersisa sepuluh orang yang melarikan diri.","sawise tekan pulo, pertempuran sengit kelakon. heh, bocah-bocah ndhableg luwih becik nyerah supaya ora tak pateni bengok salah siji bajak laut. cih kowe-kowe kuwi sing kudu nyungkem marang aku wangsule hang tuah. kanthi tempuling, seligi, lan sumpitan, wong-wong kuwi bisa ngalahke akeh bajak laut nganti mung kari sepuluh wong sing mlayu."
Hang Tuah Kesatrai Melayu,Riau,6,"hang tuah dan teman-temannya membawa para lanun yang terluka ke singapura. namun, di tengah perjalanan, mereka kembali diserang oleh lanun yang sempat melarikan diri. untungnya, tujuh perahu batin singapura melintas dan membantu mengusir para lanun.","hang tuah lan kancane nggawa para bajak laut sing tatu menyang singapura. nanging, ing tengah dalan, wong-wong kuwi diserang maneh karo bajak laut sing wis mlayu kuwi. untunge, pitu prau saka batin singapura liwat lan nulungi ngusir bajak laut mau."
Hang Tuah Kesatrai Melayu,Riau,7,"keberanian hang tuah dan sahabat-sahabatnya diceritakan oleh batin singapura kepada bendahara paduka raja bintan. sang bendahara kagum dan berniat memanggil anak-anak tersebut suatu hari nanti. setelah pertempuran itu, hang tuah dan teman-temannya berguru kepada seorang pertapa bernama aria putra, yang memiliki dua saudara: sang persata nala, seorang pertapa di gunung wirana pura, dan raden aria sena, pegawai kerajaan majapahit.","kawani hang tuah lan para kancane diceritakake dening batin singapura marang bendahara paduka raja bintan. sang bendahara kagum lan nduwe niat kanggo nyeluk bocah-bocah kuwi ing dina mengko. sawise pertempuran kuwi, hang tuah lan kancane ngangsu kawruh marang sawijining pertapa jenenge aria putra, sing nduweni rong sedulur: sang persata nala, sawijining pertapa ing gunung wirana pura, lan raden aria sena, pegawe kerajaan majapahit."
Hang Tuah Kesatrai Melayu,Riau,8,"sekembalinya dari berguru, hang tuah menunjukkan keberanian dengan mengalahkan seorang pengamuk di desanya. dengan kapak di tangannya, ia bertarung dengan gagah berani hingga berhasil mengalahkan si pengamuk. orang-orang kampung terkagum-kagum melihat kehebatannya. kelak anak ini akan menjadi hulubalang besar di tanah melayu, kata seorang penduduk.","sawise mulih saka ngangsu kawruh, hang tuah nuduhke kawani kanthi ngalahke sawijining pengamuk ing desane. kanthi kapak ing tangane, dheweke gelut kanthi gagah nganti bisa ngalahke pengamuk kuwi. wong-wong desa padha kagum ndelok kaprigelane. mbesuk bocah iki bakal dadi hulubalang gedhe ing tanah melayu, ujare salah siji warga."
Hang Tuah Kesatrai Melayu,Riau,9,"beberapa hari kemudian, hang tuah dan sahabat-sahabatnya kembali menunjukkan keberanian dengan mengalahkan empat pengamuk yang hendak menyerang bendahara paduka raja bintan. bendahara sangat kagum dan mengangkat mereka sebagai anaknya. kisah ini sampai ke raja bintan, baginda raja syah alam, yang juga mengangkat kelima pemuda tersebut sebagai anak angkatnya. baginda menghadiahkan sebilah keris elok kepada hang tuah sebagai tanda penghargaan.","sawijining dina sawise kuwi, hang tuah lan para kancane maneh nuduhke kawani kanthi ngalahke papat pengamuk sing arep nyerang bendahara paduka raja bintan. sang bendahara banget kagum lan ngangkat wong-wong mau dadi anake. crita iki tekan ing raja bintan, baginda raja syah alam, sing uga ngangkat lima nom-noman kuwi dadi anak angkate. baginda maringi sebilah keris endah marang hang tuah minangka tandha pangaji-aji."
Hang Tuah Kesatrai Melayu,Riau,10,"hang tuah dan sahabat-sahabatnya kemudian menemani raja syah alam dalam berbagai petualangan, termasuk saat mencari lokasi baru untuk pusat kerajaan di pulau ledang, yang kemudian dikenal sebagai melaka. di sana, mereka menemukan pohon melaka, yang menjadi asal-usul nama negeri tersebut. baginda raja syah alam lalu memerintahkan pembangunan negeri baru di sana.","hang tuah lan para kancane banjur ngetutke raja syah alam ing pirang-pirang petualangan, kalebu nalika nggoleki panggonan anyar kanggo pusat kerajaan ing pulo ledang, sing banjur dikenal dadi melaka. ing kono, wong-wong kuwi nemokake wit melaka, sing dadi asal-usul jeneng nagara kuwi. baginda raja syah alam banjur marentahake pembangunan nagara anyar ing kono."
