judul,provinsi,id_teks,teks,referensi
Hulubalang Tengkorak Batu,Bengkulu,1,"pada zaman dahulu, di negeri jambi, hiduplah seorang raja yang bijaksana dan dicintai rakyatnya. baginda memerintah dengan adil dan dibantu oleh para hulubalang gagah berani untuk menjaga negeri dari ancaman musuh.","ing jaman mbiyen, ing nagara jambi, urip ana sawijining raja sing wicaksana lan disenengi rakyate. baginda mrentah kanthi adil lan dibantu dening para hulubalang gagah wani kanggo njaga nagara saka ancaman mungsuh."
Hulubalang Tengkorak Batu,Bengkulu,2,"raja telah lama mendengar kabar tentang kecantikan puteri dayang lais, seorang gadis desa dari hulu sungai bulian. puteri itu tinggal bersama dua saudara laki-lakinya, serempak dan si ceren, yang berlaku sebagai pelindungnya setelah kedua orang tua mereka meninggal dunia. puteri dayang lais terkenal dengan parasnya yang elok, sementara kedua kakaknya ditakuti karena keberanian dan kekuatan mereka.","raja wis suwe krungu kabar bab kaendahane puteri dayang lais, sawijining cah wadon desa saka hulu kali bulian. puteri kuwi manggon bareng karo loro sedulur lanange, serempak lan si ceren, sing dadi pelindunge sawise wong tuwane seda. puteri dayang lais misuwur amarga rupae sing ayu, dene loro kakange ditokni amarga wani lan kuate."
Hulubalang Tengkorak Batu,Bengkulu,3,"raja sangat ingin memperistri puteri dayang lais. namun, raja tahu bahwa mendekati puteri itu bukan perkara mudah, mengingat kedua kakaknya yang tangguh. raja mengutus tujuh orang hulubalang untuk meminangnya. sayangnya, para hulubalang ini gagal menghadapi serempak dan si ceren. beberapa kali raja mencoba mengirim utusan, namun hasilnya tetap sama. akhirnya, raja memendam hasratnya untuk sementara waktu.","raja kepengin banget ndadeake puteri dayang lais dadi bojone. nanging, raja ngerti yen nyedhaki puteri kuwi dudu perkara gampang, eling loro kakange sing gagah kuwi. raja ngutus pitu hulubalang kanggo ngelamar. sayange, para hulubalang kuwi gagal ngadhepi serempak lan si ceren. kapindho kaping raja nyoba ngirim utusan, nanging asile tetep padha. akhire, raja nyimpen karepe dhewe sakwektune."
Hulubalang Tengkorak Batu,Bengkulu,4,"suatu hari, raja mengingat seorang hulubalang yang terkenal sakti dan dijuluki hulubalang tengkorak batu. meski hidup menyendiri di desa rengas condong, nama hulubalang ini sudah masyhur di seluruh kerajaan jambi. raja memanggil tengkorak batu dan memintanya untuk meminang puteri dayang lais. dengan kepiawaian dan keahliannya, hulubalang ini menyanggupi tugas tersebut.","ing salah sawijining dina, raja eling marang sawijining hulubalang sing misuwur sakti lan dijuluki hulubalang tengkorak batu. senajan urip dhewe neng desa rengas condong, jeneng hulubalang kuwi wis misuwur ing sak nagara jambi. raja ngundang tengkorak batu lan njaluk tulung supaya nglamar puteri dayang lais. kanthi kaprigelan lan kaahliane, hulubalang kuwi nyanggupi tugas kuwi."
Hulubalang Tengkorak Batu,Bengkulu,5,"ketika sampai di desa puteri dayang lais, tengkorak batu mendapati kedua kakak puteri dayang lais sedang pergi jauh. hulubalang itu langsung menyampaikan maksudnya. awalnya, puteri dayang lais menolak karena takut dimarahi oleh kakaknya. namun, berkat kepintaran bujuk rayu tengkorak batu, ia akhirnya setuju. sebelum pergi, puteri dayang lais mengikuti pesan kakaknya: ia menebarkan sobekan kain cindai dan biji asam jawa di sepanjang perjalanan agar kakaknya bisa melacak ke mana ia dibawa.","nalika tekan neng desa puteri dayang lais, tengkorak batu ndelok loro kakange puteri dayang lais lunga adoh. hulubalang kuwi langsung nyampekke maksude. awale, puteri dayang lais nolak amarga wedi dimarahi kakange. nanging, amarga pintere bujuk rayu tengkorak batu, dheweke pungkasane gelem. sakdurunge lunga, puteri dayang lais manut pesen saka kakange: dheweke nyebar sobekan kain cindai lan wiji asem jawa ing sepanjang dalan supaya kakange isa ngelacak menyang endi dheweke digawa."
Hulubalang Tengkorak Batu,Bengkulu,6,"sesampainya di jambi, puteri dayang lais diserahkan kepada raja. tidak lama kemudian, raja menikahinya, dan puteri dayang lais tinggal di istana.","sawise tekan jambi, puteri dayang lais diserahke marang raja. ora suwe sawise kuwi, raja nikahi dheweke, lan puteri dayang lais manggon ing karajan."
Hulubalang Tengkorak Batu,Bengkulu,7,"ketika serempak dan si ceren kembali dari perjalanan, mereka mendapati adik tercinta mereka hilang. mereka segera memutuskan untuk mencarinya. di sepanjang jalan, mereka menemukan pohon-pohon asam jawa yang tumbuh dari biji yang ditebar dan sobekan kain cindai sebagai penanda jalan. jejak ini membawa mereka ke rumah hulubalang tengkorak batu.","nalika serempak lan si ceren bali saka lelampahan, wong loro kuwi ndelok yen adhi sing dikasihi kuwi ilang. wong loro kuwi langsung mutusake kanggo nggoleki. ing sepanjang dalan, wong loro kuwi nemu wit-witan asem jawa sing tuwuh saka wiji sing disebar lan sobekan kain cindai minangka tandha dalan. jejak kuwi nggawa wong loro kuwi menyang omahe hulubalang tengkorak batu."
Hulubalang Tengkorak Batu,Bengkulu,8,"kedua saudara itu langsung menyerang tengkorak batu tanpa bertanya. namun, hulubalang sakti itu berhasil menangkis serangan mereka. setelah itu, ia mempersilakan mereka masuk ke rumah dan menceritakan kejadian sebenarnya. hulubalang tengkorak batu menjelaskan bahwa ia hanya menjalankan perintah raja dan membawa puteri dayang lais ke istana.","loro sedulur kuwi langsung nyerang tengkorak batu tanpa takon dhisik. nanging, hulubalang sakti kuwi isa ngelakoni serangane. sawise kuwi, dheweke nyuwun supaya wong loro kuwi mlebu omah lan nyritakake kedadeyan sing saktenane. hulubalang tengkorak batu nerangke yen dheweke mung nindakake printah raja lan nggawa puteri dayang lais menyang kraton."
Hulubalang Tengkorak Batu,Bengkulu,9,"serempak dan si ceren memutuskan untuk menemui raja. tengkorak batu mengantarkan mereka ke istana. setibanya di sana, mereka menyampaikan niat untuk membawa adik mereka kembali. raja mengizinkan dengan satu syarat: jika puteri dayang lais melahirkan anak perempuan, ia boleh tinggal bersama ibunya. namun, jika ia melahirkan anak laki-laki, anak itu harus dikembalikan ke jambi.","serempak lan si ceren mutusake kanggo nemoni raja. tengkorak batu ngancani wong loro kuwi menyang kraton. sakwise tekan kono, wong loro kuwi ngandhakake niyat kanggo nggawa bali adhine. raja ngidinake kanthi siji syarat: yen puteri dayang lais nglairake anak wadon, isa manggon bareng ibune. nanging, yen ngelairake anak lanang, anak kuwi kudu bali maneh menyang jambi."
Hulubalang Tengkorak Batu,Bengkulu,10,"puteri dayang lais melahirkan seorang anak laki-laki. ketika anak itu berusia tujuh tahun, serempak dan si ceren membawanya ke istana. raja menguji anak tersebut dengan teka-teki untuk memastikan bahwa ia adalah darah dagingnya. anak itu menjawab dengan tepat, dan raja menerimanya dengan penuh kebanggaan.","puteri dayang lais ngelairake sawijining anak lanang. nalika anak kuwi umur pitu taun, serempak lan si ceren nggawa menyang kraton. raja nguji anak kuwi nganggo teka-teki kanggo mastiake yen dheweke kuwi darah daginge. anak kuwi isa njawab kanthi bener, lan raja nampa kuwi kanthi kebanggaan."
