judul,provinsi,id_teks,teks,referensi
Ine Ude,Nusa Tenggara Barat,1,"di pinggir sebuah kampung terdapat sebuah keluarga yang hidup sangat sederhana. rumah mereka seperti kebanyakan rumah orang lain di sana, yaitu rumah belah bubung yang memiliki lima anak tangga. bila dilihat sepintas, kehidupan mereka terlihat seperti orang yang selalu dalam keadaan senang. isterinya sangat bijak pandai bergaul, tidak pernah berkerut kening, dan selalu manis mulutnya apabila berbicara. semua orang di kampung itu suka padanya. anaknya tidak banyak, hanya satu orang saja, namanya siti sara.","ing pinggir kampung ana kulawarga sing uripe prasaja banget. omahe kaya omahe wong-wong liya ing kono, omah belah bubung sing nduwe lima anak tangga. yen dipandang sakilas, uripe kaya wong sing tansah seneng. bojone pinter lan gampang gaul, ora tau ngerut dahi, lan tansah alus nalika ngomong. kabeh wong ing kampung kuwi seneng marang bojone. anake ora akeh, mung siji, arane siti sara."
Ine Ude,Nusa Tenggara Barat,2,"siti sara sangat rajin. meskipun ia anak tunggal dan selalu dimanjakan oleh ibunya, ia tidak pernah tinggal diam. apa yang dikerjakan oleh ibunya, itu pula yang dikerjakannya. usianya 14 tahun. di musim tidak ke sawah, pekerjaannya ialah menganyam tikar. banyak sudah tikar yang telah dianyamnya. tikar yang telah selesai dianyamnya disimpan oleh ibunya dengan baik, sedangkan yang dipakai sehari-hari adalah tikar yang dianyam oleh ibunya. sehingga, tikar telah banyak digantungkan. semua orang di kampung itu memuji siti sara. ada yang mengatakan dia rajin, yang lain mengatakan ia cekatan. hingga semua orang sangat senang kepadanya.","siti sara pancen rajin. senajan dadi anak tunggal lan kerep dimanjakake ibune, dheweke ora tau nganggur. apa sing digawe ibune, kuwi sing ditiru dening siti sara. umure 14 taun. ing mangsa ora menyang sawah, gaweane nganyam tikar. wis akeh tikar sing wis dianyame. tikar sing wis rampung dianyam disimpen ibune kanthi apik, dene sing dienggo saben dina ya tikar sing dianyam ibune. mula saka kuwi, tikar wis akeh digantungi. kabeh wong neng kampung padha muji siti sara. ana sing ngomong dheweke rajin, ana sing ngomong cekatan. mula saka kuwi, kabeh wong seneng karo dheweke."
Ine Ude,Nusa Tenggara Barat,3,"suatu saat, siti sara mendapat sanjungan orang karena rajinnya. kebetulan, ibunya mulai sakit-sakitan dan semakin lama semakin payah. suatu malam, siti sara dipanggil oleh ibunya.","suwe-suwe, siti sara oleh pujian wong-wong amarga rajine. kebeneran, ibune wiwit lara-lara lan saya parah. sak wengi, ibune nelpon siti sara."
Ine Ude,Nusa Tenggara Barat,4,"dekatlah engkau kemari, ada sesuatu yang hendak ibu katakan kepadamu, kata ibunya.","nyandhak ngene, aku arep kandha karo kowe, ibune kandha."
Ine Ude,Nusa Tenggara Barat,5,siti sara pun datang dan duduk di sebelah kanan ibunya. kemudian ibunya berpesan dalam keadaan suara terputus-putus.,siti sara teka lan lungguh ing sisih tengen ibune. banjur ibune ngandhani nganggo swara sing koyok putus-putus.
Ine Ude,Nusa Tenggara Barat,6,"pesan ibu padamu, anakku, agar nanti engkau mengikuti apa yang dikatakan ayahmu. jangan biarkan hatinya susah, berbuat baiklah engkau kepada ayahmu.","pesanku, anakku, menawa bapakmu kandha, manut lan aja nganti nggawe atine susah. gawe becik marang bapakmu."
Ine Ude,Nusa Tenggara Barat,7,"nasehat ibunya tidak dapat dijawab dengan kata-kata, hanya dengan menganggukkan kepala, karena setelah itu air matanya terus berjatuhan. tak lama kemudian, ibunya pun menghembuskan napasnya yang terakhir. siti sara menangis terseduh-seduh, terutama melihat ibunya diusung orang ke kuburan. siti sara terus menerus menangis, bahkan sampai hari keempat puluh empat setelah ibunya dikuburkan, ia masih menangis. kini matanya sudah bengkak, dan tubuhnya menjadi kurus.","pitulungan ibune ora bisa dibales nganggo tembung, mung mungguh lan nangis terus. ora suwe, ibune nglepas napas pungkasane. siti sara nangis kenceng, luwih-luwih nalika ndeleng ibune digawa menyang kuburan. siti sara terus nangis, nganti tekan dina kaping patang puluh patang sawise ibune dimakamake, isih nangis. mata wis bengkak, awake dadi kurus."
Ine Ude,Nusa Tenggara Barat,8,"ayahnya berkata, janganlah engkau menangis lagi, anakku. banyak sudah air matamu engkau cucurkan. ibumu sudah kembali kepada tuhan. jangan engkau selalu teringat kepadanya. umurnya hanya sampai di situ saja.","bapake kandha, aja nangis maneh, anakku. wis akeh toyo sing wis kokbuang. ibukmu wis bali marang gusti allah. aja terus-terusan ngeling-eling ibukmu. umure mung nganti kene."
Ine Ude,Nusa Tenggara Barat,9,"melihat anaknya selalu termenung, ayahnya mengadakan pesta kenduri untuk mendiang ibunya. banyak orang menghadiri kenduri tersebut, kata ayahnya, supaya siti sara sedikit terhibur. memang ada benarnya, karena setelah selesainya upacara kenduri itu, ia mulai mau tertawa dan bermain seperti sedia kala.","ndeleng anake tansah melamun, bapake nganakake kenduri kanggo mendiang ibune. akeh wong teka neng kenduri kuwi, miturut bapake, supaya siti sara luwih seneng. tenan wae, sakwise kenduri rampung, dheweke wiwit mesem lan dolanan kaya biyasane."
Ine Ude,Nusa Tenggara Barat,10,"sudah lebih dari satu tahun ibunya meninggal dunia, ayahnya bermaksud ingin menikah lagi untuk menggantikan ibu siti sara yang telah meninggal dunia. akhirnya, ayah siti sara berumah tangga lagi dengan seorang janda yang kampungnya tidak begitu jauh dari rumahnya. janda itu mempunyai seorang anak yang masih kecil.","wis luwih saka setaun ibune tilar donya, bapake kepengin nikah maneh kanggo ngganti ibune siti sara sing wis ora ana. akhire, bapake siti sara omah-omah maneh karo janda sing omahe ora adoh saka kono. janda kuwi nduwe anak cilik."
