judul,provinsi,id_teks,teks,referensi
Inem Maskerning,Jawa Tengah,1,"di sebuah kampung, tinggal sebuah keluarga yang bernama inem maskerning. kampung tempat keluarga inem maskerning tinggal sangat ramai. penduduk di sana terutama bekerja di sawah, meskipun ada sebagian yang berkebun, namun jumlahnya tidak banyak. setiap pekerjaan di kampung selalu dikerjakan bersama-sama secara gotong royong. jika hari ini mereka mengerjakan sawah pak amat, besoknya mereka akan mengerjakan sawah pak hasan. mereka sudah terbiasa bekerja bersama-sama ke sana kemari.","ing sawijining desa, ana siji kulawarga arane inem maskerning. desa panggone kulawarga inem maskerning iku rame banget. warga ing kono umume makarya ing sawah, senajan ana sing nandur kebon, nanging jumlahe ora akeh. saben gawe ing desa padha dilakoni bebarengan kanthi gotong royong. yen dina iki padha nggarap sawahe pak amat, sesuke padha nggarap sawahe pak hasan. wong-wong wis biasa makarya bareng-bareng menyang endi-endi."
Inem Maskerning,Jawa Tengah,2,"inem maskerning telah lama berumah tangga, lebih dari tujuh tahun. barulah pada tahun kedelapan, inem maskerning dikaruniai seorang anak yang diberi nama maskerning. karena sudah lama tidak memiliki anak, inem maskerning memiliki banyak kesempatan untuk ikut serta dalam semua kegiatan di kampung. jika suatu waktu ia tidak ikut, penduduk kampung merasa ada kekurangan dan merasa tidak enak.","inem maskerning wis suwe omah-omah, luwih saka pitung taun. bar mung ing taun kaping wolu, inem maskerning dikaruniai anak siji sing dijenengi maskerning. amarga wis suwe ora nduwe anak, inem maskerning nduwe akeh kesempatan kanggo melu kabeh kegiyatan ing desa. yen kapan wae ora melu, warga desa krasa ana sing kurang lan krasa ora enak."
Inem Maskerning,Jawa Tengah,3,"kehidupan inem maskerning bisa dikatakan cukup. namun, jika ada yang kekurangan, mereka bisa saling meminjam. pada suatu waktu, penduduk kampung bermusyawarah mengenai kondisi kampung yang semakin padat, dan sawah yang ada sudah tidak mampu lagi memenuhi kebutuhan mereka. dalam musyawarah itu, mereka sepakat untuk mencari tempat baru yang bisa dijadikan perkebunan. mereka berharap, dengan adanya perkebunan baru, kehidupan mereka akan lebih baik.","uripe inem maskerning bisa diarani cukup. nanging yen ana sing kurang, padha bisa pinjam-pinjam. ing sawijining wektu, warga desa padha rembugan bab kahanan desa sing saya padhet, lan sawah sing ana ora bisa nyukupi kabutuhan. ing rembugan iku padha sarujuk golek panggonan anyar kanggo dadi kebon. padha ngarep-arep, yen ana kebon anyar, uripe bakal luwih becik."
Inem Maskerning,Jawa Tengah,4,"akhirnya, penghulu uten menentukan hari yang baik untuk menebang kayu. sebagian besar penduduk kampung pindah untuk mencari perkebunan baru, hanya tersisa sebagian kecil yang tetap tinggal. inem maskerning yang sudah terbiasa bergaul dengan orang banyak merasa sedih ketika kampung itu menjadi sepi. ia berkata kepada suaminya, marilah kita ikut mencari ladang baru, mengikuti orang-orang yang sudah pergi mencari perladangan. kampung ini terasa sunyi, hati saya tidak betah lagi di sini.","akhire, penghulu uten netepake dina sing becik kanggo ngethok wit. mayoritas warga desa pindhah golek kebon anyar, mung tinggal sak cilik sing tetep ana ing desa. inem maskerning sing wis biasa sesrawungan karo wong akeh dadi sedhih nalika desa dadi sepi. dheweke kandha karo bojone, ayo padha melu golek kebon anyar, melu wong-wong sing wis lunga. desa iki ra rame, atiku ora betah maneh nang kene."
Inem Maskerning,Jawa Tengah,5,"suaminya menjawab, untuk apa kita pergi menebang hutan anak kita hanya seorang, jika hanya untuk kehidupan kita, cukup dari sawah yang sudah ada. sebenarnya, aman maskerning merasa enggan pergi jauh karena harta yang sudah ada pun cukup.","bojone mangsuli, kanggo apa kita lunga ngethok alas anak kita mung siji, yen mung kanggo urip kita, cukup saka sawah sing wis ana. sanyatane, aman maskerning ora kepengin lunga adoh merga duwite uga cukup."
Inem Maskerning,Jawa Tengah,6,"beberapa tahun kemudian, keadaan kampung berubah menjadi susah. tanaman di sawah gagal, hama dan musim kemarau merusak hasil pertanian. semua penduduk kampung merasa gelisah. pada suatu hari, inem maskerning diajak melihat perladangan yang sudah ditebang dan berhasil tumbuh subur. setelah melihatnya, inem maskerning merasa tertarik dan berkata dalam hati, bilakah saya bisa memiliki ladang seperti ini seandainya dulu aman maskerning mau mengikuti orang-orang itu, pasti sudah seperti ini.","sawise pirang-pirang taun, kahanan desa dadi angel. tanduran ing sawah gagal, ana hama lan musim kemarau ngrusak hasil tani. kabeh warga desa padha gelisah. ing sawijining dina, inem maskerning diajak ndelok kebon anyar sing wis ditebang lan tuwuh subur. sawise ndelok, inem maskerning dadi kepengin lan kandha ing atine, kapan aku isa nduwe kebon kaya iki yen bojoku melu wong-wong kuwi biyen, mesthi wis kaya ngene iki."
Inem Maskerning,Jawa Tengah,7,"setelah dua malam di ladang baru itu, inem maskerning pulang ke kampung dan menceritakan kepada suaminya tentang apa yang dilihatnya. kehidupan di ladang baru sangat subur dan makmur. inem maskerning mengajak suaminya untuk membuat ladang di sana. namun, aman maskerning masih enggan dan merasa ragu. mengapa harus jauh-jauh berladang di sana mungkin tahun depan sawah kita sudah jadi, jawabnya.","sawise rong bengi ing kebon anyar kuwi, inem maskerning bali menyang desa lan crita marang bojone babagan apa sing dideloke. urip ing kebon anyar subur lan makmur. inem maskerning ngajak bojone kanggo nggawe kebon ing kono. nanging, aman maskerning isih ora gelem lan ragu-ragu. ngopo kudu adoh-adoh berladang ing kono mbok menawa taun ngarep sawah kita wis mari, jawabe."
Inem Maskerning,Jawa Tengah,8,"inem maskerning tetap bersikeras, kita harus berusaha seperti orang lain. kalau tidak, kita akan semakin susah. ayo, mari kita mengikuti jejak mereka. akhirnya mereka sepakat untuk pergi membuka ladang baru.","inem maskerning tetep keukeuh, kita kudu usaha kaya wong liya. yen ora, kita bakal tambah angel. ayo melu jejak wong-wong kuwi. akhire padha sarujuk lunga mbukak kebon anyar."
Inem Maskerning,Jawa Tengah,9,"sebelum berangkat, mereka pamit kepada orang tua di kampung dan mendapat nasehat agar mereka bekerja dengan rajin dan sabar. mereka membawa peralatan pertanian dan berangkat ke hutan yang akan dijadikan ladang. sesampainya di sana, mereka memulai pekerjaan dengan penuh usaha, meskipun awalnya terasa berat.","sadurunge mangkat, padha ngaturake pamit marang wong tuwa ing desa lan nampa pitutur supaya padha kerja keras lan sabar. dheweke nggawa piranti tani lan lunga menyang alas sing arep dijadikan kebon. wis tekan kono, padha miwiti gawe kanthi semangat, senajan wiwitane abot."
Inem Maskerning,Jawa Tengah,10,"namun, beberapa bulan kemudian, setelah berusaha membuka ladang, tanaman mereka tidak tumbuh dengan baik. setiap kali tanamannya mulai berbunga dan berbuah, semuanya hilang dalam semalam. setiap musim tanam, tanaman selalu gagal.","nanging, sawise pirang-pirang sasi nyoba mbukak kebon, tandurane ora apik tuwuhe. saben taneman wiwit kembang lan woh, kabeh ilang ing bengi wae. saben musim tanam, tandurane gagal."
Inem Maskerning,Jawa Tengah,11,"suatu waktu, inem maskerning bermimpi didatangi seorang tua yang memberinya petunjuk. dalam mimpinya, orang tua itu mengatakan bahwa ada orang hutan yang merusak tanaman mereka karena ingin menjadikan inem maskerning sebagai istrinya. orang hutan itu tinggal di hutan yang dekat dengan ladang mereka.","ing sawijining wektu, inem maskerning ngimpi didatangi wong tuwa sing maringi petunjuk. ing impene, wong tuwa kuwi kandha yen ana wong alas sing ngrusak tandurane merga pengin njupuk inem maskerning dadi bojone. wong alas kuwi manggon ing alas cedhak kebone."
Inem Maskerning,Jawa Tengah,12,"dengan petunjuk tersebut, inem maskerning dan suaminya pergi ke penghulu uten. penghulu uten memberikan solusi agar mereka menghadap orang hutan itu dengan cara tertentu untuk melawan perusakan tanaman mereka. inem maskerning mengikuti petunjuk itu dengan harapan hidup mereka bisa lebih baik lagi.","miturut petunjuk kuwi, inem maskerning lan bojone menyang penghulu uten. penghulu uten maringi solusi supaya padha ngadhepi wong alas kuwi nganggo cara tartamtu kanggo nglawan rusaking tandurane. inem maskerning ngetutke petunjuk kuwi kanthi pangajab uripe bakal luwih becik."
