judul,provinsi,id_teks,teks,referensi
Jibau Malang,Sumatera Utara,1,"pada zaman dahulu kala, di daerah hamparan peran, hiduplah seorang syekh panjang janggut yang telah lanjut usia. ia memiliki seorang anak bernama datuk kejuruan, yang telah berumah tangga selama lebih dari 30 tahun, tetapi belum juga dikaruniai keturunan.","ing jaman mbiyen, nang daerah hamparan peran, urip sawijining wong sepuh jenenge syekh panjang janggut. dheweke wis tuwa banget. dheweke nduwe anak jenenge datuk kejuruan, sing wis omah-omah luwih saka 30 taun, nanging durung oleh keturunan."
Jibau Malang,Sumatera Utara,2,"hal serupa dialami oleh datuk malim panjang, sahabat karib datuk kejuruan sejak kecil, yang tinggal di daerah rantau panjang. ia juga telah menikah selama 30 tahun, tetapi belum memiliki anak.","kahanan sing padha dialami datuk malim panjang, kancane datuk kejuruan wiwit cilik, sing manggon nang daerah rantau panjang. dheweke uga wis omah-omah 30 taun, nanging durung nduweni anak."
Jibau Malang,Sumatera Utara,3,"suatu hari, kedua sahabat itu berbincang mengenai nasib mereka yang belum juga dikaruniai keturunan.","siji dina, loro kanca kuwi rembugan bab nasibe sing durung oleh keturunan."
Jibau Malang,Sumatera Utara,4,"jika suatu hari nanti tuhan yang maha esa menganugerahkan anak kepada kita, dan jika anakku laki-laki sementara anakmu perempuanâatau sebaliknyaâmaka sejak lahirnya mereka, kita niatkan dan kita ikat dalam pertunangan. saat mereka dewasa, kita akan menikahkan mereka. mudah-mudahan tuhan mengabulkan doa kita, ujar datuk kejuruan.","yen mengko gusti allah paring anak marang awake dhewe, lan yen anakku lanang lan anakmu wadonâutawa kosok balineâmula saka laire anak-anak kuwi, ayo langsung diniati lan diiket pertunangane. yen wis diwasa, bakal tak nikahke. muga-muga gusti ngabulke panyuwunan kita, ujare datuk kejuruan."
Jibau Malang,Sumatera Utara,5,"tak disangka, 40 hari setelah percakapan itu, kedua istri mereka menunjukkan tanda-tanda kehamilan.","ora dikira, 40 dina sawise rembugan kuwi, loro bojone nuduhke tandha-tandha ngandhut."
Jibau Malang,Sumatera Utara,6,"setelah sembilan bulan sembilan hari, istri datuk kejuruan melahirkan anak kembar laki-laki yang diberi nama si jibau (si sulung) dan si nogong (si bungsu). karena sangat bahagia, datuk kejuruan segera mengutus amat lincah, orang kepercayaannya, untuk menyampaikan kabar gembira ini kepada datuk malim panjang.","sawise sangang sasi sangang dina, bojone datuk kejuruan nglairke anak kembar lanang sing dijenengi si jibau (sing mbarep) lan si nogong (sing ragil). merga bungah banget, datuk kejuruan banjur ngutus amat lincah, wong kepercayaane, kanggo nyampekke kabar bungah iki marang datuk malim panjang."
Jibau Malang,Sumatera Utara,7,"ketika amat lincah tiba di rumah datuk malim panjang, ia dikejutkan oleh kabar bahwa istri datuk malim panjang juga baru saja melahirkan seorang putri yang diberi nama siti ensah.","nalika amat lincah tekan omahe datuk malim panjang, dheweke kaget karo kabar yen bojone datuk malim panjang uga anyar wae nglairke anak wadon sing dijenengi siti ensah."
Jibau Malang,Sumatera Utara,8,"sesuai dengan janji mereka, lampin bayi dari masing-masing keluarga dipertukarkan sebagai tanda pertunangan sejak lahir.","sesuai karo janjine, lampin bayi saka saben keluarga dituker minangka tandha pertunangan wiwit lair."
Jibau Malang,Sumatera Utara,9,"tahun demi tahun berlalu, si jibau, si nogong, dan siti ensah tumbuh dewasa. namun, pada suatu hari, datuk kejuruan dan datuk malim panjang meninggal dunia, meninggalkan istri mereka beserta ketiga anak yang telah beranjak dewasa.","tahun-tahun liwati, si jibau, si nogong, lan siti ensah dadi gedhe. nanging, ing siji dina, datuk kejuruan lan datuk malim panjang tilar donya, ninggalake bojone lan ketiga anake sing wis gedhe."
Jibau Malang,Sumatera Utara,10,"suatu hari, ibu si jibau dan si nogong memanggil kedua anaknya dan berkata,","siji dina, ibune si jibau lan si nogong ngundang loro anake lan kandha,"
Jibau Malang,Sumatera Utara,11,"jibau, anakku, engkau telah cukup dewasa. pergilah menjenguk tunanganmu, siti ensah. sejak lahir, ayahmu dan ayahnya telah menjodohkan kalian, dan lampin kalian telah dipertukarkan sebagai tanda ikatan itu. dialah yang akan menjadi istrimu.","jibau, anakku, kowe wis cukup gedhe. ayo lungo nyambangi tunanganmu, siti ensah. saka laire, bapakmu lan bapake wis jodohke kowe loro, lan lampinmu wis dituker minangka tandha ikatan kuwi. dheweke bakal dadi bojomu."
Jibau Malang,Sumatera Utara,12,"si jibau pun bertanya,","si jibau banjur takon,"
Jibau Malang,Sumatera Utara,13,"di mana aku dapat menemui tunanganku, bunda bagaimana aku mengenali rumahnya","nang endi aku isa nemokke tunanganku, bunda piye carane aku ngerti omahe"
Jibau Malang,Sumatera Utara,14,"ibunya menjawab,","ibune mangsuli,"
Jibau Malang,Sumatera Utara,15,"pergilah ke rantau panjang. jika engkau melihat air sungai mengalir ke hulu dan pepohonan tunduk sujud, itulah tandanya bahwa engkau telah sampai di rumah siti ensah.","lungaa menyang rantau panjang. yen kowe weruh banyu kali mili munggah lan wit-witan padha sujud, kuwi tandane kowe wis tekan omahe siti ensah."
Jibau Malang,Sumatera Utara,16,"sementara itu, si nogong memilih untuk bertapa sebelum mencari pasangan hidupnya.","ing wektu kuwi, si nogong milih kanggo bertapa sadurunge golek jodho."
Jibau Malang,Sumatera Utara,17,"bunda, sebelum aku memikirkan jodoh, izinkan aku bertapa selama 40 hari di bukit timbunan tulang. setelah itu, barulah aku akan memikirkan masa depanku.","bunda, sadurunge aku mikir jodho, wenehna aku ijin kanggo bertapa 40 dina nang bukit timbunan tulang. sawise kuwi, aku bakal mikir masa depanku."
Jibau Malang,Sumatera Utara,18,ibunya mengizinkan dengan pesan agar ia berhati-hati.,ibune maringi ijin karo pesen supaya ati-ati.
Jibau Malang,Sumatera Utara,19,"sebelum berangkat, si jibau merasa firasat buruk. ia pun memberi tanda kepada adiknya,","sadurung budhal, si jibau krasa nduweni firasat ala. dheweke banjur maringi tandha marang adhine,"
Jibau Malang,Sumatera Utara,20,"jika suatu hari bahaya besar menimpaku, maka tandanya adalah petir akan berbunyi di atas kepalamu, dan bintang akan muncul di siang hari.","yen mengko ana bebaya gedhe tumibaku, tandane yaiku petir muni nang nduwur sirahmu, lan lintang metu nalika awan."
Jibau Malang,Sumatera Utara,21,"si nogong mengingat baik-baik pesan kakaknya, lalu mereka berangkat ke tujuan masing-masing.","si nogong ngeling-eling pesen kakange, banjur padha budhal menyang tujuane dhewe-dhewe."
Jibau Malang,Sumatera Utara,22,"si jibau berlayar menggunakan perahu besar lengkap dengan meriam. perjalanannya begitu cepat, sekali menggalah, dua-tiga tanjung telah ia lampaui.","si jibau numpak prau gedhe karo meriam. perjalanane cepet banget, sak galah, loro-telu tanjung wis diliwati."
Jibau Malang,Sumatera Utara,23,"sesampainya di rantau panjang, ia melihat tanda yang disebutkan ibunyaâair sungai mengalir ke hulu, dan pepohonan tunduk sujud. ia pun segera menembakkan meriam tiga kali sebagai tanda kedatangannya.","nalika tekan rantau panjang, dheweke weruh tandha sing wis disebutake ibuneâbanyu kali mili munggah, lan wit-witan padha sujud. dheweke banjur nembake meriam kaping telu minangka tandha tekane."
Jibau Malang,Sumatera Utara,24,"di dalam rumah, siti ensah dan ibunya terkejut mendengar bunyi meriam. ketika melihat dari jendela, mereka mendapati seorang pemuda gagah sedang menuju rumah mereka.","nang njero omah, siti ensah lan ibune kaget krungu swara meriam. nalika ndelok saka jendela, padha weruh ana pemuda gagah arep menyang omahe."
Jibau Malang,Sumatera Utara,25,"setelah dipersilakan masuk, si jibau duduk di atas tikar ambal berbunga. siti ensah menyuguhkan tepak sirih, tetapi pinangnya masih utuh dan sirihnya carik cemarik.","sawise diparingi mlebu, si jibau lungguh nang ndhuwur tikar ambal kembang. siti ensah nyuguhke tepak sirih, nanging pinange isih utuh lan sirihe wis carik cemarik."
Jibau Malang,Sumatera Utara,26,"si jibau heran dan bertanya,","si jibau gumun lan takon,"
Jibau Malang,Sumatera Utara,27,bagaimana mungkin aku memakan pinang yang masih bulat dan sirih yang sudah carik,pie isa aku mangan pinang sing isih bulat lan sirih sing wis carik
Jibau Malang,Sumatera Utara,28,"siti ensah tersenyum dan menjawab,","siti ensah mesem lan mangsuli,"
Jibau Malang,Sumatera Utara,29,"begitulah adanya, kakanda. segala sesuatu harus memiliki syarat dan tata cara agar mudah dilakukan.","kaya mengkono kuwi, kakanda. saben bab kudu nduwe syarat lan tata cara supaya gampang ditindakake."
Jibau Malang,Sumatera Utara,30,"si jibau memahami maksudnya dan memakan sirih tersebut. setelah itu, mereka makan bersama, lalu berdiskusi mengenai pernikahan mereka.","si jibau mangerteni maksude lan banjur mangan sirih kuwi. sawise kuwi, padha mangan bareng, banjur rembugan bab pernikahane."
Jibau Malang,Sumatera Utara,31,"namun, saat si jibau mencoba menenung (meramal) masa depan mereka menggunakan jeruk purut, ia melihat banyak rintangan besar yang akan mereka hadapi.","nanging, nalika si jibau nyoba ngramal masa depane nganggo jeruk purut, dheweke weruh akeh rintangan gedhe sing bakal diadhepi."
