judul,provinsi,id_teks,teks,referensi
Joko Dolog,Jawa Timur,1,"pada zaman dahulu, di negeri surabaya, hiduplah seorang putri bernama purbawati, putri adipati jayengrana. kecantikan dan kebaikan purbawati terkenal hingga ke berbagai kerajaan, termasuk madura dan kediri. banyak pangeran ingin mempersuntingnya, salah satunya adalah pangeran situbondo, putra adipati cakraningrat dari madura.","miturut crita jaman mbiyen, ana ing negari surabaya, urip sawijining putri ayu jenenge purbawati, putrine adipati jayengrana. ayune lan kabecikane purbawati misuwur tekan nagara-nagara liya, kalebu madura lan kediri. akeh pangeran sing kepengin ngelamar lan nyunting purbawati, kalebu pangeran situbondo, putrane adipati cakraningrat saka madura."
Joko Dolog,Jawa Timur,2,"namun, hati purbawati telah tertambat pada jaka taruna, seorang pangeran dari kediri. meski begitu, purbawati bingung karena lamaran pangeran situbondo tidak bisa ditolak begitu saja. ia khawatir hubungan baik antara ayahnya dan adipati cakraningrat akan rusak, bahkan bisa memicu peperangan.","nanging, atine purbawati wis kasengsem marang jaka taruna, sawijining pangeran saka kediri. senajan mangkono, purbawati bingung merga lamarane pangeran situbondo ora bisa ditolak mentah-mentah. dheweke wedi yen nolak bakal ngerusak hubungan apik antara bapake lan adipati cakraningrat, malah bisa nyebabkake perang."
Joko Dolog,Jawa Timur,3,"ketika pangeran situbondo tiba di surabaya untuk melamar purbawati, sang putri memberikan syarat berat: membuka hutan angker di wilayah surabaya. ia berdalih, hutan itu harus dibuka agar bisa menjadi tempat tinggal bagi mereka dan keturunannya kelak. pangeran situbondo, yang percaya diri dengan kesaktiannya, menerima tantangan tersebut dan segera mulai membuka hutan.","nalika pangeran situbondo tekan surabaya arep nglamar purbawati, sang putri maringi syarat abot: kudu mbukak alas angker ing wilayah surabaya. purbawati ngandharake alesan yen alas kuwi kudu dibukak kanggo dadi papan manggon kanggo keluargane kelak. pangeran situbondo, sing percaya dheweke sakti, nampa tantangan kuwi lan langsung miwiti mbukak alas."
Joko Dolog,Jawa Timur,4,"saat pangeran situbondo sibuk membuka hutan, datanglah jaka taruna ke surabaya. ia terkejut mendengar pangeran situbondo tengah menjalankan syarat untuk menikahi purbawati. demi cintanya, jaka taruna menemui adipati jayengrana dan menyatakan niatnya untuk mempersunting purbawati. adipati jayengrana, yang merasa serba salah, menyerahkan keputusan kepada purbawati.","nalika pangeran situbondo sibuk mbukak alas, jaka taruna teka menyang surabaya. dheweke kaget krungu yen pangeran situbondo wis njaluk syarat nikah saka purbawati. amarga tresna, jaka taruna langsung sowan marang adipati jayengrana lan nyatakake niate kanggo nyunting purbawati. adipati jayengrana, sing rumangsa serba salah, banjur masrahke keputusane marang purbawati."
Joko Dolog,Jawa Timur,5,purbawati akhirnya memberikan syarat yang sama kepada jaka taruna: membuka hutan di wilayah surabaya. jaka taruna pun segera pergi ke hutan untuk memenuhi syarat tersebut.,purbawati banjur maringi syarat sing padha marang jaka taruna: kudu mbukak alas ing wewengkon surabaya. jaka taruna langsung menyang alas kanggo nindakake syarat kuwi.
Joko Dolog,Jawa Timur,6,"ketika membuka hutan, jaka taruna bertemu dengan pangeran situbondo. ketegangan pun terjadi. pangeran situbondo, yang merasa tersaingi, marah dan menyerang jaka taruna. pertarungan sengit pun terjadi. sayangnya, kesaktian pangeran situbondo jauh lebih hebat. jaka taruna terpental dan tersangkut di pohon. pangeran situbondo meninggalkannya begitu saja.","nalika lagi mbukak alas, jaka taruna ketemu karo pangeran situbondo. ketegangan langsung kedadeyan. pangeran situbondo, sing rumangsa disaingi, nesu lan nyerang jaka taruna. terus kelakon perang sengit antarane loro kuwi. sayange, kesaktiane pangeran situbondo luwih unggul. jaka taruna kapedhot lan nyangkut ing wit. pangeran situbondo langsung ninggalake dheweke."
Joko Dolog,Jawa Timur,7,"dalam keadaan tak berdaya, jaka taruna berteriak meminta tolong. teriakannya didengar oleh jaka jumput, seorang pemuda sakti yang kebetulan berada di hutan. setelah menolong jaka taruna, jaka jumput diminta oleh jaka taruna untuk mengalahkan pangeran situbondo. jaka jumput setuju, dengan syarat jaka taruna harus memenuhi satu permintaannya jika berhasil.","ing kahanan ora kuwasa, jaka taruna njerit njaluk tulung. jerite krungu dening jaka jumput, sawijining pemuda sakti sing kebeneran ana ing alas. sawise nulungi jaka taruna, jaka jumput dijaluk kanggo ngalahkake pangeran situbondo. jaka jumput gelem, nanging kanthi syarat jaka taruna kudu netepi siji panyuwune menawa wis menang."
Joko Dolog,Jawa Timur,8,"jaka jumput menemui pangeran situbondo dan menantangnya bertarung. pertarungan berlangsung lama, tetapi jaka jumput berhasil mengalahkan pangeran situbondo. pangeran situbondo yang kalah melarikan diri ke wilayah timur, yang kelak dikenal sebagai situbondo, sesuai dengan namanya.","jaka jumput banjur nemoni pangeran situbondo lan nantang tanding. perang abot kelakon, nanging jaka jumput menang. pangeran situbondo sing kalah mlayu menyang wetan, lan panggonan kuwi mengko dikenal dadi situbondo, manut jenenge."
Joko Dolog,Jawa Timur,9,"setelah pangeran situbondo pergi, jaka taruna segera menemui adipati jayengrana dan mengklaim bahwa dialah yang telah mengalahkan pangeran situbondo. ia meminta izin untuk menikahi purbawati. namun, jaka jumput datang ke istana dan mengungkap kebenaran bahwa ia lah yang sebenarnya mengalahkan pangeran situbondo. sebagai bukti, jaka jumput menunjukkan keris milik pangeran situbondo kepada adipati jayengrana.","sawise pangeran situbondo lunga, jaka taruna langsung sowan marang adipati jayengrana lan ngaku yen dheweke sing ngalahke pangeran situbondo. dheweke njaluk ijin supaya oleh nikah karo purbawati. nanging, jaka jumput teka menyang istana lan mbukak kasunyatan yen dheweke sing sakjane ngalahke pangeran situbondo. minangka bukti, jaka jumput nuduhake keris duweke pangeran situbondo marang adipati jayengrana."
Joko Dolog,Jawa Timur,10,"adipati jayengrana, yang kecewa dengan kebohongan jaka taruna, meminta keduanya bertarung untuk membuktikan siapa yang layak menikahi purbawati.","adipati jayengrana, sing kuciwa amarga dibujuki karo jaka taruna, banjur maringi syarat pertarungan kanggo mastiake sapa sing pantes nyunting purbawati."
Joko Dolog,Jawa Timur,11,"pertarungan antara jaka taruna dan jaka jumput berlangsung sengit. jaka jumput menggunakan senjata andalannya, cambuk kyai gembolo geni, sementara jaka taruna menggunakan keris pusaka. pada akhirnya, jaka taruna kalah. cambuk jaka jumput mengenai tubuh jaka taruna, membuatnya terjatuh dan tidak berdaya.","perang antarane jaka taruna lan jaka jumput kedadeyan lan lumaku sengit. jaka jumput nganggo senjata andalane, yaiku cambuk kyai gembolo geni, dene jaka taruna nganggo keris pusaka. akhire, jaka taruna kalah. cambuk jaka jumput kena ing awake jaka taruna, nganti dheweke tiba lan ora kuwasa."
