judul,provinsi,id_teks,teks,referensi
Kelingking Sakti,Jawa Tengah,1,"pada zaman dahulu kala, di sebuah desa di kepulauan riau, hiduplah sepasang suami istri yang sangat miskin. mereka mempunyai tiga orang anak laki-laki bernama salimbo, ngah, dan kelingking. saat kelingking berusia lima bulan, ibunya meninggal dunia, meninggalkan mereka dalam keadaan duka yang mendalam. sejak saat itu, ayahnya harus mengurus anak-anaknya sendirian. meskipun hidup dalam keterbatasan, mereka tetap berusaha bertahan dan saling mendukung satu sama lain.","nalika jaman mbiyen, ana ing sawijining desa ing kapuloan riau, urip sawijining pasangan bojo sing banget mlarat. wong loro kuwi nduweni telu anak lanang jenenge salimbo, ngah, lan kelingking. nalika kelingking umur limang wulan, ibune tilar donya, ninggalake keluargane ing kahanan sedhih banget. wiwit wektu kuwi, bapake kudu ngurus anak-anake dhewe. sanajan urip ing kekurangan, wong-wong kuwi tetep usaha kanggo tetep urip lan saling nyengkuyung siji lan sijine."
Kelingking Sakti,Jawa Tengah,2,"waktu terus berlalu. kelingking tumbuh menjadi pemuda yang tangguh dan penuh semangat. ketika ia telah dewasa, ia berniat untuk merantau, meninggalkan desa kelahirannya demi mencari pengalaman baru dan rezeki di tempat lain. ia menyampaikan niatnya kepada ayahnya, yang meskipun berat hati, akhirnya mengizinkannya untuk pergi.","wektu terus mlaku. kelingking dadi mudha sing kuat lan semangat. nalika dheweke wis diwasa, dheweke niat arep merantau, ninggalake desa panggonane kanggo golek pengalaman anyar lan rejeki ing panggonan liya. dheweke kandha niate marang bapake, sing senajan abot atine, pungkasane ngijini dheweke lunga."
Kelingking Sakti,Jawa Tengah,3,"esoknya, dengan perasaan campur aduk, kelingking bersiap-siap meninggalkan desa dengan tujuh buah ketupat sebagai bekalnya. selama dalam perjalanan, kelingking harus menghadapi berbagai rintangan dan cobaan. namun, dengan tekad yang kuat dan semangat yang tidak padam, ia berhasil melewati semuanya. sepanjang perjalanan, ia bertahan dengan makanan yang ditemuinya di alam liar, sehingga bekal ketupatnya tetap utuh.","esuke, kanthi perasaan campur aduk, kelingking nyiapke awak arep lunga saka desa karo bekal pitung ketupat. sajeroning lelampahan, kelingking kudu ngadhepi macem-macem rintangan lan cobaan. nanging, karo tekad sing kuwat lan semangat sing ora padam, dheweke bisa ngliwati kabeh. sajeroning perjalanan, dheweke tetep bertahan nganggo panganan sing ditemokake saka alam, dadi ketupate tetep utuh."
Kelingking Sakti,Jawa Tengah,4,"suatu siang, setelah berhari-hari berjalan, kelingking tiba di sebuah hutan lebat. karena lelah, ia memutuskan untuk beristirahat sejenak di bawah pohon rindang. dalam tidurnya, ia mendengar suara misterius yang mengatakan bahwa jika ia ingin menikah dengan seorang putri, ia harus mengikatkan ketupatnya dengan akar tuba dan memasukkannya ke dalam sungai yang mengalir di hutan tersebut. jika air sungai berbuih, itu merupakan tanda bahwa ikan besar di dalamnya telah mati, dan kelingking harus mengambil ikan tersebut.","ing sawijining awan, sawise pirang-pirang dina lumaku, kelingking tekan alas sing lebat. merga kesel, dheweke mutusake ngaso ing ngisor wit sing rindhang. nalika turu, dheweke krungu swara misterius sing ngomong yen dheweke pengin omah-omah karo sawijining putri, dheweke kudu ngiket ketupate nganggo oyot tuba lan dilebokke ing kali sing mili ana ing alas kuwi. yen banyu kali mau berbusa, kuwi tandha yen ana iwak gedhe ing jerone wis mati, lan kelingking kudu njupuk iwak kuwi."
Kelingking Sakti,Jawa Tengah,5,"ketika terbangun, kelingking mengingat pesan dari mimpi tersebut dan memutuskan untuk mengikutinya. ia menemukan sebuah sungai kecil di hutan itu, dan dengan hati-hati, ia mengikat ketupatnya dengan akar tuba dan memasukkannya ke dalam sungai. tak lama kemudian, air sungai mulai berbuih. kelingking tahu inilah saatnya untuk mengambil ikan yang dimaksud. setelah berhasil menangkap ikan tersebut, kelingking memasaknya dan makan dengan lahap. namun, ketika ia menunggu kedatangan seorang putri seperti yang dijanjikan dalam mimpinya, tidak ada yang terjadi.","nalika tangi, kelingking eling karo pesen saka impene lan mutusake ngetutke kuwi. dheweke nemu sawijining kali cilik ing alas kono, lan kanthi ati-ati, dheweke ngiket ketupate nganggo oyot tuba lan dilebokke ing kali. ora suwe, banyu kali mulai berbusa. kelingking ngerti yen iki wektu kanggo njupuk iwak kuwi. sawise sukses nangkep iwak kuwi, kelingking masak lan dipangan nganggo rasa luwe. nanging, nalika ngenteni kedatangan putri kaya sing dijanjekake ing impene, ora ana apa-apa sing kelakon."
Kelingking Sakti,Jawa Tengah,6,"kelingking mulai merasa kecewa dan bingung. dengan rasa kesal, ia menendang kepala ikan yang tersisa hingga melambung tinggi dan tidak mempedulikannya lagi. meskipun demikian, kelingking tidak kehilangan harapan. ia melanjutkan perjalanannya dan akhirnya sampai di sebuah kampung yang ramai.","kelingking mulai rumangsa kecewa lan bingung. kanthi rasa nesu, dheweke nendang endhas iwak sing isih kari nganti mabur dhuwur lan ora dipeduleni maneh. sanajan ngono, kelingking ora ilang pangarep-arep. dheweke neruske lelampahane lan pungkasane tekan ing sawijining kampung sing rame."
Kelingking Sakti,Jawa Tengah,7,"di kampung itu, ia mendengar kabar bahwa seorang raja sedang mengadakan sayembara untuk memindahkan kepala ikan yang mengganggu pemandangan istana. jika ada yang berhasil melakukannya, ia akan diberi hadiah berupa pernikahan dengan putri raja. melihat kesempatan ini sebagai takdir yang diberikan kepadanya, kelingking mendaftarkan diri untuk mengikuti sayembara tersebut.","ing kampung kono, dheweke krungu kabar yen ana raja sing nganakake sayembara kanggo mindhah endhas iwak sing ngganggu pemandangan kraton. yen ana sing bisa nindakke kuwi, bakal oleh ganjaran omah-omah karo putri raja. ndelok kasempatan iki kaya takdir sing diwenehke marang dheweke, kelingking ndhaptar kanggo melu sayembara kuwi."
Kelingking Sakti,Jawa Tengah,8,"meskipun tubuhnya kecil dan penampilannya kurang menarik, kelingking yakin bahwa kekuatan dan keberaniannya akan membuktikan bahwa ia pantas mendapatkan hadiah tersebut. meskipun dicemooh oleh orang-orang yang meremehkannya, kelingking tidak membiarkan hal itu mempengaruhi semangatnya.","sanajan awake cilik lan penampilane ora narik kawigaten, kelingking yakin yen kekuwatan lan kawani bakal mbuktekake yen dheweke pantes oleh ganjaran kuwi. senajan diolok-olok karo wong-wong sing meremehke, kelingking ora ngidini kuwi ngrusak semangate."
Kelingking Sakti,Jawa Tengah,9,"ketika tiba gilirannya, kelingking dengan percaya diri menghadapi tantangan yang diberikan oleh raja. dengan kekuatan dan keberanian yang luar biasa, ia berhasil mengangkat kepala ikan tersebut dan menguburnya di belakang istana. keberhasilannya ini membuat seluruh istana dan penduduk negeri merasa kagum dan bahagia.","nalika tekan gilirane, kelingking kanthi percaya dhiri ngadhepi tantangan saka raja. kanthi kekuwatan lan kawani sing luar biasa, dheweke bisa ngangkat endhas iwak kuwi lan dikubur ing mburi kraton. kasuksesane nggawe kabeh kraton lan rakyat padha gumun lan bungah."
Kelingking Sakti,Jawa Tengah,10,"dengan demikian, kelingking berhak menikahi putri raja. pernikahan mereka diadakan dengan penuh kebahagiaan dan kegembiraan. kelingking tidak lupa menjemput ayah dan kedua abangnya untuk tinggal bersama di istana, sehingga mereka dapat menikmati kehidupan yang lebih baik bersama-sama.","kanthi mangkono, kelingking pantes omah-omah karo putri raja. pesta pernikahane diadakake kanthi kabungahan lan kabagyan. kelingking ora lali jemput bapak lan loro kakange supaya bisa urip bareng ing kraton, supaya padha-padha bisa ngrasakke urip sing luwih apik bebarengan."
Kelingking Sakti,Jawa Tengah,11,"kisah kelingking menjadi legenda di desa tersebut, menginspirasi banyak orang dengan keberanian dan kemurahan hatinya. ia membuktikan bahwa tidak peduli seberapa sulit hidup dan seberapa besar rintangan yang dihadapi, dengan tekad dan keberanian, segala hal mungkin tercapai.","crita kelingking dadi legenda ing desa kuwi, maringi inspirasi kanggo akeh wong nganggo kawani lan welas asihe. dheweke mbuktekake yen ora preduli sepira angele urip lan sepira gedhene rintangan, karo tekad lan kawani, kabeh bisa kelakon."
