judul,provinsi,id_teks,teks,referensi
Keong Mas,Jawa Barat,1,"kisah ini bermula dari kerajaan panjalu yang beribukota daha atau kediri. raja kediri mempunyai dua orang puteri. yang pertama adalah dewi chandrakirana, yang kedua adalah dewi ajeng. namun sayang, sejak kecil ibu chandrakirana ini meninggal dunia karena sakit. raja kemudian kawin lagi. dengan permaisuri barunya itu, ia mempunyai puteri bernama dewi ajeng.","kisah iki diwiwiti saka karajan panjalu sing ibukotane daha utawa kediri. raja kediri duwe loro putri. sing pisanan yaiku dewi chandrakirana, sing kapindho yaiku dewi ajeng. nanging sayang, wiwit cilik ibu chandrakirana iki tilar donya amarga lara. raja banjur omah-omah maneh. karo permaisuri anyar iku, dheweke duwe putri jenenge dewi ajeng."
Keong Mas,Jawa Barat,2,"chandrakirana adalah gadis yang cantik, baik budi pekertinya, perasaannya halus, dan hatinya lembut. ia disukai semua orang. sementara itu, dewi ajeng, putri permaisuri yang baru, wajahnya juga cantik, tapi masih lebih cantik dan lembut wajah chandrakirana. ada bayangan watak kejam dan kaku pada diri dewi ajeng. raja panjalu sudah merencanakan akan menjodohkan chandrakirana dengan raden inu kertapati dari kerajaan jenggala. sebulan yang lalu, raden inu kertapati telah berkunjung ke daha. ia sudah melihat dan berkenalan dengan chandrakirana. keduanya merasa cocok, yang satu tampan dan satunya lagi benar-benar cantik jelita.","chandrakirana iku cah ayu sing budi pekertine becik, perasaane alus, lan atine lembut. dheweke disenengi kabeh wong. nanging dewi ajeng, putri permaisuri anyar, rai uga ayu, nanging isih luwih ayu lan alus rai chandrakirana. ana bayangan watak kejem lan kaku ing dewi ajeng. raja panjalu wis ngrancang bakal ngajodhoake chandrakirana karo raden inu kertapati saka karajan jenggala. sasi kepungkur, raden inu kertapati wis dolan neng daha. dheweke wis ketemu lan kenal karo chandrakirana. kabeh padha rasa cocog, siji ganteng lan sijine pancen ayu jelita."
Keong Mas,Jawa Barat,3,"raja daha sudah merencanakan bahwa empat puluh hari sejak perkenalan itu, akan dilakukan pertunangan resmi. raden inu kertapati bersama keluarga istana jenggala akan datang melamar chandrakirana. waktu pertunangan itu hanya tinggal beberapa hari saja. chandrakirana sudah mempersiapkan diri dengan sebaik-baiknya.","raja daha wis ngrancang menawa patang puluh dina sawise ketemu kuwi, bakal dilaksanani tunangan resmi. raden inu kertapati bebarengan karo keluarga kraton jenggala bakal teka melu melamar chandrakirana. wektu tunangan kuwi mung sisa sawetara dina wae. chandrakirana wis siyap-siyap kanthi becik."
Keong Mas,Jawa Barat,4,"tidak bisa, aku tidak akan membiarkan chandrakirana berdampingan dengan raden inu kertapati gumam dewi ajeng yang iri dan cemburu. malam harinya, dewi ajeng berunding dengan ibunya. sang ibu menyarankan agar pergi ke nenek gagak ireng, dukun wanita yang terkenal ampuh ilmu sihirnya. demi citacitanya bersanding dengan raden inu kertapati, ia rela pergi jauh ke tempat nenek gagak ireng. setelah mendapat bekal dari si dukun, dewi ajeng segera kembali ke istana. tengah malam barulah ia sampai di istana dengan tubuh lesu karena perjalanan jauh.","aku ora bisa, aku ora bakal nglilani chandrakirana jejeg karo raden inu kertapati gumam dewi ajeng sing iri lan cemburu. wengi kuwi, dewi ajeng rembugan karo ibune. ibune nyaranake supaya lunga menyang nenek gagak ireng, dukun wadon sing kondhang mujarab ilmu sihire. amarga kepengin banget dadi pasangan raden inu kertapati, dheweke gelem adoh lunga menyang papan nenek gagak ireng. sawise oleh bekal saka dukun kuwi, dewi ajeng langsung bali menyang kraton. teng wengi dheweke tekan kraton kanthi awak lesu amarga lelampahan adoh."
Keong Mas,Jawa Barat,5,"kita harus dapat mengusir chandrakirana dari istana ini. bagaimana caranya, bu tanya dewi ajeng. permaisuri diam sejenak, kemudian tersenyum cerah. ia ingat tugas chandrakirana yang tiap hari menghidangkan secangkir teh kepada ayahandanya. itulah yang akan dimanfaatkan permaisuri. esok hari, rencana dijalankan. sebelum chandrakirana melakukan tugasnya, diam-diam permaisuri masuk ke ruang dapur dan menaruh racun di dalam gelas teh yang telah disiapkan pelayan istana untuk dibawa chandrakirana menghadap ayahandanya.","kita kudu bisa ngusir chandrakirana saka kraton iki. kepiye carane, bu takon dewi ajeng. permaisuri meneng sedhela, banjur mesem cerah. dheweke kelingan tugas chandrakirana saben dina nganteri secangkir teh kanggo bapakne. iku bakal dimanfaatake permaisuri. esuk-esuk, rencana dijalani. sadurunge chandrakirana nindakake tugase, diam-diam permaisuri mlebu ruang pawon lan nyeleh racun ing gelas teh sing wis disiapake pelayan kraton kanggo digawa chandrakirana ngadhepi bapake."
Keong Mas,Jawa Barat,6,"hati sang permaisuri berdegup kencang karena ketika hendak keluar dari pintu dapur, ia berpapasan dengan chandrakirana. oh, ibunda, mengapa harus repot-repot ke dapur tegur chandrakirana. tidak, tidak ada apa-apa. aku hanya datang untuk melihat-lihat pekerjaan para pelayan saja. terima kasih, ibunda, telah ikut memperhatikan persiapan para pelayan menyambut kedatangan raden inu kertapati, kata chandrakirana dengan polos. gadis ini menyangka sang permaisuri bersimpati kepadanya.","ati permaisuri kenceng deg-degan amarga nalika arep metu saka lawang pawon, dheweke ketemu chandrakirana. oh, ibunda, ngapa kudu repot-repot menyang pawon tegur chandrakirana. ora, ora ana apa-apa. aku mung teka ndelok-ndelok pakaryan para pelayan wae. matur nuwun, ibunda, wis melu merhatiin persiapan para pelayan nyambut raden inu kertapati, kandha chandrakirana kanthi polos. gadis iki ngira permaisuri iku simpati marang dheweke."
Keong Mas,Jawa Barat,7,"seperti biasa, chandrakirana mengantarkan secangkir teh untuk ayahandanya. kegiatan itu dilakukan untuk mendekatkan hubungan antara ayah dan anak. biasanya, sambil minum teh, mereka berbincang-bincang seputar keluarga. sang prabu meminum separuh isi cangkir teh. terasa hangat di dalam tenggorokan dan perutnya.","kaya biasane, chandrakirana nganteri secangkir teh kanggo bapakne. kegiatan kuwi ditindakake kanggo nyedhaki hubungan antarane bapak lan anak. biasane, bareng ngombe teh, padha rembugan bab kulawarga. sang prabu ngombe separo isi cangkir teh. krasa anget ing tenggorokan lan wetenge."
Keong Mas,Jawa Barat,8,"hem, teh bikinanmu memang enak, anakku, ujar sang prabu. terima kasih, rama prabu, sahut chandrakirana. tapi sesaat kemudian, sang prabu memegangi perutnya yang terasa mual. rasa mual itu semakin menghebat. rama prabu teriak chandrakirana. kenapa, rama prabu ada apa kiranya tapi sang prabu bukannya menjawab, sepasang matanya nampak mendelik, napasnya tersenggal-senggal, kemudian malah muntah darah. chandrakirana segera memeluk ayahnya yang hendak roboh. permaisuri menuding ke arah chandrakirana.","hem, teh gaweanmu pancen enak, anakku, ujar sang prabu. matur nuwun, rama prabu, wangsul chandrakirana. nanging sawatara wektu, sang prabu nyekel wetenge sing krasa mual. rasa mual kuwi saya kuat. rama prabu jerit chandrakirana. kena apa, rama prabu ana apa kirane nanging sang prabu ora njawab, mripate melek lan ambegan keset, banjur malah muntah getih. chandrakirana langsung ngempet bapakne sing arep rubuh. permaisuri nuduh chandrakirana."
Keong Mas,Jawa Barat,9,"apa yang telah kau lakukan teganya kau hendak membunuh ayah sendiri. kau pasti telah meracuninya tidak, tidak mungkin saya meracuni rama prabu yang sangat saya sayang sang prabu segera diangkat ke pembaringan. tabib istana segera datang memeriksa. wajah pakar kesehatan istana kediri ini nampak tegang. ia memeriksa tubuh sang prabu dengan seksama. beberapa saat kemudian, sang tabib bernapas lega. walau sang prabu belum sadarkan diri, beliau terkena racun, ujar sang tabib, tapi racunnya tidak terlalu ganas. walau demikian, beliau harus istirahat total selama beberapa hari.","apa sing wis kok tindakake teganya kok arep mateni bapakmu dhewe. kowe mesthi wis marakoni racun ora, ora mungkin aku marakoni rama prabu sing tak tresnani sang prabu langsung digendong menyang amben. tabib kraton cepet teka mriksa. wajah pakar kesehatan kraton kediri kuwi kenceng banget. dheweke mriksa awak sang prabu kanthi tliti. sawetara wektu, tabib ambegan lega. senadyan sang prabu durung eling, dheweke kena racun, ujare tabib, nanging racune ora pati bahaya. nanging, kudu istirahat total sawetara dina."
Keong Mas,Jawa Barat,10,"esok harinya, raja siuman. ia betul-betul tak menyangka puteri kandungnya sendiri bermaksud membuatnya celaka. chandrakirana, apa sesungguhnya yang kau inginkan ananda hanya menginginkan kesehatan dan kebahagiaan rama prabu, jawabnya. tapi buktinya kau telah mencoba membunuhku bukan hamba pelakunya. hukum harus ditegakkan di kerajaan ini, tak terkecuali terhadap anakku sendiri. bukti dan saksi telah memberatkan tuduhan perbuatan jahatmu. kau seharusnya dijatuhi hukuman mati. tapi aku cukup bijak, kau harus pergi dari istana ini.","esuke, raja sadar. dheweke ora nyangka yen putrine dhewe arep nglantarake bebaya. chandrakirana, apa sing sejatine kok karepake ananda mung pengin rama prabu sehat lan seneng, wangsulane. nanging buktine kowe wis nyoba mateni aku dudu aku pelakune. hukum kudu ditegakke ing karajan iki, ora kecuali anakku dhewe. bukti lan saksi wis njlentrehake tuduhan jahatmu. kowe kudune oleh paukuman pati. nanging aku cukup wicaksana, kowe kudu lunga saka kraton iki."
