judul,provinsi,id_teks,teks,referensi
Keramat Riak,Bangka Belitung,1,"suatu siang yang terik, tampak seorang kakek misterius berjalan terseok-seok sambil menggendong sebuah jala di depan paseba pendapa istana keramat riak. kakek itu tampak begitu lelah. rupanya, ia baru saja pulang dari sungai mencari ikan. ia pun memutuskan untuk duduk beristirahat di depan paseba yang selalu dijaga ketat oleh dua orang prajurit. jalanya yang memakai pemberat dari rantai emas diletakkan begitu saja di tanah. rantai jala itu berkilau diterpa sinar matahari, sehingga menarik perhatian kedua prajurit itu. akhirnya, kedua prajurit itu menghampiri dan menyapa si kakek dengan ramah.","pada suatu awan sing panas banget, katon simbah lanang misterius mlaku ngleyot-leyot karo nggembol jala ana ngarepe paseba pendhapa istana keramat riak. simbah kuwi katon kesel banget. ketoke, dheweke nembe wae bali saka kali golek iwak. dheweke banjur mutusake lungguh ngaso ana ngarep paseba sing tansah dijaga ketat karo loro prajurit. jalane sing nganggo pemberat saka rantai emas dideleh ngono wae nang lemah. rantai jala kuwi ngedap-edapi ketiban srengenge, nganti narik kawigatene loro prajurit kuwi. akhire, loro prajurit kuwi nyedhak lan nyapa simbah kuwi kanthi ramah."
Keramat Riak,Bangka Belitung,2,"wah, jala kakek bagus sekali, sapa salah seorang prajurit dengan perasaan kagum.","wah, jalamu apik banget, kek, sapa salah siji prajurit karo rasa gumun."
Keramat Riak,Bangka Belitung,3,"iya, tuan. jala ini warisan nenek moyang kakek. setiap hari, kakek menggunakannya sebagai alat mata pencaharian kakek, jawab kakek itu.","iya, tuan. jala iki warisan mbah buyut kakek. saben dina, kakek nggo jala iki kanggo golek penguripan, wangsule simbah kuwi."
Keramat Riak,Bangka Belitung,4,"o ya, tuan, bolehkah saya menumpang shalat dhuhur di paseba ini pinta kakek itu.","o ya, tuan, oleh ora aku nyuwun numpang sholat dhuhur nang paseba iki jaluk simbah kuwi."
Keramat Riak,Bangka Belitung,5,"boleh, boleh. silakan, kek, jawab kedua prajurit itu serentak.","oleh, oleh. monggo, kek, wangsule loro prajurit kuwi bareng-bareng."
Keramat Riak,Bangka Belitung,6,"kakek itu pun masuk ke dalam paseba. jalanya dibiarkan tergeletak di luar paseba. saat kakek itu sedang shalat, kedua prajurit yang sejak tadi merasa penasaran segera mendekati jala itu. setelah dicermati secara seksama, ternyata benar bahwa rantai jala itu terbuat dari emas. namun, betapa terkejutnya mereka saat hendak mengangkat jala itu, yang ternyata sangat berat dan seolah-olah menempel di tanah.","simbah kuwi banjur mlebu nang paseba. jalane dideleh ngono wae nang njaba paseba. nalika simbah kuwi lagi sholat, loro prajurit sing saka mau penasaran banget langsung nyedhaki jalane. sawise dideleng tenanan, jebul tenan rantai jala kuwi digawe saka emas. nanging, kepiye gumune wong loro kuwi nalika arep ngangkat jalane, jebul abot banget lan kaya nempel karo lemah."
Keramat Riak,Bangka Belitung,7,"aneh, kenapa rantai jala ini berat sekali gumam salah seorang prajurit yang mencoba mengangkat jala itu. ayo, kawan, bantu aku mengangkat jala ini serunya.","aneh, kok rantai jalane abot banget ya tembunge ing njero atine salah siji prajurit sing nyoba ngangkat jala kuwi. ayo, kanca, tulung aku ngangkat jala iki tembunge."
Keramat Riak,Bangka Belitung,8,"kedua prajurit tersebut berusaha mengangkat jala milik si kakek secara bersama-sama. apa yang terjadi jangankan terangkat, jala itu tidak bergeser sedikit pun. melihat keanehan itu, salah seorang dari prajurit tersebut bergegas melaporkan kejadian aneh itu kepada raja riak bakau di istana. raja riak bakau dikenal sebagai raja yang kejam. ia tidak segan-segan menghukum bagi siapa saja yang menentangnya.","loro prajurit kuwi padha nyoba ngangkat jalae simbah bareng-bareng. apa sing kedadeyan ngangkat wae ora iso, jala kuwi ora geser setitik wae. ndelok kaanan kuwi, salah siji prajurit langsung mlayu lapor marang raja riak bakau ing istana. raja riak bakau misuwur dadi raja sing kejem. dheweke ora eman-eman ngukum sapa wae sing mbalelo."
Keramat Riak,Bangka Belitung,9,"mendengar laporan dari prajurit itu, raja riak bakau yang diiringi beberapa pengawalnya segera menemui si pemilik jala itu. setibanya di depan paseba, kakek itu telah selesai shalat dhuhur dan bersiap-siap untuk pulang.","krungu lapor saka prajurit kuwi, raja riak bakau sing diiringi para pengawale langsung ndatangi sing nduweni jala kuwi. tekan ngarep paseba, simbah kuwi wis rampung sholat dhuhur lan siap-siap arep mulih."
Keramat Riak,Bangka Belitung,10,"tunggu, kek, cegah raja riak bakau.","sediluk, kek, cegah raja riak bakau."
Keramat Riak,Bangka Belitung,11,"menyadari bahwa orang yang menegurnya itu adalah sang raja, kakek itu segera memberi hormat seraya menjawab, ampun, baginda. izinkanlah hamba pergi, pinta kakek itu.","krungu sing nyegat kuwi raja, simbah kuwi langsung nyembah sambil ngomong, ampun, baginda. parengna kula lunga, jaluke simbah kuwi."
Keramat Riak,Bangka Belitung,12,"jangan pergi dulu, kek. aku ada perlu dengan kakek, kata raja riak bakau.","aja lunga dhisik, kek. aku ana perlu karo kakek, tembung raja riak bakau."
Keramat Riak,Bangka Belitung,13,"ampun, baginda. ada yang bisa hamba bantu tanya kakek itu.","ampun, baginda. ana sing iso kula tulungi pitakone simbah kuwi."
Keramat Riak,Bangka Belitung,14,"hai, kakek yang budiman. bolehkah aku memiliki jala rantai emasmu itu pinta raja riak bakau.","hai, kakek sing wicaksana. oleh ora aku nduweni jalamu sing rantai emas kuwi jaluk raja riak bakau."
Keramat Riak,Bangka Belitung,15,"maafkan hamba, baginda. bukannya hamba bermaksud mengecewakan hati baginda. hamba belum bisa memenuhi permintaan baginda. jala ini satu-satunya harta warisan hamba, ungkap kakek itu.","nyuwun pangapunten, baginda. ora kersa nglarani ati baginda. kula durung iso nepaki panyuwunan baginda. jala iki mung siji-sijine warisan kula, tembung simbah kuwi."
Keramat Riak,Bangka Belitung,16,"mendengar jawaban itu, raja riak bakau mulai kesal karena baru kali ada orang di negeri itu yang berani menolak permintaannya.","krungu wangsulan kuwi, raja riak bakau mulai nesu awit nembe pisan ana wong nang negarani kuwi wani nolak panyuwune."
Keramat Riak,Bangka Belitung,17,"hai, kakek, ketahuilah, akulah penguasa di negeri ini. siapa pun yang memijak tanah negeri ini harus tunduk padaku. jika tidak, maka tahu sendirilah akibatnya, ancam raja riak bakau.","hai, kakek, kudu kowe ngerti, aku iki penguasa ing negarani iki. sapa wae sing nginjek lemah negarani iki kudu manut aku. yen ora, kowe ngerti dewe akibate, ancam raja riak bakau."
