judul,provinsi,id_teks,teks,referensi
Ki Rangga Gading,Jawa Barat,1,"pada zaman dahulu, di saat kota tasik masih berupa dayeuh, di kota sukapura hiduplah seorang bernama ki rangga gading. ia dikenal sebagai orang yang sangat sakti, namun sayang kesaktiannya itu dipergunakan untuk merampok dan mencuri. ki rangga gading tidak pernah tertangkap karena ia bisa merubah tubuhnya menjadi binatang, pohon, batu, atau air.","ing jaman mbiyen, nalika kutha tasik isih arupa dayeuh, ana ing kutha sukapura urip sawijining wong jenenge ki rangga gading. dheweke dikenal minangka wong sing banget sakti, nanging sayange kesaktianne iku dienggo kanggo ngrampog lan nyolong. ki rangga gading ora tau ketangkep amarga bisa ngowahi awake dadi kewan, wit, watu, utawa banyu."
Ki Rangga Gading,Jawa Barat,2,"pada suatu hari, ki rangga gading mencuri lima ekor kerbau. pencurian itu sengaja dilakukannya pada siang hari untuk pamer kesaktian. warga sekampung pun beramai-ramai memburunya. karena ketinggian ilmu ki rangga gading, ia mengubah kaki-kaki kerbau menjadi terbalik sehingga jejak telapak kaki kerbau berlawanan arah. warga yang mengikuti jejak itu tertipu dan semakin menjauh dari kerbau-kerbau itu. mereka akhirnya memutuskan untuk mengejar ke pasar, sebab ki rangga gading pasti akan menjual kerbau itu ke pasar.","ing salah sawijining dina, ki rangga gading nyolong limang ekor kebo. nyolonge iku pancen disengaja nalika awan kanggo pamer kesaktianne. warga sakampung bebarengan mburu dheweke. amarga dhuwure elmu ki rangga gading, dheweke ngowahi sikil-sikile kebo dadi mbalik supaya tapak sikile kebo kuwi mblayu ngelawan arah. warga sing ngetutake tapak kuwi kejiret lan saya adoh saka kebo-kebo kuwi. akhire padha mutusake kanggo ngejar menyang pasar, awit ki rangga gading mesthi arep adol kebo kuwi menyang pasar."
Ki Rangga Gading,Jawa Barat,3,"namun, ki rangga gading mengubah tanduk kerbau yang tadinya melengkung ke atas menjadi ke bawah, dan kulit kerbaunya yang tadinya hitam diubah menjadi putih. dengan cara itu, ia selamat dari kejaran massa dan polisi negara yang hendak menangkapnya.","nanging, ki rangga gading ngowahi suku kebo sing sadurunge mlengkung munggah dadi mudhun, lan kulite kebo sing sadurunge ireng diowahi dadi putih. kanthi cara kuwi, dheweke slamet saka pengejaran wong akeh lan polisi nagara sing arep nyekel dheweke."
Ki Rangga Gading,Jawa Barat,4,"tersiar kabar bahwa di karangmunggal terdapat tanah keramat yang mengandung emas. lahan itu dijaga oleh polisi negara dan para tuatua kampung agar tidak diganggu. mendengar kabar itu, ki rangga gading tergiur ingin memilikinya. ia segera naik ke atas pohon kelapa, dan setelah sampai di atas, dibacoknya pelepah kelapa yang diinjaknya. dengan ilmunya, pelepah itu terbang melayang menuju karangmunggal.","ana kabar manawa ing karangmunggal ana lemah keramat sing ngandhut emas. lahan kuwi dijaga dening polisi nagara lan para sesepuh kampung supaya ora diganggu. krungu kabar kuwi, ki rangga gading kepengin nduweni lemah kuwi. dheweke langsung munggah wit klapa, lan sawise tekan dhuwur, dibleger palepah klapa sing diinjake. kanthi elmune, palepah kuwi mabur melayang menyang karangmunggal."
Ki Rangga Gading,Jawa Barat,5,"sesampainya di karangmunggal, ki rangga gading mengubah dirinya menjadi seekor kucing agar tidak diketahui oleh polisi negara dan para tuatua kampung. tentu saja, para penjaga tertipu. kucing jelmaan ki rangga gading itu tenang-tenang saja mengeruk tanah yang mengandung emas itu, kemudian dimasukkan ke dalam karung yang dibawanya. setelah karungnya terisi penuh, ki rangga gading segera terbang menggunakan pelepah yang tadi ditungganginya menuju ke kampung tempat persembunyiannya.","sawise tekan karangmunggal, ki rangga gading ngowahi awake dadi kucing supaya ora dingerteni dening polisi nagara lan para sesepuh kampung. mesthi wae, para penjaga kejiret. kucing jelmaan ki rangga gading kuwi meneng wae nggruk lemah sing ngandhut emas kuwi, banjur dilebokake menyang karung sing digawa. sawise karunge kebak, ki rangga gading langsung mabur numpak palepah sing mau menyang kampung panggonan pangungsene."
Ki Rangga Gading,Jawa Barat,6,"sebelum tiba di kampungnya, ia turun dan beristirahat di tempat yang sepi sambil membuka hasil curiannya. ia mengambil segenggam tanah emas dan menaburkannya agar tempat itu menjadi keramat. sampai saat ini, tempat itu dikenal dengan nama salawu, yang berasal dari kata sarawu, yang berarti segenggam.","sadurunge tekan kampunge, dheweke mudhun lan ngaso ing panggonan sepi karo mbukak hasil curiane. dheweke njupuk sekepel lemah emas lan ditaburake supaya panggonan kuwi dadi keramat. nganti saiki, panggonan kuwi dikenal kanthi jeneng salawu, sing asale saka tembung sarawu, sing tegese sekepel."
Ki Rangga Gading,Jawa Barat,7,"ki rangga gading melanjutkan perjalanan. setelah lama berjalan, ia mulai banyak berkeringat dan berhenti untuk mandi di suatu mata air. karung yang dibawanya digantungkan lagi pada dahan pohon. sampai sekarang, tempat itu terkenal dengan nama kampung karanggantungan, yang berasal dari kata tanah karangmunggal digantungkan.","ki rangga gading nerusake lelungane. sawise suwi mlaku, dheweke wiwit kringeten lan mandheg kanggo adus ing sawijining sumber banyu. karung sing digawa digantungake ing pang sit ing dahan wit. nganti saiki, panggonan kuwi dikenal kanthi jeneng kampung karanggantungan, sing asale saka tembung tanah karangmunggal digantungake."
Ki Rangga Gading,Jawa Barat,8,"ki rangga gading melanjutkan perjalanannya. ketika ia berhenti di suatu tempat yang sepi untuk mandi, karung itu berayun-ayun terus dan tidak mau diam. sampai saat ini, kampung tersebut dikenal dengan nama kampung guntal gantel.","ki rangga gading nerusake lelungane. nalika mandheg ing sawijining panggonan sepi kanggo adus, karung kuwi ayun-ayun terus lan ora gelem meneng. nganti saiki, kampung kuwi dikenal kanthi jeneng kampung guntal gantel."
Ki Rangga Gading,Jawa Barat,9,"suatu hari, ketika ki rangga gading sedang asyik mandi, tiba-tiba di hadapannya berdiri seorang tua yang wajahnya bercahaya, mengenakan sorban dan jubah putih. ia adalah seorang ulama yang tinggi ilmunya. sambil tersenyum, orang tua itu berkata, sedang apa rangga gading tiduran di atas tanah sambil telanjang seperti anak kecil saja ki rangga gading terkejut dan merasa sangat malu. badannya mendadak lemas tak berdaya. ia memelas, duh eyang, ampun, tolonglah saya. saya lemas tidak tahan. saya tobat dan ingin jadi murid eyang.","ing salah sawijining dina, nalika ki rangga gading lagi seneng adus, dumadakan ana sawijining wong tuwa sing rai cahayane sumunar, nganggo sorban lan jubah putih. dheweke kuwi sawijining ulama sing dhuwur elmune. sambil mesem, wong tuwa kuwi ngomong, ângapa rangga gading turu-turu ing lemah karo wuda kaya bocah cilik waeâ ki rangga gading kaget lan rumangsa isin banget. awake ndadak lemes ora kuwat. dheweke ngemis, âduh eyang, nyuwun pangapura, tulungana kula. kula lemes boten kuwat. kula tobat lan kepengin dados santrine eyang.â"
Ki Rangga Gading,Jawa Barat,10,"sejak saat itu, ki rangga gading menjadi santri di pesantren guntal gantel. pada suatu ketika, pesantren guntal gantel tertimbun tanah longsor akibat gempa bumi. waktu itu, ulama dan santri-santrinya sedang tilem (tidur). konon, mereka menjadi kodok, dan tempat tersebut menjadi angker. itulah yang menyebabkan tempat tersebut dinamakan bangkongrarang, yang berasal dari kata tanah yang dibawa dari karangmunggal dan loba bangkong, banyak katak.","wiwit wektu kuwi, ki rangga gading dadi santri ing pesantren guntal gantel. ing sawijining wektu, pesantren guntal gantel ketimbun lemah longsor merga gempa bumi. wektu kuwi, ulama lan para santrine lagi tilem (turu). jarene, padha dadi kodok, lan panggonan kuwi dadi angker. mula saka kuwi panggonan kuwi dijenengi bangkongrarang, sing asale saka tembung tanah sing digawa saka karangmunggal lan loba bangkong, akeh kodhok."
