judul,provinsi,id_teks,teks,referensi
Kisah Doyan Nada,Riau,1,"alkisah, saat belum mempunyai nama, pulau lombok masih berupa perbukitan yang dipenuhi hutan belantara dan belum dihuni manusia. pulau ini hanya dihuni oleh ratu jin yang bernama dewi anjani, didampingi seorang patih bernama patih songan. dewi anjani mempunyai banyak prajurit dari bangsa jin dan seekor burung peliharaan yang bernama beberi. burung itu berparuh perak dan berkuku baja yang sangat tajam. dewi anjani beserta para pengikutnya tinggal di puncak gunung rinjani yang terdapat di pulau itu.","alkisah, nalika durung duwe jeneng, pulo lombok isih dadi pagunungan sing kebak alas lebat lan durung dienggo wong. pulo iki mung dienggo dening ratu jin sing jenenge dewi anjani, didampingi patih sing jenenge patih songan. dewi anjani nduwe akeh prajurit saka bangsa jin lan duwe manuk piaraan jenenge beberi. manuk kuwi paruhe perak lan kukune baja sing banget landhep. dewi anjani karo para pengikute manggon ing pucuk gunung rinjani sing ana ing pulo kuwi."
Kisah Doyan Nada,Riau,2,"suatu hari, sepulang dari berkeliling mengitari seluruh daratan pulau lombok, patih songan datang menghadap kepada dewi anjani. ampun, tuan putri. izinkanlah hamba untuk menyampaikan sesuatu, kata patih songan sambil memberi hormat.","sak dina, bar balik saka muter-muter ngubengi sakabehe lemah pulo lombok, patih songan teka ngadhep dewi anjani. ampun, tuan putri. tulung pareng aku ngaturake soko, kandha patih songan karo ngajokake hormat."
Kisah Doyan Nada,Riau,3,"kabar apa yang hendak kamu sampaikan, patih katakanlah, seru dewi anjani.","kabar apa sing arep kok aturake, patih critakna, jare dewi anjani."
Kisah Doyan Nada,Riau,4,"begini, tuan putri. hamba baru saja selesai mengelilingi pulau ini. hamba melihat pulau ini semakin penuh dengan pepohonan. maka itu, hamba menyarankan agar tuan putri segera memenuhi pesan kakek tuan putri untuk mengisi pulau ini dengan manusia, ungkap patih songan.","mangkene, tuan putri. aku lagi rampung muter pulo iki. aku weruh pulo iki saya kebak wit-witan. mula saka kuwi, aku nyaranake tuan putri supaya cepet-cepet ngisi pulo iki karo manungsa, atur patih songan."
Kisah Doyan Nada,Riau,5,"oh iya, terima kasih, patih, telah mengingatkanku mengenai amanat itu, ucap dewi anjani. baiklah, kalau begitu, besok temani aku untuk mencari tempat yang cocok dijadikan lahan pertanian oleh manusia yang akan menghuni pulau ini.","oh ya, matur nuwun, patih, wis ngelingake aku bab amanat kuwi, wangsul dewi anjani. ya wis, mengko sesuk temani aku golek panggonan sing pas kanggo dadi lahan tani kanggo manungsa sing arep manggon ing pulo iki."
Kisah Doyan Nada,Riau,6,"baik, tuan putri, jawab patih songan.","ya, tuan putri, jawab patih songan."
Kisah Doyan Nada,Riau,7,"keesokan hari, dewi anjani bersama patih songan dan beberi menjelajahi seluruh wilayah daratan pulau tersebut. setelah menemukan tempat yang cocok, dewi anjani segera memerintahkan beberi untuk menebang pepohonan yang tumbuh sesak dan berdesak-desakan di sekitar tempat itu. beberi pun segera melaksanakan perintah tuannya. dengan paruh dan kukunya yang tajam, ia mampu menyelesaikan tugas itu dengan mudah.","sesuke, dewi anjani bebarengan karo patih songan lan beberi njelajah sakabehe wilayah pulo. sawise nemokake panggonan sing pas, dewi anjani marentahake beberi kanggo ngelangkahi wit-witan sing tuwuh numpuk lan saling dorong ing sacedhake panggonan kuwi. beberi langsung tumindak manut perintahe. kanthi paruh lan kukune sing landhep, manuk kuwi bisa ngrampungake tugase kanthi gampang."
Kisah Doyan Nada,Riau,8,"setelah itu, dewi anjani segera mengubah sepuluh pasang suami istri dari prajuritnya menjadi manusia, dan salah seorang di antaranya dijadikan sebagai kepala suku. kesepuluh pasangan suami istri tersebut kemudian menetap di daerah itu dan hidup sebagai petani.","sawise kuwi, dewi anjani langsung ngowahi sepuluh pasangan bojomu saka prajurite dadi manungsa, lan salah sijine dijadikan kepala suku. sepuluh pasangan bojomu kuwi banjur manggon ing panggonan kuwi lan urip dadi petani."
Kisah Doyan Nada,Riau,9,"setelah beberapa lama menetap di sana, istri sang kepala suku melahirkan seorang bayi laki-laki yang ajaib. begitu terlahir ke dunia, ia langsung dapat berjalan dan berbicara serta dapat menyuapi dirinya sendiri. selain itu, bayi ajaib itu sangat kuat makan. sekali makan, ia dapat menghabiskan dua bakul nasi beserta lauknya. maka sebab itulah kedua orang tua dan orang-orang memanggilnya doyan nada. dalam bahasa setempat, kata doyan nada merupakan julukan yang biasa diberikan kepada orang yang kuat makan.","sawise sawetara wektu manggon ing kana, bojone kepala suku nglairake bayi lanang sing ajaib. sak pisan lair, bayi kuwi langsung bisa mlaku lan ngomong lan bisa mangan dewe. liyane kuwi, bayi kuwi banget kuat mangan. siji mangan, isa ngabisake loro bakul sega karo lauke. mula saka kuwi, wong tuwane lan wong-wong maringi jeneng doyan nada. ing basa sacedhake, tembung doyan nada iku julukan kanggo wong sing kuat mangan."
Kisah Doyan Nada,Riau,10,"semakin besar, doyan nada semakin kuat makan, sehingga kedua orang tuanya tidak sanggup lagi memberinya makan. oleh karena itu, sang ayah berniat untuk menyingkirkannya.","makin gedhe, doyan nada saya kuat mangan, nganti wong tuwane ora kuwat maneh maringi mangan. mula, bapake niat arep nyingkirake."
Kisah Doyan Nada,Riau,11,"bu, anak kita harus segera disingkirkan dari rumah ini. jika tidak, kita akan mati kelaparan, kata kepala suku.","bu, anak kita kudu langsung disingkirake saka omah iki. yen ora, awake dhewe bakal mati keluwen, kandha kepala suku."
Kisah Doyan Nada,Riau,12,"tapi, yah, bukankah doyan nada anak kita satu-satunya","nanging, yah, bukankah doyan nada anak kita siji-sijine"
Kisah Doyan Nada,Riau,13,"iya, ibu benar. tapi hanya inilah satu-satunya cara untuk menyelamatkan hidup kita, jawab sang kepala suku.","ya, bu bener. nanging mung ngono cara siji-sijine kanggo nylametake urip kita, jawab kepala suku."
Kisah Doyan Nada,Riau,14,"sang istri tidak bisa berbuat apa-apa kecuali pasrah setelah mendengar penjelasan suaminya. sementara itu, sang kepala suku segera menyusun rencana untuk menghabisi nyawa doyan nada.","bojone ora isa apa-apa kajaba pasrah sawise krungu penjelasane. nalika kuwi, kepala suku langsung nyusun rencana kanggo mateni doyan nada."
Kisah Doyan Nada,Riau,15,"pada esok harinya, ia mengajak anaknya ke hutan untuk menebang pohon besar. tanpa merasa curiga sedikit pun, doyan nada menuruti saja ajakan sang ayah. setibanya di hutan, sang ayah memilih pohon yang paling besar dan segera menebangnya. dengan sengaja, ia mengarahkan pohon besar itu roboh ke tempat doyan nada berdiri. begitu roboh, pohon besar itu menindih tubuh doyan nada hingga tewas seketika. melihat anaknya tidak bernyawa lagi, sang ayah segera meninggalkan tempat itu.","sesuke, dheweke ngajak anake menyang alas kanggo ngethok wit gedhe. tanpa curiga, doyan nada manut bae ajakan bapake. sawise tekan alas, bapake milih wit paling gedhe lan langsung ngethok. kanthi sengaja, dheweke ngethok wit gedhe kuwi supaya tiba ing panggonan doyan nada. wit gedhe kuwi tiba nutupi awak doyan nada nganti mati langsung. bapake langsung ninggalake panggonan kuwi."
Kisah Doyan Nada,Riau,16,"rupanya, dewi anjani menyaksikan semua peristiwa tersebut dari puncak gunung rinjani. beberi, cepat percikkan banyu urip (air hidup) ke tubuh doyan nada, seru dewi anjani kepada burung peliharaannya.","ternyata, dewi anjani nyekseni kabeh kuwi saka pucuk gunung rinjani. beberi, cepet semprotake banyu urip marang awake doyan nada, dhawuh dewi anjani marang manuk piaraane."
Kisah Doyan Nada,Riau,17,"mendengar perintah tuannya, beberi segera terbang melesat menuju ke tempat doyan nada tertindih pohon besar dengan membawa banyu urip. konon, banyu urip itu berkhasiat untuk menghidupkan kembali orang yang telah meninggal. setelah banyu urip itu dipercikkan ke seluruh tubuhnya, doyan nada pun hidup kembali. begitu sadar, ia langsung berteriak memanggil ayahnya.","krungu dhawuh saka tuan putrine, beberi langsung mabur cepet-cepet menyang panggonan doyan nada ketutupan wit gedhe karo nggawa banyu urip. konon, banyu urip kuwi duwe guna kanggo nguripake wong sing wis mati. sawise banyu kuwi disemprotake marang awake, doyan nada urip maneh. nalika sadar, dheweke langsung mrono mlayu nelpon bapake."
Kisah Doyan Nada,Riau,18,ayah ayah tolong aku pohon besar ini menindih tubuhku,bapak bapak tulung aku wit gedhe iki nutupi awakku
Kisah Doyan Nada,Riau,19,"beberapa kali doyan nada berteriak, namun tidak ada jawaban. akhirnya, ia mencoba untuk melepaskan tubuhnya dari tindihan kayu besar itu. semula, ia mengira bahwa dirinya tidak akan mungkin mampu menggerakkannya. namun tanpa diduga, ia dapat melakukannya dengan mudah. ternyata, dewi anjani telah memberikan kekuatan yang luar biasa kepadanya.","pirang-pirang kaping doyan nada mrono, nanging ora ana jawaban. pungkasane, dheweke nyoba mbebasake awake saka wit gedhe kuwi. awale dheweke kira ora bakal isa, nanging tanpa diduga, dheweke isa ngethok wit gedhe kuwi nganggo gampang. ternyata, dewi anjani wis maringi kakuwatan luar biasa marang dheweke."
Kisah Doyan Nada,Riau,20,"setelah terbebas, doyan nada kemudian membawa pulang kayu besar itu dan meletakkannya di depan rumah. ayah, ibu, aku pulang, teriaknya. kayu yang ayah tebang tadi aku letakkan di sini.","sawise bebas, doyan nada nggawa wit gedhe kuwi bali lan nyelehake ing ngarep omah. bapak, ibu, aku mulih, teriake. wit sing bapak tebak mau tak lebokake ing kene."
Kisah Doyan Nada,Riau,21,"mendengar teriakan itu, sang ayah segera berlari keluar rumah. alangkah terkejutnya ia ketika melihat doyan nada masih hidup. lebih terkejut lagi ketika ia mengetahui anaknya itu mampu mengangkat sebuah kayu besar.","krungu teriakane, bapake langsung mrono metu omah. alangkah kagete dheweke ndelok doyan nada isih urip. luwih kaget maneh nalika ngerti anake isa ngangkat wit gedhe."
Kisah Doyan Nada,Riau,22,"ayah, kenapa ayah meninggalkanku seorang diri di tengah hutan tanya doyan nada.","bapak, napa bapak ninggalake aku dhewekan ing tengah alas takon doyan nada."
Kisah Doyan Nada,Riau,23,sang ayah tidak langsung menjawab. ia berpikir sejenak untuk mencari-cari alasan agar niat jeleknya tidak diketahui oleh doyan nada.,bapake ora langsung mangsuli. dheweke mikir sekedhap golek alesan supaya niat eleke ora kawruh dening doyan nada.
Kisah Doyan Nada,Riau,24,"maafkan ayah, nak. ayah tidak bermaksud meninggalkanmu. tadi ayah mengira kamu sudah meninggal. ayah sudah berusaha untuk menolongmu, tapi ayah tidak kuat mengangkat kayu besar yang menindihmu itu, jawab sang ayah dengan penuh alasan.","nuwun sewu, nak. bapak ora sengaja ninggalake. tadi bapak kira kowe wis mati. bapak wis nyoba nulungi, nanging ora kuwat ngangkat wit gedhe sing nutupi kowe, jawab bapake karo alasan."
Kisah Doyan Nada,Riau,25,doyan nada langsung percaya saja pada kata-kata ayahnya. ia kemudian masuk ke dalam rumah untuk mencari makanan karena sudah kelaparan. nasi dua bakul beserta lauk yang telah dihidangkan untuk makan siang mereka bertiga habis semua dilahapnya. sang ayah semakin kesal melihat perilaku doyan nada. ia pun mencari cara lain untuk membinasakannya.,doyan nada percaya bae karo tembung bapake. dheweke mlebu omah golek mangan amarga wis keluwen. sega loro bakul karo lauk sing wis disiapake kanggo dhahar siang kuwi kabeh wis dipangan. bapake saya nesu ndelok tingkah doyan nada. dheweke golek cara liya kanggo mateni anake.
Kisah Doyan Nada,Riau,26,"keesokan hari, sang ayah mengajak anaknya untuk memancing ikan di sebuah lubuk yang besar dan dalam. ketika doyan nada sedang asyik memancing, diam-diam sang ayah mendorong sebuah batu besar yang berada di belakang doyan nada. batu besar itu menindih tubuh doyan nada hingga tewas seketika. dewi anjani yang melihat peristiwa tersebut kembali menolongnya hingga ia dapat hidup kembali.","sesuke, bapake ngajak anake menyang kolam pancing sing gedhe lan jero. nalika doyan nada lagi seneng pancing, bapake ndhesek watu gedhe sing ana ing mburi dheweke. watu gedhe kuwi nutupi awake doyan nada nganti mati. dewi anjani sing ndelok kuwi mbalekake uripe maneh."
Kisah Doyan Nada,Riau,27,"ketika sadar, doyan nada tidak melihat lagi ayahnya sedang memancing di lubuk itu. sejak itulah, ia mulai curiga kepada ayahnya yang sengaja untuk mencelakai dirinya. dengan perasaan kesal, ia membawa pulang batu besar itu. sesampai di halaman rumah, dibantinglah batu besar itu di hadapan ayahnya.","nalika sadar, doyan nada ora ndelok bapake lagi pancing ing kolam kuwi. wiwit kuwi, dheweke wiwit curiga karo bapake sing sengaja nyoba nyelakani. kanthi nesu, dheweke nggawa watu gedhe kuwi bali. tekan halaman omah, dheweke mbanting watu gedhe kuwi ing ngarep bapake."
Kisah Doyan Nada,Riau,28,"konon, sejak itu kampung doyan nada kemudian dinamakan sela parang. kata sela berarti batu, sedangkan kata parang berarti besar atau kasar.","konon, wiwit kuwi kampung doyan nada dijenengi sela parang. tembung sela tegese watu, dene parang tegese gedhe utawa kasar."
Kisah Doyan Nada,Riau,29,"meskipun niat jeleknya telah diketahui, doyan nada, sang ayah tetap saja berniat untuk menghabisi nyawa anaknya itu dengan berbagai cara. sementara itu, sang ibu yang tidak tahan lagi melihat kelakuan suaminya, menganjurkan anak semata wayangnya itu untuk pergi mengembara. doyan nada pun menuruti nasehat ibunya. dengan bekal dendeng secukupnya, ia pergi mengembara dengan menyusuri hutan belantara tanpa arah dan tujuan.","sanajan niat elek wis kawruh, bapake isih tetep kepengin mateni anake kanthi cara apa wae. nalika kuwi, ibune sing ora kuwat ndelok bapake nindakake kuwi, nyaranake doyan nada supaya lunga ngumbara. doyan nada manut nasihat ibune. kanthi bekal daging garing secukupe, dheweke lunga ngumbara nyusuri alas lebat tanpa tujuan."
Kisah Doyan Nada,Riau,30,"suatu hari, ketika melewati sebuah hutan lebat, doyan nada dikejutkan oleh suara orang berteriak meminta tolong. ia pun segera menolongnya. rupanya, orang itu adalah seorang pertapa yang terlilit oleh akar beringin. pertapa yang bernama tameng muter itu kemudian bercerita kepada doyan bahwa dirinya sudah sepuluh tahun bertapa karena ingin menjadi raja di pulau itu. akhirnya, mereka pun menjadi sahabat dan pergi mengembara tanpa arah dan tujuan.","sak dina, nalika liwat alas sing lebat, doyan nada kaget krungu swara wong sing nelpon tulung. dheweke langsung nulungi. ternyata, wong kuwi pertapa sing kelek ing akar wit beringin. pertapa sing jenenge tameng muter mau banjur crita marang doyan nada yen dheweke wis sepuluh taun tapa kanggo dadi raja pulo iki. akhire, loro-lorone dadi kancan lan lunga ngumbara bareng tanpa tujuan."
Kisah Doyan Nada,Riau,31,"dalam perjalanan mereka, mereka menemukan seorang pertapa yang dililit oleh akar beringin yang sangat besar. pertapa yang bernama sigar penjalin itu sudah dua belas tahun bertapa karena ingin juga menjadi raja di pulau lombok. akhirnya, ketiga orang tersebut bersahabat dan pergi mengembara bersama-sama.","ing perjalanane, dheweke ketemu pertapa liya sing kelek akar wit beringin gedhe. pertapa sing jenenge sigar penjalin mau wis rolas taun tapa amarga uga kepengin dadi raja ing pulo lombok. akhire, telu mau dadi kancan lan lunga ngumbara bareng."
Kisah Doyan Nada,Riau,32,"pada suatu siang, mereka sedang beristirahat di bawah sebuah pohon rindang di tengah hutan. ketika mereka sedang tertidur pulas, sesosok raksasa yang bernama limandaru mendekati mereka. raksasa itu hendak mencuri dendeng bekal doyan nada. setelah mengambil dendeng itu, limandaru segera melarikan diri. namun, suara langkah kakinya yang keras membangunkan ketiga orang sahabat tersebut. doyan nada dan kedua sahabatnya segera mengejar raksasa itu hingga ke tempat persembunyiannya di sebuah gua di daerah sekaroh.","sak awan, nalika padha ngaso ing ngisore wit sing teduh ing tengah alas, ana raksasa jenenge limandaru sing nyedhaki. raksasa kuwi arep njupuk daging garing bekale doyan nada. sawise njupuk, limandaru mlayu adoh. nanging swara sikile sing abot ngganggu telu kancan kuwi nganti tangi. doyan nada lan kancane langsung ngejar raksasa kuwi nganti tekan guwa ing daerah sekaroh."
Kisah Doyan Nada,Riau,33,"ketika limandaru hendak masuk ke dalam gua, doyan nada segera mencegatnya. berhenti, hai raksasa tengik seru doyan nada. kembalikan dendeng yang kamu curi itu","nalika limandaru arep mlebu guwa, doyan nada nyegat. stop, raksasa pail balikna daging sing kok curi serune."
Kisah Doyan Nada,Riau,34,"hai anak manusia menyingkirlah dari hadapanku, atau kamu akan kujadikan mangsaku ancam limandaru.","wong cilik menyang ngendi kowe menyang ngendi, yen ora pengin tak dudu mangsaku ancam limandaru."
Kisah Doyan Nada,Riau,35,"aku tidak akan menyingkir sebelum kau serahkan dendeng itu kepadaku, kata doyan nada.",aku ora bakal ngalah sadurunge kowe mbalekake daging mau wangsul doyan nada.
Kisah Doyan Nada,Riau,36,"merasa ditantang, limandaru menjadi marah dan langsung menyerang doyan nada. tanpa diduga, ternyata anak kecil yang dihadapinya adalah seorang sakti mandraguna. serangannya yang datang secara bertubi-tubi dapat dihindari oleh anak kecil itu dengan mudah. karena kesal, limandaru terus menyerang doyan nada dengan cara membabi buta. namun, begitu ia lengah, tiba-tiba sebuah tendangan keras dari doyan nada mendarat tepat di lambungnya. tubuhnya yang besar itu pun terpelanting jauh dan terjatuh di tanah hingga tidak sadarkan diri.","rasa tersinggung, limandaru nesu lan nyerang doyan nada. tanpa disangka, bocah cilik sing diadhepi kuwi sakti banget. serangane sing bertubi-tubi isa dihindari kanthi gampang. amarga nesu, limandaru terus nyerang kanthi garang. nanging nalika lengah, doyan nada nyundul lambunge. raksasa gedhe kuwi kejambret adoh lan tiba ora sadar."
Kisah Doyan Nada,Riau,37,"melihat limandaru tidak bernyawa lagi, doyan nada bersama kedua sahabatnya segera kembali ke rumahnya. sesampainya di sana, mereka bertiga langsung disambut oleh sang ibu dan banyak penduduk desa yang datang untuk mengucapkan terima kasih karena telah mengalahkan raksasa yang sering mengganggu ketentraman desa tersebut.","ndelok limandaru mati, doyan nada karo kancane bali menyang omah. tekan omah, ibu lan warga desa padha nyambut dheweke kanthi panuwun amarga wis ngalahake raksasa sing asring ngganggu tentreme desa."
Kisah Doyan Nada,Riau,38,"sejak saat itu, nama doyan nada menjadi terkenal. banyak orang yang datang dari desa-desa sekitarnya untuk meminta bantuan doyan nada. orang-orang kemudian memberi nama tempat itu dengan sebutan doyan nada yang sekarang dikenal sebagai lombok.","wiit saka kuwi, jeneng doyan nada dadi kondhang. akeh wong saka desa sacedhake sing njaluk tulung marang dheweke. wong-wong banjur nyebut panggonan kuwi doyan nada sing saiki dikenal dadi lombok."
