judul,provinsi,id_teks,teks,referensi
Kisah Keke Panagian,Lampung,1,pada jaman dahulu di desa wanua uner hiduplah sepasang suami istri yang sudah lama menikah namun belum dikaruniai anak. sang suami namanya pontohroring. istrinya bernama mamaluan. meski demikian mereka tidak menyerah. keduanya terus berdoa agar memiliki keturunan. hingga pada akhirnya di usia yang sudah tidak muda lagi mamaluan akhirnya hamil dan melahirkan seorang bayi mungil nan cantik yang diberi nama keke panagian. masyarakat minahasa memanggil keke untuk anak perempuan tersayang mereka. keke panagian kemudian tumbuh menjadi gadis cantik pintar dan baik perangainya. ia selalu tersenyum dan ceria bermain dengan temanteman sebaya. keke sangat pandai menari maengket. suatu waktu warga desa mengadakan syukuran berupa pesta rakyat yang bisa dihadiri oleh banyak orang. dan keke panagian tertarik untuk mengikutinya namun tidak diijinkan oleh kedua orang tuanya karena khawatir akan keselamatan sang anak gadis. meski terus merayu dengan bermacam cara tetap saja ijin yang diharapkan tidak keluar juga. maka cara terakhir keke adalah berdoa agar tuhan membukakan jalan. ia terus berdoa sepanjang hari di kamarnya. ketika tengah khusyuk berdoa tibatiba muncullah sebuah tangga dari atas ke dalam kamar keke. iapun dengan penuh semangat menaiki tangga tersebut yang ternyata membawanya ke sebuah jalan lurus menuju ke lapangan lokasi diadakannya pesta rakyat. hebatnya lagi keke diminta untuk memimpin acara syukuran. hingga pagi menjelang ia sangat menikmati acara tersebut. namun sayangnya ketika pulang kedua orang tuanya yang kecewa dengan keke tidak mengijinkan ia masuk ke rumah. keke lalu pergi ke rumah matua tantenya. namun ia juga tidak mendapat sambutan yang baik. tidurlah di kolong rumahucap matua ketus. tapi di bawah banyak hewan tan. aku tidak akan bisa tidur jika begitu. suara mereka akan sangat mengganggu. dan bau lagiprotes keke sedih. setengah putus asa ia lalu memutuskan untuk kembali ke tanah lapang tempat pesta berlangsung. tempat itu sudah sepi. orangorang yang kecapekan sudah pulang kembali ke rumah untuk beristirahat. keke terduduk lemas. tibatiba dari atas langit turun tangga ajaib sama dengan tangga yang muncul di kamarnya tadi malam. lalu sebuah suara ajaib menuntunnya untuk naik ke tangga itu. keke yang sudah keletihan mengikuti saja suara tersebut. ia seperti terkena hipnotis. sementara dari kejauhan tampak kedua orang tuanya dan beberapa penduduk desa berteriakteriak memanggil namanya. mereka memintanya untuk turun dari tangga tersebut. namun semua usaha tersebut siasia. ayah ibu maafkan aku. semua sudah terlambat. aku akan pergi menemui tuhan di langitgumam keke sedih. mereka lalu menyaksikan gadis cantik itu lenyap untuk selamanya. hanya sesal di dada yang tertinggal. kedua orang tua keke akhirnya meninggal dalam penyesalan karena kesedihan yang begitu dalam atas kepergian putri tersayang mereka.,"nang jaman mbiyen nang desa wanua uner urip sapasang bojo sing wis suwe nikah nanging durung diparingi anak. bojone jenenge pontohroring. bojone jenenge mamaluan. senajan ngono, wong loro kuwi ora nyerah. karone terus ndonga supaya nduwe keturunan. nganti pungkasane nalika umure wis ora enom maneh mamaluan pungkasane ngandhut lan nglairake bayi cilik ayu banget sing dijenengke keke panagian. wong minahasa nyebut keke kanggo anak wadon kesayangane. keke panagian banjur gedhe dadi cah ayu, pinter lan apik sikape. dheweke tansah mesem lan ceria dolanan bareng kanca-kancane. keke pinter banget nari maengket."
Kisah Keke Panagian,Lampung,2,"suatu hari, desa mengadakan pesta rakyat sebagai wujud syukuran. banyak orang dari berbagai tempat datang untuk merayakan acara tersebut. keke sangat ingin menghadiri pesta itu. namun, kedua orang tuanya melarang karena khawatir akan keselamatannya. meskipun keke berusaha membujuk dengan berbagai cara, orang tuanya tetap tidak mengizinkan.","sak wektu warga desa ngadani syukuran awujud pesta rakyat sing bisa didatangi akeh wong. lan keke panagian kepengin melu acara kuwi, nanging ora diijini karo wong tuwane merga kuwatir bab keselamatane anak wadon kuwi. sanajan terus ngrayu nganggo macem-macem cara tetep wae idin sing diarep-arep ora metu uga. mula cara pungkasane keke yaiku ndonga supaya gusti mbukakake dalan. dheweke terus ndonga sak dinane nang kamarne."
Kisah Keke Panagian,Lampung,3,"putus asa, keke memutuskan untuk berdoa di kamarnya, memohon kepada tuhan agar diberikan jalan untuk pergi ke pesta itu. ketika sedang khusyuk berdoa, tiba-tiba sebuah tangga ajaib turun dari langit ke dalam kamarnya. dengan penuh semangat, keke menaiki tangga tersebut. tangga itu membawanya ke sebuah jalan yang lurus, langsung menuju ke lapangan tempat pesta diadakan.","nalika lagi khusyuk ndonga dumadakan metu sawijining tangga saka nduwur mlebu kamarne keke. dheweke banjur semangat munggah tangga kuwi sing jebul nggawa dheweke menyang dalan lurus tumuju lapangan panggonan pesta rakyat kuwi dianakake. sing luar biasa maneh, keke dijaluk mimpin acara syukuran kuwi. nganti esuk teka, dheweke banget ngrasakake bungah nang acara kuwi."
Kisah Keke Panagian,Lampung,4,"di pesta itu, keke mendapat kehormatan untuk memimpin acara syukuran. ia sangat bahagia, menari dan bernyanyi hingga pagi menjelang.","nanging sayange nalika bali wong tuwane sing kecewa karo keke merga wis nglanggar larangane ora ngidini dheweke mlebu omah. keke banjur lunga menyang omahe matua, budhene. nanging dheweke uga ora entuk sambutan sing apik."
Kisah Keke Panagian,Lampung,5,"ketika keke pulang, kedua orang tuanya yang kecewa karena keke telah melanggar larangan mereka tidak mengizinkannya masuk ke rumah. dengan hati sedih, keke pergi ke rumah bibinya, matua. namun, bibinya juga menolaknya.","tulunen nang kolong omah, ujare matua kanthi nada ketus."
Kisah Keke Panagian,Lampung,6,"tidurlah di kolong rumah, kata matua dengan nada dingin.","nanging nang ngisor ana akeh kewan, tan. aku ora bakal isa turu yen ngono. suarane mesthi ngganggu banget. apike maneh ambune uga nyegak, protes keke sedhih."
Kisah Keke Panagian,Lampung,7,"keke memohon, tante, di bawah banyak hewan. aku tidak akan bisa tidur karena suara mereka. bau itu juga sangat mengganggu. namun, matua tetap tidak peduli.",setengah putus asa dheweke banjur mutuske kanggo bali maneh menyang lapangan panggonan pesta dianakake. panggonan kuwi wis sepi. wong-wong sing wis kecapekan wis bali menyang omah kanggo ngaso. keke lungguh nglokro.
Kisah Keke Panagian,Lampung,8,"dalam keputusasaan, keke kembali ke lapangan tempat pesta berlangsung. saat itu, tempat tersebut sudah sepi karena semua orang telah pulang ke rumah masing-masing. keke terduduk lemas di tengah lapangan. tiba-tiba, tangga ajaib yang sama muncul kembali dari langit. sebuah suara lembut terdengar, meminta keke untuk naik ke tangga itu.",dumadakan saka langit mudhun tangga gaib sing padha karo sing muncul nang kamarne bengi mau. banjur metu swara alus sing nuntun dheweke supaya munggah tangga kuwi. keke sing wis kesel banget mung manut swara kuwi. dheweke kaya kena hipnotis.
Kisah Keke Panagian,Lampung,9,"dengan kelelahan dan putus asa, keke mengikuti suara tersebut. ia mulai menaiki tangga itu. dari kejauhan, kedua orang tuanya dan beberapa warga desa berlari ke arah lapangan, berteriak memanggil nama keke, memintanya untuk turun. namun, keke hanya menoleh dan berkata lirih, ayah, ibu, maafkan aku. semua sudah terlambat. aku akan pergi menemui tuhan di langit.","saka adoh katon wong tuwane lan sawatara warga desa mlayu menyang lapangan, njerit-njerit nyebut jenenge keke, njaluk supaya dheweke mudhun saka tangga kuwi. nanging kabeh usaha kuwi ora ana gunane."
Kisah Keke Panagian,Lampung,10,"mereka hanya bisa menyaksikan keke perlahan menghilang di ujung tangga ajaib. sang gadis lenyap selamanya, meninggalkan kesedihan dan penyesalan yang mendalam.","ayah, ibu, ngapura aku. kabeh wis kasep. aku bakal lunga nemoni gusti nang langit, gumame keke sedhih."
